,name,date,open,high,low,close,volume,adj_close
1190,DCM,2016-01-04,12.7,12.9,12.6,12.7,15050,9.11
1189,DCM,2016-01-05,12.7,12.7,12.7,12.7,232330,9.11
1188,DCM,2016-01-06,12.7,12.7,12.6,12.7,156570,9.11
1187,DCM,2016-01-07,12.6,12.6,12.4,12.5,57430,8.97
1186,DCM,2016-01-08,12.3,12.5,12.3,12.3,83340,8.82
1185,DCM,2016-01-11,12.5,12.5,12.4,12.4,25260,8.9
1184,DCM,2016-01-12,12.5,12.5,12.4,12.4,51670,8.9
1183,DCM,2016-01-13,12.4,12.5,12.4,12.4,69510,8.9
1182,DCM,2016-01-14,12.4,12.5,12.3,12.5,210850,8.97
1181,DCM,2016-01-15,12.6,12.6,12.4,12.4,118360,8.9
1180,DCM,2016-01-18,12.3,12.5,12.2,12.5,1029320,8.97
1179,DCM,2016-01-19,12.5,13.0,12.4,12.5,283580,8.97
1178,DCM,2016-01-20,12.5,12.6,12.5,12.5,192310,8.97
1177,DCM,2016-01-21,12.4,12.6,12.4,12.4,59120,8.9
1176,DCM,2016-01-22,12.5,12.5,12.3,12.4,299990,8.9
1175,DCM,2016-01-25,12.5,12.5,12.5,12.5,55660,8.97
1174,DCM,2016-01-26,12.5,13.0,12.4,12.6,546440,9.04
1173,DCM,2016-01-27,12.6,12.6,12.5,12.6,27440,9.04
1172,DCM,2016-01-28,12.6,12.7,12.5,12.5,65330,8.97
1171,DCM,2016-01-29,12.5,13.0,12.5,12.7,605590,9.11
1170,DCM,2016-02-01,12.9,12.9,12.6,12.7,45820,9.11
1169,DCM,2016-02-02,12.6,12.9,12.6,12.7,234260,9.11
1168,DCM,2016-02-03,12.7,13.0,12.7,12.8,522650,9.18
1167,DCM,2016-02-04,12.8,12.8,12.8,12.8,13110,9.18
1166,DCM,2016-02-05,12.8,12.8,12.7,12.7,73860,9.11
1165,DCM,2016-02-15,12.5,12.7,12.4,12.7,129960,9.11
1164,DCM,2016-02-16,12.6,12.7,12.6,12.6,24110,9.04
1163,DCM,2016-02-17,12.6,12.7,12.5,12.7,139960,9.11
1162,DCM,2016-02-18,12.7,12.7,12.6,12.6,108580,9.04
1161,DCM,2016-02-19,12.7,12.7,12.6,12.6,81490,9.04
1160,DCM,2016-02-22,12.7,12.8,12.6,12.6,94690,9.04
1159,DCM,2016-02-23,12.6,13.0,12.6,12.7,521150,9.11
1158,DCM,2016-02-24,12.6,12.8,12.6,12.6,122750,9.04
1157,DCM,2016-02-25,12.8,12.8,12.6,12.7,83320,9.11
1156,DCM,2016-02-26,12.7,12.7,12.6,12.7,23800,9.11
1155,DCM,2016-02-29,12.7,13.0,12.7,12.7,251780,9.11
1154,DCM,2016-03-01,12.7,12.7,12.7,12.7,84190,9.11
1153,DCM,2016-03-02,12.7,12.7,12.7,12.7,269780,9.11
1152,DCM,2016-03-03,12.7,12.8,12.6,12.7,123860,9.11
1151,DCM,2016-03-04,12.6,13.0,12.6,12.8,799250,9.18
1150,DCM,2016-03-07,12.7,13.0,12.7,12.7,622790,9.11
1149,DCM,2016-03-08,12.8,12.8,12.7,12.7,40460,9.11
1148,DCM,2016-03-09,12.7,12.8,12.7,12.8,100130,9.18
1147,DCM,2016-03-10,12.8,13.0,12.7,12.7,1018570,9.11
1146,DCM,2016-03-11,12.8,12.8,12.7,12.7,88500,9.11
1145,DCM,2016-03-14,12.7,12.8,12.7,12.8,22030,9.18
1144,DCM,2016-03-15,12.7,12.8,12.6,12.6,64450,9.04
1143,DCM,2016-03-16,12.6,13.0,12.6,12.7,386540,9.11
1142,DCM,2016-03-17,12.6,12.7,12.6,12.6,281940,9.04
1141,DCM,2016-03-18,12.8,13.0,12.7,12.7,303010,9.11
1140,DCM,2016-03-21,12.7,12.8,12.7,12.7,47530,9.11
1139,DCM,2016-03-22,12.7,13.0,12.7,12.7,587370,9.11
1138,DCM,2016-03-23,12.7,12.8,12.7,12.8,63630,9.18
1137,DCM,2016-03-24,12.9,12.9,12.7,12.7,52590,9.11
1136,DCM,2016-03-25,12.7,12.8,12.7,12.8,261490,9.18
1135,DCM,2016-03-28,12.8,13.0,12.7,12.8,722740,9.18
1134,DCM,2016-03-29,12.8,12.8,12.7,12.7,25600,9.11
1133,DCM,2016-03-30,12.7,12.8,12.7,12.8,74450,9.18
1132,DCM,2016-03-31,12.8,13.0,12.6,12.7,1102540,9.11
1131,DCM,2016-04-01,12.9,12.9,12.6,12.6,19860,9.04
1130,DCM,2016-04-04,12.6,12.7,12.6,12.7,470410,9.11
1129,DCM,2016-04-05,13.0,13.0,12.6,12.6,831160,9.04
1128,DCM,2016-04-06,12.7,12.7,12.6,12.6,415380,9.04
1127,DCM,2016-04-07,12.9,12.9,12.6,12.7,603780,9.11
1126,DCM,2016-04-08,12.7,12.7,12.7,12.7,204610,9.11
1125,DCM,2016-04-11,12.7,13.0,12.5,12.9,1215180,9.26
1124,DCM,2016-04-12,13.0,13.0,12.6,12.7,914590,9.11
1123,DCM,2016-04-13,12.7,12.7,12.6,12.7,11670,9.11
1122,DCM,2016-04-14,12.7,12.7,12.6,12.7,317140,9.11
1121,DCM,2016-04-15,12.7,13.0,12.7,12.9,1168800,9.26
1120,DCM,2016-04-19,12.7,12.8,12.7,12.7,211880,9.11
1119,DCM,2016-04-20,12.7,12.8,12.7,12.7,196600,9.11
1118,DCM,2016-04-21,12.7,12.8,12.7,12.8,53110,9.18
1117,DCM,2016-04-22,12.8,12.8,12.7,12.8,21170,9.18
1116,DCM,2016-04-25,12.8,12.8,12.7,12.8,95620,9.18
1115,DCM,2016-04-26,12.9,13.0,12.8,12.8,615710,9.18
1114,DCM,2016-04-27,12.9,12.9,12.8,12.8,27960,9.18
1113,DCM,2016-04-28,12.8,12.9,12.7,12.8,49120,9.18
1112,DCM,2016-04-29,12.8,12.8,12.7,12.7,39800,9.11
1111,DCM,2016-05-04,12.7,12.8,12.6,12.7,295890,9.11
1110,DCM,2016-05-05,12.7,12.8,12.7,12.7,155690,9.11
1109,DCM,2016-05-06,12.7,12.8,12.7,12.7,43020,9.11
1108,DCM,2016-05-09,12.7,12.8,12.6,12.6,63040,9.04
1107,DCM,2016-05-10,12.7,13.0,12.6,12.7,972500,9.11
1106,DCM,2016-05-11,12.7,12.8,12.6,12.6,94800,9.04
1105,DCM,2016-05-12,12.7,12.7,12.6,12.6,79720,9.04
1104,DCM,2016-05-13,12.8,13.0,12.7,12.7,485000,9.11
1103,DCM,2016-05-16,12.7,12.7,12.7,12.7,196520,9.11
1102,DCM,2016-05-17,12.7,13.0,12.7,12.7,555770,9.11
1101,DCM,2016-05-18,12.8,12.8,12.7,12.7,197080,9.11
1100,DCM,2016-05-19,12.8,12.8,12.7,12.8,320370,9.18
1099,DCM,2016-05-20,12.8,13.0,12.7,12.8,440040,9.18
1098,DCM,2016-05-23,12.8,12.9,12.8,12.9,118500,9.26
1097,DCM,2016-05-24,12.9,13.0,12.8,12.9,146070,9.26
