,name,date,open,high,low,close,volume,adj_close
1190,DIG,2016-01-04,9.3,9.5,9.1,9.3,565140,6.97
1189,DIG,2016-01-05,9.3,9.3,9.1,9.3,199480,6.97
1188,DIG,2016-01-06,9.3,9.3,9.1,9.2,207470,6.9
1187,DIG,2016-01-07,9.1,9.1,8.7,8.9,450650,6.67
1186,DIG,2016-01-08,8.7,8.9,8.6,8.6,546490,6.45
1185,DIG,2016-01-11,8.6,8.7,8.4,8.4,276240,6.3
1184,DIG,2016-01-12,8.4,8.8,8.4,8.8,359480,6.6
1183,DIG,2016-01-13,8.8,8.9,8.6,8.7,259160,6.52
1182,DIG,2016-01-14,8.6,8.6,8.2,8.4,322110,6.3
1181,DIG,2016-01-15,8.4,8.4,8.0,8.0,421960,6.0
1180,DIG,2016-01-18,7.7,7.8,7.5,7.6,782670,5.7
1179,DIG,2016-01-19,7.8,7.9,7.6,7.8,576630,5.85
1178,DIG,2016-01-20,7.8,7.8,7.5,7.6,223530,5.7
1177,DIG,2016-01-21,7.5,7.6,7.2,7.2,351350,5.4
1176,DIG,2016-01-22,7.2,7.7,7.2,7.7,1051880,5.77
1175,DIG,2016-01-25,7.9,8.2,7.9,8.2,482750,6.15
1174,DIG,2016-01-26,8.0,8.2,7.8,8.1,394280,6.07
1173,DIG,2016-01-27,8.1,8.4,8.1,8.3,321850,6.22
1172,DIG,2016-01-28,8.2,8.3,8.0,8.1,306060,6.07
1171,DIG,2016-01-29,8.1,8.2,8.0,8.1,276880,6.07
1170,DIG,2016-02-01,8.2,8.6,8.2,8.3,340940,6.22
1169,DIG,2016-02-02,8.2,8.4,8.2,8.3,221890,6.22
1168,DIG,2016-02-03,8.2,8.3,8.1,8.2,172780,6.15
1167,DIG,2016-02-04,8.3,8.4,8.2,8.3,131360,6.22
1166,DIG,2016-02-05,8.2,8.4,8.1,8.2,222140,6.15
1165,DIG,2016-02-15,8.2,8.3,8.1,8.2,170630,6.15
1164,DIG,2016-02-16,8.4,8.6,8.3,8.3,1440430,6.22
1163,DIG,2016-02-17,8.3,8.5,8.2,8.2,559450,6.15
1162,DIG,2016-02-18,8.3,8.3,8.2,8.2,252280,6.15
1161,DIG,2016-02-19,8.2,8.3,8.1,8.1,667480,6.07
1160,DIG,2016-02-22,8.1,8.3,8.1,8.3,680200,6.22
1159,DIG,2016-02-23,8.3,8.4,8.1,8.1,545540,6.07
1158,DIG,2016-02-24,8.0,8.2,8.0,8.1,259800,6.07
1157,DIG,2016-02-25,8.1,8.2,7.9,7.9,299840,5.92
1156,DIG,2016-02-26,7.9,8.0,7.9,7.9,215150,5.92
1155,DIG,2016-02-29,7.9,8.0,7.7,7.8,207500,5.85
1154,DIG,2016-03-01,7.7,7.9,7.7,7.8,195900,5.85
1153,DIG,2016-03-02,7.9,8.0,7.8,7.8,281400,5.85
1152,DIG,2016-03-03,7.6,7.9,7.6,7.6,167380,5.7
1151,DIG,2016-03-04,7.6,7.8,7.6,7.6,194770,5.7
1150,DIG,2016-03-07,7.7,7.8,7.6,7.7,376360,5.77
1149,DIG,2016-03-08,7.8,7.8,7.7,7.7,115760,5.77
1148,DIG,2016-03-09,7.7,8.2,7.7,8.0,1031090,6.0
1147,DIG,2016-03-10,8.0,8.1,7.9,8.1,207280,6.07
1146,DIG,2016-03-11,8.0,8.1,7.9,8.0,256210,6.0
1145,DIG,2016-03-14,8.0,8.1,7.8,7.9,369310,5.92
1144,DIG,2016-03-15,7.9,8.0,7.8,7.8,312960,5.85
1143,DIG,2016-03-16,7.8,8.0,7.8,7.8,237030,5.85
1142,DIG,2016-03-17,7.8,8.0,7.8,7.8,433670,5.85
1141,DIG,2016-03-18,7.9,7.9,7.7,7.8,338070,5.85
1140,DIG,2016-03-21,7.9,7.9,7.7,7.7,238680,5.77
1139,DIG,2016-03-22,7.7,7.7,7.5,7.6,491430,5.7
1138,DIG,2016-03-23,7.7,7.7,7.5,7.6,701570,5.7
1137,DIG,2016-03-24,7.7,7.8,7.6,7.7,539750,5.77
1136,DIG,2016-03-25,7.6,7.7,7.5,7.6,188800,5.7
1135,DIG,2016-03-28,7.6,7.7,7.5,7.6,314600,5.7
1134,DIG,2016-03-29,7.6,7.6,7.3,7.4,490940,5.55
1133,DIG,2016-03-30,7.4,7.5,7.2,7.4,455200,5.55
1132,DIG,2016-03-31,7.4,7.5,7.2,7.2,426620,5.4
1131,DIG,2016-04-01,7.2,7.3,7.0,7.1,339420,5.32
1130,DIG,2016-04-04,7.1,7.5,7.1,7.5,815920,5.62
1129,DIG,2016-04-05,7.5,7.6,7.4,7.4,176770,5.55
1128,DIG,2016-04-06,7.5,7.5,7.3,7.4,168900,5.55
1127,DIG,2016-04-07,7.5,7.6,7.4,7.5,356070,5.62
1126,DIG,2016-04-08,7.5,7.6,7.4,7.6,421530,5.7
1125,DIG,2016-04-11,7.6,8.1,7.6,7.9,764300,5.92
1124,DIG,2016-04-12,8.0,8.0,7.7,7.7,486670,5.77
