,name,date,open,high,low,close,volume,adj_close
1190,DPM,2016-01-04,28.4,29.1,28.4,28.4,680300,18.9
1189,DPM,2016-01-05,28.5,29.0,28.4,28.7,652840,19.1
1188,DPM,2016-01-06,28.9,29.4,28.7,29.4,962260,19.56
1187,DPM,2016-01-07,29.4,29.4,28.5,28.8,634450,19.16
1186,DPM,2016-01-08,28.8,28.9,28.3,28.8,942380,19.16
1185,DPM,2016-01-11,28.8,28.8,28.4,28.4,432310,18.9
1184,DPM,2016-01-12,28.5,28.6,28.3,28.5,275840,18.96
1183,DPM,2016-01-13,28.6,28.7,28.5,28.5,562420,18.96
1182,DPM,2016-01-14,28.4,28.5,28.0,28.3,909430,18.83
1181,DPM,2016-01-15,28.3,28.5,27.7,27.9,730700,18.56
1180,DPM,2016-01-18,27.0,27.3,26.8,27.2,835150,18.1
1179,DPM,2016-01-19,27.2,27.5,27.2,27.4,335870,18.23
1178,DPM,2016-01-20,27.4,27.8,27.2,27.6,565220,18.36
1177,DPM,2016-01-21,27.6,27.7,27.4,27.4,837450,18.23
1176,DPM,2016-01-22,27.4,28.5,27.4,27.5,872720,18.3
1175,DPM,2016-01-25,28.0,28.5,28.0,28.2,343640,18.76
1174,DPM,2016-01-26,27.7,28.1,27.6,27.8,365910,18.5
1173,DPM,2016-01-27,28.1,28.4,27.9,28.3,298650,18.83
1172,DPM,2016-01-28,28.5,28.5,27.9,28.2,188660,18.76
1171,DPM,2016-01-29,28.2,28.7,28.1,28.7,624300,19.1
1170,DPM,2016-02-01,29.0,29.4,28.8,28.8,304520,19.16
1169,DPM,2016-02-02,29.0,29.0,28.5,28.7,295170,19.1
1168,DPM,2016-02-03,28.7,29.3,28.5,29.2,653800,19.43
1167,DPM,2016-02-04,29.3,29.5,29.2,29.4,237850,19.56
1166,DPM,2016-02-05,29.4,29.5,29.2,29.3,132560,19.5
1165,DPM,2016-02-15,28.9,29.2,28.6,29.0,208960,19.3
1164,DPM,2016-02-16,29.0,29.3,28.8,28.8,201420,19.16
1163,DPM,2016-02-17,28.7,29.0,28.7,28.7,507770,19.1
1162,DPM,2016-02-18,28.8,29.0,28.6,28.7,384400,19.1
1161,DPM,2016-02-19,28.6,28.6,28.4,28.4,640700,18.9
1160,DPM,2016-02-22,28.5,28.5,28.2,28.5,1013880,18.96
1159,DPM,2016-02-23,28.5,29.0,28.5,28.5,504430,18.96
1158,DPM,2016-02-24,28.5,29.0,28.5,28.9,635120,19.23
1157,DPM,2016-02-25,28.9,28.9,28.4,28.4,561090,18.9
1156,DPM,2016-02-26,28.5,28.7,28.4,28.4,325580,18.9
1155,DPM,2016-02-29,28.5,28.7,28.4,28.5,162340,18.96
1154,DPM,2016-03-01,28.6,28.7,28.5,28.5,313070,18.96
1153,DPM,2016-03-02,28.5,29.3,28.5,29.3,1004970,19.5
1152,DPM,2016-03-03,29.7,29.8,29.3,29.7,848130,19.76
1151,DPM,2016-03-04,29.5,30.0,29.5,29.9,482900,19.9
1150,DPM,2016-03-07,29.4,30.0,29.4,29.4,642320,19.56
1149,DPM,2016-03-08,29.4,29.6,29.1,29.1,520880,19.36
1148,DPM,2016-03-09,29.1,29.3,29.0,29.1,345900,19.36
1147,DPM,2016-03-10,29.2,29.2,29.0,29.0,355280,19.3
1146,DPM,2016-03-11,29.1,29.2,28.9,29.0,401720,19.3
1145,DPM,2016-03-14,29.2,29.5,28.9,29.4,446910,19.56
1144,DPM,2016-03-15,29.4,29.4,29.1,29.2,239190,19.43
1143,DPM,2016-03-16,29.2,29.5,29.1,29.5,160330,19.63
1142,DPM,2016-03-17,29.3,29.5,29.2,29.3,197730,19.5
1141,DPM,2016-03-18,29.4,29.4,28.9,28.9,664240,19.23
1140,DPM,2016-03-21,28.9,29.3,28.9,28.9,365190,19.23
1139,DPM,2016-03-22,29.0,29.0,28.8,28.9,388210,19.23
1138,DPM,2016-03-23,28.9,29.1,28.9,29.0,384250,19.3
1137,DPM,2016-03-24,28.9,29.1,28.9,29.0,382250,19.3
1136,DPM,2016-03-25,29.0,29.0,28.9,28.9,399620,19.23
1135,DPM,2016-03-28,28.9,29.2,28.8,28.8,324490,19.16
1134,DPM,2016-03-29,28.9,29.2,28.8,28.8,443050,19.16
1133,DPM,2016-03-30,28.8,29.0,28.8,29.0,351810,19.3
1132,DPM,2016-03-31,28.9,29.0,28.8,28.9,494750,19.23
1131,DPM,2016-04-01,28.9,29.0,28.8,28.8,529380,19.16
1130,DPM,2016-04-04,28.9,29.0,28.8,28.8,573320,19.16
