,name,date,open,high,low,close,volume,adj_close
1190,DPR,2016-01-04,33.5,34.0,33.5,33.5,7640,17.77
1189,DPR,2016-01-05,33.5,33.5,33.5,33.5,3100,17.77
1188,DPR,2016-01-06,32.0,32.0,32.0,32.0,3660,16.98
1187,DPR,2016-01-07,34.0,34.0,31.9,33.1,12510,17.56
1186,DPR,2016-01-08,32.0,32.0,32.0,32.0,11300,16.98
1185,DPR,2016-01-11,32.0,32.0,31.6,31.6,3700,16.77
1184,DPR,2016-01-12,31.6,31.6,31.1,31.1,10580,16.5
1183,DPR,2016-01-13,31.1,31.5,31.1,31.5,1170,16.71
1182,DPR,2016-01-14,31.3,31.3,31.0,31.0,8100,16.45
1181,DPR,2016-01-15,31.2,31.2,31.2,31.2,500,16.55
1180,DPR,2016-01-18,30.3,33.0,30.2,33.0,3340,17.51
1179,DPR,2016-01-19,30.8,32.5,30.8,32.1,1900,17.03
1178,DPR,2016-01-20,32.1,32.2,32.0,32.0,1250,16.98
1177,DPR,2016-01-21,32.0,32.0,32.0,32.0,0,16.98
1176,DPR,2016-01-22,30.9,32.0,30.9,32.0,1210,16.98
1175,DPR,2016-01-25,32.0,33.5,32.0,33.5,6630,17.77
1174,DPR,2016-01-26,32.1,32.1,32.0,32.0,2700,16.98
1173,DPR,2016-01-27,32.0,32.0,32.0,32.0,0,16.98
1172,DPR,2016-01-28,32.0,33.2,32.0,32.0,450,16.98
1171,DPR,2016-01-29,32.0,32.0,32.0,32.0,0,16.98
1170,DPR,2016-02-01,31.1,31.1,31.1,31.1,70,16.5
1169,DPR,2016-02-02,31.2,33.0,31.1,31.1,8990,16.5
1168,DPR,2016-02-03,33.0,33.0,33.0,33.0,1000,17.51
1167,DPR,2016-02-04,33.0,33.0,33.0,33.0,4280,17.51
1166,DPR,2016-02-05,33.0,33.1,33.0,33.1,4210,17.56
1165,DPR,2016-02-15,33.0,35.4,33.0,34.1,8440,18.09
1164,DPR,2016-02-16,34.1,34.3,34.1,34.3,1350,18.2
1163,DPR,2016-02-17,34.3,36.0,34.3,36.0,24110,19.1
1162,DPR,2016-02-18,35.0,35.9,34.7,35.0,13990,18.57
1161,DPR,2016-02-19,34.6,35.2,34.6,34.7,9900,18.41
1160,DPR,2016-02-22,34.7,34.7,34.5,34.6,12160,18.36
1159,DPR,2016-02-23,34.7,34.7,34.6,34.6,2900,18.36
1158,DPR,2016-02-24,34.4,34.4,34.4,34.4,650,18.25
1157,DPR,2016-02-25,34.4,35.0,34.3,35.0,6400,18.57
1156,DPR,2016-02-26,34.7,34.8,34.7,34.8,2400,18.46
1155,DPR,2016-02-29,35.0,36.9,34.9,36.6,23740,19.42
1154,DPR,2016-03-01,36.6,36.6,36.0,36.3,2540,19.26
1153,DPR,2016-03-02,36.9,36.9,36.0,36.7,4820,19.47
1152,DPR,2016-03-03,36.5,36.5,35.6,36.5,3550,19.37
1151,DPR,2016-03-04,36.5,39.0,36.4,39.0,145360,20.69
1150,DPR,2016-03-07,39.2,41.0,39.0,39.2,45580,20.8
1149,DPR,2016-03-08,39.2,40.0,37.1,39.1,5550,20.75
1148,DPR,2016-03-09,38.5,38.5,37.5,37.6,80680,19.95
1147,DPR,2016-03-10,37.6,38.9,37.6,37.9,52330,20.11
1146,DPR,2016-03-11,38.8,38.8,37.7,38.0,20890,20.16
1145,DPR,2016-03-14,37.4,38.5,37.4,38.0,19580,20.16
1144,DPR,2016-03-15,37.8,37.8,37.3,37.6,3030,19.95
1143,DPR,2016-03-16,37.2,37.2,37.1,37.1,2200,19.69
1142,DPR,2016-03-17,37.2,38.0,37.2,37.2,14830,19.74
1141,DPR,2016-03-18,37.3,37.8,37.0,37.4,9190,19.84
1140,DPR,2016-03-21,37.5,38.5,37.2,37.5,3100,19.9
1139,DPR,2016-03-22,37.3,37.4,36.0,37.4,5830,19.84
1138,DPR,2016-03-23,37.4,39.5,36.2,38.0,16630,20.16
1137,DPR,2016-03-24,38.0,38.0,36.5,36.8,3370,19.53
1136,DPR,2016-03-25,37.5,37.5,35.1,36.8,6340,19.53
1135,DPR,2016-03-28,36.6,38.0,36.6,36.7,1160,19.47
1134,DPR,2016-03-29,37.0,37.7,35.0,36.9,11270,19.58
1133,DPR,2016-03-30,36.8,36.8,36.1,36.1,5070,19.15
1132,DPR,2016-03-31,36.0,36.9,34.3,34.3,28770,18.2
1131,DPR,2016-04-01,34.2,35.8,33.5,35.0,800,18.57
1130,DPR,2016-04-04,35.0,35.4,33.1,34.6,18130,18.36
1129,DPR,2016-04-05,34.0,34.8,34.0,34.8,4220,18.46
1128,DPR,2016-04-06,35.8,35.8,34.9,35.4,5850,18.78
1127,DPR,2016-04-07,35.8,37.7,33.6,36.0,11340,19.1
1126,DPR,2016-04-08,36.0,38.0,36.0,38.0,9210,20.16
1125,DPR,2016-04-11,37.9,38.0,37.0,37.0,13580,19.63
1124,DPR,2016-04-12,37.5,39.3,36.0,39.1,42250,20.75
1123,DPR,2016-04-13,40.3,41.0,40.0,40.3,54680,21.38
1122,DPR,2016-04-14,40.3,40.3,39.5,39.5,14030,20.96
1121,DPR,2016-04-15,39.9,40.8,38.0,38.7,12970,20.53
1120,DPR,2016-04-19,38.0,38.0,37.5,37.5,7970,19.9
1119,DPR,2016-04-20,38.4,38.4,37.3,37.6,28570,19.95
1118,DPR,2016-04-21,38.4,39.0,38.1,39.0,11900,20.69
1117,DPR,2016-04-22,39.0,39.5,37.9,37.9,8450,20.11
1116,DPR,2016-04-25,39.5,39.5,37.5,39.1,21440,20.75
1115,DPR,2016-04-26,39.1,40.5,39.1,40.1,41880,21.28
1114,DPR,2016-04-27,40.7,40.7,39.5,40.0,1990,21.22
1113,DPR,2016-04-28,40.3,40.3,39.0,39.4,10570,20.91
1112,DPR,2016-04-29,39.4,40.0,37.5,39.1,15400,20.75
1111,DPR,2016-05-04,39.0,39.0,38.2,39.0,12110,20.69
1110,DPR,2016-05-05,38.6,40.5,38.5,40.0,7730,21.22
1109,DPR,2016-05-06,39.0,39.0,38.5,39.0,6690,20.69
1108,DPR,2016-05-09,38.9,38.9,38.5,38.6,2160,20.48
1107,DPR,2016-05-10,38.9,38.9,38.0,38.1,7180,20.22
1106,DPR,2016-05-11,38.0,38.8,37.5,38.8,23000,20.59
1105,DPR,2016-05-12,38.7,38.7,38.0,38.0,15870,20.16
1104,DPR,2016-05-13,37.5,38.4,37.5,38.4,4550,20.37
1103,DPR,2016-05-16,37.9,38.0,37.6,37.6,9150,19.95
1102,DPR,2016-05-17,39.2,39.2,36.9,37.9,16080,20.11
1101,DPR,2016-05-18,37.9,38.5,37.2,37.3,47740,19.79
1100,DPR,2016-05-19,37.6,37.8,36.6,36.6,30650,19.42
1099,DPR,2016-05-20,37.7,37.7,36.1,37.2,25460,19.74
1098,DPR,2016-05-23,37.5,37.8,37.0,37.4,16970,19.84
1097,DPR,2016-05-24,37.5,37.6,37.2,37.2,12620,19.74
1096,DPR,2016-05-25,37.3,38.5,37.2,37.3,17110,19.79
1095,DPR,2016-05-26,37.5,37.7,37.2,37.3,8150,19.79
1094,DPR,2016-05-27,37.8,37.9,37.8,37.9,420,20.11
1093,DPR,2016-05-30,37.9,37.9,37.0,37.7,5860,20.0
1092,DPR,2016-05-31,37.9,37.9,37.0,37.6,34310,19.95
1091,DPR,2016-06-01,37.7,37.8,37.0,37.4,37170,19.84
1090,DPR,2016-06-02,37.5,37.5,37.4,37.5,5980,19.9
1089,DPR,2016-06-03,37.5,37.8,37.5,37.8,58180,20.06
1088,DPR,2016-06-06,37.5,37.9,37.5,37.8,35100,20.06
1087,DPR,2016-06-07,37.8,37.9,37.8,37.9,32830,20.11
1086,DPR,2016-06-08,37.9,39.6,37.9,38.5,22190,20.43
1085,DPR,2016-06-09,38.8,39.5,38.8,39.2,14850,20.8
1084,DPR,2016-06-10,39.5,39.5,38.9,39.1,17150,20.75
1083,DPR,2016-06-13,39.2,39.5,38.3,39.0,12770,20.69
1082,DPR,2016-06-14,39.4,39.4,38.0,38.0,12520,20.16
1081,DPR,2016-06-15,38.9,38.9,38.0,38.8,9590,20.59
1080,DPR,2016-06-16,38.0,38.0,37.9,38.0,50920,20.16
1079,DPR,2016-06-17,35.3,36.9,35.0,35.0,35420,19.6
1078,DPR,2016-06-20,36.5,36.5,35.1,35.1,780,19.66
1077,DPR,2016-06-21,35.1,35.9,35.0,35.9,22190,20.11
1076,DPR,2016-06-22,35.7,35.7,34.6,34.6,21470,19.38
1075,DPR,2016-06-23,34.8,35.7,34.8,35.7,11150,19.99
1074,DPR,2016-06-24,35.7,35.7,33.6,35.3,64270,19.77
1073,DPR,2016-06-27,35.1,35.5,34.2,35.5,11440,19.88
1072,DPR,2016-06-28,35.4,35.4,35.0,35.3,400,19.77
1071,DPR,2016-06-29,35.2,35.4,34.8,34.8,4410,19.49
1070,DPR,2016-06-30,34.8,35.5,34.5,35.0,6600,19.6
1069,DPR,2016-07-01,35.2,35.3,34.5,34.5,29890,19.32
1068,DPR,2016-07-04,34.6,35.5,34.5,35.4,26530,19.83
1067,DPR,2016-07-05,34.8,35.0,34.7,35.0,43010,19.6
1066,DPR,2016-07-06,35.0,35.2,34.6,35.2,20260,19.71
1065,DPR,2016-07-07,35.3,35.3,34.8,35.2,1750,19.71
1064,DPR,2016-07-08,34.4,35.5,34.4,34.9,6140,19.55
1063,DPR,2016-07-11,35.1,35.1,34.5,34.5,3790,19.32
1062,DPR,2016-07-12,35.4,35.4,34.5,35.0,390,19.6
1061,DPR,2016-07-13,35.2,35.2,34.8,34.9,6720,19.55
1060,DPR,2016-07-14,35.0,35.4,34.5,35.3,29810,19.77
1059,DPR,2016-07-15,35.3,35.3,35.2,35.2,2330,19.71
1058,DPR,2016-07-18,35.2,35.2,34.7,35.1,1500,19.66
1057,DPR,2016-07-19,35.0,35.0,34.5,34.6,5720,19.38
1056,DPR,2016-07-20,34.5,35.0,34.5,34.7,15340,19.43
1055,DPR,2016-07-21,35.0,35.1,34.5,35.1,25930,19.66
1054,DPR,2016-07-22,35.1,35.1,35.1,35.1,0,19.66
1053,DPR,2016-07-25,34.9,34.9,34.5,34.9,260,19.55
1052,DPR,2016-07-26,34.9,34.9,34.6,34.9,660,19.55
1051,DPR,2016-07-27,34.8,34.8,34.5,34.8,8190,19.49
1050,DPR,2016-07-28,35.1,35.1,34.2,34.8,250,19.49
1049,DPR,2016-07-29,34.2,35.0,34.2,35.0,5670,19.6
1048,DPR,2016-08-01,35.0,35.0,35.0,35.0,100,19.6
1047,DPR,2016-08-02,34.7,34.7,34.7,34.7,30,19.43
1046,DPR,2016-08-03,34.7,34.7,34.7,34.7,200,19.43
1045,DPR,2016-08-04,34.2,34.7,34.1,34.5,1880,19.32
1044,DPR,2016-08-05,34.5,35.0,34.0,34.9,4940,19.55
1043,DPR,2016-08-08,34.8,34.9,34.8,34.9,120,19.55
1042,DPR,2016-08-09,34.9,34.9,34.9,34.9,100,19.55
1041,DPR,2016-08-10,34.8,34.8,34.8,34.8,750,19.49
1040,DPR,2016-08-11,34.7,34.8,34.7,34.8,2320,19.49
1039,DPR,2016-08-12,34.7,34.8,34.5,34.8,9190,19.49
1038,DPR,2016-08-15,34.6,34.8,34.6,34.8,9860,19.49
1037,DPR,2016-08-16,34.8,36.0,34.8,35.4,28400,19.83
1036,DPR,2016-08-17,35.4,35.5,35.2,35.2,2460,19.71
1035,DPR,2016-08-18,35.4,35.6,35.4,35.4,14090,19.83
1034,DPR,2016-08-19,35.4,35.4,35.2,35.4,16530,19.83
1033,DPR,2016-08-22,35.4,35.4,35.3,35.3,4260,19.77
1032,DPR,2016-08-23,35.3,36.6,35.0,36.0,8430,20.16
1031,DPR,2016-08-24,36.0,36.0,35.5,36.0,1490,20.16
1030,DPR,2016-08-25,35.3,35.8,35.3,35.7,6710,19.99
1029,DPR,2016-08-26,35.7,35.7,35.3,35.5,4130,19.88
1028,DPR,2016-08-29,36.0,36.5,35.2,35.5,5180,19.88
1027,DPR,2016-08-30,34.9,34.9,33.9,34.4,10260,20.12
1026,DPR,2016-08-31,34.2,34.5,34.0,34.5,12100,20.18
1025,DPR,2016-09-01,34.2,34.5,34.0,34.2,5720,20.0
1024,DPR,2016-09-05,34.7,34.7,34.0,34.0,3110,19.88
1023,DPR,2016-09-06,34.6,34.6,33.8,33.8,3230,19.77
1022,DPR,2016-09-07,33.7,34.3,33.1,34.2,12760,20.0
1021,DPR,2016-09-08,34.1,34.1,33.6,34.1,4890,19.94
1020,DPR,2016-09-09,34.0,34.0,33.7,34.0,300,19.88
1019,DPR,2016-09-12,34.0,34.3,33.7,33.9,2560,19.82
1018,DPR,2016-09-13,34.3,34.3,34.3,34.3,10,20.06
1017,DPR,2016-09-14,34.3,34.3,34.3,34.3,0,20.06
1016,DPR,2016-09-15,33.0,34.1,31.9,34.0,2420,19.88
1015,DPR,2016-09-16,34.0,34.0,34.0,34.0,10,19.88
1014,DPR,2016-09-19,32.0,34.0,31.65,33.9,410,19.82
1013,DPR,2016-09-20,33.7,33.7,32.6,32.6,16420,19.06
1012,DPR,2016-09-21,32.9,33.5,32.9,33.5,6400,19.59
1011,DPR,2016-09-22,33.4,33.8,33.4,33.8,1200,19.77
1010,DPR,2016-09-23,33.85,33.85,33.5,33.8,4180,19.77
1009,DPR,2016-09-26,33.5,33.8,33.4,33.7,6830,19.71
1008,DPR,2016-09-27,33.7,33.7,33.1,33.6,8500,19.65
1007,DPR,2016-09-28,33.6,33.7,33.0,33.5,27120,19.59
1006,DPR,2016-09-29,33.6,33.6,33.2,33.5,15390,19.59
1005,DPR,2016-09-30,33.5,33.6,33.5,33.5,7150,19.59
1004,DPR,2016-10-03,33.5,33.6,33.2,33.2,6930,19.42
1003,DPR,2016-10-04,33.3,33.3,33.2,33.2,5200,19.42
1002,DPR,2016-10-05,33.0,33.2,33.0,33.2,5210,19.42
