,name,date,open,high,low,close,volume,adj_close
1190,DRC,2016-01-04,43.5,43.8,43.3,43.5,9920,24.32
1189,DRC,2016-01-05,43.1,43.5,43.0,43.5,20900,24.32
1188,DRC,2016-01-06,43.0,43.5,43.0,43.0,37200,24.04
1187,DRC,2016-01-07,43.3,43.3,42.4,42.4,12070,23.71
1186,DRC,2016-01-08,42.5,42.5,42.0,42.4,16940,23.71
1185,DRC,2016-01-11,41.6,43.5,41.6,43.4,3330,24.27
1184,DRC,2016-01-12,43.0,43.4,42.5,43.4,5570,24.27
1183,DRC,2016-01-13,43.4,43.4,42.6,43.3,4760,24.21
1182,DRC,2016-01-14,42.1,42.7,41.0,42.7,26870,23.88
1181,DRC,2016-01-15,42.1,42.6,41.5,42.5,4190,23.76
1180,DRC,2016-01-18,40.8,42.0,39.6,40.0,158500,22.37
1179,DRC,2016-01-19,40.0,41.0,40.0,41.0,70370,22.93
1178,DRC,2016-01-20,41.3,41.3,40.0,40.9,17240,22.87
1177,DRC,2016-01-21,40.5,41.0,40.0,40.8,27380,22.81
1176,DRC,2016-01-22,40.5,40.7,40.2,40.7,12560,22.76
1175,DRC,2016-01-25,40.7,40.7,40.2,40.6,28300,22.7
1174,DRC,2016-01-26,40.5,40.5,39.9,40.0,16040,22.37
1173,DRC,2016-01-27,40.6,40.6,39.8,40.0,36870,22.37
1172,DRC,2016-01-28,40.0,40.0,38.8,39.6,43310,22.14
1171,DRC,2016-01-29,39.1,40.9,39.1,40.0,108900,22.37
1170,DRC,2016-02-01,40.0,41.5,40.0,41.0,114700,22.93
1169,DRC,2016-02-02,41.2,41.2,40.4,40.8,154960,22.81
1168,DRC,2016-02-03,40.6,40.8,40.5,40.5,55860,22.65
1167,DRC,2016-02-04,40.5,40.6,40.3,40.4,82350,22.59
1166,DRC,2016-02-05,40.4,40.4,40.1,40.4,27530,22.59
1165,DRC,2016-02-15,40.2,40.3,40.0,40.0,226450,22.37
1164,DRC,2016-02-16,40.2,41.9,40.0,41.5,1673140,23.21
1163,DRC,2016-02-17,41.6,41.7,41.2,41.2,358890,23.04
1162,DRC,2016-02-18,41.0,41.9,41.0,41.5,353150,23.21
1161,DRC,2016-02-19,41.3,42.5,41.1,42.1,1219010,23.54
1160,DRC,2016-02-22,42.5,44.0,42.5,43.9,990680,24.55
1159,DRC,2016-02-23,43.8,44.0,43.2,43.5,502230,24.32
1158,DRC,2016-02-24,43.2,43.4,42.7,43.0,746670,24.04
1157,DRC,2016-02-25,43.0,43.2,41.7,42.0,660210,23.48
1156,DRC,2016-02-26,42.0,42.7,42.0,42.4,688340,23.71
