,name,date,open,high,low,close,volume,adj_close
1190,FPT,2016-01-04,47.8,48.5,47.8,47.8,602210,20.06
1189,FPT,2016-01-05,47.8,48.0,47.7,47.8,734050,20.06
1188,FPT,2016-01-06,47.8,48.1,47.8,47.9,446810,20.1
1187,FPT,2016-01-07,47.9,47.9,47.0,47.0,1841620,19.72
1186,FPT,2016-01-08,46.8,46.9,46.0,46.3,1773760,19.43
1185,FPT,2016-01-11,46.3,46.3,45.9,45.9,805440,19.26
1184,FPT,2016-01-12,46.0,46.9,45.7,46.9,582160,19.68
1183,FPT,2016-01-13,47.0,47.3,46.3,46.4,542910,19.47
1182,FPT,2016-01-14,46.1,46.4,46.0,46.2,509720,19.39
1181,FPT,2016-01-15,46.2,46.5,46.0,46.1,593280,19.34
1180,FPT,2016-01-18,45.7,45.7,44.3,44.9,2255130,18.84
1179,FPT,2016-01-19,44.9,45.3,44.7,45.1,873480,18.92
1178,FPT,2016-01-20,45.1,45.5,44.9,44.9,651980,18.84
1177,FPT,2016-01-21,44.8,45.1,44.6,44.9,647810,18.84
1176,FPT,2016-01-22,45.0,45.1,44.3,44.8,692750,18.8
1175,FPT,2016-01-25,45.5,47.1,45.0,47.1,892040,19.76
1174,FPT,2016-01-26,46.5,46.6,45.9,45.9,661130,19.26
1173,FPT,2016-01-27,46.5,46.5,46.2,46.3,336620,19.43
1172,FPT,2016-01-28,46.3,46.4,45.8,46.0,491030,19.3
1171,FPT,2016-01-29,46.3,46.5,45.9,46.4,496970,19.47
1170,FPT,2016-02-01,46.5,46.9,46.0,46.6,584110,19.55
1169,FPT,2016-02-02,46.3,46.7,46.2,46.2,184210,19.39
1168,FPT,2016-02-03,46.4,46.9,46.2,46.6,641500,19.55
1167,FPT,2016-02-04,46.9,46.9,46.5,46.5,282030,19.51
1166,FPT,2016-02-05,46.7,47.0,46.5,46.9,363780,19.68
1165,FPT,2016-02-15,46.7,46.8,46.3,46.7,342070,19.6
1164,FPT,2016-02-16,47.0,47.5,46.7,47.3,346480,19.85
1163,FPT,2016-02-17,47.5,48.2,47.5,47.5,719440,19.93
1162,FPT,2016-02-18,47.7,48.3,47.6,48.1,737190,20.18
1161,FPT,2016-02-19,48.0,48.0,47.6,47.7,530400,20.02
1160,FPT,2016-02-22,47.7,48.2,47.7,48.2,518820,20.23
1159,FPT,2016-02-23,48.5,48.5,47.8,47.8,727180,20.06
1158,FPT,2016-02-24,47.7,48.0,47.6,47.8,655980,20.06
1157,FPT,2016-02-25,48.0,48.3,47.6,47.6,673070,19.97
1156,FPT,2016-02-26,47.8,47.8,47.4,47.7,383230,20.02
1155,FPT,2016-02-29,47.9,47.9,47.6,47.8,516250,20.06
1154,FPT,2016-03-01,47.8,48.9,47.6,48.2,1215810,20.23
1153,FPT,2016-03-02,48.4,48.8,48.3,48.7,811910,20.44
1152,FPT,2016-03-03,48.8,49.3,48.8,48.8,831440,20.48
1151,FPT,2016-03-04,48.6,49.3,48.6,49.0,855930,20.56
1150,FPT,2016-03-07,48.6,49.4,48.6,48.6,731820,20.39
1149,FPT,2016-03-08,48.6,48.7,48.0,48.0,1138510,20.14
1148,FPT,2016-03-09,47.8,48.2,47.8,48.0,406000,20.14
1147,FPT,2016-03-10,48.0,48.3,47.9,48.2,278390,20.23
1146,FPT,2016-03-11,48.4,48.9,48.4,48.5,752610,20.35
1145,FPT,2016-03-14,49.0,49.4,48.7,48.7,1011740,20.44
1144,FPT,2016-03-15,48.9,49.1,48.5,48.5,545350,20.35
1143,FPT,2016-03-16,48.5,48.7,48.4,48.5,492970,20.35
1142,FPT,2016-03-17,48.5,48.9,48.5,48.5,630200,20.35
1141,FPT,2016-03-18,49.0,49.9,49.0,49.3,2537440,20.69
1140,FPT,2016-03-21,49.3,49.5,49.0,49.2,708370,20.65
1139,FPT,2016-03-22,49.0,49.1,48.7,48.7,630690,20.44
1138,FPT,2016-03-23,48.7,49.0,48.5,48.7,573490,20.44
1137,FPT,2016-03-24,48.8,48.9,48.4,48.4,831940,20.31
1136,FPT,2016-03-25,48.2,48.4,47.6,47.9,1134790,20.1
1135,FPT,2016-03-28,48.3,48.3,47.9,48.0,402090,20.14
1134,FPT,2016-03-29,48.0,48.0,47.4,47.5,731100,19.93
1133,FPT,2016-03-30,47.5,47.9,47.2,47.5,595920,19.93
1132,FPT,2016-03-31,47.5,48.0,47.1,47.1,623130,19.76
1131,FPT,2016-04-01,47.1,47.2,46.7,46.8,530180,19.64
1130,FPT,2016-04-04,46.7,47.0,46.7,46.8,370410,19.64
1129,FPT,2016-04-05,46.8,47.2,46.7,47.0,286440,19.72
1128,FPT,2016-04-06,47.0,47.4,46.9,47.4,288080,19.89
1127,FPT,2016-04-07,47.5,47.9,47.4,47.8,485800,20.06
1126,FPT,2016-04-08,47.6,48.0,47.6,47.6,312220,19.97
1125,FPT,2016-04-11,47.8,48.2,47.5,47.9,814800,20.1
1124,FPT,2016-04-12,48.0,48.0,47.5,47.7,393630,20.02
1123,FPT,2016-04-13,47.6,47.8,47.5,47.6,568090,19.97
1122,FPT,2016-04-14,47.5,47.8,47.5,47.5,572360,19.93
1121,FPT,2016-04-15,47.6,47.7,47.2,47.2,712110,19.81
1120,FPT,2016-04-19,47.2,47.5,47.0,47.0,545970,19.72
1119,FPT,2016-04-20,47.0,47.2,46.9,47.1,878290,19.76
1118,FPT,2016-04-21,47.3,47.5,47.1,47.3,496340,19.85
1117,FPT,2016-04-22,47.3,47.8,47.1,47.8,829700,20.06
1116,FPT,2016-04-25,48.0,48.3,47.8,47.9,562230,20.1
1115,FPT,2016-04-26,47.9,48.0,47.5,47.9,333520,20.1
1114,FPT,2016-04-27,48.0,48.1,47.5,47.7,593060,20.02
1113,FPT,2016-04-28,48.0,49.3,47.7,48.4,3007080,20.31
1112,FPT,2016-04-29,48.4,48.7,48.3,48.6,614320,20.39
1111,FPT,2016-05-04,48.2,48.3,47.7,48.1,771190,20.18
1110,FPT,2016-05-05,47.9,48.4,47.8,47.8,908780,20.06
1109,FPT,2016-05-06,47.8,48.0,47.5,47.5,693360,19.93
1108,FPT,2016-05-09,47.6,47.8,47.2,47.2,605810,19.81
1107,FPT,2016-05-10,47.1,47.5,47.0,47.3,465650,19.85
1106,FPT,2016-05-11,47.7,47.8,47.3,47.7,290200,20.02
1105,FPT,2016-05-12,47.9,47.9,47.4,47.4,412430,19.89
1104,FPT,2016-05-13,47.5,47.6,47.2,47.4,393240,19.89
1103,FPT,2016-05-16,47.4,47.5,47.2,47.3,310390,19.85
1102,FPT,2016-05-17,47.4,47.8,47.3,47.6,354380,19.97
1101,FPT,2016-05-18,48.0,48.4,47.7,47.7,692880,20.02
1100,FPT,2016-05-19,48.0,48.0,47.6,47.7,186020,20.02
1099,FPT,2016-05-20,47.7,47.9,47.7,47.9,485060,20.1
1098,FPT,2016-05-23,48.3,48.3,47.8,47.8,345150,20.06
1097,FPT,2016-05-24,47.9,48.0,47.7,47.7,369180,20.02
1096,FPT,2016-05-25,47.8,47.9,47.6,47.7,598370,20.02
1095,FPT,2016-05-26,47.8,47.9,47.5,47.5,1328870,19.93
1094,FPT,2016-05-27,40.8,41.1,40.4,41.0,543580,20.21
1093,FPT,2016-05-30,41.0,41.4,41.0,41.1,447160,20.26
1092,FPT,2016-05-31,41.2,41.2,40.8,40.8,589350,20.11
1091,FPT,2016-06-01,41.0,41.0,40.8,40.8,519620,20.11
1090,FPT,2016-06-02,41.0,41.0,40.7,40.8,318100,20.11
1089,FPT,2016-06-03,40.9,40.9,40.6,40.7,400290,20.06
1088,FPT,2016-06-06,40.7,40.7,40.2,40.4,754110,19.91
1087,FPT,2016-06-07,40.6,40.6,40.2,40.5,559610,19.96
1086,FPT,2016-06-08,40.5,40.7,40.4,40.7,516630,20.06
1085,FPT,2016-06-09,40.7,40.7,40.5,40.5,325390,19.96
1084,FPT,2016-06-10,40.4,40.6,40.4,40.5,475190,19.96
1083,FPT,2016-06-13,40.5,40.5,40.4,40.4,237230,19.91
1082,FPT,2016-06-14,40.3,40.5,40.3,40.5,242560,19.96
1081,FPT,2016-06-15,40.5,40.5,40.2,40.3,414560,19.86
1080,FPT,2016-06-16,40.5,40.6,40.3,40.4,359320,19.91
1079,FPT,2016-06-17,40.4,40.5,40.3,40.4,206120,19.91
1078,FPT,2016-06-20,40.5,42.9,40.4,42.7,1877120,21.05
1077,FPT,2016-06-21,42.9,43.8,42.6,42.7,1442710,21.05
1076,FPT,2016-06-22,42.5,42.9,42.4,42.4,300480,20.9
1075,FPT,2016-06-23,42.3,42.4,41.9,41.9,826170,20.65
1074,FPT,2016-06-24,41.7,41.7,39.1,40.9,2562810,20.16
1073,FPT,2016-06-27,40.9,41.4,40.2,41.2,587560,20.31
1072,FPT,2016-06-28,41.2,41.4,41.0,41.2,328400,20.31
1071,FPT,2016-06-29,41.1,42.5,41.1,42.0,1250570,20.7
1070,FPT,2016-06-30,42.5,42.6,41.8,41.8,669690,20.6
1069,FPT,2016-07-01,42.0,42.3,41.8,41.9,579110,20.65
1068,FPT,2016-07-04,42.0,42.7,42.0,42.5,863920,20.95
1067,FPT,2016-07-05,42.5,42.7,42.2,42.2,791050,20.8
1066,FPT,2016-07-06,42.1,42.5,41.9,42.3,602040,20.85
1065,FPT,2016-07-07,42.7,43.9,42.4,43.3,1592870,21.34
1064,FPT,2016-07-08,43.4,44.4,43.4,43.6,1594930,21.49
1063,FPT,2016-07-11,43.7,44.0,42.6,42.6,1035540,21.0
1062,FPT,2016-07-12,42.6,43.0,42.0,42.6,744580,21.0
1061,FPT,2016-07-13,42.6,43.3,42.6,42.9,751090,21.15
1060,FPT,2016-07-14,43.0,43.9,42.9,43.0,1880280,21.2
1059,FPT,2016-07-15,42.9,43.2,42.6,42.6,730200,21.0
1058,FPT,2016-07-18,42.5,42.7,42.2,42.6,578400,21.0
1057,FPT,2016-07-19,42.7,42.7,41.7,41.9,1148610,20.65
1056,FPT,2016-07-20,41.9,42.1,41.6,41.6,575060,20.51
1055,FPT,2016-07-21,41.7,42.0,41.5,41.6,448120,20.51
1054,FPT,2016-07-22,41.5,41.5,40.9,41.3,958530,20.36
1053,FPT,2016-07-25,41.3,41.4,41.1,41.1,375880,20.26
1052,FPT,2016-07-26,41.1,41.2,40.8,40.9,469520,20.16
1051,FPT,2016-07-27,41.3,41.7,41.2,41.3,554520,20.36
1050,FPT,2016-07-28,41.3,41.7,41.2,41.3,512680,20.36
1049,FPT,2016-07-29,41.3,41.4,41.0,41.0,241530,20.21
1048,FPT,2016-08-01,41.0,41.3,40.8,41.1,419730,20.26
1047,FPT,2016-08-02,41.1,41.1,40.5,40.6,806630,20.01
1046,FPT,2016-08-03,40.6,40.8,40.4,40.5,467420,19.96
1045,FPT,2016-08-04,40.5,40.8,40.4,40.4,340270,19.91
1044,FPT,2016-08-05,40.4,40.7,40.2,40.5,461730,19.96
1043,FPT,2016-08-08,40.7,41.0,40.6,40.6,274690,20.01
1042,FPT,2016-08-09,40.8,40.9,40.6,40.9,271030,20.16
1041,FPT,2016-08-10,40.7,41.1,40.7,41.1,236760,20.26
1040,FPT,2016-08-11,41.3,41.8,41.2,41.8,585310,20.6
1039,FPT,2016-08-12,42.0,42.4,41.5,41.6,527660,20.51
1038,FPT,2016-08-15,41.6,41.7,41.5,41.6,281220,20.51
1037,FPT,2016-08-16,42.0,43.0,41.6,42.7,1933670,21.05
1036,FPT,2016-08-17,42.7,43.5,42.5,43.2,1354570,21.29
1035,FPT,2016-08-18,43.2,44.0,43.0,43.1,1044090,21.24
1034,FPT,2016-08-19,43.3,43.3,42.4,42.4,662470,20.9
1033,FPT,2016-08-22,42.0,42.1,41.5,41.5,944470,20.95
1032,FPT,2016-08-23,41.8,41.9,41.4,41.7,443570,21.05
1031,FPT,2016-08-24,41.8,42.4,41.8,42.0,749230,21.2
1030,FPT,2016-08-25,42.1,42.5,41.9,42.4,601280,21.4
1029,FPT,2016-08-26,42.4,43.4,42.4,43.0,2217420,21.71
1028,FPT,2016-08-29,43.2,43.5,42.6,42.6,996310,21.51
1027,FPT,2016-08-30,42.5,42.9,42.5,42.6,529860,21.51
1026,FPT,2016-08-31,42.9,44.4,42.7,43.9,3190540,22.16
1025,FPT,2016-09-01,44.3,45.0,44.0,44.5,2145860,22.46
1024,FPT,2016-09-05,44.5,44.8,44.1,44.5,964870,22.46
1023,FPT,2016-09-06,44.4,44.8,44.2,44.2,1385380,22.31
1022,FPT,2016-09-07,44.1,44.1,43.5,44.1,1332450,22.26
1021,FPT,2016-09-08,44.4,46.2,44.2,45.6,3243480,23.02
1020,FPT,2016-09-09,46.0,46.5,45.5,45.7,1833910,23.07
1019,FPT,2016-09-12,45.5,45.6,44.9,45.0,1220220,22.72
1018,FPT,2016-09-13,45.0,45.35,44.5,45.2,1151590,22.82
1017,FPT,2016-09-14,45.15,45.95,45.0,45.5,1283090,22.97
1016,FPT,2016-09-15,45.5,45.5,44.5,44.8,1111400,22.62
1015,FPT,2016-09-16,44.5,45.0,44.4,45.0,855440,22.72
1014,FPT,2016-09-19,45.4,45.5,44.8,45.3,944500,22.87
1013,FPT,2016-09-20,45.5,45.9,45.2,45.65,1374570,23.05
1012,FPT,2016-09-21,45.7,45.9,45.4,45.5,872200,22.97
1011,FPT,2016-09-22,45.5,47.4,45.5,46.6,2821740,23.52
1010,FPT,2016-09-23,46.8,47.6,46.8,47.4,2331180,23.93
1009,FPT,2016-09-26,47.6,48.2,47.6,47.8,1938720,24.13
1008,FPT,2016-09-27,47.75,47.8,47.3,47.8,2011410,24.13
1007,FPT,2016-09-28,47.65,48.5,47.6,47.9,1675680,24.18
1006,FPT,2016-09-29,47.6,48.0,47.1,47.35,1885090,23.9
1005,FPT,2016-09-30,47.4,47.4,46.65,46.65,1725770,23.55
1004,FPT,2016-10-03,46.7,47.2,46.3,46.65,1063670,23.55
1003,FPT,2016-10-04,46.9,47.35,46.0,46.8,1945280,23.63
1002,FPT,2016-10-05,47.0,47.0,46.65,46.8,482560,23.63
1001,FPT,2016-10-06,46.8,46.95,46.1,46.1,808750,23.27
1000,FPT,2016-10-07,46.15,46.3,44.7,45.05,2656510,22.74
999,FPT,2016-10-10,45.05,45.05,43.6,43.6,2105790,22.01
998,FPT,2016-10-11,43.6,44.5,43.15,44.5,1576130,22.46
997,FPT,2016-10-12,44.4,44.6,43.7,43.8,737050,22.11
996,FPT,2016-10-13,43.7,44.2,43.4,44.0,455610,22.21
995,FPT,2016-10-14,43.9,44.1,43.8,43.85,556120,22.14
994,FPT,2016-10-17,43.9,43.9,43.4,43.4,799570,21.91
993,FPT,2016-10-18,43.4,43.85,43.0,43.6,461070,22.01
992,FPT,2016-10-19,43.5,44.15,43.5,43.85,484690,22.14
991,FPT,2016-10-20,44.1,44.2,43.45,43.5,452160,21.96
990,FPT,2016-10-21,43.5,43.75,43.4,43.4,368030,21.91
989,FPT,2016-10-24,43.4,43.6,43.1,43.2,683800,21.81
988,FPT,2016-10-25,43.2,43.9,42.8,43.2,798790,21.81
987,FPT,2016-10-26,43.2,43.6,42.9,43.0,498350,21.71
986,FPT,2016-10-27,43.3,43.3,43.0,43.2,320770,21.81
985,FPT,2016-10-28,43.2,43.6,43.15,43.6,623240,22.01
984,FPT,2016-10-31,43.5,43.9,43.5,43.5,366100,21.96
983,FPT,2016-11-01,43.6,43.6,43.3,43.3,287980,21.86
982,FPT,2016-11-02,43.3,43.4,42.6,42.6,607470,21.51
981,FPT,2016-11-03,42.5,42.5,41.7,42.0,819360,21.2
980,FPT,2016-11-04,42.0,42.4,42.0,42.15,216080,21.28
979,FPT,2016-11-07,42.1,42.9,42.1,42.8,270420,21.61
978,FPT,2016-11-08,42.8,43.25,42.8,42.85,357870,21.63
977,FPT,2016-11-09,42.85,42.85,41.1,42.2,1259800,21.3
976,FPT,2016-11-10,42.6,42.9,42.5,42.7,279210,21.56
975,FPT,2016-11-11,42.9,43.45,42.8,43.0,549240,21.71
974,FPT,2016-11-14,42.7,43.0,42.6,42.75,357500,21.58
973,FPT,2016-11-15,42.8,43.2,42.7,43.2,410010,21.81
972,FPT,2016-11-16,43.3,43.4,42.8,43.05,483700,21.73
971,FPT,2016-11-17,43.05,43.05,42.6,42.6,342390,21.51
970,FPT,2016-11-18,42.5,43.15,42.5,43.1,272520,21.76
969,FPT,2016-11-21,43.2,43.4,42.8,43.1,398940,21.76
968,FPT,2016-11-22,43.0,43.35,43.0,43.1,475660,21.76
967,FPT,2016-11-23,43.3,44.1,43.1,43.95,933400,22.19
966,FPT,2016-11-24,43.8,44.75,43.8,44.35,1109900,22.39
965,FPT,2016-11-25,44.4,44.4,43.9,43.95,523930,22.19
964,FPT,2016-11-28,43.95,43.95,43.2,43.5,401290,21.96
963,FPT,2016-11-29,43.5,43.5,42.7,43.15,488970,21.78
962,FPT,2016-11-30,43.0,43.35,42.9,43.35,284250,21.88
961,FPT,2016-12-01,43.2,43.8,43.2,43.2,247450,21.81
960,FPT,2016-12-02,43.2,43.35,42.9,42.95,265850,21.68
959,FPT,2016-12-05,43.0,43.2,42.6,42.6,320460,21.51
958,FPT,2016-12-06,42.8,42.85,42.3,42.3,407380,21.35
957,FPT,2016-12-07,42.3,42.5,42.1,42.1,283670,21.25
956,FPT,2016-12-08,42.5,42.5,42.2,42.25,145770,21.33
955,FPT,2016-12-09,42.55,43.5,42.5,42.9,355440,21.66
954,FPT,2016-12-12,43.0,43.0,42.2,42.2,372110,21.3
953,FPT,2016-12-13,42.2,42.35,41.8,41.8,359950,21.1
952,FPT,2016-12-14,41.8,42.2,41.75,42.0,394960,21.2
951,FPT,2016-12-15,42.0,42.1,41.8,41.85,282950,21.13
950,FPT,2016-12-16,41.95,42.1,41.8,42.1,298690,21.25
949,FPT,2016-12-19,42.1,42.7,42.1,42.7,218900,21.56
948,FPT,2016-12-20,42.55,42.9,42.5,42.55,293780,21.48
947,FPT,2016-12-21,42.55,42.75,42.45,42.5,377770,21.46
946,FPT,2016-12-22,42.8,43.2,42.5,42.55,659310,21.48
945,FPT,2016-12-23,42.85,42.85,42.5,42.65,325140,21.53
944,FPT,2016-12-26,42.65,42.9,42.5,42.7,243940,21.56
943,FPT,2016-12-27,42.7,43.5,42.7,43.15,789970,21.78
942,FPT,2016-12-28,43.25,43.8,43.25,43.6,864320,22.01
941,FPT,2016-12-29,43.8,43.8,43.3,43.45,376220,21.93
940,FPT,2016-12-30,43.6,44.25,43.35,44.0,1643340,22.21
939,FPT,2017-01-03,44.85,44.95,44.3,44.85,1013070,22.64
938,FPT,2017-01-04,44.8,45.7,44.7,45.25,1022560,22.84
