,name,date,open,high,low,close,volume,adj_close
615,FRT,2018-04-26,150.0,150.0,140.0,150.0,948210,72.22
614,FRT,2018-04-27,160.5,160.5,153.5,160.5,2520730,77.27
613,FRT,2018-05-02,168.0,168.0,166.5,168.0,657340,80.88
612,FRT,2018-05-03,156.3,167.5,156.3,157.0,261780,75.59
611,FRT,2018-05-04,147.0,154.0,147.0,149.0,57020,71.74
610,FRT,2018-05-07,154.8,154.8,140.2,152.0,67180,73.18
609,FRT,2018-05-08,155.0,155.0,149.0,150.0,59090,72.22
608,FRT,2018-05-09,150.0,153.5,149.0,152.4,96890,73.37
607,FRT,2018-05-10,154.0,154.8,152.5,154.8,89910,74.53
606,FRT,2018-05-11,156.0,156.5,153.1,153.1,23700,73.71
605,FRT,2018-05-14,153.1,159.5,150.5,150.5,40720,72.46
604,FRT,2018-05-15,155.0,159.9,151.0,157.0,82190,75.59
603,FRT,2018-05-16,160.0,160.0,157.0,157.0,113000,75.59
602,FRT,2018-05-17,160.0,160.0,158.0,159.5,40650,76.79
601,FRT,2018-05-18,159.5,160.0,158.2,159.5,35230,76.79
600,FRT,2018-05-21,159.9,159.9,156.0,156.1,58530,75.15
599,FRT,2018-05-22,160.0,163.0,156.1,156.1,188830,75.15
598,FRT,2018-05-23,154.5,160.0,154.5,157.0,148490,75.59
597,FRT,2018-05-24,98.8,98.8,93.0,93.6,186210,76.61
596,FRT,2018-05-25,93.6,94.1,93.6,93.6,185010,76.61
595,FRT,2018-05-28,93.6,93.6,90.5,91.3,31840,74.73
594,FRT,2018-05-29,92.0,92.0,87.0,91.0,48230,74.49
593,FRT,2018-05-30,91.0,91.0,87.0,87.0,89010,71.21
592,FRT,2018-05-31,87.0,90.5,87.0,90.4,30530,73.99
591,FRT,2018-06-01,90.4,90.4,89.5,90.3,37140,73.91
590,FRT,2018-06-04,90.3,90.3,88.5,89.0,36140,72.85
589,FRT,2018-06-05,89.0,90.0,89.0,89.1,41780,72.93
588,FRT,2018-06-06,89.1,89.3,89.0,89.3,14560,73.09
587,FRT,2018-06-07,90.0,91.0,89.3,90.0,120650,73.67
586,FRT,2018-06-08,90.0,90.0,89.0,89.9,31310,73.58
585,FRT,2018-06-11,90.0,90.0,89.8,90.0,43460,73.67
584,FRT,2018-06-12,90.1,90.1,88.0,89.0,31120,72.85
583,FRT,2018-06-13,88.5,90.7,88.5,90.0,92830,73.67
582,FRT,2018-06-14,91.0,91.0,87.0,87.0,18400,71.21
581,FRT,2018-06-15,89.0,89.0,87.1,87.1,1690,71.29
580,FRT,2018-06-18,86.8,87.1,82.1,87.1,10520,71.29
579,FRT,2018-06-19,86.0,86.0,81.1,81.1,59070,66.38
578,FRT,2018-06-20,75.5,82.5,75.5,82.5,44480,67.53
577,FRT,2018-06-21,83.5,83.5,79.9,80.0,65370,65.48
576,FRT,2018-06-22,74.5,81.0,74.5,79.0,20150,64.66
