,name,date,open,high,low,close,volume,adj_close
152,FUESSVFL,2020-03-18,0,9.99,9.99,9.99,,9.99
151,FUESSVFL,2020-03-19,202300000000,10.68,10.68,10.6,,10.6
150,FUESSVFL,2020-03-20,0,10.6,11.34,11.34,,11.34
149,FUESSVFL,2020-03-23,0,11.99,11.99,11.2,,11.2
148,FUESSVFL,2020-03-24,0,11.0,11.0,10.42,,10.42
147,FUESSVFL,2020-03-25,0,9.7,9.7,9.7,,9.7
146,FUESSVFL,2020-03-26,0,9.7,9.7,9.7,,9.7
145,FUESSVFL,2020-03-27,0,9.7,9.7,9.7,,9.7
144,FUESSVFL,2020-03-30,0,9.65,9.65,9.65,,9.65
143,FUESSVFL,2020-03-31,0,8.98,8.98,8.98,,8.98
142,FUESSVFL,2020-04-01,0,8.36,8.36,8.36,,8.36
141,FUESSVFL,2020-04-03,0,7.78,7.78,7.78,,7.78
140,FUESSVFL,2020-04-06,0,7.24,7.81,7.81,,7.81
139,FUESSVFL,2020-04-07,0,7.81,7.83,7.77,,7.77
138,FUESSVFL,2020-04-08,0,7.77,7.79,7.79,,7.79
137,FUESSVFL,2020-04-09,0,7.79,7.94,7.93,,7.93
136,FUESSVFL,2020-04-10,0,8.4,8.4,7.92,,7.92
135,FUESSVFL,2020-04-13,0,8.08,8.08,8.08,,8.08
134,FUESSVFL,2020-04-14,0,7.97,7.97,7.96,,7.96
133,FUESSVFL,2020-04-15,0,8.2,8.3,8.24,,8.24
132,FUESSVFL,2020-04-16,0,8.12,8.22,8.22,,8.22
131,FUESSVFL,2020-04-17,0,8.31,8.41,8.41,,8.41
130,FUESSVFL,2020-04-20,0,8.29,8.38,8.37,,8.37
129,FUESSVFL,2020-04-21,0,8.37,8.37,7.94,,7.94
128,FUESSVFL,2020-04-22,0,7.94,8.07,8.07,,8.07
127,FUESSVFL,2020-04-23,0,8.05,8.07,8.07,,8.07
126,FUESSVFL,2020-04-24,0,8.07,8.07,7.93,,7.93
125,FUESSVFL,2020-04-27,0,8.1,8.11,8.06,,8.06
124,FUESSVFL,2020-04-28,0,7.83,7.99,7.97,,7.97
123,FUESSVFL,2020-04-29,0,8.0,8.0,8.0,,8.0
122,FUESSVFL,2020-05-04,0,8.0,8.0,7.93,,7.93
