,name,date,open,high,low,close,volume,adj_close
1190,HBC,2016-01-04,19.0,19.3,18.9,19.0,191840,6.81
1189,HBC,2016-01-05,18.8,19.2,18.7,19.0,426740,6.81
1188,HBC,2016-01-06,19.0,19.8,19.0,19.8,768050,7.1
1187,HBC,2016-01-07,19.6,19.7,19.0,19.4,727010,6.96
1186,HBC,2016-01-08,19.1,19.4,18.9,19.1,329010,6.85
1185,HBC,2016-01-11,18.8,19.3,18.7,19.3,248480,6.92
1184,HBC,2016-01-12,19.2,20.6,19.2,20.6,1415780,7.39
1183,HBC,2016-01-13,20.6,20.6,19.9,20.1,795620,7.21
1182,HBC,2016-01-14,19.6,20.6,19.6,20.5,655120,7.35
1181,HBC,2016-01-15,20.7,21.0,20.1,20.1,1032160,7.21
1180,HBC,2016-01-18,19.5,19.6,18.9,19.5,1263220,6.99
1179,HBC,2016-01-19,19.6,20.4,19.6,20.4,541690,7.32
1178,HBC,2016-01-20,20.0,20.9,20.0,20.2,727800,7.24
1177,HBC,2016-01-21,20.2,20.4,19.7,20.0,491510,7.17
1176,HBC,2016-01-22,20.0,20.4,19.5,20.1,354970,7.21
1175,HBC,2016-01-25,20.3,21.5,20.2,21.3,2235850,7.64
1174,HBC,2016-01-26,20.8,21.9,20.7,21.6,1291800,7.75
1173,HBC,2016-01-27,21.9,22.7,21.7,22.5,973390,8.07
1172,HBC,2016-01-28,22.3,22.7,21.9,21.9,693400,7.85
1171,HBC,2016-01-29,21.8,22.3,21.5,21.7,1576320,7.78
1170,HBC,2016-02-01,21.6,21.7,20.2,20.2,1893970,7.24
1169,HBC,2016-02-02,19.9,20.2,19.2,19.8,1133040,7.1
1168,HBC,2016-02-03,19.4,20.1,19.2,19.9,943050,7.14
1167,HBC,2016-02-04,20.0,20.6,19.9,20.3,1218960,7.28
1166,HBC,2016-02-05,20.1,20.7,20.1,20.6,472340,7.39
1165,HBC,2016-02-15,20.1,20.4,20.0,20.2,404480,7.24
1164,HBC,2016-02-16,20.2,20.7,20.2,20.6,449550,7.39
1163,HBC,2016-02-17,20.5,20.6,20.2,20.3,290890,7.28
1162,HBC,2016-02-18,20.2,20.6,20.2,20.2,514090,7.24
1161,HBC,2016-02-19,20.2,20.5,20.1,20.2,370450,7.24
1160,HBC,2016-02-22,20.2,20.5,20.2,20.3,427680,7.28
1159,HBC,2016-02-23,20.5,21.3,20.3,21.0,1038180,7.53
1158,HBC,2016-02-24,20.6,20.9,20.2,20.5,1088570,7.35
1157,HBC,2016-02-25,20.4,20.8,20.4,20.5,552510,7.35
1156,HBC,2016-02-26,20.4,20.7,20.4,20.4,421950,7.32
1155,HBC,2016-02-29,20.4,20.4,19.6,19.8,1039930,7.1
1154,HBC,2016-03-01,19.8,20.1,19.7,19.8,501910,7.1
1153,HBC,2016-03-02,19.9,20.0,19.7,19.7,469170,7.06
1152,HBC,2016-03-03,19.7,20.2,19.7,19.7,415300,7.06
1151,HBC,2016-03-04,19.8,19.9,19.7,19.7,251460,7.06
1150,HBC,2016-03-07,19.7,20.0,19.7,19.7,245190,7.06
