,name,date,open,high,low,close,volume,adj_close
1190,HDG,2016-01-04,28.4,28.5,28.4,28.5,300,11.6
1189,HDG,2016-01-05,28.5,28.5,28.5,28.5,0,11.6
1188,HDG,2016-01-06,28.4,28.4,28.4,28.4,20,11.56
1187,HDG,2016-01-07,28.3,28.3,28.0,28.0,1680,11.4
1186,HDG,2016-01-08,26.1,28.0,26.1,28.0,390,11.4
1185,HDG,2016-01-11,28.0,28.0,28.0,28.0,0,11.4
1184,HDG,2016-01-12,28.0,28.0,28.0,28.0,10,11.4
1183,HDG,2016-01-13,26.2,26.2,26.2,26.2,380,10.66
1182,HDG,2016-01-14,24.6,27.0,24.6,27.0,3450,10.99
1181,HDG,2016-01-15,27.0,27.0,25.2,25.2,560,10.26
1180,HDG,2016-01-18,23.5,26.9,23.5,26.9,110,10.95
1179,HDG,2016-01-19,26.9,26.9,26.9,26.9,0,10.95
1178,HDG,2016-01-20,25.1,26.9,25.1,26.9,50,10.95
1177,HDG,2016-01-21,26.9,26.9,26.9,26.9,20,10.95
1176,HDG,2016-01-22,27.5,27.5,27.5,27.5,20,11.19
1175,HDG,2016-01-25,27.5,27.5,27.5,27.5,0,11.19
1174,HDG,2016-01-26,27.5,27.5,27.5,27.5,0,11.19
1173,HDG,2016-01-27,27.5,27.5,27.5,27.5,0,11.19
1172,HDG,2016-01-28,27.5,27.5,27.5,27.5,0,11.19
1171,HDG,2016-01-29,25.6,25.6,25.6,25.6,2130,10.42
1170,HDG,2016-02-01,23.9,23.9,23.9,23.9,5970,9.73
1169,HDG,2016-02-02,25.5,25.5,25.5,25.5,760,10.38
1168,HDG,2016-02-03,26.7,26.7,26.7,26.7,20,10.87
1167,HDG,2016-02-04,28.0,28.0,28.0,28.0,50,11.4
1166,HDG,2016-02-05,28.0,28.0,28.0,28.0,0,11.4
1165,HDG,2016-02-15,28.0,28.0,28.0,28.0,500,11.4
1164,HDG,2016-02-16,28.0,28.0,28.0,28.0,0,11.4
1163,HDG,2016-02-17,27.8,27.8,26.3,26.3,80,10.7
1162,HDG,2016-02-18,24.6,27.9,24.6,27.9,320,11.35
1161,HDG,2016-02-19,26.0,27.0,26.0,27.0,1510,10.99
1160,HDG,2016-02-22,27.0,27.0,27.0,27.0,0,10.99
1159,HDG,2016-02-23,27.4,27.4,27.4,27.4,20,11.15
1158,HDG,2016-02-24,27.4,27.4,27.4,27.4,0,11.15
1157,HDG,2016-02-25,26.0,27.4,26.0,27.4,1950,11.15
1156,HDG,2016-02-26,27.2,27.6,26.0,26.0,5790,10.58
1155,HDG,2016-02-29,25.1,25.1,25.0,25.0,17520,10.17
1154,HDG,2016-03-01,26.5,26.5,26.2,26.2,490,10.66
1153,HDG,2016-03-02,24.5,25.0,24.4,25.0,30760,10.17
1152,HDG,2016-03-03,25.0,24.0,23.8,23.8,23500,9.69
1151,HDG,2016-03-04,22.6,23.5,22.6,23.0,37440,9.36
1150,HDG,2016-03-07,23.0,24.5,23.4,24.5,160,9.97
1149,HDG,2016-03-08,23.6,24.6,23.0,24.6,50570,10.01
1148,HDG,2016-03-09,24.3,24.5,24.3,24.5,1040,9.97
1147,HDG,2016-03-10,26.1,26.1,25.8,25.8,1120,10.5
1146,HDG,2016-03-11,24.0,24.2,24.0,24.1,11080,9.81
1145,HDG,2016-03-14,24.4,24.4,24.0,24.0,90,9.77
1144,HDG,2016-03-15,25.4,25.4,25.4,25.4,1000,10.34
1143,HDG,2016-03-16,25.4,25.4,25.4,25.4,100,10.34
1142,HDG,2016-03-17,25.0,25.9,24.0,25.0,3020,10.17
1141,HDG,2016-03-18,23.5,23.5,23.4,23.4,30000,9.52
1140,HDG,2016-03-21,23.9,23.9,23.9,23.9,10,9.73
1139,HDG,2016-03-22,23.9,24.0,23.9,23.9,920,9.73
1138,HDG,2016-03-23,23.9,23.9,23.9,23.9,0,9.73
1137,HDG,2016-03-24,23.9,23.9,23.9,23.9,0,9.73
1136,HDG,2016-03-25,23.5,23.7,23.2,23.7,2850,9.65
1135,HDG,2016-03-28,23.7,23.7,23.7,23.7,1980,9.65
1134,HDG,2016-03-29,23.7,24.5,23.7,23.7,3650,9.65
1133,HDG,2016-03-30,23.7,23.7,23.7,23.7,3000,9.65
1132,HDG,2016-03-31,23.7,24.6,23.7,24.0,1510,9.77
1131,HDG,2016-04-01,24.0,24.0,23.6,23.6,5020,9.6
1130,HDG,2016-04-04,23.6,23.6,23.6,23.6,4980,9.6
1129,HDG,2016-04-05,24.0,24.0,23.3,23.6,34310,9.6
1128,HDG,2016-04-06,24.6,24.6,24.6,24.6,10,10.01
1127,HDG,2016-04-07,25.0,26.3,25.0,26.0,14240,10.58
1126,HDG,2016-04-08,26.0,26.0,25.4,26.0,6920,10.58
1125,HDG,2016-04-11,26.0,27.0,26.0,27.0,1310,10.99
1124,HDG,2016-04-12,27.0,27.5,27.0,27.1,12500,11.03
1123,HDG,2016-04-13,27.2,27.2,27.0,27.2,17500,11.07
1122,HDG,2016-04-14,27.4,27.5,27.3,27.3,14980,11.11
1121,HDG,2016-04-15,27.4,28.5,27.4,27.5,6480,11.19
1120,HDG,2016-04-19,27.2,27.2,27.2,27.2,120,11.07
1119,HDG,2016-04-20,27.0,27.0,27.0,27.0,10,10.99
1118,HDG,2016-04-21,26.1,27.0,26.0,27.0,11890,10.99
1117,HDG,2016-04-22,27.9,28.0,27.9,28.0,880,11.4
1116,HDG,2016-04-25,28.0,28.0,27.2,27.2,6900,11.07
1115,HDG,2016-04-26,26.6,27.0,25.6,25.6,2770,10.42
1114,HDG,2016-04-27,27.0,27.3,27.0,27.1,28370,11.03
1113,HDG,2016-04-28,26.8,26.8,26.8,26.8,1490,10.91
1112,HDG,2016-04-29,25.5,25.5,25.5,25.5,60,10.38
1111,HDG,2016-05-04,25.5,27.2,25.5,27.2,18390,11.07
1110,HDG,2016-05-05,28.3,28.3,28.2,28.2,3790,11.48
1109,HDG,2016-05-06,28.2,28.5,28.0,28.2,24730,11.48
1108,HDG,2016-05-09,27.5,27.5,27.1,27.5,9990,11.19
1107,HDG,2016-05-10,26.8,27.0,26.8,27.0,14270,10.99
1106,HDG,2016-05-11,25.9,27.5,25.9,27.5,9320,11.19
1105,HDG,2016-05-12,27.6,28.3,27.6,28.3,230,11.52
1104,HDG,2016-05-13,28.3,28.3,28.3,28.3,20,11.52
1103,HDG,2016-05-16,28.4,28.4,27.0,28.0,520,11.4
1102,HDG,2016-05-17,26.8,27.9,26.8,27.9,2660,11.35
1101,HDG,2016-05-18,27.0,27.5,27.0,27.5,6010,11.19
1100,HDG,2016-05-19,27.0,27.0,26.9,26.9,500,10.95
1099,HDG,2016-05-20,26.5,27.0,26.5,27.0,40,10.99
1098,HDG,2016-05-23,27.0,27.0,27.0,27.0,2830,10.99
1097,HDG,2016-05-24,27.0,27.0,27.0,27.0,0,10.99
1096,HDG,2016-05-25,28.0,28.0,26.2,26.5,2870,10.78
1095,HDG,2016-05-26,26.2,26.3,26.2,26.3,1000,10.7
1094,HDG,2016-05-27,26.0,27.0,26.0,26.4,19650,10.74
1093,HDG,2016-05-30,27.0,27.5,25.8,27.4,8030,11.15
1092,HDG,2016-05-31,27.0,27.5,26.1,27.4,3940,11.15
1091,HDG,2016-06-01,26.2,27.5,26.2,27.5,5020,11.19
1090,HDG,2016-06-02,27.4,27.5,25.7,27.5,3120,11.19
1089,HDG,2016-06-03,27.4,27.5,26.5,27.5,5040,11.19
1088,HDG,2016-06-06,27.4,27.5,26.5,27.5,23230,11.19
1087,HDG,2016-06-07,27.4,27.5,26.6,27.5,78660,11.19
1086,HDG,2016-06-08,27.5,27.5,26.6,27.4,6720,11.15
1085,HDG,2016-06-09,27.0,27.5,27.0,27.4,9520,11.15
1084,HDG,2016-06-10,26.7,27.5,26.5,27.4,37280,11.15
1083,HDG,2016-06-13,27.0,27.5,26.5,26.5,39660,10.78
1082,HDG,2016-06-14,26.6,26.9,25.0,26.9,33020,10.95
1081,HDG,2016-06-15,26.0,27.4,25.3,25.4,35010,10.34
1080,HDG,2016-06-16,26.8,26.9,26.8,26.9,40,10.95
1079,HDG,2016-06-17,25.5,26.5,25.5,26.4,360,10.74
1078,HDG,2016-06-20,26.0,26.4,26.0,26.4,3040,10.74
1077,HDG,2016-06-21,26.4,26.4,25.3,25.3,26320,10.3
1076,HDG,2016-06-22,25.7,26.2,25.7,26.2,9490,10.66
1075,HDG,2016-06-23,26.2,26.2,25.0,25.6,41010,10.42
1074,HDG,2016-06-24,25.2,25.2,25.0,25.0,8810,10.17
1073,HDG,2016-06-27,25.0,25.5,25.0,25.5,8510,10.38
1072,HDG,2016-06-28,25.4,25.5,24.7,24.7,22600,10.05
1071,HDG,2016-06-29,24.4,24.8,24.4,24.7,30140,10.05
1070,HDG,2016-06-30,25.1,26.3,25.1,26.3,16400,10.7
1069,HDG,2016-07-01,26.7,26.7,26.2,26.2,100,10.66
1068,HDG,2016-07-04,26.1,26.4,26.0,26.4,1570,10.74
1067,HDG,2016-07-05,26.4,26.4,26.4,26.4,50,10.74
1066,HDG,2016-07-06,26.7,26.7,25.9,26.5,8660,10.78
1065,HDG,2016-07-07,26.3,27.5,25.9,26.5,73290,10.78
1064,HDG,2016-07-08,28.0,28.3,27.5,28.3,137140,11.52
1063,HDG,2016-07-11,27.5,30.0,27.5,29.1,226240,11.84
1062,HDG,2016-07-12,30.0,31.1,28.9,31.1,473700,12.66
1061,HDG,2016-07-13,32.7,32.7,31.5,31.5,80240,12.82
1060,HDG,2016-07-14,29.8,32.0,29.8,30.1,101990,12.25
1059,HDG,2016-07-15,29.6,31.4,29.6,30.0,61260,12.21
1058,HDG,2016-07-18,31.0,31.0,28.0,30.0,176170,12.21
