name,date,open,high,low,close,volume,adj_close
HPG,2020-08-10,28.0,28.1,27.7,28.1,18239670,28.1
HPG,2020-07-10,28.1,28.3,27.8,27.8,14752610,27.8
HPG,2020-06-10,27.45,28.25,27.2,28.25,23609700,28.25
HPG,2020-05-10,26.85,27.4,26.85,27.35,12791350,27.35
HPG,2020-02-10,27.05,27.25,26.0,26.7,20213120,26.7
HPG,2020-01-10,26.6,27.2,26.5,27.0,17161730,27.0
HPG,2020-09-30,26.35,26.55,26.1,26.4,12985480,26.4
HPG,2020-09-29,26.45,26.8,26.35,26.35,18456820,26.35
HPG,2020-09-28,25.8,26.4,25.7,26.4,17573130,26.4
HPG,2020-09-25,25.8,25.8,25.5,25.75,10094210,25.75
HPG,2020-09-24,25.7,25.9,25.5,25.65,12435190,25.65
HPG,2020-09-23,25.65,25.9,25.55,25.8,12589480,25.8
HPG,2020-09-22,25.5,25.7,25.4,25.55,15285880,25.55
HPG,2020-09-21,25.9,25.95,25.6,25.7,11631470,25.7
HPG,2020-09-18,25.55,25.7,25.5,25.7,12475700,25.7
HPG,2020-09-17,24.75,25.5,24.7,25.4,26759480,25.4
HPG,2020-09-16,24.75,24.8,24.6,24.7,6887240,24.7
HPG,2020-09-15,24.75,24.95,24.65,24.7,8859250,24.7
HPG,2020-09-14,24.5,24.75,24.5,24.6,12723310,24.6
HPG,2020-11-09,24.55,24.65,24.45,24.45,11672440,24.45
HPG,2020-03-09,25.0,25.2,24.9,25.0,14553930,25.0
HPG,2020-01-09,24.55,24.95,24.45,24.8,16754410,24.8
HPG,2020-08-31,24.2,24.8,24.2,24.55,13334160,24.55
HPG,2020-08-28,24.5,24.5,24.25,24.3,11603550,24.3
HPG,2020-08-27,24.2,24.35,24.1,24.3,8801320,24.3
HPG,2020-08-26,24.5,24.55,24.2,24.2,16327190,24.2
HPG,2020-08-25,24.9,25.05,24.55,24.55,10722520,24.55
HPG,2020-08-24,24.5,24.95,24.4,24.8,13933710,24.8
HPG,2020-08-21,24.1,24.4,24.05,24.35,8930990,24.35
HPG,2020-08-20,24.25,24.35,24.0,24.1,9685120,24.1
HPG,2020-08-19,24.2,24.4,24.1,24.25,9266940,24.25
HPG,2020-08-18,24.4,24.4,24.1,24.15,5130610,24.15
HPG,2020-08-17,24.3,24.3,23.95,24.3,8428450,24.3
HPG,2020-08-14,24.5,24.6,23.9,24.1,15356070,24.1
HPG,2020-08-13,24.5,24.6,24.3,24.5,7562850,24.5
HPG,2020-12-08,24.3,24.5,24.1,24.3,8827420,24.3
HPG,2020-11-08,24.4,24.55,24.1,24.25,9675910,24.25
HPG,2020-10-08,24.45,24.75,24.3,24.3,14144220,24.3
HPG,2020-07-08,24.0,24.3,23.95,24.2,12162410,24.2
HPG,2020-06-08,24.1,24.4,23.8,24.05,13744810,24.05
HPG,2020-05-08,23.0,24.35,22.9,24.1,25912970,24.1
HPG,2020-04-08,23.2,23.3,22.8,23.0,11086090,23.0
HPG,2020-03-08,21.7,23.0,21.7,22.9,16896050,22.9
HPG,2020-07-31,21.45,22.05,21.45,21.7,7656240,21.7
HPG,2020-07-30,21.9,22.3,21.85,22.1,11357060,22.1
HPG,2020-07-29,22.3,22.8,21.15,21.75,18544880,21.75
HPG,2020-07-28,26.5,27.5,26.2,27.35,14119250,22.38
HPG,2020-07-27,26.05,27.15,25.8,25.95,18389440,21.23
HPG,2020-07-24,28.0,28.05,26.3,26.85,21288480,21.97
HPG,2020-07-23,28.1,28.2,27.7,28.2,10177170,23.07
HPG,2020-07-22,28.3,28.4,27.95,28.1,7461530,22.99
HPG,2020-07-21,28.1,28.25,27.8,28.1,11724470,22.99
HPG,2020-07-20,28.0,28.7,28.0,28.0,11602590,22.91
HPG,2020-07-17,28.7,28.75,28.55,28.55,6759400,23.36
HPG,2020-07-16,28.2,28.9,27.95,28.6,17916710,23.4
HPG,2020-07-15,28.2,28.4,28.05,28.05,6561150,22.95
HPG,2020-07-14,27.45,27.95,27.4,27.9,5757320,22.83
HPG,2020-07-13,27.55,27.85,27.25,27.65,14702360,22.62
HPG,2020-10-07,28.0,28.25,27.6,27.75,14457460,22.7
HPG,2020-09-07,28.1,28.3,27.95,28.15,7588480,23.03
HPG,2020-08-07,28.15,28.45,27.9,28.05,9155900,22.95
HPG,2020-07-07,27.75,28.9,27.7,28.35,28048770,23.19
HPG,2020-06-07,27.7,27.75,27.45,27.6,9764620,22.58
HPG,2020-03-07,27.7,27.75,27.4,27.5,8111500,22.5
HPG,2020-02-07,27.5,27.75,27.4,27.6,13000820,22.58
HPG,2020-01-07,27.0,27.5,26.9,27.4,10843030,22.42
HPG,2020-06-30,26.8,27.4,26.55,26.8,14826230,21.93
HPG,2020-06-29,26.9,27.0,26.25,26.65,12378070,21.8
HPG,2020-06-26,27.4,27.6,27.0,27.2,9363870,22.25
HPG,2020-06-25,26.7,27.8,26.55,27.3,24410040,22.33
HPG,2020-06-24,27.0,27.35,26.8,27.0,6516760,22.09
HPG,2020-06-23,27.3,27.7,26.75,27.0,11382760,22.09
HPG,2020-06-22,27.4,27.8,26.95,27.3,9729970,22.33
HPG,2020-06-19,27.0,27.35,27.0,27.35,10532760,22.38
HPG,2020-06-18,25.95,26.85,25.85,26.8,9055090,21.93
HPG,2020-06-17,26.2,26.45,25.9,26.25,7066110,21.48
HPG,2020-06-16,26.0,26.4,25.65,26.2,9024610,21.43
HPG,2020-06-15,26.3,26.5,25.35,25.4,11332840,20.78
HPG,2020-12-06,24.5,26.5,24.5,26.5,18881260,21.68
HPG,2020-11-06,26.85,27.15,25.5,25.5,22873160,20.86
HPG,2020-10-06,27.0,27.4,26.65,27.0,9871400,22.09
HPG,2020-09-06,27.95,28.0,26.95,27.1,18693450,22.17
HPG,2020-08-06,27.5,28.1,27.3,27.7,17144920,22.66
HPG,2020-05-06,26.5,27.3,26.2,27.05,13532060,22.13
HPG,2020-04-06,27.0,27.4,26.6,26.6,13488200,21.76
HPG,2020-03-06,27.05,27.2,26.6,26.95,12018120,22.05
HPG,2020-02-06,27.8,27.8,26.95,27.05,11489000,22.13
HPG,2020-01-06,27.8,27.8,27.45,27.65,8022890,22.62
HPG,2020-05-29,27.3,27.7,27.0,27.4,12580390,22.42
HPG,2020-05-28,27.5,27.6,26.9,27.2,14486370,22.25
HPG,2020-05-27,28.6,28.6,27.2,27.2,19779140,22.25
HPG,2020-05-26,27.35,28.4,27.3,28.4,11503490,23.23
HPG,2020-05-25,27.5,27.8,27.15,27.3,11168880,22.33
HPG,2020-05-22,26.35,27.45,26.25,27.25,16252810,22.29
HPG,2020-05-21,26.35,26.55,26.1,26.5,11213810,21.68
HPG,2020-05-20,26.0,26.6,25.65,26.45,11584470,21.64
HPG,2020-05-19,26.4,26.85,26.05,26.15,18842950,21.39
HPG,2020-05-18,24.45,25.1,24.0,25.1,13491620,20.53
HPG,2020-05-15,23.95,24.05,23.4,23.5,7931980,19.23
HPG,2020-05-14,23.8,24.1,23.7,23.95,6517150,19.59
HPG,2020-05-13,23.45,24.2,23.3,24.1,9608210,19.72
HPG,2020-12-05,23.65,23.9,23.4,23.65,10527620,19.35
HPG,2020-11-05,23.95,24.1,23.3,23.95,7220240,19.59
HPG,2020-08-05,23.8,24.15,23.4,23.4,12484610,19.14
HPG,2020-07-05,22.3,23.6,22.3,23.6,14733250,19.31
HPG,2020-06-05,21.55,22.2,21.5,22.2,7620940,18.16
HPG,2020-05-05,21.4,21.65,21.3,21.4,5894530,17.51
HPG,2020-04-05,21.5,21.55,21.0,21.0,4834580,17.18
HPG,2020-04-29,21.5,21.7,21.0,21.5,7447050,17.59
HPG,2020-04-28,22.0,22.1,21.25,21.4,7687010,17.51
HPG,2020-04-27,22.25,22.6,21.85,21.95,6636160,17.96
HPG,2020-04-24,21.7,22.2,21.3,22.1,8301090,18.08
HPG,2020-04-23,21.3,21.95,21.3,21.6,8345940,17.67
HPG,2020-04-22,20.5,21.3,20.3,20.8,11038450,17.02
HPG,2020-04-21,20.75,21.25,20.15,20.2,11934810,16.53
HPG,2020-04-20,21.0,21.5,20.55,21.2,9422860,17.34
HPG,2020-04-17,20.25,20.8,20.2,20.7,8818780,16.93
HPG,2020-04-16,19.95,20.4,19.75,20.25,6665670,16.57
HPG,2020-04-15,20.0,20.3,19.95,20.1,5960450,16.44
HPG,2020-04-14,19.3,19.95,19.2,19.95,8744760,16.32
HPG,2020-04-13,18.8,19.5,18.7,19.35,9039420,15.83
HPG,2020-10-04,18.5,19.0,18.3,18.8,5558450,15.38
HPG,2020-09-04,18.8,19.0,18.55,18.55,7134720,15.18
HPG,2020-08-04,18.4,18.8,18.3,18.7,5106690,15.3
HPG,2020-07-04,19.05,19.1,18.25,19.0,7655220,15.54
HPG,2020-06-04,18.15,18.85,17.9,18.85,10207240,15.42
HPG,2020-03-04,17.25,17.7,17.2,17.65,6503290,14.44
HPG,2020-01-04,16.7,17.5,16.65,17.25,4859650,14.11
HPG,2020-03-31,16.35,17.35,15.25,16.85,11163440,13.79
HPG,2020-03-30,15.3,16.7,15.25,16.35,10870540,13.38
HPG,2020-03-27,16.9,17.0,15.8,16.2,13442640,13.25
HPG,2020-03-26,17.55,17.6,16.9,16.95,8514960,13.87
HPG,2020-03-25,17.85,17.85,17.4,17.8,7758210,14.56
HPG,2020-03-24,17.0,17.35,16.65,17.1,13831390,13.99
HPG,2020-03-23,17.4,18.0,17.3,17.3,12947170,14.15
HPG,2020-03-20,19.25,19.3,18.6,18.6,13401260,15.22
HPG,2020-03-19,19.4,19.5,18.9,19.15,7773200,15.67
HPG,2020-03-18,19.4,20.1,19.35,19.7,10396530,16.12
HPG,2020-03-17,19.2,19.3,18.6,19.2,6053400,15.71
HPG,2020-03-16,19.2,19.85,18.95,19.1,9283920,15.63
HPG,2020-03-13,18.05,19.7,17.95,19.05,12836580,15.58
HPG,2020-12-03,19.55,19.8,19.15,19.25,13041040,15.75
HPG,2020-10-03,20.5,21.75,20.5,21.65,8137980,17.71
HPG,2020-09-03,20.85,21.55,20.85,20.85,16567350,17.06
HPG,2020-06-03,22.35,22.45,22.25,22.4,3035470,18.33
HPG,2020-05-03,22.6,22.65,22.35,22.35,2594810,18.28
HPG,2020-04-03,22.4,22.6,22.35,22.35,2946050,18.28
HPG,2020-03-03,22.8,22.8,22.3,22.3,4411940,18.24
HPG,2020-02-03,22.2,22.5,22.2,22.3,3957540,18.24
HPG,2020-02-28,22.55,22.8,22.25,22.35,6583970,18.28
HPG,2020-02-27,22.7,23.05,22.7,22.95,3318240,18.78
HPG,2020-02-26,22.75,23.0,22.7,22.75,4502880,18.61
HPG,2020-02-25,22.6,23.1,22.6,23.1,5303830,18.9
HPG,2020-02-24,22.75,23.15,22.7,22.7,12938030,18.57
