,name,date,open,high,low,close,volume,adj_close
554,HPX,2018-07-24,26.8,28.6,26.8,28.6,1437600,18.81
553,HPX,2018-07-25,28.6,28.8,28.0,28.7,543400,18.87
552,HPX,2018-07-26,28.7,28.8,27.0,27.0,408020,17.76
551,HPX,2018-07-27,27.0,27.45,27.0,27.45,542040,18.05
550,HPX,2018-07-30,27.5,27.8,27.45,27.5,610110,18.08
549,HPX,2018-07-31,27.2,27.6,27.2,27.35,337200,17.99
548,HPX,2018-08-01,27.0,27.5,27.0,27.15,534390,17.85
547,HPX,2018-08-02,27.3,27.4,27.0,27.15,508410,17.85
546,HPX,2018-08-03,27.1,27.2,26.9,26.9,506080,17.69
545,HPX,2018-08-06,26.9,27.1,26.8,27.0,622430,17.76
544,HPX,2018-08-07,26.95,27.2,26.9,27.2,351390,17.89
543,HPX,2018-08-08,27.0,27.4,27.0,27.3,247830,17.95
542,HPX,2018-08-09,27.3,27.4,27.0,27.1,465370,17.82
541,HPX,2018-08-10,27.1,27.15,26.95,27.05,278970,17.79
540,HPX,2018-08-13,27.05,27.3,27.05,27.2,375260,17.89
539,HPX,2018-08-14,27.2,27.5,27.1,27.5,696230,18.08
538,HPX,2018-08-15,27.5,27.6,27.3,27.3,572800,17.95
537,HPX,2018-08-16,27.3,27.4,27.2,27.3,340040,17.95
536,HPX,2018-08-17,27.2,27.4,27.2,27.3,226490,17.95
535,HPX,2018-08-20,27.2,27.4,27.1,27.1,331940,17.82
534,HPX,2018-08-21,27.2,27.2,27.0,27.1,402040,17.82
533,HPX,2018-08-22,27.1,27.2,27.0,27.1,335780,17.82
532,HPX,2018-08-23,27.1,27.3,27.05,27.1,204460,17.82
531,HPX,2018-08-24,27.1,27.3,27.1,27.2,192410,17.89
530,HPX,2018-08-27,27.15,27.25,27.1,27.2,163580,17.89
529,HPX,2018-08-28,27.2,27.3,27.0,27.1,234190,17.82
528,HPX,2018-08-29,27.1,27.2,27.05,27.05,253550,17.79
527,HPX,2018-08-30,27.05,27.15,27.05,27.15,200170,17.85
526,HPX,2018-08-31,27.15,27.3,27.0,27.25,243880,17.92
525,HPX,2018-09-04,27.25,27.5,27.2,27.4,308090,18.02
524,HPX,2018-09-05,27.25,27.45,27.2,27.2,306240,17.89
523,HPX,2018-09-06,27.2,27.25,27.0,27.2,212110,17.89
522,HPX,2018-09-07,27.2,27.35,27.2,27.25,205740,17.92
521,HPX,2018-09-10,27.2,27.35,27.2,27.3,201510,17.95
520,HPX,2018-09-11,27.3,27.35,27.0,27.25,134470,17.92
519,HPX,2018-09-12,27.2,27.3,27.0,27.25,186410,17.92
518,HPX,2018-09-13,27.2,27.25,27.0,27.25,303640,17.92
517,HPX,2018-09-14,27.25,27.35,27.2,27.25,340800,17.92
516,HPX,2018-09-17,27.2,27.3,27.0,27.0,411830,17.76
515,HPX,2018-09-18,27.0,27.2,27.0,27.1,336020,17.82
514,HPX,2018-09-19,27.1,27.15,27.0,27.15,205190,17.85
513,HPX,2018-09-20,27.15,27.15,26.8,27.0,55450,17.76
