,name,date,open,high,low,close,volume,adj_close
1190,HT1,2016-01-04,26.9,27.1,26.2,26.9,37800,17.64
1189,HT1,2016-01-05,26.9,27.2,26.2,27.2,41040,17.84
1188,HT1,2016-01-06,26.8,26.8,26.8,26.8,1700,17.58
1187,HT1,2016-01-07,26.6,27.1,26.6,26.8,7650,17.58
1186,HT1,2016-01-08,26.7,26.7,26.5,26.7,2010,17.51
1185,HT1,2016-01-11,26.3,26.5,26.3,26.5,9420,17.38
1184,HT1,2016-01-12,26.5,27.7,26.3,27.7,53570,18.17
1183,HT1,2016-01-13,27.7,27.7,26.9,27.5,270,18.04
1182,HT1,2016-01-14,27.5,27.5,27.0,27.0,52550,17.71
1181,HT1,2016-01-15,26.6,26.6,26.5,26.5,2370,17.38
1180,HT1,2016-01-18,25.9,26.5,25.9,26.1,7410,17.12
1179,HT1,2016-01-19,24.3,26.0,24.3,26.0,283030,17.05
1178,HT1,2016-01-20,26.0,26.3,25.9,25.9,11570,16.99
1177,HT1,2016-01-21,25.9,26.5,25.7,26.0,69810,17.05
1176,HT1,2016-01-22,26.0,26.5,25.7,25.7,61390,16.85
1175,HT1,2016-01-25,25.1,26.5,25.1,25.7,61410,16.85
1174,HT1,2016-01-26,25.7,25.7,25.2,25.4,15490,16.66
1173,HT1,2016-01-27,26.1,26.1,25.5,25.5,1900,16.72
1172,HT1,2016-01-28,25.6,25.6,25.1,25.1,61240,16.46
1171,HT1,2016-01-29,25.8,25.8,24.5,25.7,1000,16.85
1170,HT1,2016-02-01,25.7,26.0,25.0,26.0,39850,17.05
1169,HT1,2016-02-02,26.0,26.0,25.0,25.0,9720,16.4
1168,HT1,2016-02-03,24.9,25.0,24.5,24.5,13030,16.07
1167,HT1,2016-02-04,25.2,25.3,25.2,25.3,33010,16.59
1166,HT1,2016-02-05,25.3,25.3,25.2,25.2,5500,16.53
1165,HT1,2016-02-15,25.9,25.9,25.9,25.9,10,16.99
1164,HT1,2016-02-16,24.6,26.1,24.6,26.1,72350,17.12
1163,HT1,2016-02-17,26.5,26.9,26.0,26.9,59670,17.64
1162,HT1,2016-02-18,26.9,26.9,26.3,26.4,13620,17.31
1161,HT1,2016-02-19,26.4,26.8,26.2,26.8,25920,17.58
1160,HT1,2016-02-22,26.5,26.8,26.5,26.7,21310,17.51
1159,HT1,2016-02-23,26.5,26.5,26.4,26.4,16440,17.31
1158,HT1,2016-02-24,26.4,26.8,26.2,26.2,21940,17.18
1157,HT1,2016-02-25,26.2,26.5,26.0,26.0,17020,17.05
1156,HT1,2016-02-26,26.2,26.8,26.2,26.5,319920,17.38
1155,HT1,2016-02-29,27.6,27.6,26.7,26.8,44090,17.58
1154,HT1,2016-03-01,27.0,27.0,26.0,26.0,32010,17.05
1153,HT1,2016-03-02,26.0,26.5,26.0,26.2,37220,17.18
1152,HT1,2016-03-03,26.6,26.6,26.2,26.6,66840,17.44
1151,HT1,2016-03-04,26.5,27.2,26.1,26.8,68310,17.58
1150,HT1,2016-03-07,26.5,28.0,26.5,26.5,256160,17.38
1149,HT1,2016-03-08,27.5,27.5,26.6,26.8,53840,17.58
1148,HT1,2016-03-09,26.8,26.8,26.6,26.6,21250,17.44
1147,HT1,2016-03-10,26.3,27.0,26.3,27.0,72090,17.71
1146,HT1,2016-03-11,26.8,27.0,26.5,26.5,307930,17.38
1145,HT1,2016-03-14,26.2,26.4,26.2,26.2,74650,17.18
1144,HT1,2016-03-15,26.1,26.4,25.8,25.9,39880,16.99
1143,HT1,2016-03-16,25.5,25.9,25.5,25.9,25610,16.99
1142,HT1,2016-03-17,26.2,26.5,25.8,26.2,39950,17.18
1141,HT1,2016-03-18,26.4,26.4,25.7,25.8,22830,16.92
1140,HT1,2016-03-21,25.8,26.0,25.2,25.2,94230,16.53
1139,HT1,2016-03-22,25.2,25.2,24.9,25.1,75370,16.46
1138,HT1,2016-03-23,24.9,25.1,24.9,24.9,147160,16.33
1137,HT1,2016-03-24,25.0,25.5,24.8,24.8,149050,16.26
1136,HT1,2016-03-25,24.8,24.9,24.8,24.9,25620,16.33
1135,HT1,2016-03-28,24.8,25.2,24.8,25.2,62710,16.53
1134,HT1,2016-03-29,25.0,25.6,25.0,25.5,91960,16.72
1133,HT1,2016-03-30,25.5,26.5,25.2,26.0,124130,17.05
1132,HT1,2016-03-31,26.2,26.2,25.7,25.8,99080,16.92
1131,HT1,2016-04-01,25.5,25.8,25.1,25.1,28250,16.46
1130,HT1,2016-04-04,25.3,25.3,24.5,24.5,125170,16.07
1129,HT1,2016-04-05,23.9,24.6,23.9,24.6,76360,16.13
1128,HT1,2016-04-06,25.3,25.5,24.6,25.4,44570,16.66
1127,HT1,2016-04-07,25.4,25.7,25.3,25.7,97810,16.85
1126,HT1,2016-04-08,25.7,25.7,25.3,25.7,45170,16.85
1125,HT1,2016-04-11,25.7,25.8,25.2,25.4,97500,16.66
1124,HT1,2016-04-12,24.7,25.5,24.7,25.3,17300,16.59
1123,HT1,2016-04-13,25.6,25.6,25.4,25.6,95010,16.79
1122,HT1,2016-04-14,25.7,25.8,25.6,25.8,54360,16.92
1121,HT1,2016-04-15,25.8,27.6,25.8,27.5,176050,18.04
1120,HT1,2016-04-19,27.5,27.5,27.0,27.1,33480,17.77
1119,HT1,2016-04-20,27.1,27.1,26.3,26.3,28420,17.25
1118,HT1,2016-04-21,25.1,26.1,25.1,26.0,16830,17.05
1117,HT1,2016-04-22,25.6,26.3,25.5,26.1,29800,17.12
1116,HT1,2016-04-25,26.1,26.6,26.1,26.5,21200,17.38
1115,HT1,2016-04-26,26.2,26.4,26.2,26.3,53770,17.25
1114,HT1,2016-04-27,26.5,27.0,26.3,27.0,69000,17.71
1113,HT1,2016-04-28,25.7,27.7,25.7,27.4,79120,17.97
1112,HT1,2016-04-29,27.2,27.8,27.0,27.5,61440,18.04
1111,HT1,2016-05-04,27.4,27.7,27.0,27.5,69080,18.04
1110,HT1,2016-05-05,27.8,27.9,27.6,27.8,112500,18.23
1109,HT1,2016-05-06,28.0,28.2,27.9,28.2,55970,18.49
1108,HT1,2016-05-09,28.2,28.5,27.3,28.2,17510,18.49
1107,HT1,2016-05-10,28.0,28.2,27.5,28.2,11560,18.49
1106,HT1,2016-05-11,27.8,28.5,27.8,28.5,34690,18.69
1105,HT1,2016-05-12,28.0,28.5,28.0,28.5,1610,18.69
1104,HT1,2016-05-13,28.1,28.5,28.0,28.5,36700,18.69
1103,HT1,2016-05-16,28.3,29.0,28.2,29.0,37640,19.02
1102,HT1,2016-05-17,29.0,29.0,29.0,29.0,100,19.02
1101,HT1,2016-05-18,29.0,29.1,29.0,29.1,77640,19.08
1100,HT1,2016-05-19,29.0,29.0,29.0,29.0,1250,19.02
1099,HT1,2016-05-20,28.5,28.5,28.0,28.0,7460,18.36
1098,HT1,2016-05-23,28.0,28.0,27.5,28.0,12010,18.36
1097,HT1,2016-05-24,27.5,28.3,27.5,28.3,14670,18.56
1096,HT1,2016-05-25,28.0,29.0,28.0,28.9,29260,18.95
1095,HT1,2016-05-26,28.9,29.1,28.9,28.9,16530,18.95
1094,HT1,2016-05-27,28.9,28.9,28.9,28.9,3300,18.95
1093,HT1,2016-05-30,29.3,29.4,29.2,29.4,30270,19.28
1092,HT1,2016-05-31,29.3,29.5,29.1,29.5,35980,19.35
1091,HT1,2016-06-01,29.5,29.7,29.4,29.7,28770,19.48
1090,HT1,2016-06-02,29.5,29.5,29.1,29.5,37100,19.35
1089,HT1,2016-06-03,29.3,29.7,29.3,29.7,72260,19.48
1088,HT1,2016-06-06,29.7,29.7,29.2,29.3,46020,19.22
1087,HT1,2016-06-07,30.0,30.0,29.3,29.3,24600,19.22
1086,HT1,2016-06-08,29.5,29.8,29.3,29.5,19410,19.35
1085,HT1,2016-06-09,29.5,29.5,29.5,29.5,6410,19.35
1084,HT1,2016-06-10,29.5,29.5,29.0,29.3,18970,19.22
1083,HT1,2016-06-13,28.0,29.4,28.0,29.4,6210,19.28
1082,HT1,2016-06-14,29.4,29.4,28.2,28.2,6310,18.49
1081,HT1,2016-06-15,28.9,28.9,28.8,28.9,5920,18.95
1080,HT1,2016-06-16,29.0,29.0,27.5,27.5,55810,18.04
1079,HT1,2016-06-17,27.5,28.0,26.9,28.0,16440,18.36
1078,HT1,2016-06-20,28.1,28.5,27.8,28.1,37350,18.43
1077,HT1,2016-06-21,28.1,28.9,28.0,28.8,22400,18.89
1076,HT1,2016-06-22,28.8,28.8,28.3,28.6,1990,18.76
1075,HT1,2016-06-23,28.9,28.9,28.0,28.7,15700,18.82
1074,HT1,2016-06-24,29.3,30.7,27.7,30.7,172540,20.13
1073,HT1,2016-06-27,31.5,32.8,29.4,31.4,63870,20.59
1072,HT1,2016-06-28,29.7,31.0,29.7,29.9,78620,19.61
1071,HT1,2016-06-29,29.3,29.8,29.0,29.7,111820,19.48
1070,HT1,2016-06-30,29.7,29.7,29.2,29.2,42830,19.15
1069,HT1,2016-07-01,29.3,30.3,29.0,30.0,45230,19.67
1068,HT1,2016-07-04,30.0,32.1,29.9,31.8,90830,20.86
1067,HT1,2016-07-05,32.7,32.7,31.2,31.8,57480,20.86
1066,HT1,2016-07-06,31.8,33.7,31.5,33.2,129890,21.77
1065,HT1,2016-07-07,33.2,35.5,32.0,35.5,184150,23.28
1064,HT1,2016-07-08,35.5,37.6,35.5,36.0,167790,23.61
1063,HT1,2016-07-11,35.6,37.1,35.1,36.0,85400,23.61
1062,HT1,2016-07-12,35.6,36.0,35.6,36.0,144050,23.61
1061,HT1,2016-07-13,36.0,36.0,34.3,34.3,41240,22.49
1060,HT1,2016-07-14,34.0,34.0,33.0,33.6,101310,22.04
1059,HT1,2016-07-15,33.0,33.1,31.3,31.3,193200,20.53
1058,HT1,2016-07-18,30.8,32.5,29.2,32.5,86040,21.31
1057,HT1,2016-07-19,33.0,33.0,30.8,30.8,31960,20.2
1056,HT1,2016-07-20,30.8,32.4,29.7,32.0,36880,20.99
1055,HT1,2016-07-21,32.0,32.2,31.0,31.9,71600,20.92
1054,HT1,2016-07-22,31.9,31.9,30.0,31.5,50310,20.66
1053,HT1,2016-07-25,31.5,31.5,31.5,31.5,8100,20.66
1052,HT1,2016-07-26,30.5,31.3,30.5,31.1,2010,20.4
1051,HT1,2016-07-27,31.3,31.5,30.8,31.3,93310,20.53
1050,HT1,2016-07-28,30.5,30.8,30.5,30.8,1720,20.2
1049,HT1,2016-07-29,30.7,30.8,30.4,30.4,89100,19.94
1048,HT1,2016-08-01,29.5,29.6,28.3,29.2,261500,19.15
1047,HT1,2016-08-02,29.2,29.2,28.0,28.5,178650,18.69
1046,HT1,2016-08-03,28.1,28.6,28.0,28.4,64600,18.63
1045,HT1,2016-08-04,28.6,28.6,27.9,27.9,106230,18.3
1044,HT1,2016-08-05,28.0,28.0,26.5,26.5,86280,17.38
1043,HT1,2016-08-08,27.0,27.6,26.8,27.5,55730,18.04
1042,HT1,2016-08-09,27.5,28.0,27.5,27.9,41670,18.3
1041,HT1,2016-08-10,27.9,28.5,27.9,28.1,81350,18.43
1040,HT1,2016-08-11,27.6,28.5,27.6,28.4,15460,18.63
1039,HT1,2016-08-12,28.9,28.9,27.5,27.5,21380,18.04
1038,HT1,2016-08-15,28.0,29.2,28.0,28.9,323010,18.95
1037,HT1,2016-08-16,29.3,29.3,28.8,28.9,65030,18.95
1036,HT1,2016-08-17,28.9,29.0,28.6,28.8,49850,18.89
1035,HT1,2016-08-18,29.0,29.0,28.3,28.5,117500,18.69
1034,HT1,2016-08-19,28.5,28.5,27.8,28.1,37260,18.43
1033,HT1,2016-08-22,28.4,28.4,28.0,28.1,67100,18.43
1032,HT1,2016-08-23,28.3,29.0,28.1,28.1,123750,18.43
1031,HT1,2016-08-24,28.6,28.6,28.0,28.1,32620,18.43
1030,HT1,2016-08-25,28.1,28.1,27.8,27.9,66090,18.3
1029,HT1,2016-08-26,27.6,28.0,27.5,27.6,63230,18.1
1028,HT1,2016-08-29,27.7,27.8,27.1,27.1,53320,17.77
1027,HT1,2016-08-30,27.1,27.6,27.1,27.1,216460,17.77
1026,HT1,2016-08-31,27.1,27.7,27.1,27.3,29290,17.9
1025,HT1,2016-09-01,27.4,27.4,27.0,27.2,23780,17.84
1024,HT1,2016-09-05,27.5,27.5,26.9,27.2,40550,17.84
1023,HT1,2016-09-06,27.1,27.5,27.0,27.5,56570,18.04
1022,HT1,2016-09-07,27.3,28.5,27.3,28.5,216770,18.69
1021,HT1,2016-09-08,28.6,28.6,28.0,28.1,162770,18.43
1020,HT1,2016-09-09,28.1,28.5,27.8,28.1,410230,18.43
1019,HT1,2016-09-12,27.8,28.1,27.3,28.0,131990,18.36
1018,HT1,2016-09-13,28.0,28.0,27.5,27.6,153600,18.1
1017,HT1,2016-09-14,27.6,27.8,27.1,27.1,76750,17.77
1016,HT1,2016-09-15,27.1,27.9,27.0,27.7,104120,18.17
1015,HT1,2016-09-16,27.7,27.7,26.9,27.0,31950,17.71
1014,HT1,2016-09-19,27.6,27.6,27.0,27.5,43850,18.04
1013,HT1,2016-09-20,27.5,27.6,27.0,27.4,15940,17.97
1012,HT1,2016-09-21,27.0,27.1,26.9,27.0,63680,17.71
1011,HT1,2016-09-22,27.3,27.7,27.3,27.5,28110,18.04
1010,HT1,2016-09-23,27.1,27.8,27.1,27.7,19560,18.17
1009,HT1,2016-09-26,27.2,28.0,27.2,28.0,110180,18.36
1008,HT1,2016-09-27,28.1,28.2,27.8,28.2,181540,18.49
1007,HT1,2016-09-28,28.1,28.8,28.1,28.6,149990,18.76
1006,HT1,2016-09-29,28.6,29.05,28.4,28.4,194350,18.63
1005,HT1,2016-09-30,28.1,28.3,27.8,28.0,183250,18.36
1004,HT1,2016-10-03,28.3,28.3,27.6,27.85,38930,18.26
1003,HT1,2016-10-04,27.6,28.0,27.4,27.8,158420,18.23
1002,HT1,2016-10-05,27.55,28.8,27.55,28.3,243650,18.56
1001,HT1,2016-10-06,28.3,28.7,28.1,28.5,434600,18.69
1000,HT1,2016-10-07,28.7,29.3,28.7,29.1,389410,19.08
999,HT1,2016-10-10,29.2,29.7,29.1,29.5,344780,19.35
998,HT1,2016-10-11,29.4,29.4,28.6,28.65,338330,18.79
997,HT1,2016-10-12,29.2,29.2,27.1,28.6,307030,18.76
996,HT1,2016-10-13,27.7,28.5,27.1,27.1,253790,17.77
995,HT1,2016-10-14,27.3,28.0,27.1,27.1,131980,17.77
994,HT1,2016-10-17,27.1,27.4,25.5,25.5,281030,16.72
993,HT1,2016-10-18,25.5,25.7,23.75,23.9,612230,15.67
992,HT1,2016-10-19,24.0,25.55,24.0,25.55,165590,16.76
991,HT1,2016-10-20,27.0,27.2,26.75,26.8,280990,17.58
990,HT1,2016-10-21,26.8,26.8,26.1,26.1,196740,17.12
989,HT1,2016-10-24,26.1,26.2,25.1,25.25,205710,16.56
988,HT1,2016-10-25,25.1,25.2,24.1,24.9,344040,16.33
987,HT1,2016-10-26,20.9,21.55,20.9,21.2,92240,16.68
986,HT1,2016-10-27,21.2,21.3,20.8,20.8,76790,16.37
985,HT1,2016-10-28,20.5,21.0,20.0,20.8,133380,16.37
984,HT1,2016-10-31,21.9,21.9,20.8,21.9,224390,17.24
983,HT1,2016-11-01,21.95,23.4,21.5,23.4,306450,18.42
982,HT1,2016-11-02,24.0,24.0,22.6,22.6,259110,17.79
981,HT1,2016-11-03,22.5,23.4,22.5,23.35,173080,18.38
980,HT1,2016-11-04,23.35,23.35,22.7,23.0,79180,18.1
979,HT1,2016-11-07,23.0,23.0,22.5,22.7,106590,17.87
978,HT1,2016-11-08,22.5,22.6,22.3,22.6,122490,17.79
977,HT1,2016-11-09,22.6,22.6,22.15,22.15,130310,17.43
976,HT1,2016-11-10,23.0,23.0,22.0,22.0,226040,17.31
975,HT1,2016-11-11,22.0,22.7,22.0,22.7,25830,17.87
974,HT1,2016-11-14,22.7,22.7,22.05,22.4,193920,17.63
973,HT1,2016-11-15,22.4,22.7,22.25,22.6,65380,17.79
972,HT1,2016-11-16,22.7,22.85,22.5,22.8,27690,17.94
971,HT1,2016-11-17,22.5,22.9,22.4,22.75,19800,17.9
970,HT1,2016-11-18,22.85,23.2,22.6,22.65,24200,17.83
969,HT1,2016-11-21,22.65,22.7,22.65,22.7,30480,17.87
968,HT1,2016-11-22,22.9,23.4,22.75,23.1,57050,18.18
967,HT1,2016-11-23,23.0,23.15,22.95,23.1,90440,18.18
966,HT1,2016-11-24,23.1,23.1,22.55,22.6,58260,17.79
965,HT1,2016-11-25,22.5,22.65,22.4,22.6,57220,17.79
964,HT1,2016-11-28,22.5,22.5,22.0,22.1,59650,17.39
963,HT1,2016-11-29,22.0,22.0,21.5,21.6,64920,17.0
962,HT1,2016-11-30,21.5,22.0,21.5,21.8,67780,17.16
961,HT1,2016-12-01,21.7,22.0,21.7,21.9,69200,17.24
960,HT1,2016-12-02,22.0,22.1,21.9,21.95,28650,17.28
959,HT1,2016-12-05,22.2,22.4,21.95,21.95,58420,17.28
958,HT1,2016-12-06,21.95,22.0,21.7,21.7,66350,17.08
957,HT1,2016-12-07,21.6,21.95,21.5,21.95,27340,17.28
956,HT1,2016-12-08,21.7,21.95,21.7,21.8,49010,17.16
955,HT1,2016-12-09,21.8,21.8,21.8,21.8,60860,17.16
954,HT1,2016-12-12,21.65,21.8,21.3,21.8,107180,17.16
953,HT1,2016-12-13,21.3,21.6,20.8,20.9,210650,16.45
952,HT1,2016-12-14,20.8,20.9,20.8,20.9,113240,16.45
951,HT1,2016-12-15,21.0,21.2,21.0,21.1,18910,16.61
950,HT1,2016-12-16,21.4,21.4,20.9,21.2,22610,16.68
949,HT1,2016-12-19,20.9,21.2,20.8,21.0,14040,16.53
948,HT1,2016-12-20,20.8,21.2,20.6,20.9,89970,16.45
947,HT1,2016-12-21,20.5,20.9,20.0,20.3,245800,15.98
946,HT1,2016-12-22,20.3,20.8,20.3,20.4,61040,16.06
945,HT1,2016-12-23,20.5,20.8,20.4,20.8,55910,16.37
