,name,date,open,high,low,close,volume,adj_close
1190,IMP,2016-01-04,37.0,37.1,37.0,37.0,3330,22.72
1189,IMP,2016-01-05,37.5,37.5,37.0,37.1,1330,22.78
1188,IMP,2016-01-06,38.4,38.4,37.0,37.3,3850,22.9
1187,IMP,2016-01-07,37.1,37.1,37.0,37.0,2710,22.72
1186,IMP,2016-01-08,37.9,37.9,37.0,37.1,2170,22.78
1185,IMP,2016-01-11,37.9,38.0,37.0,37.8,2440,23.21
1184,IMP,2016-01-12,37.8,37.8,37.8,37.8,40,23.21
1183,IMP,2016-01-13,38.0,38.0,37.0,37.5,1050,23.02
1182,IMP,2016-01-14,37.0,37.5,37.0,37.0,1660,22.72
1181,IMP,2016-01-15,37.0,37.9,37.0,37.0,3380,22.72
1180,IMP,2016-01-18,37.0,37.0,36.8,36.9,1860,22.65
1179,IMP,2016-01-19,36.8,36.8,36.8,36.8,170,22.59
1178,IMP,2016-01-20,36.8,36.8,36.7,36.7,2900,22.53
1177,IMP,2016-01-21,36.7,38.4,36.7,38.1,5840,23.39
1176,IMP,2016-01-22,38.1,38.1,38.1,38.1,0,23.39
1175,IMP,2016-01-25,37.8,37.8,36.8,37.7,2420,23.15
1174,IMP,2016-01-26,37.7,37.7,37.7,37.7,0,23.15
1173,IMP,2016-01-27,37.7,37.7,37.7,37.7,10,23.15
1172,IMP,2016-01-28,37.7,38.9,37.0,37.7,330,23.15
1171,IMP,2016-01-29,37.7,37.7,37.0,37.7,1720,23.15
1170,IMP,2016-02-01,37.3,37.7,37.0,37.7,2930,23.15
1169,IMP,2016-02-02,37.6,37.7,37.2,37.7,890,23.15
1168,IMP,2016-02-03,37.7,37.7,37.6,37.7,650,23.15
1167,IMP,2016-02-04,37.8,37.8,37.0,37.6,1150,23.08
1166,IMP,2016-02-05,38.9,38.9,37.6,38.0,2140,23.33
1165,IMP,2016-02-15,37.5,38.0,37.5,38.0,2530,23.33
1164,IMP,2016-02-16,38.1,39.9,38.1,39.9,2380,24.5
1163,IMP,2016-02-17,40.3,40.8,39.6,40.0,5980,24.56
1162,IMP,2016-02-18,40.0,40.0,40.0,40.0,2230,24.56
1161,IMP,2016-02-19,39.6,40.5,39.0,40.0,13810,24.56
1160,IMP,2016-02-22,40.0,41.4,40.0,41.0,12110,25.17
1159,IMP,2016-02-23,41.4,43.5,41.4,42.1,17370,25.85
1158,IMP,2016-02-24,42.2,43.5,42.2,42.5,12090,26.09
1157,IMP,2016-02-25,43.0,43.5,42.4,42.8,7040,26.28
1156,IMP,2016-02-26,42.9,43.0,42.0,42.0,8160,25.79
1155,IMP,2016-02-29,42.0,44.0,42.0,44.0,31360,27.01
1154,IMP,2016-03-01,44.0,44.0,43.0,44.0,1490,27.01
1153,IMP,2016-03-02,44.0,44.0,42.5,43.9,2390,26.95
1152,IMP,2016-03-03,42.9,43.0,42.0,42.9,14230,26.34
1151,IMP,2016-03-04,42.5,43.6,42.0,43.6,6530,26.77
1150,IMP,2016-03-07,43.6,43.6,43.0,43.0,21320,26.4
1149,IMP,2016-03-08,42.5,43.0,42.3,43.0,6890,26.4
1148,IMP,2016-03-09,43.0,43.1,42.4,43.1,24560,26.46
1147,IMP,2016-03-10,43.1,45.0,43.0,45.0,35510,27.63
1146,IMP,2016-03-11,45.0,47.0,45.0,47.0,13110,28.86
1145,IMP,2016-03-14,47.0,50.0,47.0,50.0,75650,30.7
1144,IMP,2016-03-15,50.0,52.0,49.1,50.5,27350,31.0
1143,IMP,2016-03-16,50.0,51.0,47.0,49.7,22620,30.51
1142,IMP,2016-03-17,48.5,50.0,48.5,48.5,33210,29.78
1141,IMP,2016-03-18,48.5,48.8,46.4,46.4,18320,28.49
1140,IMP,2016-03-21,45.7,47.0,44.0,44.6,6450,27.38
1139,IMP,2016-03-22,44.3,45.4,44.0,45.4,7500,27.87
1138,IMP,2016-03-23,45.6,46.9,45.0,45.1,26530,27.69
1137,IMP,2016-03-24,45.4,46.9,45.4,45.5,2190,27.93
1136,IMP,2016-03-25,45.6,46.0,44.4,46.0,5290,28.24
1135,IMP,2016-03-28,46.6,48.0,46.6,48.0,14370,29.47
1134,IMP,2016-03-29,48.0,48.0,46.3,47.5,7250,29.16
1133,IMP,2016-03-30,47.5,47.7,46.9,47.7,17380,29.29
1132,IMP,2016-03-31,48.8,48.8,46.0,47.3,8750,29.04
1131,IMP,2016-04-01,46.0,47.3,46.0,47.3,5320,29.04
1130,IMP,2016-04-04,47.0,47.0,47.0,47.0,290,28.86
1129,IMP,2016-04-05,46.5,46.5,46.0,46.0,3420,28.24
1128,IMP,2016-04-06,46.0,46.8,46.0,46.8,6810,28.73
1127,IMP,2016-04-07,48.0,49.0,47.5,48.5,49100,29.78
1126,IMP,2016-04-08,49.5,51.0,48.5,50.0,74850,30.7
1125,IMP,2016-04-11,50.0,50.5,49.6,50.0,14490,30.7
1124,IMP,2016-04-12,51.0,51.0,49.6,50.0,26790,30.7
1123,IMP,2016-04-13,49.9,50.0,49.7,49.9,31400,30.64
1122,IMP,2016-04-14,49.8,49.8,49.2,49.5,12200,30.39
1121,IMP,2016-04-15,49.5,52.0,49.5,50.5,76700,31.0
1120,IMP,2016-04-19,50.5,50.5,49.5,49.5,14160,30.39
1119,IMP,2016-04-20,49.0,49.0,48.2,48.4,8130,29.72
1118,IMP,2016-04-21,49.9,49.9,49.5,49.5,11830,30.39
1117,IMP,2016-04-22,49.5,49.5,49.0,49.5,8150,30.39
1116,IMP,2016-04-25,48.5,48.8,47.1,48.8,20550,29.96
1115,IMP,2016-04-26,48.8,48.8,47.3,48.5,12980,29.78
1114,IMP,2016-04-27,47.5,48.4,47.3,48.3,12740,29.65
1113,IMP,2016-04-28,48.2,48.2,47.0,47.7,8830,29.29
1112,IMP,2016-04-29,47.9,47.9,46.9,47.1,18730,28.92
1111,IMP,2016-05-04,47.2,47.2,46.0,46.4,21480,28.49
1110,IMP,2016-05-05,46.6,46.6,45.5,46.6,22380,28.61
1109,IMP,2016-05-06,47.0,47.0,46.6,46.8,10730,28.73
1108,IMP,2016-05-09,47.0,47.0,46.1,46.5,9600,28.55
1107,IMP,2016-05-10,45.1,46.6,45.1,45.9,8400,28.18
1106,IMP,2016-05-11,46.0,46.1,45.9,45.9,16260,28.18
1105,IMP,2016-05-12,46.2,46.2,45.6,46.0,23070,28.24
1104,IMP,2016-05-13,45.6,46.0,45.6,46.0,150,28.24
1103,IMP,2016-05-16,45.2,47.0,45.2,47.0,32900,28.86
1102,IMP,2016-05-17,47.0,47.0,46.0,46.7,15170,28.67
1101,IMP,2016-05-18,46.9,46.9,46.0,46.1,12110,28.3
1100,IMP,2016-05-19,45.0,45.0,44.5,44.8,6380,28.75
1099,IMP,2016-05-20,43.8,44.6,43.7,43.7,600,28.05
1098,IMP,2016-05-23,43.5,43.5,41.2,42.0,13510,26.96
1097,IMP,2016-05-24,42.5,42.5,41.2,42.0,7610,26.96
1096,IMP,2016-05-25,41.4,42.0,41.4,41.9,3310,26.89
1095,IMP,2016-05-26,42.0,42.0,41.0,41.5,5930,26.63
1094,IMP,2016-05-27,41.9,41.9,41.0,41.2,6550,26.44
1093,IMP,2016-05-30,41.0,41.0,40.8,41.0,5310,26.31
1092,IMP,2016-05-31,41.4,41.4,40.7,41.0,17640,26.31
1091,IMP,2016-06-01,40.8,40.9,40.0,40.3,26910,25.86
1090,IMP,2016-06-02,41.0,41.0,40.5,41.0,2330,26.31
1089,IMP,2016-06-03,41.4,42.0,41.0,41.9,9230,26.89
1088,IMP,2016-06-06,42.0,42.0,41.8,41.8,10290,26.83
1087,IMP,2016-06-07,41.1,42.0,41.1,41.8,6250,26.83
1086,IMP,2016-06-08,41.5,41.8,41.3,41.8,8020,26.83
1085,IMP,2016-06-09,41.8,41.8,41.3,41.5,3400,26.63
1084,IMP,2016-06-10,42.0,43.3,41.1,42.6,71170,27.34
1083,IMP,2016-06-13,42.6,43.5,41.8,43.5,16540,27.92
1082,IMP,2016-06-14,43.5,43.8,43.0,43.8,17570,28.11
1081,IMP,2016-06-15,43.8,45.0,42.4,45.0,16830,28.88
1080,IMP,2016-06-16,46.0,46.0,44.4,45.0,20160,28.88
1079,IMP,2016-06-17,45.8,46.0,45.1,45.7,16130,29.33
1078,IMP,2016-06-20,46.3,46.3,44.4,44.4,3840,28.5
1077,IMP,2016-06-21,44.2,44.2,44.0,44.2,6620,28.37
1076,IMP,2016-06-22,43.6,43.9,43.5,43.9,1670,28.18
1075,IMP,2016-06-23,43.9,45.5,43.9,45.2,43880,29.01
1074,IMP,2016-06-24,45.1,45.1,42.1,44.2,53440,28.37
1073,IMP,2016-06-27,42.0,44.0,42.0,44.0,830,28.24
1072,IMP,2016-06-28,44.0,44.0,43.0,44.0,11590,28.24
1071,IMP,2016-06-29,43.9,44.0,42.6,42.9,124780,27.53
1070,IMP,2016-06-30,42.9,45.0,42.7,44.8,32910,28.75
1069,IMP,2016-07-01,44.8,44.8,44.0,44.8,12430,28.75
1068,IMP,2016-07-04,43.4,44.6,43.0,44.5,73830,28.56
1067,IMP,2016-07-05,44.5,44.5,44.0,44.0,34520,28.24
1066,IMP,2016-07-06,43.8,45.4,43.8,45.3,23660,29.07
1065,IMP,2016-07-07,46.0,48.4,45.0,48.4,128500,31.06
1064,IMP,2016-07-08,51.5,51.5,51.0,51.5,118260,33.05
1063,IMP,2016-07-11,55.0,55.0,52.0,53.5,219430,34.34
1062,IMP,2016-07-12,53.5,53.5,51.0,53.0,102430,34.02
1061,IMP,2016-07-13,54.0,54.5,53.0,53.0,67330,34.02
1060,IMP,2016-07-14,52.0,53.0,49.4,50.0,87800,32.09
1059,IMP,2016-07-15,50.0,50.0,47.5,49.5,56100,31.77
1058,IMP,2016-07-18,48.2,52.5,48.2,52.0,38720,33.37
1057,IMP,2016-07-19,52.0,52.0,50.5,50.5,41020,32.41
1056,IMP,2016-07-20,51.0,52.0,50.0,51.5,55930,33.05
1055,IMP,2016-07-21,51.0,52.0,50.0,51.0,32270,32.73
1054,IMP,2016-07-22,50.0,50.0,48.0,49.5,47200,31.77
1053,IMP,2016-07-25,49.1,51.0,49.0,50.5,28400,32.41
1052,IMP,2016-07-26,50.0,50.5,49.5,50.5,12100,32.41
1051,IMP,2016-07-27,50.5,50.5,49.1,50.5,13960,32.41
