,name,date,open,high,low,close,volume,adj_close
1190,KDH,2016-01-04,21.5,21.7,21.4,21.5,94450,9.0
1189,KDH,2016-01-05,21.4,21.5,21.3,21.5,35550,9.0
1188,KDH,2016-01-06,21.5,21.5,21.3,21.5,33500,9.0
1187,KDH,2016-01-07,21.5,21.5,21.2,21.3,47330,8.91
1186,KDH,2016-01-08,21.3,21.3,21.0,21.2,71300,8.87
1185,KDH,2016-01-11,21.2,21.2,21.1,21.1,25450,8.83
1184,KDH,2016-01-12,20.9,20.9,19.8,20.9,258380,8.75
1183,KDH,2016-01-13,20.9,21.0,20.8,21.0,98220,8.79
1182,KDH,2016-01-14,21.0,21.0,20.6,20.8,155180,8.71
1181,KDH,2016-01-15,20.8,20.9,20.5,20.5,153650,8.58
1180,KDH,2016-01-18,20.4,20.4,20.0,20.2,108770,8.45
1179,KDH,2016-01-19,20.3,20.4,20.3,20.3,49690,8.5
1178,KDH,2016-01-20,20.3,20.3,20.1,20.2,45670,8.45
1177,KDH,2016-01-21,20.1,20.2,20.0,20.1,103490,8.41
1176,KDH,2016-01-22,20.1,20.2,19.9,20.1,164240,8.41
1175,KDH,2016-01-25,20.1,20.3,20.1,20.2,108060,8.45
1174,KDH,2016-01-26,20.0,20.3,20.0,20.1,182670,8.41
1173,KDH,2016-01-27,20.2,21.3,20.2,21.1,279950,8.83
1172,KDH,2016-01-28,21.1,21.4,21.0,21.0,301060,8.79
1171,KDH,2016-01-29,21.0,21.1,20.8,21.0,122590,8.79
1170,KDH,2016-02-01,20.9,21.0,20.7,20.7,107210,8.66
1169,KDH,2016-02-02,20.7,20.8,20.6,20.6,106780,8.62
1168,KDH,2016-02-03,20.6,20.7,20.6,20.7,99690,8.66
1167,KDH,2016-02-04,20.7,20.9,20.7,20.8,73610,8.71
1166,KDH,2016-02-05,20.9,21.0,20.8,21.0,64580,8.79
1165,KDH,2016-02-15,20.9,21.0,20.8,21.0,41450,8.79
1164,KDH,2016-02-16,21.0,21.0,20.9,21.0,47690,8.79
1163,KDH,2016-02-17,20.9,21.1,20.9,21.0,101510,8.79
1162,KDH,2016-02-18,21.0,21.6,21.0,21.4,305790,8.96
1161,KDH,2016-02-19,21.4,21.5,21.4,21.5,201550,9.0
1160,KDH,2016-02-22,21.5,21.5,21.4,21.5,82240,9.0
1159,KDH,2016-02-23,21.3,21.5,21.3,21.4,181950,8.96
1158,KDH,2016-02-24,21.4,21.4,21.2,21.2,145490,8.87
1157,KDH,2016-02-25,21.2,21.3,21.1,21.1,126540,8.83
1156,KDH,2016-02-26,21.1,21.4,21.1,21.3,128370,8.91
1155,KDH,2016-02-29,21.3,21.3,21.1,21.1,64700,8.83
1154,KDH,2016-03-01,21.1,21.2,21.0,21.0,57140,8.79
1153,KDH,2016-03-02,21.1,21.2,20.9,21.0,225830,8.79
1152,KDH,2016-03-03,21.0,21.1,20.9,21.0,150560,8.79
1151,KDH,2016-03-04,21.0,21.2,21.0,21.0,62380,8.79
1150,KDH,2016-03-07,21.0,21.1,21.0,21.0,97310,8.79
1149,KDH,2016-03-08,21.1,21.2,21.0,21.1,212230,8.83
1148,KDH,2016-03-09,21.2,21.9,21.2,21.6,434700,9.04
1147,KDH,2016-03-10,21.7,22.8,21.7,22.6,424620,9.46
1146,KDH,2016-03-11,22.6,22.8,22.6,22.7,138260,9.5
1145,KDH,2016-03-14,22.5,22.8,22.2,22.5,452420,9.42
1144,KDH,2016-03-15,22.9,23.1,22.7,22.8,930170,9.54
1143,KDH,2016-03-16,22.8,24.0,22.8,24.0,481380,10.04
1142,KDH,2016-03-17,24.1,24.2,24.0,24.1,544760,10.09
1141,KDH,2016-03-18,23.8,24.0,23.6,23.8,93930,9.96
1140,KDH,2016-03-21,23.8,23.8,23.3,23.3,149000,9.75
1139,KDH,2016-03-22,23.2,23.5,22.6,23.1,360770,9.67
1138,KDH,2016-03-23,22.9,23.4,22.9,23.4,414210,9.79
1137,KDH,2016-03-24,23.4,23.4,23.0,23.2,96050,9.71
1136,KDH,2016-03-25,23.2,23.2,22.9,23.0,165530,9.63
1135,KDH,2016-03-28,23.0,23.2,23.0,23.1,95480,9.67
1134,KDH,2016-03-29,23.2,23.2,22.9,23.0,239730,9.63
1133,KDH,2016-03-30,23.0,23.0,22.7,22.9,172700,9.58
1132,KDH,2016-03-31,22.9,22.9,22.8,22.9,114420,9.58
1131,KDH,2016-04-01,22.9,22.9,22.7,22.9,113270,9.58
1130,KDH,2016-04-04,22.9,23.3,22.9,23.1,226680,9.67
1129,KDH,2016-04-05,23.2,23.3,23.1,23.1,78460,9.67
1128,KDH,2016-04-06,23.1,23.1,23.0,23.0,74060,9.63
1127,KDH,2016-04-07,23.0,23.3,23.0,23.3,82670,9.75
1126,KDH,2016-04-08,23.2,23.2,22.9,23.2,88320,9.71
1125,KDH,2016-04-11,23.2,24.2,23.2,23.8,648980,9.96
1124,KDH,2016-04-12,23.9,24.0,23.7,23.8,158770,9.96
1123,KDH,2016-04-13,24.1,24.2,23.7,24.1,614970,10.09
1122,KDH,2016-04-14,23.8,24.0,23.7,23.7,190470,9.92
1121,KDH,2016-04-15,23.6,23.8,23.5,23.5,158710,9.84
1120,KDH,2016-04-19,23.2,23.4,22.6,23.0,227440,9.63
1119,KDH,2016-04-20,22.8,23.1,22.6,22.9,162640,9.58
1118,KDH,2016-04-21,22.7,23.1,22.7,23.0,97780,9.63
1117,KDH,2016-04-22,23.0,23.1,22.9,23.0,161060,9.63
1116,KDH,2016-04-25,23.0,23.1,22.9,23.0,84670,9.63
1115,KDH,2016-04-26,22.8,23.1,22.8,23.0,69200,9.63
1114,KDH,2016-04-27,23.0,23.0,22.7,22.8,96620,9.54
1113,KDH,2016-04-28,22.9,22.9,22.7,22.8,66260,9.54
1112,KDH,2016-04-29,22.8,22.9,22.8,22.9,66400,9.58
1111,KDH,2016-05-04,22.9,23.0,22.9,23.0,65680,9.63
1110,KDH,2016-05-05,22.9,23.0,22.7,22.9,83840,9.58
1109,KDH,2016-05-06,22.9,22.9,22.7,22.9,66790,9.58
1108,KDH,2016-05-09,22.8,22.9,22.5,22.7,149850,9.5
1107,KDH,2016-05-10,22.6,22.7,22.4,22.7,111270,9.5
1106,KDH,2016-05-11,22.7,23.0,22.5,23.0,77730,9.63
1105,KDH,2016-05-12,22.9,23.1,22.7,23.0,148900,9.63
1104,KDH,2016-05-13,22.9,23.0,22.8,23.0,87720,9.63
1103,KDH,2016-05-16,23.0,23.0,22.8,23.0,64580,9.63
1102,KDH,2016-05-17,23.0,23.1,22.9,23.0,75030,9.63
1101,KDH,2016-05-18,22.9,23.0,22.9,22.9,37680,9.58
1100,KDH,2016-05-19,23.0,23.0,22.8,22.9,47110,9.58
1099,KDH,2016-05-20,22.9,22.9,22.7,22.9,46080,9.58
1098,KDH,2016-05-23,22.9,23.0,22.6,22.6,57370,9.46
1097,KDH,2016-05-24,22.6,22.8,22.6,22.7,75580,9.5
1096,KDH,2016-05-25,22.8,22.9,22.7,22.9,60130,9.58
1095,KDH,2016-05-26,22.8,23.0,22.7,23.0,68220,9.63
1094,KDH,2016-05-27,23.0,23.0,22.8,23.0,63480,9.63
1093,KDH,2016-05-30,23.0,23.6,22.9,23.3,114720,9.75
1092,KDH,2016-05-31,23.3,23.4,23.0,23.2,100000,9.71
1091,KDH,2016-06-01,23.2,23.3,23.0,23.2,46850,9.71
1090,KDH,2016-06-02,23.2,23.4,23.1,23.4,104370,9.79
1089,KDH,2016-06-03,23.4,23.6,23.3,23.5,155860,9.84
1088,KDH,2016-06-06,23.5,23.5,23.2,23.2,78020,9.71
1087,KDH,2016-06-07,23.1,23.3,23.1,23.3,73840,9.75
1086,KDH,2016-06-08,23.3,23.3,23.0,23.1,90150,9.67
1085,KDH,2016-06-09,23.1,23.2,23.0,23.1,90750,9.67
1084,KDH,2016-06-10,23.0,23.1,22.9,22.9,46180,9.58
1083,KDH,2016-06-13,22.8,22.9,22.7,22.7,63300,9.5
1082,KDH,2016-06-14,22.7,22.9,22.6,22.8,49520,9.54
1081,KDH,2016-06-15,22.8,22.9,22.7,22.9,39300,9.58
1080,KDH,2016-06-16,22.8,23.1,22.8,22.9,52730,9.58
1079,KDH,2016-06-17,22.8,22.9,22.7,22.8,54110,9.54
1078,KDH,2016-06-20,22.8,23.0,22.8,23.0,85750,9.63
1077,KDH,2016-06-21,22.9,23.2,22.9,23.0,72330,9.63
1076,KDH,2016-06-22,23.0,23.0,22.8,22.8,78450,9.54
1075,KDH,2016-06-23,22.9,22.9,22.7,22.9,76230,9.58
1074,KDH,2016-06-24,22.9,22.9,22.3,22.5,198280,9.42
1073,KDH,2016-06-27,22.5,22.9,22.4,22.9,55380,9.58
1072,KDH,2016-06-28,22.9,22.9,22.8,22.9,42040,9.58
1071,KDH,2016-06-29,22.9,22.9,22.6,22.8,83610,9.54
1070,KDH,2016-06-30,22.9,22.9,22.7,22.8,31590,9.54
1069,KDH,2016-07-01,22.8,22.9,22.6,22.9,75010,9.58
1068,KDH,2016-07-04,22.9,23.0,22.7,22.8,61670,9.54
1067,KDH,2016-07-05,22.8,22.8,22.6,22.7,50360,9.5
1066,KDH,2016-07-06,22.7,23.4,22.7,23.1,236920,9.67
1065,KDH,2016-07-07,23.1,23.4,23.0,23.3,146190,9.75
1064,KDH,2016-07-08,23.3,23.7,23.3,23.4,109550,9.79
1063,KDH,2016-07-11,23.3,23.3,22.8,22.9,114880,9.58
1062,KDH,2016-07-12,22.9,23.0,22.7,22.8,98270,9.54
1061,KDH,2016-07-13,23.0,23.0,22.8,22.9,74090,9.58
