,name,date,open,high,low,close,volume,adj_close
1185,KSB,2016-01-04,37.5,38.0,37.2,37.5,125720,14.63
1184,KSB,2016-01-05,37.0,37.9,37.0,37.5,301800,14.63
1183,KSB,2016-01-06,37.3,38.0,37.3,38.0,189430,14.82
1182,KSB,2016-01-07,37.8,37.8,36.5,36.6,132230,14.86
1181,KSB,2016-01-08,36.4,36.4,35.6,36.0,89060,14.62
1180,KSB,2016-01-11,35.8,36.0,34.1,34.6,127240,14.05
1179,KSB,2016-01-12,34.6,35.4,34.6,35.3,55880,14.33
1178,KSB,2016-01-13,35.5,35.5,35.0,35.0,39720,14.21
1177,KSB,2016-01-14,34.6,34.6,33.6,34.3,120290,13.93
1176,KSB,2016-01-15,34.8,34.9,33.5,33.5,40230,13.6
1175,KSB,2016-01-18,33.0,33.0,31.8,32.7,143490,13.28
1174,KSB,2016-01-19,33.2,33.5,32.2,33.1,117340,13.44
1173,KSB,2016-01-20,32.7,33.7,32.6,33.3,55880,13.52
1172,KSB,2016-01-21,33.1,33.7,32.0,32.5,184960,13.2
1171,KSB,2016-01-22,32.5,33.0,32.4,32.9,112750,13.36
1170,KSB,2016-01-25,33.8,35.0,33.5,34.9,85490,14.17
1169,KSB,2016-01-26,32.8,34.7,32.8,34.0,61270,13.81
1168,KSB,2016-01-27,34.5,34.5,33.5,33.8,44040,13.72
1167,KSB,2016-01-28,33.8,34.0,33.7,33.8,59950,13.72
1166,KSB,2016-01-29,33.9,34.0,33.6,34.0,51580,13.81
1165,KSB,2016-02-01,34.4,34.4,32.8,33.0,35590,13.4
1164,KSB,2016-02-02,33.5,33.5,32.5,32.5,61780,13.2
1163,KSB,2016-02-03,32.4,33.5,32.4,33.1,83400,13.44
1162,KSB,2016-02-04,33.9,34.3,33.3,34.3,80730,13.93
1161,KSB,2016-02-05,34.3,34.5,34.0,34.0,39140,13.81
1160,KSB,2016-02-15,34.0,34.1,33.0,34.1,31570,13.85
1159,KSB,2016-02-16,34.1,35.6,33.7,35.4,107900,14.37
1158,KSB,2016-02-17,35.4,36.5,35.4,36.4,214110,14.78
1157,KSB,2016-02-18,36.4,37.4,36.0,37.1,151470,15.07
1156,KSB,2016-02-19,37.1,37.4,36.5,37.1,248390,15.07
1155,KSB,2016-02-22,37.2,38.3,37.1,37.1,760980,15.07
1154,KSB,2016-02-23,37.3,38.5,37.2,37.5,376540,15.23
1153,KSB,2016-02-24,37.5,38.0,37.1,37.1,622360,15.07
1152,KSB,2016-02-25,37.3,37.7,36.7,37.0,638830,15.02
1151,KSB,2016-02-26,37.6,39.5,37.2,38.9,622260,15.8
1150,KSB,2016-02-29,39.0,39.0,38.2,38.2,174410,15.51
1149,KSB,2016-03-01,37.9,38.7,37.8,38.3,382560,15.55
1148,KSB,2016-03-02,38.5,40.6,38.5,40.1,392780,16.28
1147,KSB,2016-03-03,40.5,40.8,39.4,40.5,237450,16.45
1146,KSB,2016-03-04,40.5,42.5,40.2,41.8,404920,16.97
1145,KSB,2016-03-07,40.8,42.2,40.8,40.8,438410,16.57
1144,KSB,2016-03-08,40.8,41.9,40.0,40.5,659580,16.45
1143,KSB,2016-03-09,40.5,41.0,40.5,40.9,164050,16.61
1142,KSB,2016-03-10,41.0,43.5,40.9,43.5,646440,17.66
1141,KSB,2016-03-11,43.0,44.0,42.6,43.0,510850,17.46
1140,KSB,2016-03-14,43.0,44.9,42.7,43.8,732650,17.79
1139,KSB,2016-03-15,43.8,44.0,43.5,43.7,245370,17.75
1138,KSB,2016-03-16,43.8,44.0,43.4,43.8,232120,17.79
1137,KSB,2016-03-17,43.2,44.1,43.2,43.2,330190,17.54
