,name,date,open,high,low,close,volume,adj_close
1190,MSN,2016-01-04,75.5,77.5,75.5,75.5,92620,48.03
1189,MSN,2016-01-05,75.5,75.5,73.0,75.0,243440,47.71
1188,MSN,2016-01-06,73.5,76.0,73.5,76.0,144590,48.34
1187,MSN,2016-01-07,74.5,78.5,74.0,77.5,375660,49.3
1186,MSN,2016-01-08,76.0,78.0,76.0,76.5,75080,48.66
1185,MSN,2016-01-11,76.0,76.5,75.0,76.0,159030,48.34
1184,MSN,2016-01-12,77.0,77.0,75.5,76.5,119130,48.66
1183,MSN,2016-01-13,76.5,76.5,75.0,75.0,72760,47.71
1182,MSN,2016-01-14,74.0,75.5,73.5,74.0,173530,47.07
1181,MSN,2016-01-15,75.0,75.0,70.0,70.0,234560,44.53
1180,MSN,2016-01-18,68.5,70.0,67.5,70.0,126500,44.53
1179,MSN,2016-01-19,70.0,71.0,68.5,71.0,50490,45.16
1178,MSN,2016-01-20,70.0,72.0,69.5,71.5,162910,45.48
1177,MSN,2016-01-21,71.5,73.5,71.5,71.5,88430,45.48
1176,MSN,2016-01-22,71.5,71.5,69.5,71.0,77780,45.16
1175,MSN,2016-01-25,72.5,74.0,71.5,74.0,83770,47.07
1174,MSN,2016-01-26,72.0,75.0,72.0,73.5,93100,46.75
1173,MSN,2016-01-27,72.5,74.5,72.5,73.5,137500,46.75
1172,MSN,2016-01-28,74.0,74.0,72.0,73.0,42820,46.44
1171,MSN,2016-01-29,72.5,73.0,72.0,72.5,160350,46.12
1170,MSN,2016-02-01,72.5,72.5,71.5,71.5,51260,45.48
1169,MSN,2016-02-02,72.0,74.5,70.5,70.5,92570,44.84
1168,MSN,2016-02-03,72.0,72.5,70.5,72.0,98450,45.8
1167,MSN,2016-02-04,72.0,74.0,72.0,73.5,101460,46.75
1166,MSN,2016-02-05,73.5,74.0,72.5,73.5,23030,46.75
1165,MSN,2016-02-15,71.5,73.5,71.0,72.0,135790,45.8
1164,MSN,2016-02-16,71.5,72.5,71.5,72.0,111070,45.8
1163,MSN,2016-02-17,72.5,72.5,71.5,72.0,113100,45.8
1162,MSN,2016-02-18,71.5,73.0,71.5,72.0,75490,45.8
1161,MSN,2016-02-19,72.5,72.5,71.5,71.5,125160,45.48
1160,MSN,2016-02-22,71.5,75.5,71.5,74.5,256860,47.39
1159,MSN,2016-02-23,75.5,75.5,73.5,74.0,88940,47.07
1158,MSN,2016-02-24,74.0,74.0,73.5,73.5,28430,46.75
1157,MSN,2016-02-25,74.5,74.5,72.0,72.0,127080,45.8
1156,MSN,2016-02-26,73.0,74.0,71.5,74.0,72350,47.07
1155,MSN,2016-02-29,73.0,74.0,72.0,72.0,137790,45.8
1154,MSN,2016-03-01,72.0,72.5,72.0,72.0,80880,45.8
1153,MSN,2016-03-02,72.0,73.5,72.0,73.0,116760,46.44
1152,MSN,2016-03-03,74.5,75.5,73.5,74.5,252210,47.39
1151,MSN,2016-03-04,75.5,75.5,74.0,74.5,160570,47.39
1150,MSN,2016-03-07,74.5,77.0,74.0,74.5,320530,47.39
1149,MSN,2016-03-08,75.0,75.5,74.5,75.0,138590,47.71
1148,MSN,2016-03-09,75.5,76.0,75.5,75.5,54060,48.03
1147,MSN,2016-03-10,75.5,75.5,74.0,74.5,153780,47.39
1146,MSN,2016-03-11,74.0,75.0,73.5,73.5,236980,46.75
1145,MSN,2016-03-14,74.0,75.0,74.0,75.0,263000,47.71
1144,MSN,2016-03-15,75.0,75.0,73.0,73.5,254170,46.75
1143,MSN,2016-03-16,74.0,74.0,73.0,73.0,237120,46.44
1142,MSN,2016-03-17,72.5,74.0,72.0,72.5,903720,46.12
1141,MSN,2016-03-18,72.5,72.5,71.5,71.5,1188240,45.48
1140,MSN,2016-03-21,72.0,72.5,70.0,70.0,485990,44.53
1139,MSN,2016-03-22,70.5,71.0,69.0,70.0,323900,44.53
1138,MSN,2016-03-23,70.0,72.5,70.0,72.0,545030,45.8
1137,MSN,2016-03-24,72.0,76.5,72.0,73.5,1122090,46.75
1136,MSN,2016-03-25,74.0,74.5,72.0,74.0,342700,47.07
1135,MSN,2016-03-28,74.0,74.5,73.5,74.5,220710,47.39
1134,MSN,2016-03-29,74.0,74.0,72.5,72.5,375020,46.12
1133,MSN,2016-03-30,72.0,73.5,72.0,72.5,340720,46.12
1132,MSN,2016-03-31,72.5,72.5,71.5,71.5,420860,45.48
1131,MSN,2016-04-01,71.0,72.0,70.5,71.0,331930,45.16
1130,MSN,2016-04-04,71.0,71.5,69.5,70.0,384220,44.53
1129,MSN,2016-04-05,70.0,71.0,69.5,70.5,399050,44.84
1128,MSN,2016-04-06,71.5,71.5,69.5,71.0,428160,45.16
1127,MSN,2016-04-07,71.5,71.5,70.0,71.0,208440,45.16
1126,MSN,2016-04-08,70.0,70.5,69.0,69.5,599800,44.21
1125,MSN,2016-04-11,69.5,71.0,69.5,71.0,694480,45.16
1124,MSN,2016-04-12,71.0,71.0,70.0,70.0,235220,44.53
1123,MSN,2016-04-13,69.0,70.5,69.0,69.0,239340,43.89
1122,MSN,2016-04-14,69.5,70.5,69.5,69.5,197410,44.21
1121,MSN,2016-04-15,70.0,70.0,69.0,69.5,155690,44.21
1120,MSN,2016-04-19,69.5,70.0,68.0,69.0,427350,43.89
1119,MSN,2016-04-20,69.0,69.0,67.5,67.5,214480,42.94
1118,MSN,2016-04-21,67.5,70.0,67.5,70.0,334330,44.53
1117,MSN,2016-04-22,69.5,70.0,69.0,69.0,195010,43.89
1116,MSN,2016-04-25,69.5,70.0,67.5,68.5,339790,43.57
1115,MSN,2016-04-26,68.0,70.0,68.0,69.0,465120,43.89
1114,MSN,2016-04-27,69.0,70.0,68.5,69.5,381930,44.21
1113,MSN,2016-04-28,69.5,70.0,69.0,69.0,232460,43.89
1112,MSN,2016-04-29,69.0,71.5,69.0,70.0,681090,44.53
1111,MSN,2016-05-04,71.0,71.5,70.0,71.0,504510,45.16
1110,MSN,2016-05-05,71.0,71.5,70.5,71.0,403090,45.16
1109,MSN,2016-05-06,71.0,74.0,71.0,72.5,1012480,46.12
1108,MSN,2016-05-09,72.5,74.0,71.5,71.5,232020,45.48
1107,MSN,2016-05-10,71.0,72.0,70.0,71.5,380290,45.48
1106,MSN,2016-05-11,72.0,72.0,70.5,72.0,353890,45.8
1105,MSN,2016-05-12,72.0,72.5,71.5,72.0,229250,45.8
1104,MSN,2016-05-13,72.0,72.0,70.5,70.5,272690,44.84
1103,MSN,2016-05-16,71.0,71.5,70.5,71.0,287960,45.16
1102,MSN,2016-05-17,71.5,72.0,71.0,71.0,201400,45.16
1101,MSN,2016-05-18,71.5,72.0,71.0,71.5,134110,45.48
1100,MSN,2016-05-19,71.5,72.0,70.0,70.0,294740,44.53
1099,MSN,2016-05-20,70.0,70.0,69.0,69.5,413900,44.21
1098,MSN,2016-05-23,69.5,70.0,69.0,69.5,150590,44.21
1097,MSN,2016-05-24,70.0,71.0,69.5,71.0,353360,45.16
1096,MSN,2016-05-25,70.5,71.0,70.0,70.0,219550,44.53
1095,MSN,2016-05-26,69.5,70.0,69.0,69.0,114240,43.89
1094,MSN,2016-05-27,70.0,70.0,68.5,69.0,184750,43.89
1093,MSN,2016-05-30,69.0,69.0,68.5,69.0,157700,43.89
1092,MSN,2016-05-31,69.0,69.5,68.5,69.5,254110,44.21
1091,MSN,2016-06-01,69.5,69.5,68.5,69.0,147400,43.89
1090,MSN,2016-06-02,69.0,69.5,68.5,69.0,39940,43.89
1089,MSN,2016-06-03,69.0,69.5,69.0,69.0,184710,43.89
1088,MSN,2016-06-06,69.0,69.0,68.5,68.5,153140,43.57
1087,MSN,2016-06-07,68.5,69.0,68.0,69.0,174210,43.89
1086,MSN,2016-06-08,69.0,70.0,68.5,70.0,279510,44.53
1085,MSN,2016-06-09,69.5,70.0,69.0,69.5,114520,44.21
1084,MSN,2016-06-10,69.5,70.0,69.0,70.0,405750,44.53
1083,MSN,2016-06-13,70.0,70.0,69.0,69.0,232740,43.89
1082,MSN,2016-06-14,69.0,69.5,68.5,69.0,116110,43.89
1081,MSN,2016-06-15,69.0,69.0,68.0,68.5,84940,43.57
1080,MSN,2016-06-16,68.5,69.5,68.5,68.5,201010,43.57
1079,MSN,2016-06-17,69.0,71.0,68.0,71.0,1517950,45.16
1078,MSN,2016-06-20,69.0,70.0,68.5,69.5,214630,44.21
1077,MSN,2016-06-21,69.5,70.0,69.0,69.0,108620,43.89
1076,MSN,2016-06-22,69.0,70.0,69.0,69.0,54550,43.89
1075,MSN,2016-06-23,69.0,69.0,68.5,69.0,207350,43.89
1074,MSN,2016-06-24,69.0,69.0,66.0,67.5,320530,42.94
1073,MSN,2016-06-27,67.0,67.5,66.0,67.0,151140,42.62
1072,MSN,2016-06-28,67.0,67.0,66.0,67.0,294500,42.62
1071,MSN,2016-06-29,67.0,67.5,66.0,67.0,416170,42.62
1070,MSN,2016-06-30,67.0,67.0,66.5,66.5,208640,42.3
1069,MSN,2016-07-01,66.5,70.0,66.5,67.0,368120,42.62
1068,MSN,2016-07-04,67.0,67.5,66.5,67.0,125960,42.62
1067,MSN,2016-07-05,67.5,68.0,67.0,67.5,59940,42.94
1066,MSN,2016-07-06,67.0,67.0,66.5,67.0,191960,42.62
1065,MSN,2016-07-07,67.0,67.5,66.5,67.0,251200,42.62
1064,MSN,2016-07-08,66.5,67.0,66.0,67.0,467620,42.62
1063,MSN,2016-07-11,66.0,67.0,66.0,67.0,278680,42.62
1062,MSN,2016-07-12,67.0,67.0,66.0,67.0,107970,42.62
1061,MSN,2016-07-13,66.5,67.5,66.5,67.0,305500,42.62
1060,MSN,2016-07-14,67.0,69.5,66.5,67.5,717250,42.94
1059,MSN,2016-07-15,68.0,68.0,67.0,67.5,175870,42.94
1058,MSN,2016-07-18,68.0,69.0,68.0,69.0,179580,43.89
1057,MSN,2016-07-19,69.0,69.0,67.5,67.5,307780,42.94
1056,MSN,2016-07-20,67.5,68.0,67.0,67.0,225340,42.62
1055,MSN,2016-07-21,67.5,68.0,67.0,67.5,174010,42.94
1054,MSN,2016-07-22,67.5,67.5,66.0,67.0,317090,42.62
1053,MSN,2016-07-25,66.5,67.5,66.0,67.0,128060,42.62
1052,MSN,2016-07-26,67.5,67.5,65.0,66.5,430300,42.3
1051,MSN,2016-07-27,66.0,66.5,64.5,66.0,732260,41.98
1050,MSN,2016-07-28,65.5,66.0,62.0,66.0,1894990,41.98
1049,MSN,2016-07-29,64.5,66.0,64.0,64.0,726220,40.71
1048,MSN,2016-08-01,65.0,65.0,63.5,64.0,242060,40.71
1047,MSN,2016-08-02,63.5,63.5,61.5,61.5,548690,39.12
1046,MSN,2016-08-03,61.0,62.0,60.5,61.5,236360,39.12
1045,MSN,2016-08-04,60.5,62.0,60.5,62.0,71160,39.44
1044,MSN,2016-08-05,61.5,61.5,59.0,61.5,835920,39.12
1043,MSN,2016-08-08,61.0,61.0,59.0,59.5,312390,37.85
1042,MSN,2016-08-09,59.0,60.5,59.0,60.5,298610,38.48
1041,MSN,2016-08-10,60.0,60.5,60.0,60.5,282540,38.48
1040,MSN,2016-08-11,60.5,62.0,60.0,61.0,582020,38.8
1039,MSN,2016-08-12,61.0,61.5,59.5,60.5,383460,38.48
1038,MSN,2016-08-15,60.0,60.0,60.0,60.0,111560,38.17
1037,MSN,2016-08-16,60.0,60.0,59.0,59.5,404310,37.85
1036,MSN,2016-08-17,60.0,60.0,58.5,59.5,1026130,37.85
1035,MSN,2016-08-18,60.0,63.5,59.0,63.5,1965290,40.39
1034,MSN,2016-08-19,67.0,67.5,66.5,67.5,2293940,42.94
1033,MSN,2016-08-22,67.5,67.5,65.0,65.0,241270,41.35
1032,MSN,2016-08-23,64.0,65.0,62.5,63.0,652530,40.07
