,name,date,open,high,low,close,volume,adj_close
1190,MWG,2016-01-04,79.0,80.5,78.0,79.0,396020,27.94
1189,MWG,2016-01-05,79.0,79.0,77.5,79.0,98210,27.94
1188,MWG,2016-01-06,78.5,79.0,78.0,78.5,76610,27.76
1187,MWG,2016-01-07,78.0,78.0,75.0,76.0,222750,26.88
1186,MWG,2016-01-08,75.5,76.0,73.0,75.0,97350,26.52
1185,MWG,2016-01-11,74.5,75.0,73.0,74.0,96610,26.17
1184,MWG,2016-01-12,73.0,75.0,73.0,75.0,72520,26.52
1183,MWG,2016-01-13,75.5,75.5,74.5,74.5,58300,26.35
1182,MWG,2016-01-14,73.5,74.0,72.5,73.5,177250,25.99
1181,MWG,2016-01-15,73.5,73.5,72.5,72.5,103340,25.64
1180,MWG,2016-01-18,72.0,72.0,67.5,69.0,222550,24.4
1179,MWG,2016-01-19,69.0,71.0,68.5,71.0,86980,25.11
1178,MWG,2016-01-20,71.0,71.0,69.5,70.0,49190,24.75
1177,MWG,2016-01-21,69.0,70.0,68.5,69.0,65230,24.4
1176,MWG,2016-01-22,69.0,70.0,67.0,68.0,94540,24.05
1175,MWG,2016-01-25,71.0,72.0,69.5,72.0,175000,25.46
1174,MWG,2016-01-26,71.0,71.5,70.0,71.0,59150,25.11
1173,MWG,2016-01-27,71.0,71.5,70.5,71.5,55080,25.28
1172,MWG,2016-01-28,71.5,71.5,70.0,70.0,32570,24.75
1171,MWG,2016-01-29,70.0,72.0,70.0,72.0,149010,25.46
1170,MWG,2016-02-01,71.0,72.5,71.0,72.0,105090,25.46
1169,MWG,2016-02-02,71.5,72.5,71.5,72.0,51310,25.46
1168,MWG,2016-02-03,71.0,72.0,71.0,72.0,38030,25.46
1167,MWG,2016-02-04,72.0,73.0,72.0,72.0,46320,25.46
1166,MWG,2016-02-05,72.0,73.5,72.0,73.5,41110,25.99
1165,MWG,2016-02-15,72.0,73.0,71.5,72.5,41340,25.64
1164,MWG,2016-02-16,72.5,72.5,71.5,72.5,79510,25.64
1163,MWG,2016-02-17,72.5,73.0,72.0,72.0,91360,25.46
1162,MWG,2016-02-18,72.0,75.0,72.0,74.5,133790,26.35
1161,MWG,2016-02-19,75.0,75.0,74.0,74.0,52460,26.17
1160,MWG,2016-02-22,74.5,76.0,74.5,76.0,132720,26.88
1159,MWG,2016-02-23,77.0,78.0,76.5,77.0,265520,27.23
1158,MWG,2016-02-24,77.0,78.0,76.0,77.5,61870,27.41
1157,MWG,2016-02-25,77.5,78.0,76.0,76.0,197130,26.88
1156,MWG,2016-02-26,76.0,77.0,75.5,75.5,137910,26.7
1155,MWG,2016-02-29,76.5,76.5,75.0,75.0,140520,26.52
1154,MWG,2016-03-01,75.0,76.0,75.0,75.5,109110,26.7
1153,MWG,2016-03-02,75.5,79.0,75.5,79.0,393160,27.94
1152,MWG,2016-03-03,79.0,79.0,78.5,79.0,86750,27.94
1151,MWG,2016-03-04,78.5,81.0,78.0,79.5,339340,28.11
