,name,date,open,high,low,close,volume,adj_close
1190,NBB,2016-01-04,20.9,20.9,20.0,20.9,10430,14.01
1189,NBB,2016-01-05,20.9,21.0,20.9,21.0,50010,14.08
1188,NBB,2016-01-06,20.0,20.5,20.0,20.5,10010,13.74
1187,NBB,2016-01-07,20.1,20.5,20.1,20.5,1010,13.74
1186,NBB,2016-01-08,20.5,20.5,20.5,20.5,400,13.74
1185,NBB,2016-01-11,20.0,20.5,20.0,20.5,2780,13.74
1184,NBB,2016-01-12,19.5,20.4,19.5,20.2,9520,13.54
1183,NBB,2016-01-13,20.4,20.5,20.0,20.3,10270,13.61
1182,NBB,2016-01-14,20.5,20.5,20.5,20.5,10,13.74
1181,NBB,2016-01-15,20.3,20.3,19.5,20.3,52010,13.61
1180,NBB,2016-01-18,18.9,20.0,18.9,20.0,61560,13.41
1179,NBB,2016-01-19,20.1,20.1,19.0,19.8,4320,13.27
1178,NBB,2016-01-20,19.9,20.0,19.0,20.0,260,13.41
1177,NBB,2016-01-21,20.0,20.0,20.0,20.0,0,13.41
1176,NBB,2016-01-22,20.0,20.0,20.0,20.0,140,13.41
1175,NBB,2016-01-25,20.3,20.3,19.0,19.8,2600,13.27
1174,NBB,2016-01-26,18.6,19.8,18.6,19.4,5800,13.01
1173,NBB,2016-01-27,19.9,19.9,19.9,19.9,20,13.34
1172,NBB,2016-01-28,19.9,19.9,19.9,19.9,0,13.34
1171,NBB,2016-01-29,20.0,21.0,18.6,18.6,11210,12.47
1170,NBB,2016-02-01,18.5,19.3,18.5,19.2,10040,12.87
1169,NBB,2016-02-02,20.0,20.0,17.9,19.3,26750,12.94
1168,NBB,2016-02-03,18.0,19.3,18.0,19.3,28020,12.94
1167,NBB,2016-02-04,18.0,19.9,18.0,19.9,21310,13.34
1166,NBB,2016-02-05,18.6,20.5,18.6,19.9,135910,13.34
1165,NBB,2016-02-15,18.6,19.5,18.6,19.5,2340,13.07
1164,NBB,2016-02-16,19.8,19.8,19.0,19.8,7530,13.27
1163,NBB,2016-02-17,19.0,19.5,19.0,19.5,4580,13.07
1162,NBB,2016-02-18,19.5,19.5,19.5,19.5,10,13.07
1161,NBB,2016-02-19,18.5,19.5,18.5,19.5,1910,13.07
1160,NBB,2016-02-22,19.5,19.5,18.5,19.5,10010,13.07
1159,NBB,2016-02-23,18.6,19.7,18.6,19.6,11070,13.14
1158,NBB,2016-02-24,19.6,19.6,19.6,19.6,8000,13.14
1157,NBB,2016-02-25,19.0,19.5,19.0,19.5,10310,13.07
1156,NBB,2016-02-26,19.0,19.4,19.0,19.4,9900,13.01
1155,NBB,2016-02-29,19.8,19.8,18.7,19.4,9410,13.01
1154,NBB,2016-03-01,18.7,19.2,18.7,19.2,8440,12.87
1153,NBB,2016-03-02,19.1,19.1,18.6,19.0,8610,12.74
1152,NBB,2016-03-03,18.9,19.0,18.5,18.9,47090,12.67
1151,NBB,2016-03-04,18.8,18.8,18.0,18.8,14160,12.6
1150,NBB,2016-03-07,18.8,18.2,18.2,18.2,10,12.2
1149,NBB,2016-03-08,19.2,19.2,19.1,19.2,4510,12.87
1148,NBB,2016-03-09,19.3,19.3,18.1,18.8,47180,12.6
1147,NBB,2016-03-10,18.8,18.8,18.0,18.5,30940,12.4
1146,NBB,2016-03-11,18.7,19.7,18.7,19.0,52510,12.74
1145,NBB,2016-03-14,18.3,18.5,18.0,18.4,63450,12.34
1144,NBB,2016-03-15,18.4,18.4,18.0,18.4,30540,12.34
1143,NBB,2016-03-16,18.4,18.4,17.9,18.3,13070,12.27
1142,NBB,2016-03-17,18.3,18.3,17.9,18.3,16760,12.27
1141,NBB,2016-03-18,18.3,18.3,17.9,18.2,25830,12.2
1140,NBB,2016-03-21,18.2,18.2,17.4,18.0,16120,12.07
1139,NBB,2016-03-22,17.8,18.4,17.5,17.9,357000,12.0
1138,NBB,2016-03-23,17.9,17.9,17.4,17.4,83860,11.66
1137,NBB,2016-03-24,18.1,18.6,17.6,17.8,445660,11.93
1136,NBB,2016-03-25,17.8,18.4,17.8,17.8,185790,11.93
1135,NBB,2016-03-28,17.6,18.3,17.6,17.8,98250,11.93
1134,NBB,2016-03-29,17.5,17.9,17.2,17.9,100790,12.0
1133,NBB,2016-03-30,17.9,17.9,17.4,17.4,187170,11.66
1132,NBB,2016-03-31,17.3,18.6,17.0,18.6,384330,12.47
1131,NBB,2016-04-01,18.3,18.3,17.3,17.3,184820,11.6
1130,NBB,2016-04-04,17.0,17.9,17.0,17.9,36600,12.0
1129,NBB,2016-04-05,17.7,17.8,17.0,17.0,119900,11.4
1128,NBB,2016-04-06,17.0,17.5,17.0,17.0,64720,11.4
1127,NBB,2016-04-07,17.0,17.4,17.0,17.1,14970,11.46
1126,NBB,2016-04-08,17.5,17.6,16.9,17.0,99750,11.4
1125,NBB,2016-04-11,17.3,17.3,16.8,16.8,68130,11.26
1124,NBB,2016-04-12,16.8,16.9,16.5,16.6,53770,11.13
1123,NBB,2016-04-13,16.6,17.0,16.5,16.6,113390,11.13
1122,NBB,2016-04-14,17.0,17.0,16.5,16.9,168500,11.33
1121,NBB,2016-04-15,16.9,16.9,16.4,16.6,149230,11.13
1120,NBB,2016-04-19,16.9,16.9,16.3,16.4,152270,10.99
1119,NBB,2016-04-20,16.8,16.8,16.1,16.2,241440,10.86
1118,NBB,2016-04-21,16.7,16.7,16.3,16.4,61610,10.99
1117,NBB,2016-04-22,15.8,17.5,15.8,16.5,247400,11.06
1116,NBB,2016-04-25,17.0,17.2,16.6,17.0,451730,11.4
1115,NBB,2016-04-26,17.0,17.4,17.0,17.2,394480,11.53
1114,NBB,2016-04-27,17.1,17.3,17.1,17.2,514590,11.53
1113,NBB,2016-04-28,17.2,17.3,17.1,17.1,344930,11.46
1112,NBB,2016-04-29,17.2,17.3,17.1,17.1,613770,11.46
1111,NBB,2016-05-04,17.0,18.2,17.0,18.2,430230,12.2
1110,NBB,2016-05-05,19.0,19.4,18.6,19.4,927390,13.01
1109,NBB,2016-05-06,19.4,20.0,19.0,19.4,211430,13.01
1108,NBB,2016-05-09,19.4,19.4,18.8,18.8,170740,12.6
1107,NBB,2016-05-10,18.2,18.8,18.2,18.8,109820,12.6
1106,NBB,2016-05-11,18.3,18.9,18.3,18.7,81420,12.54
1105,NBB,2016-05-12,18.7,18.7,18.3,18.3,118410,12.27
1104,NBB,2016-05-13,18.2,18.3,18.0,18.3,52410,12.27
1103,NBB,2016-05-16,18.6,18.6,18.0,18.5,188760,12.4
1102,NBB,2016-05-17,18.4,18.4,18.0,18.2,86360,12.2
1101,NBB,2016-05-18,18.0,18.3,17.9,18.2,95850,12.2
1100,NBB,2016-05-19,18.1,18.2,17.9,18.2,53640,12.2
1099,NBB,2016-05-20,17.9,18.9,17.9,18.5,113590,12.4
1098,NBB,2016-05-23,18.9,19.0,18.5,18.6,10910,12.47
1097,NBB,2016-05-24,18.4,18.9,18.4,18.9,78480,12.67
1096,NBB,2016-05-25,18.6,18.9,18.4,18.6,112050,12.47
1095,NBB,2016-05-26,18.4,18.5,18.1,18.1,46830,12.13
1094,NBB,2016-05-27,18.1,18.8,18.1,18.3,4600,12.27
1093,NBB,2016-05-30,18.1,18.3,18.1,18.3,14840,12.27
1092,NBB,2016-05-31,18.1,18.2,18.0,18.2,20040,12.2
1091,NBB,2016-06-01,18.1,18.3,18.1,18.3,17070,12.27
1090,NBB,2016-06-02,18.5,18.5,18.0,18.3,26000,12.27
1089,NBB,2016-06-03,18.1,18.3,18.1,18.3,13610,12.27
1088,NBB,2016-06-06,18.1,18.3,18.0,18.3,120590,12.27
1087,NBB,2016-06-07,18.3,18.7,18.2,18.6,237890,12.47
1086,NBB,2016-06-08,18.6,18.7,18.4,18.4,19000,12.34
1085,NBB,2016-06-09,18.2,18.4,18.0,18.4,27810,12.34
1084,NBB,2016-06-10,18.2,18.3,18.0,18.0,38540,12.07
1083,NBB,2016-06-13,18.0,18.2,17.7,18.1,36600,12.13
1082,NBB,2016-06-14,18.1,18.1,17.7,18.1,23640,12.13
1081,NBB,2016-06-15,18.0,18.0,17.9,18.0,31230,12.07
1080,NBB,2016-06-16,18.0,18.5,18.0,18.4,108210,12.34
1079,NBB,2016-06-17,18.3,18.5,17.5,17.9,98300,12.0
1078,NBB,2016-06-20,18.0,18.2,18.0,18.2,10400,12.2
1077,NBB,2016-06-21,18.2,18.2,18.2,18.2,0,12.2
1076,NBB,2016-06-22,17.9,18.4,17.8,18.4,1210,12.34
1075,NBB,2016-06-23,18.1,18.1,18.1,18.1,2330,12.13
1074,NBB,2016-06-24,18.1,18.4,16.9,18.4,58860,12.34
1073,NBB,2016-06-27,18.2,18.5,18.0,18.5,46130,12.4
1072,NBB,2016-06-28,18.3,18.7,18.0,18.7,44120,12.54
1071,NBB,2016-06-29,18.5,18.7,18.2,18.7,55990,12.54
1070,NBB,2016-06-30,18.6,18.8,18.3,18.8,153030,12.6
1069,NBB,2016-07-01,18.8,18.8,18.3,18.3,33510,12.27
1068,NBB,2016-07-04,19.1,19.3,18.6,18.9,660,12.67
1067,NBB,2016-07-05,18.8,18.8,18.4,18.4,3510,12.34
1066,NBB,2016-07-06,18.4,18.4,18.1,18.4,16840,12.34
1065,NBB,2016-07-07,18.7,18.7,18.1,18.4,20860,12.34
1064,NBB,2016-07-08,18.1,18.2,18.0,18.0,45680,12.07
1063,NBB,2016-07-11,18.1,18.3,18.0,18.3,854160,12.27
1062,NBB,2016-07-12,18.0,18.3,18.0,18.3,10010,12.27
1061,NBB,2016-07-13,17.9,18.3,17.9,18.1,3310,12.13
1060,NBB,2016-07-14,18.0,18.0,17.5,18.0,22150,12.07
1059,NBB,2016-07-15,17.1,18.9,17.1,18.1,56400,12.13
1058,NBB,2016-07-18,18.0,18.5,18.0,18.3,10420,12.27
1057,NBB,2016-07-19,18.4,19.0,18.2,18.7,91620,12.54
1056,NBB,2016-07-20,18.3,18.9,18.3,18.7,3220,12.54
1055,NBB,2016-07-21,18.3,18.8,18.2,18.7,21570,12.54
1054,NBB,2016-07-22,18.2,18.7,18.2,18.2,15400,12.2
1053,NBB,2016-07-25,18.5,18.5,18.1,18.5,2230,12.4
1052,NBB,2016-07-26,18.6,18.7,18.1,18.4,6070,12.34
1051,NBB,2016-07-27,18.4,18.5,17.7,18.4,19200,12.34
1050,NBB,2016-07-28,18.5,18.5,18.1,18.4,2420,12.34
1049,NBB,2016-07-29,18.1,18.3,18.1,18.3,6050,12.27
1048,NBB,2016-08-01,18.3,18.3,18.3,18.3,10,12.27
1047,NBB,2016-08-02,18.4,18.4,17.3,18.3,13120,12.27
1046,NBB,2016-08-03,18.3,18.4,18.0,18.3,10210,12.27
1045,NBB,2016-08-04,18.2,18.3,18.2,18.3,2500,12.27
1044,NBB,2016-08-05,17.5,18.1,17.5,18.1,6770,12.13
1043,NBB,2016-08-08,18.0,18.1,17.9,18.1,4560,12.13
1042,NBB,2016-08-09,18.1,18.3,18.1,18.3,700,12.27
1041,NBB,2016-08-10,18.4,18.4,17.5,18.3,27930,12.27
1040,NBB,2016-08-11,17.7,18.3,17.7,18.3,2430,12.27
1039,NBB,2016-08-12,17.6,18.2,17.6,18.2,3720,12.2
1038,NBB,2016-08-15,17.8,18.2,17.8,18.0,115400,12.07
1037,NBB,2016-08-16,18.0,18.1,18.0,18.0,204690,12.07
1036,NBB,2016-08-17,17.9,18.0,17.9,18.0,97550,12.07
1035,NBB,2016-08-18,17.7,18.1,17.6,18.1,2410,12.13
1034,NBB,2016-08-19,17.9,17.9,17.6,17.8,63690,11.93
