,name,date,open,high,low,close,volume,adj_close
1190,NLG,2016-01-04,22.6,22.9,22.6,22.6,110400,12.9
1189,NLG,2016-01-05,22.5,22.6,22.4,22.6,100490,12.9
1188,NLG,2016-01-06,22.6,23.1,22.5,23.1,171200,13.18
1187,NLG,2016-01-07,22.9,23.0,22.7,22.9,102300,13.07
1186,NLG,2016-01-08,22.8,22.9,22.7,22.7,99190,12.96
1185,NLG,2016-01-11,22.6,22.7,22.4,22.7,119260,12.96
1184,NLG,2016-01-12,22.6,23.7,22.5,23.6,336060,13.47
1183,NLG,2016-01-13,23.5,23.7,23.4,23.6,147710,13.47
1182,NLG,2016-01-14,23.5,23.6,23.3,23.4,121400,13.35
1181,NLG,2016-01-15,23.4,23.5,23.0,23.0,103850,13.13
1180,NLG,2016-01-18,22.9,22.9,22.5,22.6,201020,12.9
1179,NLG,2016-01-19,22.6,23.0,22.6,22.9,160440,13.07
1178,NLG,2016-01-20,22.8,22.9,22.6,22.7,100010,12.96
1177,NLG,2016-01-21,22.8,22.9,22.7,22.8,102650,13.01
1176,NLG,2016-01-22,22.9,22.9,22.7,22.9,268220,13.07
1175,NLG,2016-01-25,22.9,23.5,22.8,23.5,283910,13.41
1174,NLG,2016-01-26,23.3,23.4,23.0,23.0,100180,13.13
1173,NLG,2016-01-27,23.0,23.6,23.0,23.6,170130,13.47
1172,NLG,2016-01-28,23.5,24.0,23.5,23.7,187830,13.53
1171,NLG,2016-01-29,23.6,23.9,23.4,23.9,152200,13.64
1170,NLG,2016-02-01,23.7,23.9,23.4,23.5,119670,13.41
1169,NLG,2016-02-02,23.5,23.7,23.4,23.6,100520,13.47
1168,NLG,2016-02-03,23.5,23.5,23.1,23.4,185110,13.35
1167,NLG,2016-02-04,23.3,23.5,23.3,23.5,92250,13.41
1166,NLG,2016-02-05,23.5,23.6,23.4,23.6,95380,13.47
1165,NLG,2016-02-15,23.6,23.7,23.3,23.7,121010,13.53
1164,NLG,2016-02-16,23.6,23.9,23.6,23.9,199630,13.64
1163,NLG,2016-02-17,23.8,23.9,23.6,23.9,106320,13.64
1162,NLG,2016-02-18,23.9,24.0,23.6,23.9,120670,13.64
1161,NLG,2016-02-19,23.8,23.8,23.5,23.5,126140,13.41
1160,NLG,2016-02-22,23.5,23.6,23.4,23.4,144520,13.35
1159,NLG,2016-02-23,23.5,23.6,23.3,23.4,182330,13.35
1158,NLG,2016-02-24,23.4,23.5,23.2,23.5,150620,13.41
1157,NLG,2016-02-25,23.4,23.5,22.9,22.9,166340,13.07
1156,NLG,2016-02-26,22.9,23.3,22.9,23.3,166760,13.3
1155,NLG,2016-02-29,23.3,23.3,22.8,23.1,139290,13.18
1154,NLG,2016-03-01,23.1,23.5,22.9,23.4,255850,13.35
1153,NLG,2016-03-02,23.4,24.2,23.4,24.2,286590,13.81
1152,NLG,2016-03-03,23.9,24.2,23.8,23.9,184570,13.64
1151,NLG,2016-03-04,23.9,24.1,23.8,24.0,162820,13.7
1150,NLG,2016-03-07,23.7,24.0,23.6,23.7,105250,13.53
1149,NLG,2016-03-08,23.7,23.8,23.3,23.6,104410,13.47
1148,NLG,2016-03-09,23.6,23.6,23.4,23.6,101330,13.47
1147,NLG,2016-03-10,23.6,23.7,23.4,23.6,81690,13.47
1146,NLG,2016-03-11,23.8,23.8,23.6,23.7,139990,13.53
1145,NLG,2016-03-14,23.6,23.7,23.3,23.6,102210,13.47
1144,NLG,2016-03-15,23.5,23.5,23.3,23.5,101980,13.41
1143,NLG,2016-03-16,23.5,23.6,23.2,23.2,120860,13.24
1142,NLG,2016-03-17,23.5,23.5,23.2,23.5,108120,13.41
1141,NLG,2016-03-18,23.4,23.6,23.3,23.3,142130,13.3
1140,NLG,2016-03-21,23.5,23.5,23.3,23.4,150930,13.35
1139,NLG,2016-03-22,23.4,23.6,23.3,23.6,330050,13.47
1138,NLG,2016-03-23,23.5,23.5,23.1,23.3,99890,13.57
1137,NLG,2016-03-24,23.3,23.5,23.1,23.1,183120,13.45
1136,NLG,2016-03-25,23.1,23.3,23.0,23.1,96590,13.45
1135,NLG,2016-03-28,23.1,23.5,23.1,23.5,105180,13.69
1134,NLG,2016-03-29,23.4,23.4,23.2,23.3,91390,13.57
1133,NLG,2016-03-30,23.3,23.5,23.1,23.2,126590,13.51
1132,NLG,2016-03-31,23.2,23.3,22.7,22.7,162290,13.22
1131,NLG,2016-04-01,22.5,22.5,21.9,21.9,169200,12.75
1130,NLG,2016-04-04,21.9,22.2,21.7,22.1,180810,12.87
1129,NLG,2016-04-05,21.9,22.3,21.8,22.3,163610,12.99
1128,NLG,2016-04-06,22.0,22.5,22.0,22.3,143390,12.99
1127,NLG,2016-04-07,22.3,22.4,21.9,21.9,183670,12.75
1126,NLG,2016-04-08,22.0,22.3,21.8,22.3,249030,12.99
1125,NLG,2016-04-11,22.3,23.1,22.2,22.8,223930,13.28
1124,NLG,2016-04-12,22.9,23.0,22.5,22.6,183950,13.16
1123,NLG,2016-04-13,22.7,23.0,22.5,22.7,197470,13.22
1122,NLG,2016-04-14,22.6,22.9,22.5,22.5,156540,13.1
1121,NLG,2016-04-15,22.5,22.8,22.4,22.6,133880,13.16
1120,NLG,2016-04-19,22.5,22.6,22.3,22.3,101790,12.99
1119,NLG,2016-04-20,22.4,22.5,22.2,22.3,80180,12.99
1118,NLG,2016-04-21,22.3,22.5,22.3,22.3,75160,12.99
1117,NLG,2016-04-22,22.4,22.7,22.3,22.7,124050,13.22
1116,NLG,2016-04-25,22.6,22.9,22.6,22.8,118810,13.28
1115,NLG,2016-04-26,22.7,23.0,22.5,23.0,136500,13.39
1114,NLG,2016-04-27,23.0,23.0,22.7,22.9,152370,13.34
1113,NLG,2016-04-28,22.9,23.3,22.8,23.2,246310,13.51
1112,NLG,2016-04-29,23.0,23.6,22.9,23.4,274110,13.63
1111,NLG,2016-05-04,23.2,23.4,23.1,23.4,156760,13.63
1110,NLG,2016-05-05,23.2,23.9,23.2,23.9,297470,13.92
1109,NLG,2016-05-06,23.8,24.3,23.7,24.1,311310,14.03
1108,NLG,2016-05-09,23.9,24.3,23.6,23.7,168280,13.8
1107,NLG,2016-05-10,23.5,23.9,23.4,23.5,246530,13.69
1106,NLG,2016-05-11,23.5,23.6,23.2,23.4,191400,13.63
1105,NLG,2016-05-12,23.4,23.9,23.4,23.7,284590,13.8
1104,NLG,2016-05-13,23.7,23.9,23.5,23.8,244830,13.86
1103,NLG,2016-05-16,23.8,24.0,23.7,23.9,187380,13.92
1102,NLG,2016-05-17,24.0,24.0,23.5,23.9,350650,13.92
1101,NLG,2016-05-18,23.9,24.0,23.5,23.7,206670,13.8
1100,NLG,2016-05-19,23.5,23.8,23.5,23.5,170310,13.69
1099,NLG,2016-05-20,23.6,23.7,23.2,23.2,207500,13.51
1098,NLG,2016-05-23,23.1,23.5,23.1,23.4,155060,13.63
1097,NLG,2016-05-24,23.5,23.7,23.4,23.4,206050,13.63
1096,NLG,2016-05-25,23.4,23.6,23.3,23.4,167420,13.63
1095,NLG,2016-05-26,23.3,23.4,23.1,23.4,169690,13.63
1094,NLG,2016-05-27,23.3,23.5,23.2,23.5,162950,13.69
1093,NLG,2016-05-30,23.5,23.8,23.2,23.2,213200,13.51
1092,NLG,2016-05-31,23.3,23.4,23.1,23.2,215820,13.51
1091,NLG,2016-06-01,23.2,23.2,23.0,23.2,149890,13.51
1090,NLG,2016-06-02,23.2,23.3,23.0,23.1,128560,13.45
1089,NLG,2016-06-03,23.2,23.3,22.9,23.2,143510,13.51
1088,NLG,2016-06-06,23.2,23.4,22.9,23.0,101970,13.39
1087,NLG,2016-06-07,23.1,23.2,22.8,22.9,137320,13.34
1086,NLG,2016-06-08,22.8,23.1,22.7,22.8,121550,13.28
1085,NLG,2016-06-09,22.8,22.9,22.6,22.8,129170,13.28
1084,NLG,2016-06-10,22.9,22.9,22.5,22.8,176720,13.28
1083,NLG,2016-06-13,22.7,22.7,22.5,22.5,102350,13.1
1082,NLG,2016-06-14,22.6,22.8,22.5,22.7,91090,13.22
1081,NLG,2016-06-15,22.6,22.6,22.2,22.3,103640,12.99
1080,NLG,2016-06-16,22.3,22.3,22.1,22.1,101610,12.87
1079,NLG,2016-06-17,22.1,22.2,22.0,22.2,143380,12.93
1078,NLG,2016-06-20,22.3,22.4,22.1,22.1,98560,12.87
1077,NLG,2016-06-21,22.1,22.3,22.0,22.1,95610,12.87
1076,NLG,2016-06-22,22.1,22.1,21.9,22.1,101250,12.87
1075,NLG,2016-06-23,22.2,22.2,21.9,22.1,116120,12.87
1074,NLG,2016-06-24,22.1,22.1,21.1,21.5,126850,12.52
1073,NLG,2016-06-27,21.3,21.4,20.9,21.0,26330,12.23
1072,NLG,2016-06-28,21.0,21.1,21.0,21.0,112680,12.23
1071,NLG,2016-06-29,21.0,22.1,21.0,22.0,152500,12.81
1070,NLG,2016-06-30,22.0,22.5,21.9,22.5,252630,13.1
1069,NLG,2016-07-01,22.3,23.2,22.2,23.0,322750,13.39
1068,NLG,2016-07-04,22.9,23.1,22.8,22.9,191320,13.34
1067,NLG,2016-07-05,22.8,22.8,22.3,22.6,159800,13.16
1066,NLG,2016-07-06,22.6,22.6,22.0,22.0,118980,12.81
1065,NLG,2016-07-07,22.1,22.5,21.9,22.0,246050,12.81
1064,NLG,2016-07-08,21.9,22.2,21.9,22.0,139480,12.81
1063,NLG,2016-07-11,22.0,22.1,21.9,22.0,152700,12.81
1062,NLG,2016-07-12,22.2,22.2,21.6,21.6,113620,12.58
1061,NLG,2016-07-13,21.8,21.8,21.4,21.5,98310,12.52
1060,NLG,2016-07-14,21.5,21.6,21.2,21.2,83770,12.35
1059,NLG,2016-07-15,21.2,21.4,21.0,21.3,88930,12.4
1058,NLG,2016-07-18,21.4,21.5,21.3,21.5,104380,12.52
1057,NLG,2016-07-19,21.6,21.7,21.3,21.4,112130,12.46
1056,NLG,2016-07-20,21.4,21.5,21.3,21.5,112550,12.52
1055,NLG,2016-07-21,21.5,22.0,21.5,21.7,143440,12.64
1054,NLG,2016-07-22,21.7,21.8,21.4,21.5,124980,12.52
1053,NLG,2016-07-25,21.5,21.7,21.5,21.6,142720,12.58
1052,NLG,2016-07-26,21.6,21.8,21.5,21.7,145240,12.64
1051,NLG,2016-07-27,21.7,21.9,21.5,21.7,256000,12.64
1050,NLG,2016-07-28,21.7,21.8,21.5,21.6,136010,12.58
1049,NLG,2016-07-29,21.6,21.6,21.4,21.6,88450,12.58
1048,NLG,2016-08-01,21.6,21.9,21.2,21.5,174330,12.52
1047,NLG,2016-08-02,21.3,21.4,21.1,21.2,78830,12.35
1046,NLG,2016-08-03,21.2,21.3,20.8,20.8,88280,12.11
1045,NLG,2016-08-04,20.9,21.3,20.9,21.0,119560,12.23
1044,NLG,2016-08-05,21.0,21.0,20.7,20.8,189080,12.11
1043,NLG,2016-08-08,20.9,21.2,20.9,21.1,141370,12.29
1042,NLG,2016-08-09,21.1,21.2,21.0,21.2,108630,12.35
1041,NLG,2016-08-10,21.2,21.2,20.9,21.1,196680,12.29
1040,NLG,2016-08-11,21.2,21.3,20.9,21.1,98170,12.29
1039,NLG,2016-08-12,21.2,21.3,20.9,20.9,99110,12.17
1038,NLG,2016-08-15,20.9,21.0,20.7,20.7,94590,12.05
1037,NLG,2016-08-16,20.8,21.0,20.7,20.9,114590,12.17
1036,NLG,2016-08-17,20.9,21.0,20.8,21.0,111310,12.23
1035,NLG,2016-08-18,21.0,21.5,20.9,21.5,172430,12.52
1034,NLG,2016-08-19,21.5,21.5,21.2,21.3,85790,12.4
1033,NLG,2016-08-22,21.3,22.5,21.3,22.0,313650,12.81
1032,NLG,2016-08-23,21.9,22.1,21.7,21.9,117300,12.75
1031,NLG,2016-08-24,21.9,22.1,21.7,21.7,90340,12.64
1030,NLG,2016-08-25,21.7,21.8,21.6,21.6,98570,12.58
1029,NLG,2016-08-26,21.6,21.7,21.4,21.4,108110,12.46
1028,NLG,2016-08-29,21.5,22.8,21.4,22.8,144730,13.28
1027,NLG,2016-08-30,22.4,22.4,21.6,21.7,106810,12.64
1026,NLG,2016-08-31,21.7,21.9,21.6,21.7,97070,12.64
1025,NLG,2016-09-01,21.7,21.7,21.4,21.7,92430,12.64
1024,NLG,2016-09-05,21.8,22.3,21.8,22.0,270580,12.81
1023,NLG,2016-09-06,22.0,22.2,21.9,22.0,106280,12.81
1022,NLG,2016-09-07,22.0,22.0,21.8,21.9,99320,12.75
1021,NLG,2016-09-08,22.0,22.1,21.9,22.0,103230,12.81
1020,NLG,2016-09-09,22.0,22.2,21.7,22.2,155270,12.93
1019,NLG,2016-09-12,22.1,22.1,21.8,21.9,96380,12.75
1018,NLG,2016-09-13,21.9,21.95,21.8,21.85,95430,12.72
1017,NLG,2016-09-14,21.85,21.85,21.7,21.85,128010,12.72
1016,NLG,2016-09-15,21.85,22.15,21.85,22.0,181760,12.81
1015,NLG,2016-09-16,21.95,22.0,21.8,21.9,87470,12.75
1014,NLG,2016-09-19,21.9,22.0,21.8,22.0,104220,12.81
1013,NLG,2016-09-20,21.95,22.3,21.85,22.3,256210,12.99
1012,NLG,2016-09-21,22.15,22.6,22.0,22.4,246050,13.04
1011,NLG,2016-09-22,22.4,22.65,22.4,22.6,348580,13.16
1010,NLG,2016-09-23,22.5,22.55,22.1,22.4,187400,13.04
1009,NLG,2016-09-26,22.4,22.6,22.25,22.4,186560,13.04
1008,NLG,2016-09-27,22.4,22.7,22.2,22.5,267710,13.1
1007,NLG,2016-09-28,22.45,22.55,22.3,22.3,120960,12.99
1006,NLG,2016-09-29,22.35,22.5,22.3,22.3,108240,12.99
1005,NLG,2016-09-30,22.2,22.35,22.15,22.3,116120,12.99
1004,NLG,2016-10-03,22.35,22.45,22.3,22.35,125340,13.02
1003,NLG,2016-10-04,22.35,22.55,22.35,22.4,194110,13.04
1002,NLG,2016-10-05,22.4,22.55,22.35,22.4,234380,13.04
1001,NLG,2016-10-06,22.4,22.6,22.35,22.6,190650,13.16
1000,NLG,2016-10-07,22.6,22.65,22.2,22.4,338630,13.04
999,NLG,2016-10-10,22.4,22.45,22.0,22.0,196690,12.81
998,NLG,2016-10-11,22.05,22.2,21.7,21.85,206150,12.72
997,NLG,2016-10-12,21.85,22.25,21.75,22.2,308480,12.93
996,NLG,2016-10-13,22.3,22.3,22.05,22.2,146280,12.93
995,NLG,2016-10-14,22.2,22.35,22.1,22.2,126830,12.93
994,NLG,2016-10-17,22.2,22.4,22.2,22.3,575660,12.99
993,NLG,2016-10-18,22.3,22.8,22.3,22.6,468590,13.16
992,NLG,2016-10-19,22.6,22.8,22.4,22.65,537340,13.19
991,NLG,2016-10-20,22.45,22.65,22.2,22.4,202870,13.04
990,NLG,2016-10-21,22.4,22.45,22.0,22.15,187610,12.9
989,NLG,2016-10-24,22.1,22.2,21.95,22.0,356450,12.81
988,NLG,2016-10-25,22.05,22.15,21.75,22.0,223690,12.81
987,NLG,2016-10-26,22.0,22.0,21.7,22.0,147430,12.81
986,NLG,2016-10-27,21.95,21.95,21.7,21.8,114940,12.7
985,NLG,2016-10-28,21.75,22.05,21.7,21.85,323300,12.72
984,NLG,2016-10-31,21.75,21.9,21.7,21.75,143110,12.67
983,NLG,2016-11-01,21.8,21.8,21.4,21.5,119330,12.52
982,NLG,2016-11-02,21.5,22.05,21.5,21.95,375190,12.78
981,NLG,2016-11-03,21.95,22.4,21.7,22.25,201030,12.96
980,NLG,2016-11-04,22.3,22.5,22.25,22.5,209840,13.1
979,NLG,2016-11-07,22.45,22.55,22.4,22.45,297520,13.07
978,NLG,2016-11-08,22.45,22.5,22.3,22.5,240970,13.1
977,NLG,2016-11-09,22.4,22.5,21.9,22.5,176880,13.1
976,NLG,2016-11-10,22.5,22.6,22.3,22.35,359080,13.02
975,NLG,2016-11-11,22.4,22.5,22.15,22.35,137340,13.02
974,NLG,2016-11-14,22.3,22.35,22.1,22.35,196780,13.02
973,NLG,2016-11-15,22.35,22.35,21.9,21.9,352130,12.75
972,NLG,2016-11-16,21.9,22.2,21.9,22.2,136770,12.93
971,NLG,2016-11-17,22.2,22.4,22.0,22.4,109210,13.04
970,NLG,2016-11-18,22.4,23.1,22.4,22.95,402580,13.37
969,NLG,2016-11-21,22.75,22.8,22.6,22.7,254510,13.22
968,NLG,2016-11-22,22.5,22.75,22.5,22.7,149020,13.22
967,NLG,2016-11-23,22.6,23.0,22.6,23.0,531900,13.39
966,NLG,2016-11-24,23.0,23.0,22.75,23.0,332690,13.39
965,NLG,2016-11-25,22.95,23.1,22.8,23.0,140020,13.39
964,NLG,2016-11-28,22.9,23.1,22.8,23.0,478750,13.39
963,NLG,2016-11-29,22.9,23.1,22.9,23.0,197590,13.39
962,NLG,2016-11-30,23.0,23.0,22.7,23.0,125800,13.39
961,NLG,2016-12-01,22.9,23.0,22.35,22.8,152180,13.28
960,NLG,2016-12-02,22.8,22.9,22.1,22.8,135880,13.28
959,NLG,2016-12-05,22.8,22.9,22.0,22.45,255340,13.07
958,NLG,2016-12-06,22.45,22.8,21.8,22.6,286240,13.16
957,NLG,2016-12-07,22.6,22.6,21.8,22.5,114870,13.1
956,NLG,2016-12-08,22.4,22.8,22.3,22.3,138550,13.13
955,NLG,2016-12-09,22.3,22.7,22.3,22.3,106490,13.13
954,NLG,2016-12-12,22.3,22.5,22.2,22.3,159630,13.13
953,NLG,2016-12-13,22.3,22.3,21.7,22.1,162210,13.01
952,NLG,2016-12-14,22.1,22.4,21.9,22.2,119700,13.07
951,NLG,2016-12-15,22.2,22.2,21.5,22.1,132620,13.01
950,NLG,2016-12-16,22.1,22.2,21.8,21.8,136470,12.84
949,NLG,2016-12-19,21.8,22.0,21.4,21.9,139330,12.9
948,NLG,2016-12-20,21.8,22.2,21.4,22.1,260500,13.01
947,NLG,2016-12-21,22.1,22.2,21.5,21.7,187070,12.78
946,NLG,2016-12-22,21.5,22.0,21.45,21.95,178360,12.93
945,NLG,2016-12-23,21.8,21.9,21.6,21.8,155370,12.84
944,NLG,2016-12-26,21.8,21.85,21.6,21.85,142240,12.87
943,NLG,2016-12-27,21.8,21.9,21.6,21.85,275030,12.87
942,NLG,2016-12-28,21.8,22.5,21.7,22.35,238870,13.16
941,NLG,2016-12-29,22.35,22.35,22.0,22.2,106740,13.07
940,NLG,2016-12-30,22.0,22.45,22.0,22.2,126600,13.07
939,NLG,2017-01-03,22.2,22.3,21.9,22.2,396360,13.07
938,NLG,2017-01-04,22.2,22.4,22.1,22.4,168170,13.19
937,NLG,2017-01-05,22.3,22.45,22.0,22.3,163220,13.13
936,NLG,2017-01-06,22.2,22.55,22.2,22.4,195260,13.19
935,NLG,2017-01-09,22.4,22.5,21.95,22.3,169880,13.13
934,NLG,2017-01-10,22.3,22.6,22.3,22.5,333220,13.25
933,NLG,2017-01-11,22.5,22.6,22.45,22.55,112620,13.28
932,NLG,2017-01-12,22.45,22.55,22.4,22.55,132180,13.28
931,NLG,2017-01-13,22.55,22.55,22.2,22.2,150220,13.07
930,NLG,2017-01-16,22.2,22.5,22.2,22.5,122600,13.25
929,NLG,2017-01-17,22.55,22.75,22.5,22.5,262440,13.25
928,NLG,2017-01-18,22.75,23.0,22.7,22.9,281240,13.49
927,NLG,2017-01-19,22.9,22.9,22.6,22.7,116200,13.37
926,NLG,2017-01-20,22.75,22.75,22.5,22.6,153250,13.31
925,NLG,2017-01-23,22.6,22.6,22.4,22.5,98990,13.25
924,NLG,2017-01-24,22.5,23.0,22.45,22.5,161840,13.25
923,NLG,2017-01-25,22.5,23.0,22.45,23.0,138230,13.54
922,NLG,2017-02-02,22.8,22.8,22.5,22.5,115720,13.25
921,NLG,2017-02-03,22.5,22.55,22.3,22.3,192250,13.13
920,NLG,2017-02-06,22.4,22.4,22.2,22.3,120180,13.13
919,NLG,2017-02-07,22.4,22.45,22.25,22.25,189530,13.1
918,NLG,2017-02-08,22.25,22.35,22.15,22.35,139690,13.16
