,name,date,open,high,low,close,volume,adj_close
1190,NT2,2016-01-04,26.6,26.9,26.3,26.6,646170,14.54
1189,NT2,2016-01-05,26.6,26.7,26.5,26.6,461970,14.54
1188,NT2,2016-01-06,26.8,27.2,26.7,27.0,366600,14.76
1187,NT2,2016-01-07,27.1,27.1,26.6,26.8,214880,14.65
1186,NT2,2016-01-08,26.5,26.9,26.5,26.7,361600,14.59
1185,NT2,2016-01-11,27.0,27.0,26.5,26.7,252880,14.59
1184,NT2,2016-01-12,26.5,26.7,26.5,26.7,146800,14.59
1183,NT2,2016-01-13,26.8,26.9,26.6,26.9,249760,14.7
1182,NT2,2016-01-14,26.7,26.9,26.5,26.8,122130,14.65
1181,NT2,2016-01-15,26.8,26.8,26.3,26.7,380980,14.59
1180,NT2,2016-01-18,26.4,26.4,25.3,26.0,987190,14.21
1179,NT2,2016-01-19,26.3,26.5,26.0,26.5,496660,14.48
1178,NT2,2016-01-20,26.6,27.1,26.3,26.3,1008560,14.38
1177,NT2,2016-01-21,26.2,26.5,26.1,26.2,326380,14.32
1176,NT2,2016-01-22,26.2,26.5,25.7,26.5,440980,14.48
1175,NT2,2016-01-25,26.7,27.3,26.7,27.0,815950,14.76
1174,NT2,2016-01-26,26.1,26.9,26.0,26.4,585940,14.43
1173,NT2,2016-01-27,26.4,26.5,26.1,26.5,308030,14.48
1172,NT2,2016-01-28,26.4,26.7,25.8,26.2,707560,14.32
1171,NT2,2016-01-29,26.0,26.5,25.8,26.4,455220,14.43
1170,NT2,2016-02-01,26.5,26.5,26.2,26.2,106860,14.32
1169,NT2,2016-02-02,25.9,26.5,25.9,26.1,402570,14.27
1168,NT2,2016-02-03,26.0,26.2,25.9,25.9,796440,14.16
1167,NT2,2016-02-04,26.2,26.3,26.0,26.0,223380,14.21
1166,NT2,2016-02-05,26.0,26.3,26.0,26.3,398320,14.38
1165,NT2,2016-02-15,26.3,26.4,25.8,26.0,288450,14.21
1164,NT2,2016-02-16,26.3,26.4,26.1,26.3,469210,14.38
1163,NT2,2016-02-17,26.2,26.9,26.2,26.8,1059560,14.65
1162,NT2,2016-02-18,26.8,27.0,26.7,26.9,496130,14.7
1161,NT2,2016-02-19,26.9,26.9,26.7,26.7,169160,14.59
1160,NT2,2016-02-22,26.7,26.8,26.6,26.6,355110,14.54
1159,NT2,2016-02-23,26.6,26.7,26.5,26.5,428390,14.48
1158,NT2,2016-02-24,26.6,26.6,26.3,26.4,462230,14.43
1157,NT2,2016-02-25,26.5,26.7,26.5,26.6,243370,14.54
1156,NT2,2016-02-26,26.7,26.8,26.5,26.6,120750,14.54
1155,NT2,2016-02-29,26.6,26.7,26.5,26.5,186960,14.48
1154,NT2,2016-03-01,26.4,26.6,26.2,26.6,403780,14.54
1153,NT2,2016-03-02,26.6,27.8,26.6,27.8,1959700,15.2
1152,NT2,2016-03-03,27.5,27.8,27.3,27.5,407900,15.03
1151,NT2,2016-03-04,27.5,28.2,27.4,28.1,771140,15.36
1150,NT2,2016-03-07,28.6,29.3,28.2,28.6,1222540,15.63
1149,NT2,2016-03-08,28.6,29.0,28.5,28.6,584700,15.63
1148,NT2,2016-03-09,28.6,28.6,27.8,28.0,1557220,15.3
1147,NT2,2016-03-10,28.0,28.3,27.9,28.2,1012450,15.41
1146,NT2,2016-03-11,28.4,28.8,28.3,28.4,735960,15.52
1145,NT2,2016-03-14,28.4,28.6,28.3,28.5,538520,15.58
1144,NT2,2016-03-15,28.4,28.5,27.8,28.3,641570,15.47
1143,NT2,2016-03-16,28.4,28.4,28.2,28.3,271230,15.47
1142,NT2,2016-03-17,29.0,29.3,28.6,29.0,1665220,15.85
1141,NT2,2016-03-18,29.1,29.8,29.1,29.8,3459550,16.29
1140,NT2,2016-03-21,30.0,30.0,29.2,29.6,1216490,16.18
1139,NT2,2016-03-22,29.4,29.8,29.2,29.7,883950,16.23
1138,NT2,2016-03-23,29.7,29.8,29.5,29.8,890630,16.29
1137,NT2,2016-03-24,29.6,30.9,29.6,30.4,1149410,16.62
1136,NT2,2016-03-25,30.4,32.4,30.4,32.4,1796690,17.71
1135,NT2,2016-03-28,32.9,34.3,31.5,34.3,1102090,18.75
1134,NT2,2016-03-29,34.5,36.0,34.5,34.7,1861880,18.97
1133,NT2,2016-03-30,34.2,34.8,33.6,33.6,1205570,18.37
1132,NT2,2016-03-31,33.6,34.4,33.2,33.2,954010,18.15
1131,NT2,2016-04-01,33.0,33.0,31.8,31.9,1138560,17.44
1130,NT2,2016-04-04,31.7,32.9,31.7,31.8,779150,17.38
1129,NT2,2016-04-05,32.5,32.7,31.8,32.6,452150,17.82
1128,NT2,2016-04-06,32.7,33.1,32.4,33.0,934160,18.04
1127,NT2,2016-04-07,33.2,33.9,33.0,33.0,676380,18.04
1126,NT2,2016-04-08,33.1,33.5,32.5,32.7,590270,17.87
1125,NT2,2016-04-11,32.8,32.8,32.3,32.5,595600,17.76
1124,NT2,2016-04-12,32.5,34.6,32.3,34.2,1265350,18.69
1123,NT2,2016-04-13,33.7,34.8,33.7,33.7,990730,18.42
1122,NT2,2016-04-14,33.7,34.2,33.7,33.9,344120,18.53
