,name,date,open,high,low,close,volume,adj_close
942,NVL,2016-12-28,60.0,60.0,60.0,60.0,7232660,44.99
941,NVL,2016-12-29,60.5,61.6,57.9,60.1,3217540,45.06
940,NVL,2016-12-30,60.0,60.1,58.4,60.1,2391160,45.06
939,NVL,2017-01-03,59.0,60.0,59.0,59.0,520260,44.24
938,NVL,2017-01-04,59.0,59.5,59.0,59.4,1056370,44.54
937,NVL,2017-01-05,59.3,59.4,59.0,59.1,637040,44.31
936,NVL,2017-01-06,59.0,59.2,58.8,59.2,787010,44.39
935,NVL,2017-01-09,59.1,59.3,58.7,59.3,1110630,44.46
934,NVL,2017-01-10,59.2,59.2,58.9,59.0,802560,44.24
933,NVL,2017-01-11,58.9,59.1,58.7,59.1,1077670,44.31
932,NVL,2017-01-12,59.0,59.1,58.7,58.8,904360,44.09
931,NVL,2017-01-13,58.8,59.0,58.5,59.0,967870,44.24
930,NVL,2017-01-16,58.9,59.2,58.7,59.2,1332640,44.39
929,NVL,2017-01-17,59.1,59.2,58.8,58.8,1127570,44.09
928,NVL,2017-01-18,58.7,59.0,58.7,58.9,1179580,44.16
927,NVL,2017-01-19,58.8,59.0,58.0,58.1,1368300,43.56
926,NVL,2017-01-20,58.1,58.5,57.9,58.2,975810,43.64
925,NVL,2017-01-23,58.2,58.4,57.8,57.8,1087390,43.34
924,NVL,2017-01-24,57.8,58.2,57.6,57.9,1201640,43.41
923,NVL,2017-01-25,58.0,60.6,58.0,60.6,1636490,45.44
922,NVL,2017-02-02,60.7,60.9,60.4,60.9,1363250,45.66
921,NVL,2017-02-03,60.8,60.9,60.3,60.9,1185700,45.66
920,NVL,2017-02-06,60.8,60.8,59.9,59.9,1119780,44.91
919,NVL,2017-02-07,59.7,59.8,59.2,59.5,1226190,44.61
918,NVL,2017-02-08,59.5,60.0,59.1,59.1,1262530,44.31
917,NVL,2017-02-09,59.1,59.7,58.8,58.8,1679120,44.09
916,NVL,2017-02-10,59.0,59.6,58.8,58.8,1606250,44.09
915,NVL,2017-02-13,58.9,59.5,58.9,59.2,1257830,44.39
914,NVL,2017-02-14,59.2,59.6,59.2,59.2,1291960,44.39
913,NVL,2017-02-15,59.2,60.0,59.2,59.5,1404110,44.61
912,NVL,2017-02-16,59.8,60.6,59.6,60.3,1493510,45.21
911,NVL,2017-02-17,60.3,61.4,60.3,60.8,1384350,45.59
910,NVL,2017-02-20,61.0,63.5,61.0,63.1,1026640,47.31
909,NVL,2017-02-21,63.5,67.0,63.1,66.0,876160,49.49
908,NVL,2017-02-22,66.1,68.0,66.0,66.2,866880,49.64
907,NVL,2017-02-23,66.1,66.6,64.9,65.9,1538930,49.41
906,NVL,2017-02-24,65.9,65.9,64.5,65.3,1235090,48.96
905,NVL,2017-02-27,66.5,66.9,65.1,66.5,1041880,49.86
904,NVL,2017-02-28,66.5,69.5,66.5,67.0,1508740,50.24
903,NVL,2017-03-01,67.0,68.8,67.0,68.8,1218430,51.59
902,NVL,2017-03-02,68.8,69.5,68.7,68.8,1299640,51.59
901,NVL,2017-03-03,68.8,69.0,67.8,68.9,1150650,51.66
900,NVL,2017-03-06,68.8,69.0,68.3,68.9,929730,51.66
899,NVL,2017-03-07,68.8,70.0,68.3,68.6,910580,51.44
898,NVL,2017-03-08,68.6,68.6,66.5,68.0,1049060,50.99
897,NVL,2017-03-09,68.0,68.1,67.5,68.0,1011710,50.99
896,NVL,2017-03-10,68.0,68.7,67.9,68.0,1068090,50.99
895,NVL,2017-03-13,72.7,72.7,70.0,72.7,3354340,54.51
894,NVL,2017-03-14,72.7,75.5,72.6,75.5,845370,56.61
893,NVL,2017-03-15,75.8,77.0,73.1,73.3,938030,54.96
892,NVL,2017-03-16,73.0,73.3,72.6,72.6,1000630,54.44
891,NVL,2017-03-17,71.7,72.0,67.6,67.6,2375730,50.69
890,NVL,2017-03-20,67.8,70.0,67.8,68.8,1155350,51.59
889,NVL,2017-03-21,68.8,69.1,68.5,68.7,690130,51.51
888,NVL,2017-03-22,68.6,68.6,67.6,67.6,637610,50.69
887,NVL,2017-03-23,67.6,67.8,66.4,66.8,563610,50.09
886,NVL,2017-03-24,66.8,69.3,66.8,69.0,1446360,51.74
885,NVL,2017-03-27,69.0,69.3,68.7,69.1,532530,51.81
884,NVL,2017-03-28,69.1,69.3,68.3,68.5,406850,51.36
883,NVL,2017-03-29,68.5,69.0,68.2,68.5,517550,51.36
882,NVL,2017-03-30,68.5,68.9,68.4,68.7,560350,51.51
881,NVL,2017-03-31,68.8,69.5,68.7,69.2,793980,51.89
880,NVL,2017-04-03,69.2,70.0,68.9,69.5,755190,52.11
879,NVL,2017-04-04,69.5,70.7,69.5,70.4,427440,52.79
878,NVL,2017-04-05,70.7,71.0,70.0,70.4,303140,52.79
877,NVL,2017-04-07,70.4,70.5,69.8,70.4,172000,52.79
876,NVL,2017-04-10,70.5,70.9,70.3,70.5,499710,52.86
875,NVL,2017-04-11,70.5,70.9,70.5,70.7,491060,53.01
874,NVL,2017-04-12,70.8,70.9,70.3,70.7,485270,53.01
873,NVL,2017-04-13,70.7,70.8,70.4,70.5,302580,52.86
872,NVL,2017-04-14,70.6,70.6,69.7,70.0,407240,52.49
871,NVL,2017-04-17,70.0,70.1,69.7,69.7,212430,52.26
870,NVL,2017-04-18,69.8,69.8,68.9,69.6,376040,52.19
869,NVL,2017-04-19,69.7,70.5,69.5,70.2,316870,52.64
868,NVL,2017-04-20,70.2,71.0,70.1,70.8,531930,53.09
867,NVL,2017-04-21,70.9,73.0,70.8,72.5,294460,54.36
866,NVL,2017-04-24,72.8,74.5,72.6,73.1,293990,54.81
865,NVL,2017-04-25,73.0,73.3,72.7,73.0,265790,54.74
864,NVL,2017-04-26,73.0,73.5,72.8,72.8,457960,54.59
863,NVL,2017-04-27,72.9,73.3,71.4,72.5,600290,54.36
862,NVL,2017-04-28,72.5,72.5,70.2,70.7,577350,53.01
861,NVL,2017-05-03,70.7,71.0,70.1,70.1,633660,52.56
860,NVL,2017-05-04,70.1,70.1,69.3,69.5,447240,52.11
859,NVL,2017-05-05,69.6,69.9,69.4,69.5,358060,52.11
858,NVL,2017-05-08,69.5,69.6,68.1,68.1,338780,51.06
857,NVL,2017-05-09,68.1,69.0,67.7,68.6,418830,51.44
856,NVL,2017-05-10,68.6,69.2,68.2,69.0,503660,51.74
855,NVL,2017-05-11,69.0,69.1,68.7,69.1,536880,51.81
854,NVL,2017-05-12,69.0,69.1,68.5,69.0,1218300,51.74
853,NVL,2017-05-15,68.4,68.5,67.5,67.8,931490,50.84
852,NVL,2017-05-16,67.7,67.9,67.2,67.6,533430,50.69
851,NVL,2017-05-17,67.6,68.2,67.4,67.8,820250,50.84
850,NVL,2017-05-18,67.8,67.9,67.3,67.5,606820,50.61
849,NVL,2017-05-19,67.5,68.1,67.4,68.1,266530,51.06
848,NVL,2017-05-22,68.0,68.8,68.0,68.8,274610,51.59
847,NVL,2017-05-23,68.7,68.7,68.4,68.6,129260,51.44
846,NVL,2017-05-24,68.6,68.6,67.8,67.8,408530,50.84
845,NVL,2017-05-25,67.8,67.8,67.0,67.2,444160,50.39
844,NVL,2017-05-26,67.3,67.5,67.0,67.1,688640,50.31
843,NVL,2017-05-29,67.1,67.5,67.0,67.0,148310,50.24
842,NVL,2017-05-30,67.0,67.0,65.7,65.9,556900,49.41
841,NVL,2017-05-31,65.9,67.0,65.7,67.0,825980,50.24
840,NVL,2017-06-01,67.0,68.2,66.9,67.4,343890,50.54
839,NVL,2017-06-02,67.4,68.0,67.0,68.0,385120,50.99
838,NVL,2017-06-05,68.2,69.0,68.2,69.0,999300,51.74
837,NVL,2017-06-06,69.0,69.4,68.9,69.4,633010,52.04
836,NVL,2017-06-07,69.4,69.7,69.2,69.7,511210,52.26
835,NVL,2017-06-08,69.5,69.5,68.7,69.1,964850,51.81
834,NVL,2017-06-09,69.1,69.1,67.5,67.5,595670,50.61
833,NVL,2017-06-12,67.5,67.7,67.3,67.6,1078500,50.69
832,NVL,2017-06-13,67.6,67.6,67.3,67.6,866110,50.69
831,NVL,2017-06-14,67.6,67.6,67.0,67.3,464390,50.46
830,NVL,2017-06-15,67.3,67.3,66.6,67.0,400300,50.24
829,NVL,2017-06-16,67.0,68.0,66.7,68.0,5000990,50.99
828,NVL,2017-06-19,68.0,69.0,67.5,68.4,960650,51.29
827,NVL,2017-06-20,68.4,68.4,67.5,68.0,1091890,50.99
826,NVL,2017-06-21,67.9,68.0,67.3,67.4,1091110,50.54
825,NVL,2017-06-22,67.4,67.9,67.4,67.6,1452530,50.69
824,NVL,2017-06-23,67.6,68.5,67.4,68.5,1642110,51.36
823,NVL,2017-06-26,68.5,68.7,68.2,68.5,768560,51.36
822,NVL,2017-06-27,68.5,68.5,68.1,68.5,676280,51.36
821,NVL,2017-06-28,68.5,68.6,67.9,68.6,584180,51.44
820,NVL,2017-06-29,68.6,68.6,67.4,68.0,928290,50.99
819,NVL,2017-06-30,68.0,68.0,67.6,68.0,976890,50.99
818,NVL,2017-07-03,68.0,68.4,67.9,68.0,990540,50.99
817,NVL,2017-07-04,68.0,68.0,67.6,68.0,1133680,50.99
816,NVL,2017-07-05,68.0,68.1,67.7,68.1,1097780,51.06
815,NVL,2017-07-06,68.1,68.1,67.5,67.6,1124180,50.69
814,NVL,2017-07-07,67.6,67.6,66.9,67.4,1130420,50.54
813,NVL,2017-07-10,67.4,67.4,66.6,67.2,429740,50.39
812,NVL,2017-07-11,67.2,67.4,66.8,67.4,727830,50.54
811,NVL,2017-07-12,67.4,67.5,66.8,67.4,2234130,50.54
810,NVL,2017-07-13,67.4,67.5,67.0,67.5,2237040,50.61
809,NVL,2017-07-14,67.5,68.2,67.3,68.2,786460,51.14
808,NVL,2017-07-17,68.2,68.9,67.2,68.0,1131670,50.99
807,NVL,2017-07-18,68.0,68.0,67.1,67.8,1519340,50.84
806,NVL,2017-07-19,67.7,67.9,67.4,67.4,1152100,50.54
805,NVL,2017-07-20,67.4,67.4,66.8,67.3,754380,50.46
804,NVL,2017-07-21,67.3,68.0,67.1,68.0,1395280,50.99
803,NVL,2017-07-24,68.0,68.0,67.5,68.0,1293080,50.99
802,NVL,2017-07-25,68.0,68.1,67.5,68.0,1518970,50.99
801,NVL,2017-07-26,68.0,68.0,67.7,67.9,1162490,50.91
800,NVL,2017-07-27,67.9,67.9,67.4,67.5,1624760,50.61
799,NVL,2017-07-28,67.5,67.5,66.5,66.6,1620480,49.94
798,NVL,2017-07-31,66.6,67.5,65.9,67.5,1850840,50.61
797,NVL,2017-08-01,67.4,67.5,67.0,67.5,1632380,50.61
796,NVL,2017-08-02,67.4,67.4,66.9,67.2,1723920,50.39
795,NVL,2017-08-03,67.2,67.2,66.9,67.2,1550450,50.39
794,NVL,2017-08-04,67.0,67.3,66.8,67.3,1917370,50.46
793,NVL,2017-08-07,67.3,67.3,66.2,66.7,1841370,50.01
792,NVL,2017-08-08,66.6,66.6,65.6,65.8,1296740,49.34
791,NVL,2017-08-09,65.8,65.8,65.4,65.5,1844830,49.11
790,NVL,2017-08-10,65.3,65.3,64.0,64.3,1631360,48.21
789,NVL,2017-08-11,64.3,64.3,62.5,63.0,1638060,47.24
788,NVL,2017-08-14,62.5,62.5,60.8,61.5,1278550,46.11
787,NVL,2017-08-15,61.5,62.3,61.0,62.0,1932420,46.49
786,NVL,2017-08-16,62.0,62.1,61.0,62.1,1814100,46.56
785,NVL,2017-08-17,62.1,62.1,61.8,61.9,1951410,46.41
784,NVL,2017-08-18,61.9,62.0,61.7,62.0,1842460,46.49
783,NVL,2017-08-21,62.0,62.0,61.1,61.2,1770200,45.89
782,NVL,2017-08-22,61.2,61.4,60.9,61.2,1530980,45.89
781,NVL,2017-08-23,61.3,62.8,61.2,62.8,1808320,47.09
780,NVL,2017-08-24,62.8,63.2,62.4,62.6,1755350,46.94
779,NVL,2017-08-25,62.6,62.6,61.1,61.9,1882130,46.41
778,NVL,2017-08-28,61.9,61.9,60.7,61.1,1935460,45.81
777,NVL,2017-08-29,61.1,61.1,59.5,60.1,1764370,45.06
776,NVL,2017-08-30,60.1,60.1,58.9,60.1,1801580,45.06
775,NVL,2017-08-31,60.1,60.4,58.8,60.2,2004400,45.14
774,NVL,2017-09-01,60.2,60.3,59.6,60.3,1962880,45.21
773,NVL,2017-09-05,60.3,60.3,58.4,60.2,2253620,45.14
772,NVL,2017-09-06,60.1,60.2,58.7,60.2,2194100,45.14
771,NVL,2017-09-07,60.2,60.2,59.0,60.0,2046020,44.99
770,NVL,2017-09-08,59.9,60.0,59.0,60.0,1761420,44.99
769,NVL,2017-09-11,59.8,60.0,59.2,60.0,1670770,44.99
768,NVL,2017-09-12,59.9,61.8,59.5,60.8,2009460,45.59
767,NVL,2017-09-13,60.8,60.8,59.7,60.0,2057550,44.99
766,NVL,2017-09-14,60.0,60.3,59.4,60.3,1853780,45.21
765,NVL,2017-09-15,60.3,63.9,59.9,63.9,2624870,47.91
764,NVL,2017-09-18,63.5,63.5,61.8,62.1,1919620,46.56
763,NVL,2017-09-19,62.0,62.3,61.9,61.9,1938300,46.41
762,NVL,2017-09-20,61.9,62.1,61.3,61.8,1923410,46.34
761,NVL,2017-09-21,61.8,62.0,61.4,61.7,1966440,46.26
760,NVL,2017-09-22,61.7,61.8,61.2,61.6,1873610,46.19
759,NVL,2017-09-25,61.6,61.6,61.1,61.5,1914150,46.11
758,NVL,2017-09-26,61.5,61.9,61.1,61.4,2066050,46.04
757,NVL,2017-09-27,61.4,61.7,61.1,61.4,1905590,46.04
756,NVL,2017-09-28,61.4,61.8,61.3,61.4,1965890,46.04
755,NVL,2017-09-29,61.4,62.5,61.4,61.5,1875670,46.11
754,NVL,2017-10-02,61.5,62.1,61.5,61.5,1605810,46.11
753,NVL,2017-10-03,61.5,61.7,61.2,61.4,1912970,46.04
752,NVL,2017-10-04,61.4,61.6,61.2,61.4,1615410,46.04
751,NVL,2017-10-05,61.4,61.6,61.2,61.4,1510080,46.04
750,NVL,2017-10-06,61.4,61.6,61.2,61.4,1601350,46.04
749,NVL,2017-10-09,61.4,61.6,61.3,61.4,1541630,46.04
748,NVL,2017-10-10,61.4,61.5,61.2,61.4,1696610,46.04
747,NVL,2017-10-11,61.4,61.6,61.3,61.5,1680050,46.11
746,NVL,2017-10-12,61.5,61.8,61.3,61.6,1539590,46.19
745,NVL,2017-10-13,61.6,61.7,61.4,61.7,1537510,46.26
744,NVL,2017-10-16,61.7,63.5,61.7,62.8,1540200,47.09
743,NVL,2017-10-17,62.8,63.8,62.7,63.1,1567020,47.31
742,NVL,2017-10-18,63.1,63.2,62.6,62.6,1560500,46.94
741,NVL,2017-10-19,62.8,63.6,62.6,62.9,1793200,47.16
740,NVL,2017-10-20,62.9,63.0,61.8,62.2,1659810,46.64
739,NVL,2017-10-23,61.6,62.3,60.9,61.6,1596060,46.19
738,NVL,2017-10-24,61.6,61.7,61.2,61.5,1383120,46.11
737,NVL,2017-10-25,61.5,61.6,60.3,60.8,1163860,45.59
736,NVL,2017-10-26,60.8,60.8,60.1,60.7,1037620,45.51
735,NVL,2017-10-27,60.7,61.0,60.4,61.0,1492140,45.74
734,NVL,2017-10-30,61.0,61.2,60.9,61.0,1525520,45.74
733,NVL,2017-10-31,61.0,61.1,60.7,60.9,1286360,45.66
732,NVL,2017-11-01,60.8,61.0,60.5,60.8,1188120,45.59
731,NVL,2017-11-02,60.8,62.5,60.6,61.8,1756250,46.34
730,NVL,2017-11-03,61.8,62.0,61.4,61.5,1575050,46.11
729,NVL,2017-11-06,61.5,61.7,61.3,61.4,1536860,46.04
728,NVL,2017-11-07,61.4,61.5,61.1,61.2,1638960,45.89
727,NVL,2017-11-08,61.2,61.3,59.0,61.0,1593680,45.74
726,NVL,2017-11-09,61.0,61.0,59.9,60.4,1619350,45.29
725,NVL,2017-11-10,60.4,60.8,59.8,60.8,1636470,45.59
724,NVL,2017-11-13,60.8,61.0,60.7,60.8,1576500,45.59
723,NVL,2017-11-14,60.8,60.9,60.4,60.7,1474510,45.51
722,NVL,2017-11-15,60.7,60.8,60.4,60.7,1533010,45.51
721,NVL,2017-11-16,60.7,61.4,60.6,60.9,1270570,45.66
720,NVL,2017-11-17,60.9,61.4,60.6,60.8,1493820,45.59
