,name,date,open,high,low,close,volume,adj_close
1190,PDR,2016-01-04,13.3,13.5,13.2,13.3,528700,6.7
1189,PDR,2016-01-05,13.1,13.4,13.1,13.3,449930,6.7
1188,PDR,2016-01-06,13.2,13.5,13.2,13.5,604560,6.8
1187,PDR,2016-01-07,13.4,13.6,13.2,13.6,512340,6.85
1186,PDR,2016-01-08,13.5,13.6,13.3,13.5,378460,6.8
1185,PDR,2016-01-11,13.5,13.6,13.3,13.3,463020,6.7
1184,PDR,2016-01-12,13.2,13.5,13.2,13.5,431940,6.8
1183,PDR,2016-01-13,13.4,13.6,13.3,13.4,438330,6.75
1182,PDR,2016-01-14,13.4,13.4,13.1,13.3,462830,6.7
1181,PDR,2016-01-15,13.2,13.4,13.1,13.1,324870,6.59
1180,PDR,2016-01-18,13.2,13.2,12.8,12.9,379250,6.49
1179,PDR,2016-01-19,12.8,13.2,12.8,13.2,270370,6.65
1178,PDR,2016-01-20,13.0,13.1,12.8,12.8,274450,6.44
1177,PDR,2016-01-21,12.8,12.8,12.6,12.8,298500,6.44
1176,PDR,2016-01-22,12.7,13.2,12.7,13.0,630270,6.54
1175,PDR,2016-01-25,12.9,13.2,12.9,13.1,381870,6.59
1174,PDR,2016-01-26,13.0,13.1,12.9,12.9,505750,6.49
1173,PDR,2016-01-27,12.9,13.1,12.9,13.0,464200,6.54
1172,PDR,2016-01-28,13.0,13.1,12.9,13.0,507480,6.54
1171,PDR,2016-01-29,13.0,13.0,12.9,13.0,503870,6.54
1170,PDR,2016-02-01,13.0,13.0,12.8,12.9,302890,6.49
1169,PDR,2016-02-02,12.9,12.9,12.8,12.9,396900,6.49
1168,PDR,2016-02-03,12.8,12.9,12.8,12.9,401710,6.49
1167,PDR,2016-02-04,12.9,13.1,12.8,13.0,396620,6.54
1166,PDR,2016-02-05,12.9,13.2,12.9,13.0,464200,6.54
1165,PDR,2016-02-15,12.9,12.9,12.8,12.9,223820,6.49
1164,PDR,2016-02-16,12.9,12.9,12.8,12.9,268250,6.49
1163,PDR,2016-02-17,13.0,13.0,12.8,13.0,305320,6.54
1162,PDR,2016-02-18,12.9,13.1,12.9,13.1,453770,6.59
1161,PDR,2016-02-19,13.0,13.0,12.9,13.0,397810,6.54
1160,PDR,2016-02-22,12.9,13.1,12.9,13.0,422930,6.54
1159,PDR,2016-02-23,12.9,13.1,12.9,13.0,309630,6.54
1158,PDR,2016-02-24,12.9,13.1,12.9,13.1,630310,6.59
1157,PDR,2016-02-25,12.9,13.1,12.9,13.0,479300,6.54
1156,PDR,2016-02-26,12.9,13.1,12.9,13.1,741430,6.59
1155,PDR,2016-02-29,13.0,13.2,13.0,13.1,562530,6.59
1154,PDR,2016-03-01,13.0,13.7,13.0,13.6,917610,6.85
1153,PDR,2016-03-02,13.7,14.0,13.7,14.0,864120,7.05
1152,PDR,2016-03-03,13.9,14.0,13.8,13.9,655390,7.0
1151,PDR,2016-03-04,14.0,14.0,13.8,13.9,541310,7.0
1150,PDR,2016-03-07,14.5,14.6,13.9,14.5,914830,7.3
1149,PDR,2016-03-08,14.3,14.8,14.3,14.6,774460,7.35
1148,PDR,2016-03-09,14.4,14.6,14.2,14.2,800190,7.15
1147,PDR,2016-03-10,14.2,14.5,14.1,14.3,776240,7.2
1146,PDR,2016-03-11,14.1,14.4,14.0,14.2,663230,7.15
1145,PDR,2016-03-14,14.1,14.3,14.0,14.2,545120,7.15
1144,PDR,2016-03-15,14.0,14.2,13.9,14.1,660650,7.1
1143,PDR,2016-03-16,14.1,14.4,14.1,14.2,633030,7.15
1142,PDR,2016-03-17,14.3,14.4,13.9,14.3,758610,7.2
1141,PDR,2016-03-18,14.3,14.4,13.8,13.8,1251720,6.95
1140,PDR,2016-03-21,14.0,14.5,13.9,14.4,745350,7.25
1139,PDR,2016-03-22,14.3,14.4,14.2,14.3,853920,7.2
1138,PDR,2016-03-23,14.3,14.4,14.0,14.3,697430,7.2
1137,PDR,2016-03-24,14.2,14.5,14.1,14.3,813820,7.2
1136,PDR,2016-03-25,14.3,14.4,14.1,14.3,638040,7.2
1135,PDR,2016-03-28,14.3,15.1,14.2,15.0,1516960,7.55
1134,PDR,2016-03-29,14.9,15.4,14.8,15.1,970830,7.6
1133,PDR,2016-03-30,14.9,15.1,14.7,14.9,597950,7.5
1132,PDR,2016-03-31,14.9,15.1,14.7,14.9,1040720,7.5
1131,PDR,2016-04-01,14.8,15.0,14.7,14.9,571970,7.5
1130,PDR,2016-04-04,14.8,15.0,14.7,14.9,885540,7.5
1129,PDR,2016-04-05,14.9,15.3,14.9,15.0,684740,7.55
1128,PDR,2016-04-06,15.0,15.1,14.9,15.0,580900,7.55
1127,PDR,2016-04-07,15.0,15.1,14.8,15.1,978100,7.6
1126,PDR,2016-04-08,15.1,15.2,14.9,15.2,841640,7.65
1125,PDR,2016-04-11,15.4,15.6,15.3,15.6,1540500,7.85
1124,PDR,2016-04-12,15.5,15.6,15.4,15.5,897240,7.8
1123,PDR,2016-04-13,15.8,15.9,15.5,15.8,1174940,7.95
1122,PDR,2016-04-14,15.7,16.0,15.6,15.9,950820,8.0
1121,PDR,2016-04-15,15.8,15.9,15.7,15.8,870700,7.95
1120,PDR,2016-04-19,15.7,15.7,15.4,15.5,841310,7.8
1119,PDR,2016-04-20,15.5,15.5,15.2,15.2,647590,7.65
1118,PDR,2016-04-21,15.2,15.4,15.1,15.3,845890,7.7
1117,PDR,2016-04-22,15.3,15.3,14.8,15.1,1134740,7.6
1116,PDR,2016-04-25,15.1,15.3,14.7,14.7,788920,7.4
1115,PDR,2016-04-26,14.7,14.9,14.5,14.6,814430,7.35
1114,PDR,2016-04-27,14.5,14.6,14.0,14.0,814230,7.05
1113,PDR,2016-04-28,13.9,14.2,13.9,14.0,655480,7.05
1112,PDR,2016-04-29,14.0,14.4,14.0,14.4,675680,7.25
1111,PDR,2016-05-04,14.2,14.4,14.1,14.4,456520,7.25
1110,PDR,2016-05-05,14.4,14.5,14.1,14.1,501880,7.1
1109,PDR,2016-05-06,14.2,14.7,14.2,14.6,1049220,7.35
1108,PDR,2016-05-09,14.5,14.7,14.3,14.6,1006400,7.35
1107,PDR,2016-05-10,14.5,14.6,14.3,14.6,558210,7.35
1106,PDR,2016-05-11,14.6,14.8,14.5,14.6,757700,7.35
1105,PDR,2016-05-12,14.6,14.6,14.4,14.5,515240,7.3
1104,PDR,2016-05-13,14.4,14.6,14.3,14.6,627270,7.35
1103,PDR,2016-05-16,14.6,14.7,14.5,14.7,554000,7.4
1102,PDR,2016-05-17,14.7,15.0,14.7,15.0,726940,7.55
1101,PDR,2016-05-18,15.1,15.4,15.0,15.1,609240,7.6
1100,PDR,2016-05-19,15.1,15.1,14.9,15.0,458710,7.55
1099,PDR,2016-05-20,15.0,15.3,14.8,14.8,515880,7.45
1098,PDR,2016-05-23,14.8,15.0,14.7,14.8,427840,7.45
1097,PDR,2016-05-24,14.8,14.8,14.7,14.8,429820,7.45
1096,PDR,2016-05-25,14.7,15.1,14.7,15.0,684030,7.55
1095,PDR,2016-05-26,15.2,15.6,15.1,15.1,939890,7.6
1094,PDR,2016-05-27,15.1,15.4,15.0,15.2,507370,7.65
1093,PDR,2016-05-30,15.2,15.4,15.1,15.1,540240,7.6
1092,PDR,2016-05-31,15.0,15.0,14.8,14.9,450230,7.5
1091,PDR,2016-06-01,14.9,14.9,14.6,14.8,542580,7.45
1090,PDR,2016-06-02,14.8,14.9,14.5,14.7,495860,7.4
1089,PDR,2016-06-03,14.7,14.8,14.5,14.6,445760,7.35
1088,PDR,2016-06-06,14.5,14.7,14.4,14.5,359210,7.3
1087,PDR,2016-06-07,14.4,14.5,14.3,14.5,412970,7.3
1086,PDR,2016-06-08,14.5,14.9,14.5,14.7,759430,7.4
1085,PDR,2016-06-09,14.7,14.7,14.5,14.7,265360,7.4
1084,PDR,2016-06-10,14.7,14.9,14.6,14.7,587050,7.4
1083,PDR,2016-06-13,14.7,14.7,14.4,14.4,438910,7.25
1082,PDR,2016-06-14,14.4,14.5,14.3,14.5,439330,7.3
1081,PDR,2016-06-15,14.4,14.5,14.4,14.4,370360,7.25
1080,PDR,2016-06-16,14.3,14.7,14.3,14.6,822420,7.35
1079,PDR,2016-06-17,14.6,14.8,14.4,14.8,804070,7.45
1078,PDR,2016-06-20,14.8,14.9,14.5,14.8,506180,7.45
1077,PDR,2016-06-21,14.8,14.8,14.4,14.6,397120,7.35
1076,PDR,2016-06-22,14.5,14.6,14.3,14.5,500440,7.3
1075,PDR,2016-06-23,14.4,14.5,14.4,14.4,323640,7.25
1074,PDR,2016-06-24,14.4,14.4,13.6,14.2,910250,7.15
1073,PDR,2016-06-27,14.0,14.0,13.7,13.8,175900,6.95
1072,PDR,2016-06-28,13.8,13.8,13.7,13.7,288660,6.9
1071,PDR,2016-06-29,13.6,14.0,13.6,14.0,425630,7.05
1070,PDR,2016-06-30,13.8,14.0,13.8,13.8,543640,6.95
1069,PDR,2016-07-01,13.7,14.0,13.7,13.9,424760,7.0
1068,PDR,2016-07-04,13.9,14.6,13.8,14.5,993590,7.3
1067,PDR,2016-07-05,14.5,14.7,14.3,14.6,414380,7.35
1066,PDR,2016-07-06,14.5,14.6,14.3,14.3,589390,7.2
1065,PDR,2016-07-07,14.4,14.9,14.3,14.7,604000,7.4
1064,PDR,2016-07-08,14.7,14.7,13.8,13.9,816140,7.0
1063,PDR,2016-07-11,13.8,13.9,13.0,13.0,960340,6.54
1062,PDR,2016-07-12,13.0,13.0,12.6,12.6,237420,6.34
1061,PDR,2016-07-13,12.6,12.7,12.3,12.6,296180,6.34
1060,PDR,2016-07-14,12.4,12.8,12.4,12.8,182040,6.44
1059,PDR,2016-07-15,12.7,13.0,12.6,12.8,210300,6.44
1058,PDR,2016-07-18,12.7,13.0,12.7,13.0,1480490,6.54
1057,PDR,2016-07-19,13.0,13.1,12.8,12.9,1694120,6.49
1056,PDR,2016-07-20,12.8,13.0,12.7,12.9,461780,6.49
1055,PDR,2016-07-21,12.8,13.0,12.8,13.0,736030,6.54
1054,PDR,2016-07-22,13.0,13.0,12.6,13.0,719240,6.54
1053,PDR,2016-07-25,12.9,13.0,12.8,12.9,952070,6.49
1052,PDR,2016-07-26,12.9,12.9,12.5,12.8,769000,6.44
1051,PDR,2016-07-27,12.6,12.8,12.6,12.6,776910,6.34
1050,PDR,2016-07-28,12.6,12.9,12.6,12.8,815920,6.44
1049,PDR,2016-07-29,12.8,12.8,12.7,12.8,1584780,6.44
1048,PDR,2016-08-01,12.8,12.8,12.7,12.8,788260,6.44
1047,PDR,2016-08-02,12.7,12.7,12.5,12.7,1103490,6.39
1046,PDR,2016-08-03,12.7,12.7,12.5,12.7,927870,6.39
1045,PDR,2016-08-04,12.6,12.7,12.5,12.7,939140,6.39
1044,PDR,2016-08-05,12.6,12.7,12.4,12.6,1105870,6.34
1043,PDR,2016-08-08,12.5,12.6,12.4,12.6,992750,6.34
1042,PDR,2016-08-09,12.6,12.7,12.5,12.7,786670,6.39
1041,PDR,2016-08-10,12.7,13.0,12.6,12.7,930340,6.39
1040,PDR,2016-08-11,12.7,12.9,12.6,12.8,799420,6.44
1039,PDR,2016-08-12,12.8,13.1,12.7,12.8,913060,6.44
1038,PDR,2016-08-15,12.8,12.9,12.6,12.7,2315080,6.39
1037,PDR,2016-08-16,12.7,12.9,12.7,12.9,940610,6.49
1036,PDR,2016-08-17,12.9,13.0,12.7,13.0,303500,6.54
1035,PDR,2016-08-18,12.9,13.2,12.8,13.0,674540,6.54
1034,PDR,2016-08-19,12.8,12.9,12.7,12.9,186020,6.49
1033,PDR,2016-08-22,12.9,12.9,12.6,12.8,436320,6.44
1032,PDR,2016-08-23,12.8,12.8,12.6,12.7,383190,6.39
