,name,date,open,high,low,close,volume,adj_close
1190,PHR,2016-01-04,16.3,16.3,16.3,16.3,510,7.6
1189,PHR,2016-01-05,16.4,16.4,16.4,16.4,1000,7.65
1188,PHR,2016-01-06,16.3,16.3,16.3,16.3,500,7.6
1187,PHR,2016-01-07,16.3,16.3,16.3,16.3,1000,7.6
1186,PHR,2016-01-08,16.4,16.4,16.3,16.3,490,7.6
1185,PHR,2016-01-11,16.4,16.4,16.2,16.2,710,7.55
1184,PHR,2016-01-12,16.2,16.2,16.1,16.1,6200,7.51
1183,PHR,2016-01-13,16.3,16.3,16.1,16.1,2720,7.51
1182,PHR,2016-01-14,16.1,16.2,16.0,16.0,3360,7.46
1181,PHR,2016-01-15,16.1,16.1,15.8,15.8,15570,7.37
1180,PHR,2016-01-18,15.7,15.7,15.3,15.6,2250,7.27
1179,PHR,2016-01-19,16.0,16.5,15.5,15.5,5180,7.23
1178,PHR,2016-01-20,15.0,15.5,15.0,15.4,6240,7.18
1177,PHR,2016-01-21,15.4,16.0,16.0,16.0,10,7.46
1176,PHR,2016-01-22,15.0,16.0,15.0,15.1,4730,7.04
1175,PHR,2016-01-25,16.0,16.0,15.2,15.2,7010,7.09
1174,PHR,2016-01-26,15.1,15.2,15.0,15.1,5750,7.04
1173,PHR,2016-01-27,15.9,15.9,15.2,15.2,210,7.09
1172,PHR,2016-01-28,15.1,15.9,15.1,15.2,14940,7.09
1171,PHR,2016-01-29,15.2,15.9,15.2,15.9,500,7.41
1170,PHR,2016-02-01,15.9,15.9,15.3,15.8,1960,7.37
1169,PHR,2016-02-02,15.8,15.8,15.7,15.8,1090,7.37
1168,PHR,2016-02-03,15.7,15.7,15.4,15.4,4850,7.18
1167,PHR,2016-02-04,15.5,15.5,15.3,15.3,4660,7.13
1166,PHR,2016-02-05,15.5,15.5,15.4,15.5,4340,7.23
1165,PHR,2016-02-15,15.8,15.8,15.3,15.3,20,7.13
1164,PHR,2016-02-16,15.9,16.0,15.3,15.3,40,7.13
1163,PHR,2016-02-17,15.3,15.9,15.2,15.3,5210,7.13
1162,PHR,2016-02-18,15.3,15.6,15.2,15.6,560,7.27
1161,PHR,2016-02-19,15.7,15.7,15.7,15.7,5000,7.32
1160,PHR,2016-02-22,15.3,15.3,15.3,15.3,200,7.13
1159,PHR,2016-02-23,15.3,15.9,15.3,15.9,820,7.41
1158,PHR,2016-02-24,15.6,15.6,15.3,15.3,4960,7.13
1157,PHR,2016-02-25,15.3,15.3,15.3,15.3,0,7.13
1156,PHR,2016-02-26,15.9,15.9,15.9,15.9,6420,7.41
1155,PHR,2016-02-29,15.9,16.0,15.9,16.0,3550,7.46
1154,PHR,2016-03-01,16.1,16.1,16.0,16.0,25950,7.46
1153,PHR,2016-03-02,16.1,16.6,16.1,16.6,2780,7.74
1152,PHR,2016-03-03,16.8,16.8,16.3,16.8,2490,7.83
1151,PHR,2016-03-04,16.8,17.9,16.8,17.9,343340,8.35
1150,PHR,2016-03-07,17.9,19.1,19.0,19.1,255210,8.91
1149,PHR,2016-03-08,20.4,20.4,19.9,20.4,152180,9.51
1148,PHR,2016-03-09,20.4,20.4,19.2,19.2,218640,8.95
1147,PHR,2016-03-10,19.6,20.5,19.6,20.0,490580,9.33
1146,PHR,2016-03-11,19.9,20.0,19.6,20.0,164050,9.33
1145,PHR,2016-03-14,19.7,19.9,19.2,19.6,84680,9.14
