,name,date,open,high,low,close,volume,adj_close
1189,PNJ,2016-01-04,43.0,43.0,42.6,43.0,4460,19.28
1188,PNJ,2016-01-05,42.9,43.0,42.2,42.3,2120,18.97
1187,PNJ,2016-01-06,42.5,42.9,42.5,42.9,14230,19.24
1186,PNJ,2016-01-07,42.8,42.9,41.9,42.8,13920,19.19
1185,PNJ,2016-01-08,42.8,42.9,42.1,42.9,29760,19.24
1184,PNJ,2016-01-11,40.1,42.9,40.1,42.2,22350,18.93
1183,PNJ,2016-01-12,42.5,42.5,41.7,42.0,23180,18.84
1182,PNJ,2016-01-13,41.4,42.4,41.4,42.0,4490,18.84
1181,PNJ,2016-01-14,41.6,42.0,40.5,40.5,2050,18.16
1180,PNJ,2016-01-15,42.3,42.3,38.5,41.7,20230,18.7
1179,PNJ,2016-01-18,41.7,41.7,38.8,41.5,13910,18.61
1178,PNJ,2016-01-19,41.0,41.5,39.9,41.0,41230,18.39
1177,PNJ,2016-01-20,40.7,40.7,40.1,40.7,92780,18.25
1176,PNJ,2016-01-21,41.5,42.5,40.1,41.5,46790,18.61
1175,PNJ,2016-01-22,40.5,42.0,40.5,41.5,20900,18.61
1174,PNJ,2016-01-25,42.0,42.8,41.6,42.8,19940,19.19
1173,PNJ,2016-01-26,43.0,43.5,42.7,43.3,28740,19.42
1172,PNJ,2016-01-27,43.5,44.5,43.5,44.0,31180,19.73
1171,PNJ,2016-01-28,43.5,45.5,43.5,44.5,26400,19.96
1170,PNJ,2016-01-29,43.5,45.0,43.5,44.9,10240,20.14
1169,PNJ,2016-02-01,45.0,45.3,44.0,44.5,63520,19.96
1168,PNJ,2016-02-02,44.5,45.3,44.0,45.0,7170,20.18
1167,PNJ,2016-02-03,45.0,45.5,44.5,44.5,18500,19.96
1166,PNJ,2016-02-04,44.4,45.0,44.4,44.6,19660,20.0
1165,PNJ,2016-02-05,44.7,45.0,44.6,44.7,17960,20.05
1164,PNJ,2016-02-15,46.9,46.9,45.0,45.0,10730,20.18
1163,PNJ,2016-02-16,46.9,46.9,44.8,45.6,9810,20.45
1162,PNJ,2016-02-17,46.0,46.0,45.0,45.9,10000,20.58
1161,PNJ,2016-02-18,45.9,45.9,44.5,45.2,49250,20.27
1160,PNJ,2016-02-19,45.2,45.5,45.0,45.0,127280,20.18
1159,PNJ,2016-02-22,44.5,45.9,44.5,45.0,6180,20.18
1158,PNJ,2016-02-23,45.0,45.4,44.5,45.3,19580,20.32
1157,PNJ,2016-02-24,45.3,45.3,44.6,44.7,5080,20.05
1156,PNJ,2016-02-25,44.9,45.3,44.5,45.0,18790,20.18
1155,PNJ,2016-02-26,45.0,46.0,44.9,45.1,20440,20.23
1154,PNJ,2016-02-29,47.0,47.0,45.1,45.2,10100,20.27
1153,PNJ,2016-03-01,45.2,45.6,45.0,45.3,10990,20.32
1152,PNJ,2016-03-02,45.4,46.4,45.0,45.9,29860,20.58
1151,PNJ,2016-03-03,46.6,47.0,45.6,46.6,27880,20.9
1150,PNJ,2016-03-04,46.8,48.5,46.8,48.0,58880,21.53
1149,PNJ,2016-03-07,50.5,51.0,48.0,50.5,19000,22.65
1148,PNJ,2016-03-08,50.0,51.0,49.8,50.5,15360,22.65
1147,PNJ,2016-03-09,50.0,50.0,48.4,48.4,18370,21.71
1146,PNJ,2016-03-10,47.6,49.6,47.6,48.9,10330,21.93
1145,PNJ,2016-03-11,49.0,49.3,48.5,48.5,24060,21.75
1144,PNJ,2016-03-14,48.5,49.0,47.1,48.3,10410,21.66
1143,PNJ,2016-03-15,48.3,48.5,47.8,48.0,8450,21.53
1142,PNJ,2016-03-16,48.0,50.0,48.0,49.6,20660,22.24
1141,PNJ,2016-03-17,49.7,50.0,49.4,49.7,13880,22.29
1140,PNJ,2016-03-18,49.8,49.8,48.5,49.0,23220,21.98
1139,PNJ,2016-03-21,49.0,49.9,48.1,49.0,25300,21.98
1138,PNJ,2016-03-22,48.8,49.5,48.5,49.2,76730,22.06
1137,PNJ,2016-03-23,49.9,49.9,48.8,49.6,42330,22.24
1136,PNJ,2016-03-24,49.6,49.6,49.1,49.6,28910,22.24
1135,PNJ,2016-03-25,49.6,49.6,49.1,49.5,16040,22.2
1134,PNJ,2016-03-28,49.6,49.6,49.0,49.4,19400,22.15
1133,PNJ,2016-03-29,49.4,49.4,48.5,48.5,26970,21.75
1132,PNJ,2016-03-30,49.0,49.0,48.0,48.0,32740,21.53
1131,PNJ,2016-03-31,47.5,48.2,47.5,48.0,15300,21.53
1130,PNJ,2016-04-01,48.4,48.4,47.0,48.0,3280,21.53
1129,PNJ,2016-04-04,48.5,49.0,47.1,48.0,47620,21.53
1128,PNJ,2016-04-05,48.0,48.0,47.4,48.0,11950,21.53
1127,PNJ,2016-04-06,47.2,48.1,47.2,48.1,10090,21.57
1126,PNJ,2016-04-07,48.1,48.2,48.0,48.0,17860,21.53
