,name,date,open,high,low,close,volume,adj_close
640,POW,2018-03-06,17.5,18.3,16.8,17.8,14922100,17.8
639,POW,2018-03-07,18.2,18.2,16.5,16.8,7174392,16.8
638,POW,2018-03-08,17.2,17.5,16.7,17.2,6824944,17.2
637,POW,2018-03-09,17.1,17.6,17.1,17.5,5309486,17.5
636,POW,2018-03-12,17.7,17.7,17.2,17.3,4343745,17.3
635,POW,2018-03-13,17.3,17.4,17.1,17.2,4454169,17.2
634,POW,2018-03-14,17.2,17.3,16.9,17.0,4455422,17.0
633,POW,2018-03-15,17.1,17.1,16.6,16.7,3704865,16.7
632,POW,2018-03-16,16.7,17.2,16.7,17.1,3923430,17.1
631,POW,2018-03-19,17.2,17.3,16.8,17.0,2652660,17.0
630,POW,2018-03-20,17.0,17.0,16.7,16.7,2469883,16.7
629,POW,2018-03-21,17.0,17.0,16.7,16.7,1929052,16.7
628,POW,2018-03-22,16.8,16.8,16.0,16.3,3131060,16.3
627,POW,2018-03-23,16.0,16.2,15.6,16.1,3356387,16.1
626,POW,2018-03-26,16.0,16.0,15.6,15.7,1932826,15.7
625,POW,2018-03-27,15.7,15.8,15.6,15.6,1055477,15.6
624,POW,2018-03-28,15.6,15.7,15.5,15.6,1694196,15.6
623,POW,2018-03-29,15.7,16.6,15.6,16.2,2103906,16.2
622,POW,2018-03-30,16.3,16.7,16.2,16.6,2354364,16.6
621,POW,2018-04-02,16.6,16.8,16.4,16.6,2577643,16.6
620,POW,2018-04-03,16.6,16.6,16.0,16.2,2257070,16.2
619,POW,2018-04-04,16.5,16.9,16.2,16.4,2402101,16.4
618,POW,2018-04-05,16.5,16.6,16.1,16.2,1725227,16.2
617,POW,2018-04-06,16.2,16.3,15.9,16.1,1731257,16.1
616,POW,2018-04-09,16.1,16.1,15.7,16.0,1733995,16.0
615,POW,2018-04-10,15.9,16.1,15.7,15.9,1485078,15.9
614,POW,2018-04-11,15.9,16.0,15.3,15.6,2053300,15.6
613,POW,2018-04-12,15.6,15.7,15.5,15.7,977010,15.7
612,POW,2018-04-13,15.6,15.7,15.3,15.6,1503780,15.6
611,POW,2018-04-16,15.7,15.9,15.3,15.5,1698800,15.5
610,POW,2018-04-17,15.5,15.6,15.3,15.6,742496,15.6
609,POW,2018-04-18,15.6,15.6,15.0,15.1,1683810,15.1
608,POW,2018-04-19,15.2,15.2,14.5,14.6,2236680,14.6
607,POW,2018-04-20,14.5,14.7,14.2,14.6,1461117,14.6
606,POW,2018-04-23,14.7,14.8,13.4,14.2,859630,14.2
605,POW,2018-04-24,14.2,14.3,13.7,13.8,1109190,13.8
604,POW,2018-04-26,14.4,14.5,13.5,13.6,2116175,13.6
603,POW,2018-04-27,13.8,13.8,13.4,13.6,1100812,13.6
602,POW,2018-05-03,13.6,13.6,12.9,13.3,1736969,13.3
601,POW,2018-05-04,13.2,13.5,13.2,13.4,976440,13.4
600,POW,2018-05-07,13.8,15.1,13.6,14.4,1944203,14.4
599,POW,2018-05-08,14.6,14.6,14.2,14.4,1537398,14.4
598,POW,2018-05-09,14.4,14.9,14.2,14.2,1083060,14.2
597,POW,2018-05-10,14.2,14.3,13.7,13.7,1152051,13.7
596,POW,2018-05-11,13.8,14.1,13.7,14.0,819030,14.0
595,POW,2018-05-14,14.0,14.2,13.8,14.1,623290,14.1
594,POW,2018-05-15,13.8,14.6,13.8,14.4,1895181,14.4
593,POW,2018-05-16,14.5,14.6,14.3,14.5,693830,14.5
592,POW,2018-05-17,14.5,14.6,14.3,14.5,1184478,14.5
591,POW,2018-05-18,14.5,15.0,14.4,14.8,1976452,14.8
590,POW,2018-05-21,14.8,15.0,14.4,14.6,3160750,14.6
589,POW,2018-05-22,14.4,14.5,13.6,14.0,1429020,14.0
588,POW,2018-05-23,13.8,14.4,13.7,14.2,1919170,14.2
587,POW,2018-05-24,14.2,14.4,13.9,14.2,388138,14.2
586,POW,2018-05-25,14.0,14.4,13.9,14.2,2197911,14.2
585,POW,2018-05-28,14.0,14.1,13.2,13.4,2170653,13.4
584,POW,2018-05-29,13.3,14.0,13.3,13.9,728556,13.9
583,POW,2018-05-30,13.8,13.9,13.5,13.7,475750,13.7
582,POW,2018-05-31,13.7,14.1,13.6,14.0,1830351,14.0
581,POW,2018-06-01,13.9,14.1,13.9,14.1,957870,14.1
580,POW,2018-06-04,14.1,14.2,13.9,14.2,745251,14.2
579,POW,2018-06-05,14.2,14.4,14.0,14.2,2905010,14.2
578,POW,2018-06-06,14.2,14.3,14.1,14.1,1186745,14.1
577,POW,2018-06-07,14.2,14.3,14.0,14.0,973810,14.0
576,POW,2018-06-08,14.0,14.1,13.6,13.9,2020050,13.9
575,POW,2018-06-11,13.8,13.9,13.6,13.9,512900,13.9
574,POW,2018-06-12,13.7,13.7,13.5,13.6,517513,13.6
573,POW,2018-06-13,13.6,13.8,13.5,13.7,790800,13.7
572,POW,2018-06-14,13.6,13.8,13.6,13.6,729128,13.6
571,POW,2018-06-15,13.6,13.8,13.5,13.8,830840,13.8
570,POW,2018-06-18,13.8,13.9,13.4,13.5,1032660,13.5
569,POW,2018-06-19,13.5,13.5,12.6,12.9,1394131,12.9
568,POW,2018-06-20,13.0,13.5,12.5,13.0,2175293,13.0
567,POW,2018-06-21,13.1,13.2,12.8,13.0,1690195,13.0
566,POW,2018-06-22,13.0,13.3,13.0,13.0,942700,13.0
565,POW,2018-06-25,13.3,13.4,13.1,13.1,986135,13.1
564,POW,2018-06-26,13.3,13.5,12.8,13.5,2845960,13.5
563,POW,2018-06-27,13.8,13.8,13.2,13.2,712980,13.2
562,POW,2018-06-28,13.3,13.4,13.0,13.1,635970,13.1
561,POW,2018-06-29,13.1,13.3,12.9,13.1,831540,13.1
560,POW,2018-07-02,13.1,13.1,12.7,12.8,730416,12.8
559,POW,2018-07-03,12.8,12.9,12.4,12.4,1193780,12.4
558,POW,2018-07-04,12.4,12.5,12.0,12.4,1150780,12.4
557,POW,2018-07-05,12.3,12.4,11.7,12.0,816591,12.0
556,POW,2018-07-06,12.0,12.1,11.4,11.8,1868830,11.8
555,POW,2018-07-09,11.8,12.1,11.4,11.7,1407200,11.7
554,POW,2018-07-10,11.9,11.9,11.3,11.6,851630,11.6
553,POW,2018-07-11,11.6,11.6,10.8,11.1,1295200,11.1
552,POW,2018-07-12,11.0,11.0,10.7,11.0,1317750,11.0
551,POW,2018-07-13,10.8,11.0,10.7,11.0,489946,11.0
550,POW,2018-07-16,10.9,11.1,10.9,11.0,315451,11.0
549,POW,2018-07-17,11.1,11.1,10.9,11.0,697600,11.0
548,POW,2018-07-18,11.0,11.8,10.9,11.8,2205187,11.8
547,POW,2018-07-19,11.7,13.2,11.7,13.0,3757005,13.0
546,POW,2018-07-20,13.0,13.0,12.6,12.9,1244770,12.9
545,POW,2018-07-23,12.9,12.9,12.5,12.6,802090,12.6
544,POW,2018-07-24,12.6,12.9,12.3,12.6,1534210,12.6
543,POW,2018-07-25,12.6,12.8,12.6,12.6,1128100,12.6
542,POW,2018-07-26,12.6,12.8,12.5,12.7,607800,12.7
541,POW,2018-07-27,12.7,13.2,12.5,13.1,2084160,13.1
540,POW,2018-07-30,13.1,13.3,13.0,13.2,1077075,13.2
539,POW,2018-07-31,13.1,13.3,13.1,12.9,1040300,12.9
538,POW,2018-08-01,13.0,13.1,12.8,13.0,869520,13.0
537,POW,2018-08-02,12.9,13.0,12.7,12.9,503478,12.9
536,POW,2018-08-03,13.0,13.6,12.9,13.3,2312204,13.3
535,POW,2018-08-06,13.5,13.5,13.2,13.3,553870,13.3
534,POW,2018-08-07,13.2,13.4,13.1,13.3,721763,13.3
533,POW,2018-08-08,13.4,13.8,13.2,13.7,2619510,13.7
532,POW,2018-08-09,13.8,14.1,13.6,13.9,2164320,13.9
531,POW,2018-08-10,13.9,13.9,13.5,13.9,1147385,13.9
530,POW,2018-08-13,13.7,13.9,13.6,13.7,1984650,13.7
529,POW,2018-08-14,13.7,13.7,13.4,13.4,988038,13.4
528,POW,2018-08-15,13.5,13.6,12.8,13.0,1169172,13.0
527,POW,2018-08-16,12.9,13.0,12.7,13.0,942255,13.0
526,POW,2018-08-17,13.2,13.4,13.0,13.2,808090,13.2
525,POW,2018-08-20,13.2,13.3,13.0,13.0,270855,13.0
524,POW,2018-08-21,13.1,13.3,13.0,13.0,471320,13.0
523,POW,2018-08-22,13.2,13.3,13.0,13.1,502713,13.1
522,POW,2018-08-23,13.2,13.3,13.1,13.2,448010,13.2
521,POW,2018-08-24,13.3,13.3,13.1,13.1,273220,13.1
520,POW,2018-08-27,13.1,13.3,13.0,13.3,1136652,13.3
519,POW,2018-08-28,13.3,13.4,13.2,13.3,1527425,13.3
518,POW,2018-08-29,13.3,14.0,13.3,13.9,3400083,13.9
517,POW,2018-08-30,13.9,14.2,13.7,14.1,2004651,14.1
516,POW,2018-08-31,14.3,14.3,13.9,14.1,3188217,14.1
515,POW,2018-09-04,14.1,14.1,13.8,13.8,1650290,13.8
514,POW,2018-09-05,13.7,13.8,13.4,13.7,1462960,13.7
513,POW,2018-09-06,13.5,13.9,13.5,13.8,591107,13.8
512,POW,2018-09-07,13.7,14.2,13.7,14.1,1986280,14.1
511,POW,2018-09-10,14.2,14.6,14.1,14.6,4048811,14.6
510,POW,2018-09-11,14.6,15.0,12.4,15.0,4406265,15.0
509,POW,2018-09-12,15.0,15.1,14.7,14.7,1712540,14.7
508,POW,2018-09-13,14.7,14.9,14.6,14.7,1475238,14.7
507,POW,2018-09-14,14.6,15.0,14.6,14.8,1299603,14.8
506,POW,2018-09-17,14.8,15.3,14.8,15.1,2722172,15.1
505,POW,2018-09-18,15.1,15.1,14.9,15.1,2865790,15.1
504,POW,2018-09-19,15.1,15.4,14.9,15.3,2621699,15.3
503,POW,2018-09-20,15.4,16.4,15.4,16.3,4010545,16.3
502,POW,2018-09-21,16.5,16.5,15.5,15.9,3322352,15.9
501,POW,2018-09-24,15.9,16.1,15.7,15.9,1859443,15.9
500,POW,2018-09-25,15.8,16.3,15.8,16.1,2615932,16.1
499,POW,2018-09-26,16.1,16.2,15.9,16.0,2119376,16.0
498,POW,2018-09-27,16.0,16.2,15.9,16.2,2097285,16.2
497,POW,2018-09-28,16.2,16.7,16.2,16.7,5984645,16.7
496,POW,2018-10-01,16.7,16.9,16.4,16.5,3473515,16.5
495,POW,2018-10-02,16.7,16.8,16.4,16.6,4365303,16.6
494,POW,2018-10-03,16.5,16.7,16.4,16.6,1705816,16.6
493,POW,2018-10-04,16.8,16.8,16.4,16.5,3301577,16.5
492,POW,2018-10-05,16.5,16.5,15.8,15.9,3367523,15.9
491,POW,2018-10-08,16.1,16.1,15.4,15.5,2445695,15.5
490,POW,2018-10-09,15.5,15.6,15.0,15.2,2149499,15.2
489,POW,2018-10-10,15.3,15.6,15.1,15.5,1646091,15.5
488,POW,2018-10-11,15.2,15.3,13.8,14.4,4019253,14.4
487,POW,2018-10-12,14.1,15.2,13.8,15.1,2866537,15.1
486,POW,2018-10-15,15.1,15.2,14.7,14.8,1275500,14.8
485,POW,2018-10-16,14.9,15.0,14.5,14.6,1852950,14.6
484,POW,2018-10-17,14.8,15.2,14.7,14.8,989425,14.8
483,POW,2018-10-18,14.8,14.9,14.4,14.4,1474055,14.4
482,POW,2018-10-19,14.4,14.4,14.1,14.2,2106500,14.2
481,POW,2018-10-22,14.3,14.5,14.1,14.2,803910,14.2
480,POW,2018-10-23,14.1,14.2,13.8,14.1,1658420,14.1
479,POW,2018-10-24,14.0,14.2,13.4,13.7,1657100,13.7
478,POW,2018-10-25,13.3,13.8,13.0,13.8,1658171,13.8
477,POW,2018-10-26,13.7,14.0,13.6,13.8,592140,13.8
476,POW,2018-10-29,13.7,13.8,13.5,13.5,625800,13.5
475,POW,2018-10-30,13.6,13.6,13.4,13.6,809993,13.6
474,POW,2018-10-31,13.8,14.0,13.6,13.9,822940,13.9
473,POW,2018-11-01,13.8,13.8,13.6,13.6,455510,13.6
472,POW,2018-11-02,13.6,13.9,13.6,13.8,559767,13.8
471,POW,2018-11-05,13.7,13.9,13.6,13.8,493960,13.8
470,POW,2018-11-06,13.8,14.2,13.8,14.0,1149809,14.0
469,POW,2018-11-07,14.0,14.0,13.7,13.9,385667,13.9
