,name,date,open,high,low,close,volume,adj_close
1190,PVD,2016-01-04,26.3,26.9,26.3,26.3,245890,21.74
1189,PVD,2016-01-05,25.8,26.0,24.9,25.0,1277970,20.66
1188,PVD,2016-01-06,25.0,25.0,24.4,24.7,960710,20.41
1187,PVD,2016-01-07,24.0,24.1,23.0,23.0,1838510,19.01
1186,PVD,2016-01-08,23.0,23.7,22.6,22.9,1244930,18.93
1185,PVD,2016-01-11,22.6,23.2,22.6,22.8,1054150,18.84
1184,PVD,2016-01-12,22.5,22.9,22.3,22.5,1331570,18.6
1183,PVD,2016-01-13,22.6,24.0,22.6,23.1,2503730,19.09
1182,PVD,2016-01-14,22.9,23.1,22.4,22.5,1295050,18.6
1181,PVD,2016-01-15,22.7,22.8,22.2,22.2,1191020,18.35
1180,PVD,2016-01-18,21.5,21.5,20.8,20.8,2846030,17.19
1179,PVD,2016-01-19,21.0,21.3,20.2,20.5,1324600,16.94
1178,PVD,2016-01-20,20.0,20.3,19.1,19.4,1762530,16.03
1177,PVD,2016-01-21,18.3,19.5,18.3,18.3,1475460,15.12
1176,PVD,2016-01-22,19.0,19.5,18.6,19.5,1521910,16.12
1175,PVD,2016-01-25,20.8,20.8,20.8,20.8,332330,17.19
1174,PVD,2016-01-26,20.4,21.8,20.3,21.2,2514230,17.52
1173,PVD,2016-01-27,21.9,22.3,21.5,21.5,1886810,17.77
1172,PVD,2016-01-28,21.9,22.0,21.4,21.5,1572800,17.77
1171,PVD,2016-01-29,22.5,23.0,22.0,23.0,1953150,19.01
1170,PVD,2016-02-01,23.7,24.0,23.0,23.1,1922980,19.09
1169,PVD,2016-02-02,22.3,22.5,21.5,22.1,1409330,18.26
1168,PVD,2016-02-03,21.0,22.0,20.9,22.0,964110,18.18
1167,PVD,2016-02-04,23.0,23.0,22.2,22.5,898770,18.6
1166,PVD,2016-02-05,22.0,22.5,22.0,22.3,402100,18.43
1165,PVD,2016-02-15,21.7,22.0,21.4,21.8,795260,18.02
1164,PVD,2016-02-16,22.1,22.9,22.0,22.8,1710090,18.84
1163,PVD,2016-02-17,22.6,22.6,22.1,22.3,1274560,18.43
1162,PVD,2016-02-18,23.0,23.8,22.8,23.5,3498170,19.42
1161,PVD,2016-02-19,23.2,25.1,23.0,24.8,3588140,20.5
1160,PVD,2016-02-22,24.7,25.6,24.7,25.4,1658850,20.99
1159,PVD,2016-02-23,26.0,26.0,24.7,24.7,2942400,20.41
1158,PVD,2016-02-24,24.0,24.7,23.8,24.2,2431920,20.0
