name,date,open,high,low,close,volume,adj_close
SAB,2020-08-10,190.0,190.0,188.0,188.0,46140,188.0
SAB,2020-07-10,186.3,190.0,186.0,190.0,64920,190.0
SAB,2020-06-10,185.2,186.8,184.6,186.3,55370,186.3
SAB,2020-05-10,186.0,186.0,184.5,184.5,74270,184.5
SAB,2020-02-10,183.9,184.9,183.5,184.5,45510,184.5
SAB,2020-01-10,183.3,185.1,183.3,184.5,22330,184.5
SAB,2020-09-30,185.0,185.5,182.1,183.3,149060,183.3
SAB,2020-09-29,188.0,188.2,185.0,185.0,132450,185.0
SAB,2020-09-28,187.0,188.0,187.0,188.0,80960,188.0
SAB,2020-09-25,187.2,188.5,187.0,187.0,143900,187.0
SAB,2020-09-24,190.0,190.4,187.0,187.0,70830,187.0
SAB,2020-09-23,191.7,191.7,189.5,190.0,35640,190.0
SAB,2020-09-22,191.0,192.4,189.0,189.0,149610,189.0
SAB,2020-09-21,189.3,191.8,189.3,190.0,99530,190.0
SAB,2020-09-18,188.2,190.5,188.2,188.8,45640,188.8
SAB,2020-09-17,188.2,189.9,188.2,188.2,101220,188.2
SAB,2020-09-16,191.0,191.0,188.2,188.2,43570,188.2
SAB,2020-09-15,189.0,191.0,188.2,188.2,36360,188.2
SAB,2020-09-14,189.0,189.5,187.0,188.2,49050,188.2
SAB,2020-11-09,189.0,190.9,188.0,188.0,62980,188.0
SAB,2020-10-09,192.0,192.0,189.0,189.0,79060,189.0
SAB,2020-09-09,190.9,191.1,188.0,190.0,123070,190.0
SAB,2020-08-09,192.3,193.0,190.0,191.2,106590,191.2
SAB,2020-07-09,194.0,196.0,192.2,192.2,188280,192.2
SAB,2020-04-09,192.0,195.5,191.6,192.2,140040,192.2
SAB,2020-03-09,191.9,194.7,191.3,193.8,148770,193.8
SAB,2020-01-09,194.0,194.0,190.0,190.0,131710,190.0
SAB,2020-08-31,184.9,192.9,183.1,191.5,271460,191.5
SAB,2020-08-28,185.5,186.0,182.0,182.0,97130,182.0
SAB,2020-08-27,184.2,186.0,183.0,183.0,76590,183.0
SAB,2020-08-26,187.0,188.0,184.2,184.2,88320,184.2
SAB,2020-08-25,183.0,188.1,183.0,186.5,134910,186.5
SAB,2020-08-24,180.1,184.0,180.1,183.0,96690,183.0
SAB,2020-08-21,180.0,181.9,179.6,179.6,110610,179.6
SAB,2020-08-20,180.6,182.0,179.6,179.6,117630,179.6
SAB,2020-08-19,180.6,182.3,180.4,180.6,76720,180.6
SAB,2020-08-18,184.0,184.0,180.0,180.6,67930,180.6
SAB,2020-08-17,183.8,184.5,180.6,183.8,91080,183.8
SAB,2020-08-14,183.0,188.9,182.0,185.0,242070,185.0
SAB,2020-08-13,180.7,184.0,180.7,183.0,72580,183.0
SAB,2020-12-08,178.5,180.5,178.5,178.9,138750,178.9
SAB,2020-11-08,179.9,180.9,177.1,178.5,147070,178.5
SAB,2020-10-08,183.1,186.0,179.9,179.9,151620,179.9
SAB,2020-07-08,182.0,184.5,180.0,184.0,160550,184.0
SAB,2020-06-08,178.9,183.5,177.0,182.5,213840,182.5
SAB,2020-05-08,174.0,181.0,171.6,176.0,298550,176.0
SAB,2020-04-08,169.0,172.9,169.0,171.2,242370,171.2
SAB,2020-03-08,169.8,171.9,168.0,169.0,163920,169.0
SAB,2020-07-31,169.0,172.0,166.0,168.0,201570,168.0
SAB,2020-07-30,171.0,174.5,169.0,170.1,81480,170.1
SAB,2020-07-29,175.0,182.9,171.0,171.0,219800,171.0
SAB,2020-07-28,173.0,185.0,168.0,180.0,237000,180.0
SAB,2020-07-27,173.0,176.0,168.5,173.0,236260,173.0
SAB,2020-07-24,186.0,187.0,179.1,181.1,235580,181.1
SAB,2020-07-23,190.0,190.0,187.2,187.8,137160,187.8
SAB,2020-07-22,190.3,192.9,190.1,190.1,106850,190.1
SAB,2020-07-21,190.6,194.4,190.0,190.3,73700,190.3
SAB,2020-07-20,191.0,194.0,190.5,191.0,129850,191.0
SAB,2020-07-17,197.0,197.0,191.5,192.0,89590,192.0
SAB,2020-07-16,191.0,193.0,190.0,193.0,358550,193.0
SAB,2020-07-15,195.5,202.0,191.5,191.5,258700,191.5
SAB,2020-07-14,197.0,199.5,191.0,195.0,180690,195.0
SAB,2020-07-13,206.0,209.8,200.0,200.0,150810,200.0
SAB,2020-10-07,205.0,216.0,204.0,206.0,190990,206.0
SAB,2020-09-07,194.9,206.5,194.9,205.0,285960,205.0
SAB,2020-08-07,185.0,193.7,181.4,193.0,357430,193.0
SAB,2020-07-07,183.5,188.6,183.0,185.1,244640,185.1
SAB,2020-06-07,177.8,182.0,177.8,180.5,146350,180.5
SAB,2020-03-07,168.0,175.9,165.0,175.0,200340,175.0
SAB,2020-02-07,163.0,167.0,162.5,166.9,46960,166.9
SAB,2020-01-07,156.0,165.0,156.0,163.0,58620,163.0
SAB,2020-06-30,160.5,164.0,157.0,157.0,62530,157.0
SAB,2020-06-29,161.0,164.0,160.5,160.5,59040,160.5
SAB,2020-06-26,160.0,165.3,160.0,164.8,78810,164.8
SAB,2020-06-25,160.0,164.0,159.0,160.0,56510,160.0
SAB,2020-06-24,165.0,166.0,160.0,160.0,82380,160.0
SAB,2020-06-23,165.0,167.1,164.0,164.0,38700,164.0
SAB,2020-06-22,169.0,169.0,166.0,166.0,52660,166.0
