name,date,open,high,low,close,volume,adj_close
SBT,2020-08-10,16.6,16.7,16.25,16.35,2946690,16.35
SBT,2020-07-10,16.0,17.0,15.8,16.55,6955470,16.55
SBT,2020-06-10,16.25,16.3,15.95,16.0,3436420,16.0
SBT,2020-05-10,16.2,16.5,16.0,16.2,3678040,16.2
SBT,2020-02-10,16.0,16.4,15.5,16.2,5099590,16.2
SBT,2020-01-10,14.8,15.8,14.8,15.8,8200920,15.8
SBT,2020-09-30,14.7,14.85,14.45,14.8,2789690,14.8
SBT,2020-09-29,15.2,15.2,14.45,14.7,3446220,14.7
SBT,2020-09-28,15.3,15.4,15.0,15.2,3874290,15.2
SBT,2020-09-25,14.5,15.2,14.5,15.2,6159260,15.2
SBT,2020-09-24,14.35,14.5,14.2,14.45,3424680,14.45
SBT,2020-09-23,14.4,14.5,14.3,14.4,2397270,14.4
SBT,2020-09-22,14.35,14.55,14.3,14.35,3024990,14.35
SBT,2020-09-21,14.35,14.6,14.15,14.5,4993020,14.5
SBT,2020-09-18,14.3,14.55,14.25,14.25,3661030,14.25
SBT,2020-09-17,14.0,14.4,13.9,14.25,4267810,14.25
SBT,2020-09-16,13.95,14.05,13.9,14.05,2114900,14.05
SBT,2020-09-15,14.05,14.1,13.95,14.05,2231780,14.05
SBT,2020-09-14,14.0,14.1,14.0,14.05,2217230,14.05
SBT,2020-11-09,14.05,14.1,13.9,14.1,2864510,14.1
SBT,2020-10-09,14.1,14.15,13.95,14.1,2960850,14.1
SBT,2020-09-09,13.95,14.2,13.9,14.1,3240620,14.1
SBT,2020-08-09,13.95,14.2,13.9,14.1,3689300,14.1
SBT,2020-07-09,14.45,14.6,13.95,13.95,3351210,13.95
SBT,2020-04-09,14.35,14.5,14.2,14.5,3488850,14.5
SBT,2020-03-09,14.6,14.7,14.4,14.5,3263340,14.5
SBT,2020-01-09,14.35,14.6,14.3,14.6,3063550,14.6
SBT,2020-08-31,14.5,14.65,14.35,14.35,3121270,14.35
SBT,2020-08-28,14.65,14.65,14.45,14.6,3317430,14.6
SBT,2020-08-27,14.7,14.75,14.45,14.65,3044720,14.65
SBT,2020-08-26,14.8,14.85,14.6,14.7,2918110,14.7
SBT,2020-08-25,14.35,14.8,14.35,14.75,4339070,14.75
SBT,2020-08-24,14.1,14.3,14.05,14.3,3733240,14.3
SBT,2020-08-21,14.0,14.1,13.9,14.1,3149760,14.1
SBT,2020-08-20,14.15,14.15,13.9,13.9,2418510,13.9
SBT,2020-08-19,14.2,14.25,13.95,14.1,2871900,14.1
SBT,2020-08-18,13.9,14.3,13.8,14.2,3251750,14.2
SBT,2020-08-17,13.9,13.95,13.75,13.9,2528170,13.9
SBT,2020-08-14,14.05,14.1,13.75,13.9,2757940,13.9
SBT,2020-08-13,14.05,14.1,13.9,14.05,3909160,14.05
SBT,2020-12-08,14.05,14.15,13.9,14.05,3130660,14.05
SBT,2020-11-08,14.0,14.15,13.95,14.05,2765390,14.05
SBT,2020-10-08,14.2,14.25,14.0,14.15,3709130,14.15
SBT,2020-07-08,14.25,14.3,14.1,14.15,3170980,14.15
SBT,2020-06-08,14.05,14.4,14.05,14.25,4251940,14.25
SBT,2020-05-08,14.0,14.35,13.8,14.35,3854150,14.35
SBT,2020-04-08,13.9,14.1,13.85,14.0,3313990,14.0
SBT,2020-03-08,13.1,14.1,13.1,14.0,4211950,14.0
SBT,2020-07-31,13.4,13.6,13.15,13.2,3475550,13.2
SBT,2020-07-30,13.6,13.6,13.2,13.5,2854810,13.5
SBT,2020-07-29,13.6,13.7,13.2,13.2,2288360,13.2
SBT,2020-07-28,13.2,14.2,13.2,14.0,3750950,14.0
SBT,2020-07-27,14.15,14.15,13.55,13.55,1655770,13.55
SBT,2020-07-24,14.8,14.8,13.95,14.55,2995670,14.55
SBT,2020-07-23,14.9,14.9,14.6,14.75,4496230,14.75
SBT,2020-07-22,15.1,15.1,14.75,14.8,4384420,14.8
SBT,2020-07-21,14.95,15.2,14.75,14.95,4210080,14.95
SBT,2020-07-20,14.95,15.2,14.85,14.95,4873730,14.95
SBT,2020-07-17,15.1,15.3,14.8,15.15,6289310,15.15
SBT,2020-07-16,14.8,15.1,14.45,15.1,5393070,15.1
SBT,2020-07-15,14.7,14.8,14.55,14.7,4331470,14.7
SBT,2020-07-14,14.5,14.65,14.3,14.65,4275190,14.65
SBT,2020-07-13,14.65,14.8,14.45,14.5,4203720,14.5
SBT,2020-10-07,14.5,14.75,14.2,14.65,3917190,14.65
SBT,2020-09-07,14.45,14.65,14.15,14.55,4153260,14.55
SBT,2020-08-07,14.0,14.4,14.0,14.4,3636810,14.4
SBT,2020-07-07,14.3,14.45,14.2,14.3,3084030,14.3
SBT,2020-06-07,14.05,14.3,13.95,14.3,2988190,14.3
SBT,2020-03-07,13.9,14.2,13.9,14.05,2533570,14.05
SBT,2020-02-07,13.85,14.15,13.8,13.95,2177090,13.95
SBT,2020-01-07,13.5,14.0,13.3,13.85,2205200,13.85
SBT,2020-06-30,14.1,14.15,13.0,13.35,2331300,13.35
SBT,2020-06-29,14.5,14.55,13.8,13.9,2120130,13.9
SBT,2020-06-26,14.65,14.95,14.55,14.55,2141800,14.55
SBT,2020-06-25,14.7,14.85,14.55,14.6,2141940,14.6
SBT,2020-06-24,14.9,15.05,14.75,14.85,2176980,14.85
SBT,2020-06-23,14.8,15.15,14.8,15.0,2294090,15.0
SBT,2020-06-22,14.55,14.85,14.55,14.8,2095740,14.8
SBT,2020-06-19,14.95,15.0,14.55,14.55,3971920,14.55
SBT,2020-06-18,14.7,14.9,14.5,14.8,2052840,14.8
SBT,2020-06-17,14.9,15.15,14.55,14.8,2114280,14.8
SBT,2020-06-16,15.05,15.05,14.7,14.9,2060210,14.9
SBT,2020-06-15,15.3,15.45,14.65,14.7,2329970,14.7
SBT,2020-12-06,15.1,15.7,15.1,15.5,2705060,15.5
SBT,2020-11-06,16.2,16.4,15.3,16.2,3115710,16.2
SBT,2020-10-06,16.1,16.6,15.75,16.2,2622800,16.2
SBT,2020-09-06,16.7,16.7,16.1,16.15,2200060,16.15
SBT,2020-08-06,15.2,16.1,15.2,16.1,3888870,16.1
SBT,2020-05-06,15.1,15.1,14.9,15.05,2147320,15.05
SBT,2020-04-06,15.0,15.2,14.95,15.05,2391630,15.05
SBT,2020-03-06,14.95,15.0,14.8,14.95,2182430,14.95
SBT,2020-02-06,15.1,15.1,14.8,14.95,2278140,14.95
SBT,2020-01-06,14.95,15.0,14.8,15.0,2283640,15.0
SBT,2020-05-29,14.85,14.9,14.7,14.9,2152040,14.9
SBT,2020-05-28,14.95,15.0,14.8,14.9,2274090,14.9
SBT,2020-05-27,15.3,15.3,14.8,14.95,2475670,14.95
SBT,2020-05-26,14.8,15.35,14.8,15.0,3187300,15.0
SBT,2020-05-25,14.8,14.9,14.8,14.8,2147130,14.8
SBT,2020-05-22,14.9,15.2,14.75,14.9,2288600,14.9
SBT,2020-05-21,15.1,15.15,14.85,15.1,2392370,15.1
SBT,2020-05-20,15.0,15.0,14.85,14.95,2795820,14.95
SBT,2020-05-19,14.85,15.15,14.7,15.0,2165200,15.0
SBT,2020-05-18,14.8,14.85,14.6,14.7,2165970,14.7
SBT,2020-05-15,14.75,14.95,14.7,14.8,2146750,14.8
SBT,2020-05-14,14.95,14.95,14.7,14.75,2280700,14.75
SBT,2020-05-13,14.5,15.2,14.3,14.95,2707620,14.95
SBT,2020-12-05,14.7,14.75,14.45,14.5,2254630,14.5
SBT,2020-11-05,14.8,15.0,14.6,14.8,2143070,14.8
SBT,2020-08-05,14.25,15.05,14.25,14.75,3442490,14.75
SBT,2020-07-05,14.2,14.35,14.0,14.25,2174480,14.25
SBT,2020-06-05,14.2,14.3,14.0,14.25,2158530,14.25
SBT,2020-05-05,14.2,14.3,14.1,14.15,2258080,14.15
SBT,2020-04-05,14.0,14.6,13.8,14.15,2038650,14.15
SBT,2020-04-29,13.75,14.0,13.6,13.75,2187410,13.75
SBT,2020-04-28,13.7,14.05,13.5,13.65,2469770,13.65
SBT,2020-04-27,14.1,14.1,13.7,13.7,2246300,13.7
SBT,2020-04-24,13.9,14.3,13.8,14.05,2178120,14.05
SBT,2020-04-23,14.15,14.4,14.0,14.05,3482080,14.05
SBT,2020-04-22,13.5,14.25,13.5,14.15,3449640,14.15
SBT,2020-04-21,15.0,15.1,14.25,14.25,4009900,14.25
SBT,2020-04-20,14.9,15.3,14.65,15.3,2441650,15.3
SBT,2020-04-17,14.4,14.9,13.25,14.85,5498430,14.85
SBT,2020-04-16,14.05,14.2,13.8,14.2,2180850,14.2
SBT,2020-04-15,14.2,14.5,14.05,14.15,1564070,14.15
SBT,2020-04-14,14.0,14.3,13.6,14.15,1495590,14.15
SBT,2020-04-13,13.5,14.35,13.5,14.0,1592680,14.0
SBT,2020-10-04,13.65,13.8,13.4,13.5,1438610,13.5
SBT,2020-09-04,13.15,14.15,13.15,13.5,1478610,13.5
SBT,2020-08-04,13.45,13.5,12.8,13.5,1402970,13.5
SBT,2020-07-04,13.65,13.95,12.7,13.45,1483270,13.45
SBT,2020-06-04,12.85,13.65,12.85,13.65,1848630,13.65
SBT,2020-03-04,12.7,13.0,12.65,12.8,1397930,12.8
SBT,2020-01-04,12.7,12.9,12.35,12.7,1480530,12.7
SBT,2020-03-31,12.8,13.0,12.05,12.7,1517000,12.7
SBT,2020-03-30,12.7,13.45,12.65,12.95,1588620,12.95
SBT,2020-03-27,12.55,13.55,12.5,13.55,1619660,13.55
SBT,2020-03-26,11.9,12.7,11.6,12.7,1296160,12.7
SBT,2020-03-25,11.9,12.6,11.9,11.9,2499150,11.9
SBT,2020-03-24,13.7,13.7,12.75,12.75,1990370,12.75
SBT,2020-03-23,14.2,14.25,13.7,13.7,1379360,13.7
SBT,2020-03-20,14.95,14.95,14.1,14.7,4503760,14.7
SBT,2020-03-19,15.0,15.0,14.5,14.95,2218220,14.95
SBT,2020-03-18,15.1,15.15,14.85,15.1,2494440,15.1
SBT,2020-03-17,15.1,15.25,14.1,15.1,2744430,15.1
SBT,2020-03-16,14.8,15.4,14.8,14.8,2391460,14.8
SBT,2020-03-13,15.9,16.85,15.9,15.9,2893260,15.9
SBT,2020-12-03,17.65,17.9,17.05,17.05,2157000,17.05
SBT,2020-11-03,18.7,19.25,18.0,18.3,2760890,18.3
SBT,2020-10-03,18.5,19.3,18.5,19.15,2444540,19.15
SBT,2020-09-03,18.8,19.9,18.8,19.35,2478570,19.35
SBT,2020-06-03,20.85,20.85,20.1,20.1,2518130,20.1
SBT,2020-05-03,20.9,20.95,20.4,20.85,2460490,20.85
SBT,2020-04-03,21.1,21.1,20.3,20.9,2467610,20.9
SBT,2020-03-03,21.3,21.55,19.95,21.1,2658250,21.1
SBT,2020-02-03,21.65,21.7,21.15,21.4,2381980,21.4
SBT,2020-02-28,21.75,21.95,21.5,21.65,2728040,21.65
SBT,2020-02-27,21.6,22.7,21.6,22.1,3173970,22.1
SBT,2020-02-26,21.9,22.0,21.8,21.8,2712300,21.8
SBT,2020-02-25,21.5,22.2,21.5,21.9,2499440,21.9
SBT,2020-02-24,22.0,22.0,21.5,21.85,2546690,21.85
SBT,2020-02-21,22.0,22.4,21.8,22.0,2689720,22.0
SBT,2020-02-20,22.4,22.5,21.8,22.0,2413050,22.0
SBT,2020-02-19,21.65,22.2,21.45,22.0,2668960,22.0
SBT,2020-02-18,21.25,21.7,21.0,21.65,2524060,21.65
SBT,2020-02-17,20.95,21.3,20.6,21.25,2244210,21.25
SBT,2020-02-14,21.1,21.6,21.0,21.2,2646120,21.2
SBT,2020-02-13,21.0,21.1,20.8,21.1,2652950,21.1
SBT,2020-12-02,19.3,19.75,19.1,19.75,1141920,19.75
SBT,2020-11-02,18.0,18.5,17.7,18.5,1424250,18.5
SBT,2020-10-02,17.9,18.0,17.6,18.0,1172120,18.0
SBT,2020-07-02,17.85,18.0,17.7,18.0,1189610,18.0
SBT,2020-06-02,17.6,18.0,17.6,18.0,1159630,18.0
SBT,2020-05-02,17.75,17.8,17.3,17.75,1233740,17.75
SBT,2020-04-02,18.0,18.1,17.75,17.8,1080060,17.8
SBT,2020-03-02,18.0,18.5,18.0,18.0,1176470,18.0
SBT,2020-01-31,18.65,18.65,18.45,18.55,1377900,18.55
SBT,2020-01-30,18.6,18.6,18.4,18.6,1265830,18.6
SBT,2020-01-22,18.45,18.6,18.3,18.6,1340690,18.6
SBT,2020-01-21,18.4,18.5,18.4,18.45,1213840,18.45
SBT,2020-01-20,18.5,18.5,18.3,18.5,1220390,18.5
SBT,2020-01-17,18.5,18.5,18.4,18.5,1465060,18.5
SBT,2020-01-16,18.7,18.7,18.55,18.6,1858230,18.6
SBT,2020-01-15,18.6,18.7,18.55,18.7,1135920,18.7
SBT,2020-01-14,18.65,18.7,18.5,18.65,1162070,18.65
SBT,2020-01-13,18.7,18.75,18.55,18.7,1393950,18.7
SBT,2020-10-01,18.7,18.75,18.5,18.7,1449550,18.7
SBT,2020-09-01,18.6,18.7,18.45,18.7,1142480,18.7
SBT,2020-08-01,18.6,18.6,18.35,18.6,1228120,18.6
SBT,2020-07-01,18.65,18.7,18.5,18.7,1161080,18.7
SBT,2020-06-01,18.55,18.6,18.45,18.6,1169180,18.6
SBT,2020-03-01,18.6,18.65,18.35,18.6,1138760,18.6
SBT,2020-02-01,18.55,18.6,18.35,18.6,1246310,18.6
SBT,2019-12-31,18.5,18.5,18.25,18.5,1196630,18.5
SBT,2019-12-30,18.55,18.55,18.35,18.5,1065060,18.5
SBT,2019-12-27,18.55,18.55,18.3,18.5,1074120,18.5
SBT,2019-12-26,18.4,18.5,18.25,18.5,1088640,18.5
SBT,2019-12-25,18.45,18.5,18.3,18.4,1106190,18.4
SBT,2019-12-24,18.4,18.45,18.2,18.45,1128260,18.45
SBT,2019-12-23,18.4,18.4,18.3,18.4,1098910,18.4
SBT,2019-12-20,18.05,18.4,17.5,18.4,2009960,18.4
SBT,2019-12-19,18.25,18.3,17.8,18.0,1453560,18.0
SBT,2019-12-18,18.55,18.55,18.25,18.25,1206460,18.25
SBT,2019-12-17,18.55,18.6,18.4,18.55,1237150,18.55
SBT,2019-12-16,18.5,18.55,18.4,18.55,1182590,18.55
SBT,2019-12-13,18.5,18.55,18.2,18.5,1226160,18.5
SBT,2019-12-12,18.6,18.6,18.4,18.55,1235990,18.55
SBT,2019-11-12,18.6,18.65,18.5,18.6,1061790,18.6
SBT,2019-10-12,18.7,18.7,18.55,18.6,1111070,18.6
SBT,2019-09-12,18.65,18.7,18.55,18.65,1122840,18.65
SBT,2019-06-12,18.6,18.65,18.5,18.65,1123440,18.65
SBT,2019-05-12,18.55,18.6,18.5,18.6,1118540,18.6
SBT,2019-04-12,18.5,18.55,18.3,18.55,1148120,18.55
SBT,2019-03-12,18.55,18.55,18.1,18.5,1239670,18.5
SBT,2019-02-12,18.7,18.7,18.45,18.55,1096060,18.55
SBT,2019-11-29,18.7,18.7,18.5,18.7,1168360,18.7
SBT,2019-11-28,18.3,18.8,18.3,18.7,1182820,18.7
SBT,2019-11-27,18.6,18.7,18.4,18.7,1218270,18.7
SBT,2019-11-26,18.2,18.5,18.15,18.5,1388670,18.5
SBT,2019-11-25,18.25,18.3,18.15,18.2,1045900,18.2
SBT,2019-11-22,18.65,18.7,18.2,18.2,1044980,18.2
