,name,date,open,high,low,close,volume,adj_close
1185,SCR,2016-01-04,8.7,8.8,8.6,8.7,2823187,6.45
1184,SCR,2016-01-05,8.6,8.7,8.6,8.6,2481608,6.37
1183,SCR,2016-01-06,8.6,8.8,8.6,8.7,2150782,6.45
1182,SCR,2016-01-07,8.7,8.7,8.4,8.4,4170046,6.22
1181,SCR,2016-01-08,8.3,8.4,8.2,8.3,1895392,6.15
1180,SCR,2016-01-11,8.3,8.4,8.2,8.2,1519954,6.08
1179,SCR,2016-01-12,8.3,8.5,8.2,8.5,2355458,6.3
1178,SCR,2016-01-13,8.6,8.6,8.3,8.4,1320962,6.22
1177,SCR,2016-01-14,8.3,8.7,8.2,8.5,6277876,6.3
1176,SCR,2016-01-15,8.5,8.6,8.4,8.5,5640858,6.3
1175,SCR,2016-01-18,8.3,8.4,8.1,8.2,4065877,6.08
1174,SCR,2016-01-19,8.2,8.5,8.2,8.5,2024063,6.3
1173,SCR,2016-01-20,8.4,8.6,8.3,8.4,2557028,6.22
1172,SCR,2016-01-21,8.4,8.5,8.2,8.3,2165592,6.15
1171,SCR,2016-01-22,8.4,8.5,8.3,8.4,3533156,6.22
1170,SCR,2016-01-25,8.5,8.8,8.4,8.6,5104699,6.37
1169,SCR,2016-01-26,8.6,8.7,8.4,8.5,4845000,6.3
1168,SCR,2016-01-27,8.6,8.8,8.6,8.8,5241067,6.52
1167,SCR,2016-01-28,8.8,9.6,8.7,9.3,12265984,6.89
1166,SCR,2016-01-29,9.3,9.4,9.2,9.3,5174349,6.89
1165,SCR,2016-02-01,10.2,10.2,9.3,9.4,5967612,6.97
1164,SCR,2016-02-02,9.5,9.5,9.1,9.1,6674672,6.74
1163,SCR,2016-02-03,9.1,9.3,8.9,9.2,5032345,6.82
1162,SCR,2016-02-04,8.3,9.3,8.3,9.2,1863310,6.82
1161,SCR,2016-02-05,9.2,9.3,9.1,9.3,1784254,6.89
1160,SCR,2016-02-15,9.2,9.4,9.1,9.2,3154141,6.82
1159,SCR,2016-02-16,9.2,9.7,9.2,9.6,4810750,7.11
1158,SCR,2016-02-17,9.6,9.9,9.5,9.7,6940602,7.19
1157,SCR,2016-02-18,9.7,9.8,9.6,9.6,4442983,7.11
1156,SCR,2016-02-19,9.5,9.7,9.5,9.5,4992210,7.04
1155,SCR,2016-02-22,9.5,9.8,9.5,9.6,5847405,7.11
1154,SCR,2016-02-23,9.6,9.7,9.4,9.5,4989660,7.04
1153,SCR,2016-02-24,9.5,9.9,9.4,9.7,10471809,7.19
1152,SCR,2016-02-25,9.7,10.1,9.6,9.6,15146631,7.11
1151,SCR,2016-02-26,9.7,9.8,9.6,9.6,3931586,7.11
1150,SCR,2016-02-29,9.6,9.7,9.5,9.6,6518249,7.11
1149,SCR,2016-03-01,9.6,9.7,9.6,9.6,2313148,7.11
1148,SCR,2016-03-02,9.7,9.9,9.6,9.8,6177079,7.26
1147,SCR,2016-03-03,9.8,10.0,9.7,9.8,6541900,7.26
1146,SCR,2016-03-04,9.8,10.0,9.8,9.9,3092473,7.34
1145,SCR,2016-03-07,9.9,10.0,9.7,9.7,7244973,7.19
1144,SCR,2016-03-08,9.7,9.8,9.6,9.6,3537327,7.11
1143,SCR,2016-03-09,9.6,9.7,9.6,9.6,3850310,7.11
1142,SCR,2016-03-10,9.6,9.7,9.6,9.7,2539418,7.19
1141,SCR,2016-03-11,9.7,9.7,9.6,9.6,4244022,7.11
1140,SCR,2016-03-14,9.6,9.8,9.6,9.7,4122515,7.19
1139,SCR,2016-03-15,9.7,9.8,9.5,9.6,4298143,7.11
1138,SCR,2016-03-16,9.6,9.6,9.4,9.4,4644465,6.97
1137,SCR,2016-03-17,9.4,9.6,9.4,9.5,5124762,7.04
1136,SCR,2016-03-18,9.6,9.6,9.4,9.4,2052010,6.97
1135,SCR,2016-03-21,9.4,9.5,9.2,9.2,3396082,6.82
1134,SCR,2016-03-22,9.2,9.3,9.0,9.2,4740375,6.82
1133,SCR,2016-03-23,9.2,9.4,9.2,9.3,1887959,6.89
1132,SCR,2016-03-24,9.3,9.4,9.2,9.2,2008557,6.82
1131,SCR,2016-03-25,9.1,9.2,9.0,9.0,3320276,6.67
1130,SCR,2016-03-28,9.0,9.1,8.9,9.0,3237864,6.67
1129,SCR,2016-03-29,9.0,9.1,8.7,8.7,3558284,6.45
1128,SCR,2016-03-30,8.7,9.1,8.6,9.0,2506116,6.67
1127,SCR,2016-03-31,9.1,9.1,8.7,8.7,2124929,6.45
1126,SCR,2016-04-01,8.7,9.0,8.6,8.9,2278335,6.59
1125,SCR,2016-04-04,8.9,9.0,8.9,9.0,2591636,6.67
1124,SCR,2016-04-05,8.7,9.2,8.7,9.1,3615951,6.74
1123,SCR,2016-04-06,9.2,9.2,9.1,9.2,2491348,6.82
1122,SCR,2016-04-07,9.2,9.4,9.1,9.1,2648848,6.74
1121,SCR,2016-04-08,9.1,9.3,9.1,9.2,2265100,6.82
1120,SCR,2016-04-11,9.2,9.3,9.1,9.2,2490082,6.82
1119,SCR,2016-04-12,9.3,9.4,9.1,9.2,3282197,6.82
1118,SCR,2016-04-13,9.2,9.2,9.1,9.1,1461050,6.74
1117,SCR,2016-04-14,9.1,9.1,9.0,9.0,1430909,6.67
1116,SCR,2016-04-15,9.1,9.1,8.9,8.9,2752270,6.59
1115,SCR,2016-04-19,8.9,9.1,8.9,9.0,2598899,6.67
1114,SCR,2016-04-20,9.0,9.2,8.9,9.1,1454237,6.74
1113,SCR,2016-04-21,9.1,9.3,9.1,9.3,1269888,6.89
1112,SCR,2016-04-22,9.3,9.4,9.2,9.4,3320200,6.97
