,name,date,open,high,low,close,volume,adj_close
1185,SFC,2016-01-04,22.0,22.0,22.0,22.0,510,13.43
1184,SFC,2016-01-05,20.8,23.5,20.8,23.5,2150,14.35
1183,SFC,2016-01-06,23.5,23.5,23.5,23.5,0,14.35
1182,SFC,2016-01-07,22.5,25.1,22.5,23.5,4070,14.35
1181,SFC,2016-01-08,23.5,23.5,23.5,23.5,0,14.35
1180,SFC,2016-01-11,24.9,24.9,24.9,24.9,10,15.2
1179,SFC,2016-01-12,24.9,24.9,24.9,24.9,0,15.2
1178,SFC,2016-01-13,23.2,23.2,23.2,23.2,1030,14.16
1177,SFC,2016-01-14,22.0,22.0,22.0,22.0,3890,13.43
1176,SFC,2016-01-15,22.0,22.0,22.0,22.0,0,13.43
1175,SFC,2016-01-18,20.5,23.5,20.5,23.5,4010,14.35
1174,SFC,2016-01-19,23.5,23.5,23.5,23.5,0,14.35
1173,SFC,2016-01-20,23.5,23.5,23.5,23.5,0,14.35
1172,SFC,2016-01-21,23.5,25.0,21.9,22.9,30,13.98
1171,SFC,2016-01-22,23.4,23.4,22.4,22.5,260,13.74
1170,SFC,2016-01-25,22.5,22.5,22.5,22.5,0,13.74
1169,SFC,2016-01-26,21.0,21.0,21.0,21.0,10,12.82
1168,SFC,2016-01-27,21.0,22.4,20.1,22.4,1200,13.67
1167,SFC,2016-01-28,22.2,22.2,22.2,22.2,20,13.55
1166,SFC,2016-01-29,22.2,22.2,22.2,22.2,0,13.55
1165,SFC,2016-02-01,22.0,22.0,22.0,22.0,550,13.43
1164,SFC,2016-02-02,21.0,21.0,21.0,21.0,10,12.82
1163,SFC,2016-02-03,19.7,19.7,19.7,19.7,10,12.03
1162,SFC,2016-02-04,21.0,21.0,21.0,21.0,10,12.82
1161,SFC,2016-02-05,22.0,22.0,22.0,22.0,50,13.43
1160,SFC,2016-02-15,22.0,22.0,22.0,22.0,10,13.43
1159,SFC,2016-02-16,22.0,22.0,22.0,22.0,0,13.43
1158,SFC,2016-02-17,22.0,22.0,22.0,22.0,960,13.43
1157,SFC,2016-02-18,22.0,22.0,22.0,22.0,0,13.43
1156,SFC,2016-02-19,22.0,22.0,22.0,22.0,0,13.43
1155,SFC,2016-02-22,22.0,22.0,22.0,22.0,10,13.43
1154,SFC,2016-02-23,22.0,22.0,22.0,22.0,20,13.43
1153,SFC,2016-02-24,22.0,22.0,22.0,22.0,2230,13.43
1152,SFC,2016-02-25,23.0,23.0,23.0,23.0,10,14.04
1151,SFC,2016-02-26,22.4,22.4,22.4,22.4,30,13.67
1150,SFC,2016-02-29,22.4,22.4,22.4,22.4,70,13.67
1149,SFC,2016-03-01,22.4,22.4,22.4,22.4,0,13.67
1148,SFC,2016-03-02,22.4,23.5,22.4,23.5,90,14.35
1147,SFC,2016-03-03,23.5,23.0,23.0,23.0,60,14.04
1146,SFC,2016-03-04,23.5,23.5,23.0,23.1,60,14.1
1145,SFC,2016-03-07,23.1,23.9,23.2,23.2,80,14.16
1144,SFC,2016-03-08,23.2,24.0,23.0,24.0,270,14.65
1143,SFC,2016-03-09,23.5,23.5,22.4,22.4,30,13.67
1142,SFC,2016-03-10,21.3,23.0,21.3,23.0,70,14.04
1141,SFC,2016-03-11,22.6,22.6,21.7,21.7,90,13.25
1140,SFC,2016-03-14,21.7,21.8,21.7,21.8,40,13.31
1139,SFC,2016-03-15,21.8,23.3,21.8,21.8,50,13.31
1138,SFC,2016-03-16,20.3,22.5,20.3,22.5,30,13.74
1137,SFC,2016-03-17,22.9,22.9,22.5,22.9,180,13.98
1136,SFC,2016-03-18,22.9,22.9,22.9,22.9,1320,13.98
1135,SFC,2016-03-21,22.8,22.9,22.8,22.9,320,13.98
1134,SFC,2016-03-22,22.2,22.2,22.2,22.2,10,13.55
1133,SFC,2016-03-23,20.9,22.9,20.7,22.9,250,13.98
1132,SFC,2016-03-24,23.0,23.0,23.0,23.0,10,14.04
1131,SFC,2016-03-25,23.0,23.0,23.0,23.0,0,14.04
1130,SFC,2016-03-28,21.5,21.5,21.5,21.5,90,13.12
1129,SFC,2016-03-29,22.5,22.5,22.5,22.5,10,13.74
1128,SFC,2016-03-30,21.0,22.5,21.0,22.5,120,13.74
1127,SFC,2016-03-31,23.0,23.0,23.0,23.0,10,14.04
1126,SFC,2016-04-01,23.0,23.0,23.0,23.0,0,14.04
1125,SFC,2016-04-04,23.0,23.0,22.9,22.9,120,13.98
1124,SFC,2016-04-05,22.8,22.8,22.0,22.5,80,13.74
1123,SFC,2016-04-06,22.5,22.5,22.5,22.5,320,13.74
1122,SFC,2016-04-07,22.5,22.5,22.5,22.5,0,13.74
1121,SFC,2016-04-08,22.7,22.7,22.7,22.7,50,13.86
1120,SFC,2016-04-11,23.2,24.0,23.2,24.0,20,14.65
1119,SFC,2016-04-12,24.0,24.0,24.0,24.0,0,14.65
1118,SFC,2016-04-13,24.5,24.5,24.5,24.5,10,14.96
1117,SFC,2016-04-14,24.5,24.5,24.5,24.5,0,14.96
1116,SFC,2016-04-15,24.5,24.5,24.5,24.5,0,14.96
1115,SFC,2016-04-19,24.5,24.5,24.5,24.5,0,14.96
1114,SFC,2016-04-20,24.4,24.4,24.4,24.4,80,14.89
1113,SFC,2016-04-21,24.4,24.4,24.4,24.4,0,14.89
1112,SFC,2016-04-22,22.8,22.8,22.8,22.8,20,13.92
1111,SFC,2016-04-25,24.3,24.3,21.3,21.3,30,13.0
1110,SFC,2016-04-26,22.7,22.7,19.9,19.9,5570,12.15
1109,SFC,2016-04-27,21.2,21.2,20.0,20.0,70,12.21
1108,SFC,2016-04-28,21.4,21.4,20.2,20.2,260,12.33
1107,SFC,2016-04-29,21.6,21.6,21.6,21.6,2630,13.19
1106,SFC,2016-05-04,23.1,23.1,22.0,22.0,110,13.43
1105,SFC,2016-05-05,22.1,23.3,22.1,23.3,120,14.22
1104,SFC,2016-05-06,23.2,23.2,23.2,23.2,20,14.16
1103,SFC,2016-05-09,21.7,22.1,21.7,22.0,15690,13.43
1102,SFC,2016-05-10,22.1,22.1,20.5,20.5,220,12.51
1101,SFC,2016-05-11,21.9,21.9,21.9,21.9,2840,13.37
1100,SFC,2016-05-12,22.0,22.4,22.0,22.0,450,13.43
1099,SFC,2016-05-13,22.5,22.5,22.5,22.5,340,13.74
1098,SFC,2016-05-16,23.4,23.4,23.4,23.4,30,14.28
1097,SFC,2016-05-17,23.4,23.4,23.4,23.4,0,14.28
1096,SFC,2016-05-18,23.4,23.4,23.4,23.4,0,14.28
1095,SFC,2016-05-19,23.4,23.4,23.4,23.4,0,14.28
1094,SFC,2016-05-20,23.4,23.4,23.4,23.4,0,14.28
1093,SFC,2016-05-23,22.0,22.0,22.0,22.0,550,13.43
1092,SFC,2016-05-24,22.2,22.2,22.2,22.2,170,13.55
1091,SFC,2016-05-25,22.3,22.3,22.3,22.3,430,13.61
1090,SFC,2016-05-26,22.4,22.4,22.4,22.4,600,13.67
1089,SFC,2016-05-27,22.4,22.4,22.4,22.4,0,13.67
1088,SFC,2016-05-30,23.2,23.2,23.2,23.2,150,14.16
1087,SFC,2016-05-31,22.5,23.5,22.5,23.5,1410,14.35
1086,SFC,2016-06-01,23.3,23.4,23.3,23.4,520,14.28
1085,SFC,2016-06-02,23.4,23.4,23.4,23.4,0,14.28
1084,SFC,2016-06-03,23.4,23.4,23.4,23.4,0,14.28
1083,SFC,2016-06-06,22.0,24.0,22.0,24.0,1520,14.65
1082,SFC,2016-06-07,23.5,23.5,23.5,23.5,10,14.35
1081,SFC,2016-06-08,23.5,23.5,23.5,23.5,0,14.35
1080,SFC,2016-06-09,23.5,23.5,23.5,23.5,0,14.35
1079,SFC,2016-06-10,23.5,23.5,23.5,23.5,0,14.35
1078,SFC,2016-06-13,24.4,24.4,24.4,24.4,10,14.89
1077,SFC,2016-06-14,24.4,24.4,24.4,24.4,10,14.89
1076,SFC,2016-06-15,24.4,24.4,24.4,24.4,0,14.89
1075,SFC,2016-06-16,24.4,24.4,24.4,24.4,0,14.89
1074,SFC,2016-06-17,24.4,24.4,24.4,24.4,0,14.89
1073,SFC,2016-06-20,24.0,24.5,24.0,24.5,12110,14.96
1072,SFC,2016-06-21,24.5,24.5,24.5,24.5,1340,14.96
1071,SFC,2016-06-22,25.0,25.0,25.0,25.0,1410,15.26
1070,SFC,2016-06-23,25.0,25.2,25.0,25.2,3720,15.38
1069,SFC,2016-06-24,25.2,25.2,25.2,25.2,0,15.38
1068,SFC,2016-06-27,25.0,25.2,25.0,25.1,4420,15.32
1067,SFC,2016-06-28,25.1,25.1,25.1,25.1,0,15.32
1066,SFC,2016-06-29,25.1,25.1,25.1,25.1,0,15.32
1065,SFC,2016-06-30,25.1,25.1,25.1,25.1,0,15.32
1064,SFC,2016-07-01,25.0,25.5,25.0,25.5,1370,15.57
1063,SFC,2016-07-04,25.5,25.5,25.5,25.5,2550,15.57
1062,SFC,2016-07-05,25.5,25.5,25.5,25.5,1250,15.57
1061,SFC,2016-07-06,25.5,25.8,25.5,25.5,3770,15.57
1060,SFC,2016-07-07,25.5,25.6,25.5,25.5,3050,15.57
1059,SFC,2016-07-08,25.6,25.6,25.6,25.6,5000,15.63
