,name,date,open,high,low,close,volume,adj_close
1190,SJS,2016-01-04,23.1,23.4,23.1,23.1,81210,18.02
1189,SJS,2016-01-05,23.1,23.1,22.2,22.6,78510,17.63
1188,SJS,2016-01-06,22.4,22.8,22.4,22.6,8660,17.63
1187,SJS,2016-01-07,22.5,22.5,21.8,21.9,70900,17.08
1186,SJS,2016-01-08,21.9,22.8,21.5,22.8,136070,17.78
1185,SJS,2016-01-11,22.3,22.7,22.1,22.7,13160,17.7
1184,SJS,2016-01-12,22.3,22.8,22.3,22.8,88080,17.78
1183,SJS,2016-01-13,23.0,23.2,22.5,23.0,94940,17.94
1182,SJS,2016-01-14,22.5,23.1,22.5,23.1,82560,18.02
1181,SJS,2016-01-15,23.3,23.3,22.5,22.5,30960,17.55
1180,SJS,2016-01-18,22.0,22.4,21.4,22.4,158690,17.47
1179,SJS,2016-01-19,22.8,22.9,22.1,22.7,164410,17.7
1178,SJS,2016-01-20,22.9,23.1,22.5,22.6,59590,17.63
1177,SJS,2016-01-21,22.4,22.8,21.8,22.4,159910,17.47
1176,SJS,2016-01-22,21.8,22.4,21.8,22.4,166390,17.47
1175,SJS,2016-01-25,23.0,23.1,22.7,22.8,118650,17.78
1174,SJS,2016-01-26,22.5,22.7,22.2,22.5,21720,17.55
1173,SJS,2016-01-27,23.1,23.2,22.3,22.8,43580,17.78
1172,SJS,2016-01-28,22.5,22.5,22.2,22.2,3020,17.31
1171,SJS,2016-01-29,21.5,22.4,21.5,22.3,71330,17.39
1170,SJS,2016-02-01,22.4,22.6,22.0,22.0,146770,17.16
1169,SJS,2016-02-02,22.6,22.6,21.7,22.4,2430,17.47
1168,SJS,2016-02-03,22.4,22.5,22.2,22.2,42100,17.31
1167,SJS,2016-02-04,22.6,22.6,21.9,21.9,26010,17.08
1166,SJS,2016-02-05,21.6,22.8,21.5,21.7,35030,16.92
1165,SJS,2016-02-15,21.5,22.3,21.4,21.6,117310,16.85
1164,SJS,2016-02-16,21.6,22.3,21.6,22.2,77260,17.31
1163,SJS,2016-02-17,22.2,22.6,21.6,21.8,62370,17.0
1162,SJS,2016-02-18,21.8,22.2,21.5,21.5,22550,16.77
1161,SJS,2016-02-19,21.9,21.9,21.5,21.6,46380,16.85
1160,SJS,2016-02-22,21.6,22.0,21.4,22.0,51410,17.16
1159,SJS,2016-02-23,22.0,22.0,21.5,21.5,39370,16.77
1158,SJS,2016-02-24,21.6,21.6,21.3,21.4,58380,16.69
1157,SJS,2016-02-25,21.4,21.4,20.9,20.9,76060,16.3
1156,SJS,2016-02-26,20.9,21.3,20.9,20.9,63530,16.3
1155,SJS,2016-02-29,21.2,21.2,20.5,20.8,13500,16.22
1154,SJS,2016-03-01,20.5,20.8,20.4,20.4,95130,15.91
1153,SJS,2016-03-02,20.4,20.5,20.0,20.2,104770,15.75
1152,SJS,2016-03-03,20.3,21.2,20.2,20.3,89660,15.83
1151,SJS,2016-03-04,20.3,20.4,20.0,20.0,82790,15.6
1150,SJS,2016-03-07,19.5,20.0,19.5,19.5,109890,15.21
1149,SJS,2016-03-08,19.4,20.0,19.3,19.8,57120,15.44
1148,SJS,2016-03-09,20.0,21.1,20.0,20.9,167550,16.3
1147,SJS,2016-03-10,20.8,21.0,20.5,20.5,28260,15.99
1146,SJS,2016-03-11,20.3,21.0,20.3,20.6,144910,16.07
1145,SJS,2016-03-14,20.1,20.5,20.0,20.0,87500,15.6
1144,SJS,2016-03-15,20.0,20.4,19.8,20.2,33040,15.75
1143,SJS,2016-03-16,20.2,20.2,19.6,19.6,32810,15.29
1142,SJS,2016-03-17,19.8,20.1,19.7,19.8,92370,15.44
1141,SJS,2016-03-18,20.0,20.0,19.5,19.8,43460,15.44
1140,SJS,2016-03-21,19.7,19.8,19.6,19.8,13370,15.44
1139,SJS,2016-03-22,19.9,19.9,19.6,19.7,36210,15.36
1138,SJS,2016-03-23,19.7,19.9,19.6,19.9,83620,15.52
1137,SJS,2016-03-24,19.9,19.9,19.5,19.5,27880,15.21
1136,SJS,2016-03-25,19.4,19.5,19.0,19.2,62250,14.97
1135,SJS,2016-03-28,19.2,20.0,19.2,19.6,193280,15.29
1134,SJS,2016-03-29,19.6,19.7,19.0,19.3,48090,15.05
1133,SJS,2016-03-30,19.5,19.5,19.2,19.2,71200,14.97
1132,SJS,2016-03-31,19.5,19.5,19.0,19.3,95770,15.05
1131,SJS,2016-04-01,19.2,19.2,18.9,19.2,104870,14.97
1130,SJS,2016-04-04,19.2,19.5,19.1,19.2,59150,14.97
1129,SJS,2016-04-05,19.2,19.3,19.1,19.2,22130,14.97
1128,SJS,2016-04-06,19.2,20.2,19.2,20.0,177150,15.6
1127,SJS,2016-04-07,20.2,20.2,19.7,19.7,66430,15.36
1126,SJS,2016-04-08,19.7,19.9,19.4,19.8,42370,15.44
1125,SJS,2016-04-11,19.8,20.7,19.7,20.4,302080,15.91
1124,SJS,2016-04-12,20.8,20.8,20.1,20.3,108710,15.83
1123,SJS,2016-04-13,20.0,20.3,19.8,20.0,100980,15.6
1122,SJS,2016-04-14,20.0,21.0,19.7,20.4,266280,15.91
1121,SJS,2016-04-15,20.5,21.4,20.5,20.8,280350,16.22
1120,SJS,2016-04-19,20.5,21.0,20.1,20.4,172300,15.91
1119,SJS,2016-04-20,20.4,20.4,20.0,20.3,74710,15.83
1118,SJS,2016-04-21,20.3,20.3,19.9,20.3,88180,15.83
1117,SJS,2016-04-22,19.9,20.5,19.9,20.5,131620,15.99
1116,SJS,2016-04-25,20.5,21.2,20.0,20.0,67000,15.6
1115,SJS,2016-04-26,19.9,20.3,19.9,20.3,96770,15.83
1114,SJS,2016-04-27,20.1,21.2,20.1,20.8,332350,16.22
1113,SJS,2016-04-28,20.4,20.9,20.4,20.6,20730,16.07
1112,SJS,2016-04-29,20.6,20.9,20.6,20.6,66800,16.07
1111,SJS,2016-05-04,20.6,21.2,20.4,21.1,296350,16.46
1110,SJS,2016-05-05,21.3,22.5,21.3,22.3,652550,17.39
1109,SJS,2016-05-06,22.6,22.6,21.9,21.9,115010,17.08
1108,SJS,2016-05-09,22.0,22.5,21.5,22.3,304030,17.39
1107,SJS,2016-05-10,22.4,22.4,21.9,22.4,229830,17.47
1106,SJS,2016-05-11,22.4,23.0,22.0,22.8,197540,17.78
1105,SJS,2016-05-12,22.9,23.4,22.5,22.5,174760,17.55
1104,SJS,2016-05-13,22.8,24.0,22.8,23.8,467490,18.56
1103,SJS,2016-05-16,24.0,25.0,23.6,23.6,325470,18.41
1102,SJS,2016-05-17,23.5,24.5,23.5,24.1,474130,18.8
1101,SJS,2016-05-18,24.7,24.8,24.1,24.1,455350,18.8
1100,SJS,2016-05-19,24.1,24.1,23.3,23.4,158740,18.25
1099,SJS,2016-05-20,23.3,23.7,23.2,23.5,131050,18.33
1098,SJS,2016-05-23,23.3,23.9,23.0,23.0,147580,17.94
1097,SJS,2016-05-24,22.7,23.5,22.6,22.7,78000,17.7
1096,SJS,2016-05-25,22.8,23.1,22.7,23.0,62990,17.94
1095,SJS,2016-05-26,23.0,23.0,22.7,22.8,90880,17.78
1094,SJS,2016-05-27,22.5,23.5,22.5,23.3,98870,18.17
1093,SJS,2016-05-30,23.7,24.4,23.7,24.3,570820,18.95
1092,SJS,2016-05-31,24.6,25.3,24.2,25.0,342780,19.5
1091,SJS,2016-06-01,24.8,25.1,24.6,25.0,100560,19.5
1090,SJS,2016-06-02,24.6,24.9,24.5,24.8,126540,19.34
1089,SJS,2016-06-03,24.7,25.9,24.5,24.8,267920,19.34
1088,SJS,2016-06-06,24.4,24.9,24.1,24.5,200240,19.11
1087,SJS,2016-06-07,24.4,24.4,24.0,24.2,100320,18.87
1086,SJS,2016-06-08,24.7,25.4,24.5,24.5,245400,19.11
1085,SJS,2016-06-09,24.8,24.8,24.2,24.2,75660,18.87
1084,SJS,2016-06-10,24.4,24.4,24.0,24.1,65470,18.8
