name,date,open,high,low,close,volume,adj_close
SSI,2/10/20,17.9,18.05,17,17.75,10961430,17.75
SSI,1/10/20,17.1,18,17,17.8,10321030,17.8
SSI,9/30/20,16.75,17,16.6,16.95,4432160,16.95
SSI,9/29/20,17.1,17.15,16.7,16.75,6122220,16.75
SSI,9/28/20,16.55,16.95,16.55,16.9,5215260,16.9
SSI,9/25/20,16.6,16.65,16.25,16.45,7290520,16.45
SSI,9/24/20,16.6,16.8,16.5,16.55,4564860,16.55
SSI,9/23/20,16.55,16.8,16.55,16.7,5699700,16.7
SSI,9/22/20,16.35,16.6,16.35,16.55,6821140,16.55
SSI,9/21/20,16.45,16.75,16.35,16.5,8122870,16.5
SSI,9/18/20,16,16.45,15.95,16.3,7903190,16.3
SSI,9/17/20,15.95,16.05,15.8,16,6000380,16
SSI,9/16/20,15.8,16.1,15.8,15.9,3807390,15.9
SSI,9/15/20,15.8,16.15,15.75,15.8,7005050,15.8
SSI,9/14/20,15.85,15.9,15.65,15.75,4644580,15.75
SSI,11/9/20,15.85,15.95,15.7,15.75,4402790,15.75
SSI,10/9/20,15.95,16.15,15.85,15.85,8787650,15.85
SSI,9/9/20,15.5,15.9,15.45,15.85,7044490,15.85
SSI,8/9/20,15.45,15.8,15.3,15.8,6831470,15.8
SSI,7/9/20,15.5,15.85,15.3,15.35,9582630,15.35
SSI,4/9/20,15,15.7,14.85,15.4,9713580,15.4
SSI,3/9/20,15.35,15.35,15.1,15.25,4876180,15.25
SSI,1/9/20,14.85,15.1,14.8,15.1,3449300,15.1
SSI,8/31/20,15.15,15.25,14.85,14.9,3994730,14.9
SSI,8/28/20,15.25,15.4,15.1,15.1,5869960,15.1
SSI,8/27/20,15.05,15.15,14.95,15.1,3711300,15.1
SSI,8/26/20,15.05,15.2,14.95,15.05,5419820,15.05
SSI,8/25/20,15.15,15.25,14.95,15,4611300,15
SSI,8/24/20,14.85,15.1,14.75,15,7044900,15
SSI,8/21/20,14.45,14.7,14.35,14.7,3758250,14.7
SSI,8/20/20,14.55,14.6,14.35,14.35,2703510,14.35
SSI,8/19/20,14.35,14.6,14.35,14.55,2670190,14.55
SSI,8/18/20,14.5,14.6,14.35,14.4,1931160,14.4
SSI,8/17/20,14.5,14.6,14.25,14.5,3811840,14.5
SSI,8/14/20,14.8,14.9,14.45,14.6,4301340,14.6
SSI,8/13/20,14.7,14.9,14.6,14.85,3734680,14.85
SSI,12/8/20,14.75,14.8,14.5,14.65,2877790,14.65
SSI,11/8/20,14.55,14.75,14.4,14.7,5313900,14.7
SSI,10/8/20,14.5,14.6,14.4,14.4,3288010,14.4
SSI,7/8/20,14.35,14.45,14.2,14.25,2562160,14.25
SSI,6/8/20,14.45,14.55,14.3,14.35,4168520,14.35
SSI,5/8/20,14.2,14.7,14.15,14.5,4672060,14.5
SSI,4/8/20,14.35,14.45,14.05,14.35,4642760,14.35
SSI,3/8/20,13.5,14.2,13.5,14.1,5017010,14.1
SSI,7/31/20,13.4,13.8,13.35,13.55,2832300,13.55
SSI,7/30/20,13.6,13.9,13.6,13.75,2699550,13.75
SSI,7/29/20,14,14,13.25,13.55,6325100,13.55
SSI,7/28/20,13.8,14.2,13.35,14.2,6648230,14.2
SSI,7/27/20,13.5,14,13.3,13.3,8310880,13.3
SSI,7/24/20,14.85,14.9,13.95,14.3,9774930,14.3
SSI,7/23/20,15.1,15.15,14.85,14.9,4378660,14.9
SSI,7/22/20,15.4,15.45,15.05,15.05,3959010,15.05
SSI,7/21/20,15.65,15.7,15.1,15.25,6953920,15.25
SSI,7/20/20,15.45,16,15.45,15.45,6438130,15.45
SSI,7/17/20,16.55,16.95,16.5,16.7,6824380,15.7
SSI,7/16/20,16.6,16.7,16.5,16.6,3531900,15.61
SSI,7/15/20,16.8,16.8,16.5,16.55,4340580,15.56
SSI,7/14/20,15.9,16.7,15.9,16.7,9138070,15.7
SSI,7/13/20,16.2,16.25,15.85,15.95,5298630,14.99
SSI,10/7/20,15.75,16.15,15.75,15.95,9082870,14.99
SSI,9/7/20,15.9,16,15.7,15.85,4876340,14.9
SSI,8/7/20,15.5,15.7,15.35,15.7,2493090,14.76
SSI,7/7/20,15.7,15.85,15.5,15.55,4850680,14.62
SSI,6/7/20,15.3,15.6,15.15,15.6,3984350,14.67
SSI,3/7/20,15.3,15.3,15.1,15.15,2288480,14.24
SSI,2/7/20,15.3,15.3,15.05,15.15,2325600,14.24
SSI,1/7/20,14.95,15.4,14.75,15.3,3435740,14.38
SSI,6/30/20,15.2,15.25,14.45,14.8,3781930,13.91
SSI,6/29/20,15.5,15.5,14.65,14.8,7502050,13.91
SSI,6/26/20,15.9,16.2,15.45,15.5,4919890,14.57
SSI,6/25/20,15.65,15.85,15.4,15.8,3914840,14.85
SSI,6/24/20,16.1,16.35,15.7,15.75,5975970,14.81
SSI,6/23/20,15.45,16.25,15.45,16.1,14025040,15.14
SSI,6/22/20,15.3,15.5,14.95,15.2,3766890,14.29
SSI,6/19/20,15,15.3,14.9,15.3,4986110,14.38
SSI,6/18/20,14.7,15,14.7,15,1838500,14.1
SSI,6/17/20,15.15,15.25,14.85,15,2911920,14.1
SSI,6/16/20,15,15.25,14.75,15.2,5005720,14.29
SSI,6/15/20,15.5,15.55,14.45,14.45,7253720,13.58
SSI,12/6/20,14.6,15.5,14.3,15.5,7587730,14.57
SSI,11/6/20,16,16.2,14.9,14.9,9349070,14.01
SSI,10/6/20,15.75,16.1,15.4,16,6544090,15.04
SSI,9/6/20,16.3,16.3,15.8,15.85,6435790,14.9
SSI,8/6/20,16.2,16.2,15.9,16.05,5993130,15.09
SSI,5/6/20,15.7,15.8,15.5,15.7,5731890,14.76
SSI,4/6/20,15.45,15.95,15.45,15.7,9360040,14.76
SSI,3/6/20,15.1,15.2,15,15.2,3251400,14.29
SSI,2/6/20,15.3,15.35,15,15.05,6106810,14.15
SSI,1/6/20,14.9,15.3,14.85,15.2,4455460,14.29
SSI,5/29/20,14.8,14.9,14.65,14.8,3573780,13.91
SSI,5/28/20,14.9,15.1,14.8,14.85,4876490,13.96
SSI,5/27/20,15.5,15.55,14.9,14.9,7938010,14.01
SSI,5/26/20,14.7,15.4,14.65,15.35,8120570,14.43
SSI,5/25/20,14.4,14.6,14.3,14.55,6022830,13.68
SSI,5/22/20,14.2,14.7,14.1,14.3,7455010,13.44
SSI,5/21/20,14.45,14.5,14.2,14.35,3314490,13.49
SSI,5/20/20,14.25,14.4,14.2,14.3,2577550,13.44
SSI,5/19/20,14.5,14.6,14.2,14.3,6873020,13.44
SSI,5/18/20,13.95,14.2,13.85,14.15,2313840,13.3
SSI,5/15/20,14.35,14.45,13.9,13.95,3732360,13.11
SSI,5/14/20,13.85,14.65,13.85,14.25,5857120,13.4
SSI,5/13/20,14,14.3,13.7,14.05,5490540,13.21
SSI,12/5/20,14,14.35,13.8,14.2,3956090,13.35
SSI,11/5/20,14.15,14.15,13.65,14.15,6209600,13.3
