,name,date,open,high,low,close,volume,adj_close
1189,STB,2016-01-04,12.6,12.8,12.3,12.6,1127820,12.6
1188,STB,2016-01-05,12.6,12.6,12.3,12.3,332490,12.3
1187,STB,2016-01-06,12.4,12.9,12.4,12.8,1267100,12.8
1186,STB,2016-01-07,12.7,12.8,12.4,12.6,835460,12.6
1185,STB,2016-01-08,12.6,12.7,12.3,12.6,452540,12.6
1184,STB,2016-01-11,12.6,12.7,12.3,12.3,470190,12.3
1183,STB,2016-01-12,12.4,12.5,12.2,12.5,229760,12.5
1182,STB,2016-01-13,12.5,12.6,12.3,12.4,158620,12.4
1181,STB,2016-01-14,11.9,12.2,11.8,11.9,493350,11.9
1180,STB,2016-01-15,11.8,11.9,11.1,11.1,1422060,11.1
1179,STB,2016-01-18,10.6,11.1,10.6,10.7,591700,10.7
1178,STB,2016-01-19,10.8,11.3,10.8,11.2,308310,11.2
1177,STB,2016-01-20,11.2,11.3,10.9,10.9,366490,10.9
1176,STB,2016-01-21,10.6,11.3,10.6,10.6,736540,10.6
1175,STB,2016-01-22,10.8,10.9,10.6,10.9,382120,10.9
1174,STB,2016-01-25,10.9,11.6,10.9,11.6,494380,11.6
1173,STB,2016-01-26,11.3,11.4,11.1,11.1,433640,11.1
1172,STB,2016-01-27,11.3,11.5,11.2,11.2,300190,11.2
1171,STB,2016-01-28,11.2,11.7,11.2,11.3,201130,11.3
1170,STB,2016-01-29,11.3,11.5,11.2,11.3,468470,11.3
1169,STB,2016-02-01,11.3,11.4,11.2,11.2,323240,11.2
1168,STB,2016-02-02,11.2,11.3,11.1,11.1,153230,11.1
1167,STB,2016-02-03,11.1,11.1,10.9,11.1,362660,11.1
1166,STB,2016-02-04,11.1,11.2,11.0,11.2,274830,11.2
1165,STB,2016-02-05,11.2,11.2,11.1,11.2,333120,11.2
1164,STB,2016-02-15,11.0,11.2,10.8,11.0,582470,11.0
1163,STB,2016-02-16,10.9,11.0,10.9,10.9,716690,10.9
1162,STB,2016-02-17,10.9,10.9,10.6,10.6,1636020,10.6
1161,STB,2016-02-18,10.6,11.1,10.6,11.0,697250,11.0
1160,STB,2016-02-19,10.8,11.1,10.8,11.0,781900,11.0
1159,STB,2016-02-22,10.9,11.0,10.8,10.8,876220,10.8
1158,STB,2016-02-23,10.9,11.0,10.8,10.9,554120,10.9
1157,STB,2016-02-24,10.8,11.4,10.8,11.2,1355180,11.2
1156,STB,2016-02-25,11.3,11.4,11.0,11.1,540620,11.1
1155,STB,2016-02-26,11.1,11.2,11.0,11.2,278100,11.2
1154,STB,2016-02-29,11.2,11.2,11.0,11.0,469130,11.0
1153,STB,2016-03-01,11.0,11.1,10.9,10.9,398350,10.9
1152,STB,2016-03-02,11.0,11.1,10.9,11.1,425700,11.1
1151,STB,2016-03-03,11.0,11.2,11.0,11.0,226030,11.0
1150,STB,2016-03-04,11.0,11.1,10.9,11.0,423300,11.0
1149,STB,2016-03-07,11.0,11.0,10.9,11.0,420860,11.0
1148,STB,2016-03-08,10.9,11.0,10.9,10.9,371220,10.9
1147,STB,2016-03-09,11.0,11.0,10.8,10.9,227820,10.9
1146,STB,2016-03-10,10.9,11.0,10.8,10.9,130410,10.9
1145,STB,2016-03-11,10.9,11.0,10.8,11.0,113110,11.0
1144,STB,2016-03-14,11.0,11.0,10.8,11.0,219320,11.0
1143,STB,2016-03-15,10.9,10.9,10.8,10.8,424580,10.8
1142,STB,2016-03-16,10.8,10.8,10.7,10.7,617340,10.7
1141,STB,2016-03-17,10.8,10.9,10.8,10.8,335970,10.8
1140,STB,2016-03-18,10.8,10.9,10.4,10.4,6765150,10.4
1139,STB,2016-03-21,10.6,10.7,10.6,10.6,298810,10.6
1138,STB,2016-03-22,10.7,10.7,10.5,10.6,385610,10.6
1137,STB,2016-03-23,10.5,10.6,10.4,10.6,1072500,10.6
1136,STB,2016-03-24,10.5,10.6,10.3,10.3,1204500,10.3
1135,STB,2016-03-25,10.4,10.4,10.3,10.4,467990,10.4
1134,STB,2016-03-28,10.4,10.5,10.3,10.3,383970,10.3
1133,STB,2016-03-29,10.3,10.4,10.1,10.1,912290,10.1
1132,STB,2016-03-30,10.1,10.4,10.1,10.3,830710,10.3
1131,STB,2016-03-31,10.2,10.4,10.1,10.3,689550,10.3
1130,STB,2016-04-01,10.3,10.3,10.1,10.3,551560,10.3
1129,STB,2016-04-04,10.3,10.3,10.1,10.3,390140,10.3
1128,STB,2016-04-05,10.2,10.3,10.1,10.2,351880,10.2
1127,STB,2016-04-06,10.2,10.3,10.1,10.3,570660,10.3
1126,STB,2016-04-07,10.3,10.3,10.1,10.1,623360,10.1
1125,STB,2016-04-08,10.2,10.2,10.1,10.1,417320,10.1
1124,STB,2016-04-11,10.1,10.2,10.0,10.1,551250,10.1
1123,STB,2016-04-12,10.1,10.2,9.9,10.1,1086420,10.1
1122,STB,2016-04-13,10.2,10.3,9.9,10.2,1437600,10.2
1121,STB,2016-04-14,10.1,10.3,10.1,10.2,485660,10.2
1120,STB,2016-04-15,10.2,10.2,10.1,10.1,125180,10.1
1119,STB,2016-04-19,10.1,10.1,10.0,10.0,240700,10.0
1118,STB,2016-04-20,10.0,10.1,9.9,10.0,1292850,10.0
1117,STB,2016-04-21,9.9,10.4,9.9,10.2,2322450,10.2
1116,STB,2016-04-22,10.1,10.3,10.1,10.2,318700,10.2
1115,STB,2016-04-25,10.1,10.3,10.1,10.3,805780,10.3
1114,STB,2016-04-26,10.2,10.4,10.2,10.2,696460,10.2
1113,STB,2016-04-27,10.2,10.2,10.1,10.2,378110,10.2
1112,STB,2016-04-28,10.1,10.4,10.1,10.3,1200410,10.3
1111,STB,2016-04-29,10.3,10.4,10.2,10.3,339900,10.3
1110,STB,2016-05-04,10.2,10.3,10.2,10.2,294080,10.2
1109,STB,2016-05-05,10.2,10.3,10.2,10.3,240490,10.3
1108,STB,2016-05-06,10.2,10.4,10.2,10.3,470690,10.3
1107,STB,2016-05-09,10.2,10.4,10.2,10.3,389820,10.3
1106,STB,2016-05-10,10.4,10.4,10.2,10.4,203080,10.4
1105,STB,2016-05-11,10.3,10.4,10.3,10.3,324070,10.3
1104,STB,2016-05-12,10.3,11.0,10.3,11.0,1933900,11.0
1103,STB,2016-05-13,11.3,11.7,11.2,11.7,2671290,11.7
1102,STB,2016-05-16,12.4,12.4,11.9,12.1,3430990,12.1
1101,STB,2016-05-17,12.0,12.9,11.7,12.7,4426370,12.7
1100,STB,2016-05-18,12.6,13.0,12.6,12.6,2684870,12.6
1099,STB,2016-05-19,12.5,12.6,12.3,12.4,1267530,12.4
1098,STB,2016-05-20,12.2,12.3,11.8,11.9,2787820,11.9
1097,STB,2016-05-23,11.9,12.2,11.7,11.7,1564460,11.7
1096,STB,2016-05-24,11.8,11.9,11.5,11.5,1510550,11.5
1095,STB,2016-05-25,11.6,11.7,11.2,11.2,1358130,11.2
1094,STB,2016-05-26,11.3,11.6,10.9,11.0,2142490,11.0
1093,STB,2016-05-27,11.0,11.3,10.8,11.3,795400,11.3
1092,STB,2016-05-30,11.3,11.3,11.1,11.1,975500,11.1
1091,STB,2016-05-31,11.1,11.3,11.0,11.0,1720970,11.0
1090,STB,2016-06-01,11.1,11.2,11.0,11.1,532220,11.1
1089,STB,2016-06-02,11.1,11.3,11.0,11.2,578720,11.2
1088,STB,2016-06-03,11.2,11.3,11.0,11.3,1548070,11.3
1087,STB,2016-06-06,11.3,12.0,11.1,12.0,2078010,12.0
1086,STB,2016-06-07,12.2,12.3,11.9,11.9,1458150,11.9
1085,STB,2016-06-08,11.8,12.2,11.7,12.1,1685930,12.1
1084,STB,2016-06-09,12.0,12.1,11.9,12.1,1421620,12.1
1083,STB,2016-06-10,12.1,12.1,11.5,11.5,915680,11.5
1082,STB,2016-06-13,11.7,11.9,11.4,11.8,2042500,11.8
1081,STB,2016-06-14,11.9,11.9,11.7,11.8,352490,11.8
1080,STB,2016-06-15,11.8,11.8,11.5,11.7,715860,11.7
1079,STB,2016-06-16,11.7,11.8,11.6,11.6,810600,11.6
1078,STB,2016-06-17,11.5,11.8,11.3,11.3,2160740,11.3
1077,STB,2016-06-20,11.5,11.5,11.3,11.3,801820,11.3
1076,STB,2016-06-21,11.4,11.5,11.2,11.5,1032700,11.5
1075,STB,2016-06-22,11.5,11.7,11.4,11.5,689770,11.5
1074,STB,2016-06-23,11.5,11.6,11.4,11.5,340140,11.5
1073,STB,2016-06-24,11.5,11.5,10.7,11.3,1945750,11.3
1072,STB,2016-06-27,11.1,11.4,10.9,11.3,731260,11.3
1071,STB,2016-06-28,11.2,11.4,11.1,11.3,556280,11.3
1070,STB,2016-06-29,11.3,11.5,11.3,11.4,412930,11.4
1069,STB,2016-06-30,11.3,11.5,11.2,11.3,684520,11.3
1068,STB,2016-07-01,11.3,11.4,11.1,11.3,504630,11.3
1067,STB,2016-07-04,11.4,11.4,11.2,11.3,519110,11.3
