,name,date,open,high,low,close,volume,adj_close
815,TCW,2017-06-26,0,32.0,35.0,34.1,,17.18
814,TCW,2017-06-27,0,33.2,33.8,33.5,,17.42
813,TCW,2017-06-28,0,33.7,33.4,32.0,,16.94
812,TCW,2017-06-29,0,32.7,32.0,29.5,,15.23
811,TCW,2017-06-30,1575000,29.4,29.0,28.0,,14.49
810,TCW,2017-07-03,0,28.0,28.0,27.3,,14.17
809,TCW,2017-07-04,0,25.6,25.0,24.0,,13.63
808,TCW,2017-07-05,0,24.6,24.0,23.5,,13.15
807,TCW,2017-07-06,0,23.7,23.7,27.0,,14.25
806,TCW,2017-07-07,0,25.7,26.4,26.1,,14.18
805,TCW,2017-07-10,0,25.6,24.1,24.1,,13.35
804,TCW,2017-07-11,0,24.1,24.4,24.5,,13.93
803,TCW,2017-07-12,0,25.1,24.8,26.0,,13.8
802,TCW,2017-07-13,0,24.9,25.0,25.8,,13.96
801,TCW,2017-07-14,0,25.2,25.1,25.4,,13.9
800,TCW,2017-07-17,0,25.1,25.0,25.0,,13.59
799,TCW,2017-07-18,0,24.5,24.1,24.5,,13.66
798,TCW,2017-07-19,0,24.7,24.0,24.6,,13.5
797,TCW,2017-07-20,0,24.4,24.1,24.6,,13.44
796,TCW,2017-07-21,0,24.3,25.0,24.5,,13.31
795,TCW,2017-07-24,0,24.0,23.9,24.3,,13.34
794,TCW,2017-07-25,0,24.1,24.1,24.4,,13.44
793,TCW,2017-07-26,0,24.3,24.3,24.6,,13.53
792,TCW,2017-07-27,0,24.4,24.5,24.7,,13.6
791,TCW,2017-07-28,0,24.5,24.5,24.5,,13.5
790,TCW,2017-07-31,0,24.4,24.3,24.0,,13.44
789,TCW,2017-08-01,0,24.3,24.4,24.0,,13.36
788,TCW,2017-08-02,0,24.1,24.0,24.0,,13.27
787,TCW,2017-08-03,0,24.0,23.8,23.5,,13.03
786,TCW,2017-08-04,0,23.5,22.5,23.4,,12.74
785,TCW,2017-08-07,0,23.0,23.0,22.9,,12.64
784,TCW,2017-08-08,0,22.8,22.5,22.8,,12.54
783,TCW,2017-08-09,0,22.6,23.9,24.0,,12.59
782,TCW,2017-08-10,0,22.7,22.9,22.5,,12.53
781,TCW,2017-08-11,0,22.6,23.5,23.0,,12.76
780,TCW,2017-08-14,0,23.0,22.8,22.6,,12.57
779,TCW,2017-08-15,0,22.7,23.5,23.5,,13.02
778,TCW,2017-08-16,0,23.5,22.4,22.3,,12.35
777,TCW,2017-08-17,0,22.3,23.0,22.0,,12.46
776,TCW,2017-08-18,0,22.5,21.9,22.8,,12.17
775,TCW,2017-08-21,0,22.0,22.5,22.0,,12.42
774,TCW,2017-08-22,0,22.4,21.9,21.5,,12.16
773,TCW,2017-08-23,0,22.0,22.9,22.0,,12.26
772,TCW,2017-08-24,0,22.1,21.6,22.0,,12.16
771,TCW,2017-08-25,0,21.9,22.1,22.1,,12.25
770,TCW,2017-08-28,0,22.1,22.5,21.7,,12.11
769,TCW,2017-08-29,0,21.9,22.5,22.5,,12.46
768,TCW,2017-08-30,0,22.5,21.7,22.0,,12.16
767,TCW,2017-08-31,0,22.0,21.5,21.5,,11.91
766,TCW,2017-09-01,0,21.5,22.0,21.4,,11.93
765,TCW,2017-09-05,0,21.5,22.0,21.5,,12.09
764,TCW,2017-09-06,0,21.8,21.5,21.8,,12.08
763,TCW,2017-09-07,0,21.5,21.5,21.5,,11.91
762,TCW,2017-09-08,0,21.5,21.3,21.4,,11.83
761,TCW,2017-09-12,0,19.5,20.0,20.0,,11.06
760,TCW,2017-09-13,0,20.0,20.0,21.0,,11.17
759,TCW,2017-09-14,0,20.2,21.5,21.4,,11.91
758,TCW,2017-09-15,0,21.5,23.0,23.9,,13.09
757,TCW,2017-09-18,0,23.6,23.5,24.0,,13.18
756,TCW,2017-09-19,0,23.8,22.0,22.0,,12.19
755,TCW,2017-09-20,0,22.0,22.3,20.1,,12.26
754,TCW,2017-09-21,0,22.1,20.1,22.1,,11.99
753,TCW,2017-09-22,0,21.6,22.0,22.0,,11.85
752,TCW,2017-09-25,0,21.4,19.9,19.9,,11.02
751,TCW,2017-09-26,0,19.9,22.0,22.0,,12.19
750,TCW,2017-09-27,0,22.0,23.5,21.5,,11.72
749,TCW,2017-09-28,0,21.2,22.0,22.0,,12.19
748,TCW,2017-09-29,0,22.0,22.5,22.5,,12.46
747,TCW,2017-10-02,0,22.5,22.5,22.5,,12.46
746,TCW,2017-10-03,0,22.5,19.7,21.0,,11.27
745,TCW,2017-10-04,0,20.3,22.0,22.0,,12.19
744,TCW,2017-10-05,0,22.0,22.0,22.0,,12.19
743,TCW,2017-10-06,0,22.0,20.0,19.5,,10.88
