,name,date,open,high,low,close,volume,adj_close
1190,TLG,2016-01-04,85.0,85.0,85.0,85.0,0,31.18
1189,TLG,2016-01-05,86.5,86.5,86.5,86.5,30,31.73
1188,TLG,2016-01-06,86.5,89.0,85.5,89.0,640,32.65
1187,TLG,2016-01-07,89.0,89.0,89.0,89.0,0,32.65
1186,TLG,2016-01-08,87.0,90.0,87.0,88.5,70,32.46
1185,TLG,2016-01-11,83.0,85.0,83.0,85.0,11030,31.18
1184,TLG,2016-01-12,85.0,89.0,85.0,89.0,140,32.65
1183,TLG,2016-01-13,89.0,89.0,89.0,89.0,0,32.65
1182,TLG,2016-01-14,85.0,85.0,85.0,85.0,1700,31.18
1181,TLG,2016-01-15,89.5,89.5,88.5,88.5,30,32.46
1180,TLG,2016-01-18,83.0,90.0,83.0,90.0,5430,33.01
1179,TLG,2016-01-19,90.0,90.0,90.0,90.0,0,33.01
1178,TLG,2016-01-20,90.0,90.0,90.0,90.0,10,33.01
1177,TLG,2016-01-21,84.0,90.0,84.0,84.0,20,30.81
1176,TLG,2016-01-22,88.5,88.5,88.5,88.5,30,32.46
1175,TLG,2016-01-25,88.0,88.0,88.0,88.0,190,32.28
1174,TLG,2016-01-26,89.5,89.5,89.5,89.5,80,32.83
1173,TLG,2016-01-27,90.0,93.0,90.0,93.0,150,34.11
1172,TLG,2016-01-28,93.0,93.0,93.0,93.0,0,34.11
1171,TLG,2016-01-29,93.0,93.0,93.0,93.0,0,34.11
1170,TLG,2016-02-01,93.0,93.0,93.0,93.0,0,34.11
1169,TLG,2016-02-02,93.0,93.0,93.0,93.0,0,34.11
1168,TLG,2016-02-03,87.0,91.0,87.0,91.0,2160,33.38
1167,TLG,2016-02-04,91.0,91.0,89.0,91.0,350,33.38
1166,TLG,2016-02-05,87.0,91.0,87.0,91.0,20,33.38
1165,TLG,2016-02-15,90.5,97.0,90.5,97.0,1800,35.58
1164,TLG,2016-02-16,90.5,103.0,90.5,94.0,10920,34.48
1163,TLG,2016-02-17,97.0,97.0,97.0,97.0,10,35.58
1162,TLG,2016-02-18,103.0,103.0,95.5,96.0,5480,35.21
1161,TLG,2016-02-19,94.0,96.0,94.0,95.0,2750,34.85
1160,TLG,2016-02-22,96.0,98.0,96.0,98.0,1080,35.95
1159,TLG,2016-02-23,80.0,80.0,74.5,75.0,2610,35.77
1158,TLG,2016-02-24,75.0,75.0,75.0,75.0,3040,35.77
1157,TLG,2016-02-25,74.0,74.0,72.5,72.5,280,34.57
1156,TLG,2016-02-26,73.0,73.0,72.0,72.0,1270,34.33
1155,TLG,2016-02-29,72.0,75.0,67.0,72.0,3740,34.33
1154,TLG,2016-03-01,72.0,72.0,71.0,72.0,2010,34.33
1153,TLG,2016-03-02,71.5,73.0,67.0,73.0,4010,34.81
1152,TLG,2016-03-03,73.0,71.5,68.0,69.0,2200,32.9
1151,TLG,2016-03-04,69.0,72.0,69.0,69.0,950,32.9
1150,TLG,2016-03-07,69.5,70.0,65.0,69.5,2370,33.14
1149,TLG,2016-03-08,70.0,71.0,65.0,65.5,3840,31.23
1148,TLG,2016-03-09,66.5,70.0,66.5,69.5,1150,33.14
1147,TLG,2016-03-10,67.0,69.0,67.0,69.0,70,32.9
1146,TLG,2016-03-11,66.5,69.0,65.5,68.0,3300,32.43
1145,TLG,2016-03-14,67.0,67.0,65.0,65.0,3860,31.0
1144,TLG,2016-03-15,65.0,65.0,63.5,64.0,2460,30.52
1143,TLG,2016-03-16,63.5,64.5,63.5,64.0,1990,30.52
1142,TLG,2016-03-17,66.0,67.0,64.0,66.0,5920,31.47
1141,TLG,2016-03-18,65.5,69.0,65.5,69.0,910,32.9
1140,TLG,2016-03-21,69.0,69.0,68.0,68.0,100,32.43
1139,TLG,2016-03-22,65.5,67.5,65.5,67.5,30,32.19
1138,TLG,2016-03-23,65.5,67.5,65.0,67.5,2560,32.19
1137,TLG,2016-03-24,67.5,67.5,67.5,67.5,0,32.19
1136,TLG,2016-03-25,67.0,67.0,67.0,67.0,10,31.95
1135,TLG,2016-03-28,68.5,68.5,65.0,65.5,3790,31.23
1134,TLG,2016-03-29,68.0,68.0,65.0,65.0,30,31.0
1133,TLG,2016-03-30,66.5,66.5,66.5,66.5,330,31.71
1132,TLG,2016-03-31,67.5,67.5,67.0,67.5,410,32.19
1131,TLG,2016-04-01,66.0,66.0,66.0,66.0,320,31.47
1130,TLG,2016-04-04,67.0,67.5,67.0,67.5,30,32.19
1129,TLG,2016-04-05,67.5,67.5,67.5,67.5,50,32.19
1128,TLG,2016-04-06,67.0,68.5,66.0,67.5,8420,32.19
1127,TLG,2016-04-07,67.5,67.5,66.0,67.5,50,32.19
1126,TLG,2016-04-08,67.0,68.0,67.0,68.0,1370,32.43
1125,TLG,2016-04-11,69.0,69.0,66.5,67.5,2040,32.19
1124,TLG,2016-04-12,66.0,68.0,64.5,67.0,6300,31.95
1123,TLG,2016-04-13,64.5,68.0,64.5,66.5,1080,31.71
1122,TLG,2016-04-14,66.5,66.5,66.0,66.0,120,31.47
1121,TLG,2016-04-15,66.0,66.0,64.5,64.5,1060,30.76
1120,TLG,2016-04-19,67.5,67.5,64.5,65.0,1310,31.0
1119,TLG,2016-04-20,65.0,66.5,65.0,66.5,61010,31.71
1118,TLG,2016-04-21,65.5,67.5,65.5,66.5,2950,31.71
1117,TLG,2016-04-22,66.5,66.5,66.5,66.5,40,31.71
1116,TLG,2016-04-25,66.0,66.0,65.0,66.0,1400,31.47
1115,TLG,2016-04-26,65.0,67.0,65.0,67.0,2260,31.95
1114,TLG,2016-04-27,66.0,66.5,65.5,65.5,1680,31.23
1113,TLG,2016-04-28,65.5,66.0,65.5,65.5,1230,31.23
1112,TLG,2016-04-29,66.0,69.0,66.0,69.0,22030,32.9
1111,TLG,2016-05-04,71.5,73.5,71.5,73.5,13270,35.05
1110,TLG,2016-05-05,75.0,78.5,75.0,78.5,6030,37.43
1109,TLG,2016-05-06,81.0,81.0,75.0,78.5,8210,37.43
1108,TLG,2016-05-09,77.5,77.5,75.0,77.5,2210,36.96
1107,TLG,2016-05-10,77.0,77.5,76.0,77.5,3730,36.96
1106,TLG,2016-05-11,75.5,77.5,75.5,77.5,230,36.96
1105,TLG,2016-05-12,75.0,77.5,75.0,77.0,530,36.72
1104,TLG,2016-05-13,76.0,77.0,76.0,76.0,730,36.24
1103,TLG,2016-05-16,76.0,76.0,74.5,76.0,230,36.24
1102,TLG,2016-05-17,75.0,75.0,73.0,75.0,3090,35.77
1101,TLG,2016-05-18,73.5,75.0,73.5,74.5,2760,35.53
1100,TLG,2016-05-19,74.5,74.5,74.5,74.5,0,35.53
1099,TLG,2016-05-20,74.5,74.5,74.5,74.5,50,35.53
1098,TLG,2016-05-23,75.0,77.0,75.0,75.0,1740,35.77
1097,TLG,2016-05-24,76.0,76.5,76.0,76.5,610,36.48
1096,TLG,2016-05-25,76.5,78.0,76.5,78.0,210,37.2
1095,TLG,2016-05-26,78.0,78.5,78.0,78.0,920,37.2
1094,TLG,2016-05-27,78.0,79.0,78.0,79.0,1920,37.67
1093,TLG,2016-05-30,81.0,84.0,79.0,82.5,790,39.34
1092,TLG,2016-05-31,82.5,86.5,80.0,86.0,1000,41.01
1091,TLG,2016-06-01,80.5,85.0,80.0,85.0,1480,40.53
1090,TLG,2016-06-02,80.5,87.0,79.5,87.0,1840,41.49
1089,TLG,2016-06-03,89.5,92.0,81.0,87.0,8330,41.49
1088,TLG,2016-06-06,90.0,91.5,89.5,89.5,100,42.68
