,date,VN30 TRI,VNMID TRI,VNSML TRI,VN100 TRI,VNALL TRI,VNDIAMON TRI,VNFINLEA TRI,VNFINSEL TRI
0,03.01.2017,662.68,844.07,793.48,646.18,656.48,1005.18,1092.3,1064.4799999999998
1,04.01.2017,664.38,849.52,792.73,648.64,658.78,1005.18,1092.3,1064.4799999999998
2,05.01.2017,666.62,846.57,796.17,649.63,659.93,1005.18,1092.3,1064.4799999999998
3,06.01.2017,668.21,847.49,794.89,651.17,661.35,1005.18,1092.3,1064.4799999999998
4,09.01.2017,670.37,847.05,795.5,652.55,662.68,1005.18,1092.3,1064.4799999999998
5,10.01.2017,671.38,845.98,795.08,652.85,662.88,1005.18,1092.3,1064.4799999999998
6,11.01.2017,675.61,849.74,794.77,656.57,666.33,1005.18,1092.3,1064.4799999999998
7,12.01.2017,674.41,851.97,795.68,656.23,666.08,1005.18,1092.3,1064.4799999999998
8,13.01.2017,672.12,851.63,797.15,654.8,664.92,1005.18,1092.3,1064.4799999999998
9,16.01.2017,665.14,847.73,790.11,649.15,659.18,1005.18,1092.3,1064.4799999999998
10,17.01.2017,670.23,845.54,787.15,651.88,661.43,1005.18,1092.3,1064.4799999999998
11,18.01.2017,665.56,844.03,782.25,648.2,657.65,1005.18,1092.3,1064.4799999999998
12,19.01.2017,663.35,843.33,780.23,646.56,656.0,1005.18,1092.3,1064.4799999999998
13,20.01.2017,666.8,848.25,782.59,649.97,659.32,1005.18,1092.3,1064.4799999999998
14,23.01.2017,668.0,846.64,781.75,650.67,659.96,1005.18,1092.3,1064.4799999999998
15,24.01.2017,672.1,853.76,787.77,654.56,663.84,1005.18,1092.3,1064.4799999999998
16,25.01.2017,677.85,862.34,796.11,660.43,669.89,1005.18,1092.3,1064.4799999999998
17,02.02.2017,686.46,865.38,800.91,667.79,677.22,1005.18,1092.3,1064.4799999999998
18,03.02.2017,684.57,862.23,799.51,665.84,675.31,1005.18,1092.3,1064.4799999999998
19,06.02.2017,687.57,864.19,800.26,668.35,677.68,1005.18,1092.3,1064.4799999999998
20,07.02.2017,690.15,866.05,803.75,670.72,680.17,1005.18,1092.3,1064.4799999999998
21,08.02.2017,691.72,869.78,807.23,672.46,681.99,1005.18,1092.3,1064.4799999999998
22,09.02.2017,692.62,874.15,814.38,673.83,683.71,1005.18,1092.3,1064.4799999999998
23,10.02.2017,692.57,880.11,816.67,674.71,684.64,1005.18,1092.3,1064.4799999999998
24,13.02.2017,696.67,890.05,823.64,679.3,689.29,1005.18,1092.3,1064.4799999999998
25,14.02.2017,697.46,887.02,828.32,679.23,689.48,1005.18,1092.3,1064.4799999999998
26,15.02.2017,703.4,890.96,836.69,684.92,695.54,1005.18,1092.3,1064.4799999999998
27,16.02.2017,701.97,891.08,834.26,683.59,694.03,1005.18,1092.3,1064.4799999999998
28,17.02.2017,702.37,898.43,836.57,684.84,695.23,1005.18,1092.3,1064.4799999999998
29,20.02.2017,701.8,913.85,847.58,687.66,698.73,1005.18,1092.3,1064.4799999999998
30,21.02.2017,705.96,918.03,856.74,691.84,703.34,1005.18,1092.3,1064.4799999999998
31,22.02.2017,702.9,919.5,853.81,689.65,701.03,1005.18,1092.3,1064.4799999999998
32,23.02.2017,703.2,921.85,854.17,690.06,701.36,1005.18,1092.3,1064.4799999999998
33,24.02.2017,697.29,924.86,854.85,686.68,698.39,1005.18,1092.3,1064.4799999999998
34,27.02.2017,702.24,925.33,857.46,690.51,702.16,1005.18,1092.3,1064.4799999999998
35,28.02.2017,694.35,917.79,854.88,683.23,695.16,1005.18,1092.3,1064.4799999999998
36,01.03.2017,692.54,917.75,851.18,681.74,693.48,1005.18,1092.3,1064.4799999999998
37,02.03.2017,690.19,918.68,850.28,679.85,691.54,1005.18,1092.3,1064.4799999999998
38,03.03.2017,693.37,919.19,847.99,682.36,693.75,1005.18,1092.3,1064.4799999999998
39,06.03.2017,695.31,925.39,853.66,685.05,696.68,1005.18,1092.3,1064.4799999999998
40,07.03.2017,696.67,932.32,858.39,687.12,698.86,1005.18,1092.3,1064.4799999999998
41,08.03.2017,699.39,938.32,860.32,690.0,701.6,1005.18,1092.3,1064.4799999999998
42,09.03.2017,701.31,935.77,859.97,690.76,702.22,1005.18,1092.3,1064.4799999999998
43,10.03.2017,700.45,936.91,857.03,690.28,701.56,1005.18,1092.3,1064.4799999999998
44,13.03.2017,699.58,935.62,859.98,689.42,700.95,1005.18,1092.3,1064.4799999999998
45,14.03.2017,702.53,938.71,862.76,692.1,703.61,1005.18,1092.3,1064.4799999999998
46,15.03.2017,700.53,941.28,864.78,691.25,703.0,1005.18,1092.3,1064.4799999999998
47,16.03.2017,705.28,949.67,869.55,696.4,708.15,1005.18,1092.3,1064.4799999999998
48,17.03.2017,705.58,948.22,872.57,696.26,708.2,1005.18,1092.3,1064.4799999999998
49,20.03.2017,713.68,955.94,880.02,703.03,714.82,1005.18,1092.3,1064.4799999999998
50,21.03.2017,717.55,959.53,879.55,705.82,717.15,1005.18,1092.3,1064.4799999999998
51,22.03.2017,715.72,948.43,867.04,702.84,713.68,1005.18,1092.3,1064.4799999999998
52,23.03.2017,727.71,950.09,868.85,712.38,722.85,1005.18,1092.3,1064.4799999999998
53,24.03.2017,730.29,946.02,870.41,713.61,724.14,1005.18,1092.3,1064.4799999999998
54,27.03.2017,732.12,952.06,868.38,715.99,726.2,1005.18,1092.3,1064.4799999999998
55,28.03.2017,726.65,951.09,867.38,711.68,722.08,1005.18,1092.3,1064.4799999999998
56,29.03.2017,728.34,957.29,867.11,714.18,724.42,1005.18,1092.3,1064.4799999999998
57,30.03.2017,731.07,960.68,872.34,717.0,727.46,1005.18,1092.3,1064.4799999999998
58,31.03.2017,731.83,960.98,872.66,717.31,727.67,1005.18,1092.3,1064.4799999999998
59,03.04.2017,735.54,966.03,873.82,720.79,730.95,1005.18,1092.3,1064.4799999999998
