,name,date,open,high,low,close,volume,adj_close
1181,VGC,2016-01-04,9.2,9.2,8.9,8.9,1100,7.03
1180,VGC,2016-01-05,8.0,8.0,8.0,8.0,100,6.32
1179,VGC,2016-01-06,7.9,8.0,7.9,8.0,7700,6.32
1178,VGC,2016-01-07,8.8,8.8,7.8,7.8,1500,6.16
1177,VGC,2016-01-08,7.8,7.8,7.5,7.5,21800,5.92
1176,VGC,2016-01-11,7.6,7.6,7.6,7.5,0,5.92
1175,VGC,2016-01-12,8.4,8.4,8.4,8.4,100,6.63
1174,VGC,2016-01-13,7.9,7.9,7.5,7.5,10100,5.92
1173,VGC,2016-01-14,7.9,7.9,7.9,7.9,100,6.24
1172,VGC,2016-01-15,7.9,7.9,7.9,7.9,0,6.24
1171,VGC,2016-01-18,7.9,7.9,7.9,7.9,0,6.24
1170,VGC,2016-01-19,8.0,8.0,7.0,7.0,8500,5.53
1169,VGC,2016-01-20,7.7,7.7,7.7,7.0,0,5.53
1168,VGC,2016-01-21,7.7,7.7,7.7,7.0,0,5.53
1167,VGC,2016-01-22,7.7,7.7,7.7,7.0,0,5.53
1166,VGC,2016-01-25,7.5,7.5,7.5,7.5,1000,5.92
1165,VGC,2016-01-26,7.9,7.9,7.9,7.9,100,6.24
1164,VGC,2016-01-27,7.9,7.9,7.9,7.9,0,6.24
1163,VGC,2016-01-28,7.9,7.9,7.7,7.7,1200,6.08
1162,VGC,2016-01-29,7.7,7.7,7.7,7.7,2000,6.08
1161,VGC,2016-02-01,7.6,7.9,7.6,7.9,17000,6.24
1160,VGC,2016-02-02,7.7,7.7,7.6,7.7,17700,6.08
1159,VGC,2016-02-03,7.7,7.9,7.7,7.9,13800,6.24
1158,VGC,2016-02-04,7.9,8.0,7.9,8.0,3000,6.32
1157,VGC,2016-02-05,8.9,9.0,8.9,9.0,300,7.11
1156,VGC,2016-02-15,8.3,8.3,8.0,8.0,1300,6.32
1155,VGC,2016-02-16,8.1,8.1,8.1,8.0,0,6.32
1154,VGC,2016-02-17,8.2,8.2,8.2,8.2,7000,6.48
1153,VGC,2016-02-18,8.2,8.2,8.2,8.2,0,6.48
1152,VGC,2016-02-19,8.1,8.4,8.1,8.4,6800,6.63
