name,date,open,high,low,close,volume,adj_close
VHC,2020-07-10,44.8,45.65,44.7,45.05,477370,43.05
VHC,2020-06-10,44.3,45.6,44.3,45.15,649350,43.15
VHC,2020-05-10,43.75,44.3,43.75,44.15,282770,42.19
VHC,2020-02-10,44.0,44.4,43.2,43.75,398110,41.81
VHC,2020-01-10,44.05,44.5,43.9,44.0,563390,42.05
VHC,2020-09-30,43.85,44.05,43.0,43.8,503990,41.86
VHC,2020-09-29,43.8,44.3,43.8,43.8,497080,41.86
VHC,2020-09-28,44.15,44.15,43.7,43.8,485060,41.86
VHC,2020-09-25,43.8,44.35,43.2,43.65,1188740,41.71
VHC,2020-09-24,43.0,43.3,42.35,42.8,873350,40.9
VHC,2020-09-23,43.0,43.4,42.8,43.0,611660,41.09
VHC,2020-09-22,42.3,43.2,41.55,42.95,702100,41.04
VHC,2020-09-21,42.4,42.75,42.25,42.4,730820,40.52
VHC,2020-09-18,40.85,42.45,40.85,42.3,816310,40.42
VHC,2020-09-17,41.45,41.7,40.8,41.25,410130,39.42
VHC,2020-09-16,41.4,41.7,41.35,41.45,307390,39.61
VHC,2020-09-15,41.85,42.2,41.6,41.7,651890,39.85
VHC,2020-09-14,41.35,42.1,41.05,41.85,732620,39.99
VHC,2020-11-09,40.5,41.2,40.15,41.1,751890,39.28
VHC,2020-10-09,41.6,41.8,40.7,40.7,587880,38.89
VHC,2020-09-09,40.9,41.2,40.5,41.2,494250,39.37
VHC,2020-08-09,41.0,41.5,40.5,41.3,430700,39.47
VHC,2020-07-09,41.0,42.6,40.8,41.0,1065380,39.18
VHC,2020-04-09,38.55,40.9,38.55,40.75,1586460,38.94
VHC,2020-03-09,39.0,39.4,38.9,39.1,995720,37.36
VHC,2020-01-09,38.05,38.85,37.9,38.7,330470,36.98
VHC,2020-08-31,38.7,38.8,38.0,38.1,649980,36.41
VHC,2020-08-28,39.3,39.95,38.6,38.7,611180,36.98
VHC,2020-08-27,38.9,39.4,38.9,39.25,275210,37.51
VHC,2020-08-26,39.0,39.4,38.6,38.9,681320,37.17
VHC,2020-08-25,38.9,39.55,38.8,39.05,815400,37.32
VHC,2020-08-24,39.0,39.0,38.55,38.6,502600,36.89
VHC,2020-08-21,37.55,38.7,37.45,38.7,1503450,36.98
VHC,2020-08-20,37.3,37.5,36.95,37.3,385200,35.64
VHC,2020-08-19,37.2,37.6,37.0,37.3,242370,35.64
VHC,2020-08-18,36.5,37.3,36.5,37.0,432890,35.36
VHC,2020-08-17,36.75,36.85,36.25,36.75,223770,35.12
VHC,2020-08-14,37.25,37.35,36.6,36.8,581920,35.17
VHC,2020-08-13,36.6,37.35,36.6,37.25,420890,35.6
VHC,2020-12-08,36.8,36.9,36.4,36.6,421590,34.98
VHC,2020-11-08,36.75,36.95,36.4,36.9,253740,35.26
VHC,2020-10-08,37.0,37.3,36.7,36.9,497720,35.26
VHC,2020-07-08,35.9,36.85,35.8,36.7,701010,35.07
VHC,2020-06-08,35.5,36.2,35.2,35.75,382090,34.16
VHC,2020-05-08,35.7,36.4,35.6,35.75,298380,34.16
VHC,2020-04-08,34.5,35.7,34.4,35.55,715660,33.97
VHC,2020-03-08,34.0,35.0,33.9,34.3,406190,32.78
VHC,2020-07-31,33.55,34.85,33.55,34.1,357430,32.59
VHC,2020-07-30,34.7,35.05,34.5,34.8,217430,33.25
VHC,2020-07-29,34.0,34.85,32.95,34.7,655330,33.16
VHC,2020-07-28,33.3,35.55,33.3,35.4,606570,33.83
VHC,2020-07-27,34.1,35.6,33.25,33.25,852230,31.77
VHC,2020-07-24,38.0,38.15,35.5,35.75,1150140,34.16
VHC,2020-07-23,37.6,38.5,37.4,38.15,652380,36.46
VHC,2020-07-22,37.95,38.0,37.2,37.4,382430,35.74
VHC,2020-07-21,38.4,38.5,37.5,37.8,365410,36.12
VHC,2020-07-20,38.1,39.4,38.1,38.1,584510,36.41
VHC,2020-07-17,38.6,39.2,38.6,38.95,409250,37.22
VHC,2020-07-16,39.3,39.3,38.5,38.6,398420,36.89
VHC,2020-07-15,38.5,39.5,38.3,39.15,974220,37.41
VHC,2020-07-14,37.35,38.5,37.3,38.2,761480,36.5
VHC,2020-07-13,38.4,38.4,37.6,37.7,452430,36.03
VHC,2020-10-07,38.0,38.45,37.6,38.0,436690,36.31
VHC,2020-09-07,36.25,38.3,36.25,38.3,1444800,36.6
VHC,2020-08-07,35.85,36.4,35.85,36.05,245050,34.45
VHC,2020-07-07,36.5,36.75,36.05,36.05,338300,34.45
VHC,2020-06-07,36.3,36.8,36.0,36.5,226990,34.88
VHC,2020-03-07,37.0,37.2,36.2,36.2,316900,34.59
VHC,2020-02-07,36.0,36.85,35.1,36.5,332210,34.88
VHC,2020-01-07,35.0,36.3,34.5,35.5,399580,33.92
VHC,2020-06-30,35.4,35.9,33.5,35.1,626520,33.54
VHC,2020-06-29,36.0,36.5,34.7,35.2,570400,33.64
VHC,2020-06-26,37.9,38.0,36.5,36.75,202670,35.12
VHC,2020-06-25,36.1,37.5,35.55,37.5,290150,35.84
VHC,2020-06-24,37.6,37.8,36.8,36.9,263110,35.26
VHC,2020-06-23,38.0,38.0,37.2,37.8,412990,36.12
VHC,2020-06-22,38.5,38.9,37.95,38.2,440810,36.5
VHC,2020-06-19,37.6,39.0,37.6,38.25,749890,36.55
VHC,2020-06-18,36.2,37.4,35.7,37.35,342060,35.69
VHC,2020-06-17,37.7,37.7,36.0,36.7,282930,35.07
VHC,2020-06-16,35.0,36.3,34.5,36.3,448080,34.69
VHC,2020-06-15,35.5,35.65,33.95,33.95,784760,32.44
VHC,2020-12-06,33.95,36.1,33.95,35.7,816720,34.11
VHC,2020-11-06,37.9,38.6,36.2,36.2,1312470,34.59
VHC,2020-10-06,38.7,39.2,37.75,38.35,1095310,36.65
VHC,2020-09-06,40.75,40.75,39.3,39.55,847390,37.79
VHC,2020-08-06,38.0,39.8,37.8,39.75,1458640,37.99
VHC,2020-05-06,35.0,37.3,34.7,37.2,1852290,35.55
VHC,2020-04-06,34.4,35.35,34.4,34.9,790220,33.35
VHC,2020-03-06,33.9,34.9,33.8,34.4,467220,32.87
VHC,2020-02-06,34.1,34.2,33.75,33.9,582740,32.39
VHC,2020-01-06,33.6,34.2,33.6,33.95,515590,32.44
VHC,2020-05-29,33.8,34.0,33.5,33.6,380570,32.11
VHC,2020-05-28,33.9,34.3,33.55,33.9,711040,32.39
VHC,2020-05-27,35.3,35.4,33.8,33.9,923000,32.39
VHC,2020-05-26,35.0,35.65,34.95,35.25,521170,33.68
VHC,2020-05-25,34.0,35.5,33.8,35.0,1014470,33.45
VHC,2020-05-22,33.8,34.5,33.65,33.8,601750,32.3
VHC,2020-05-21,34.2,34.3,33.6,33.7,624120,32.2
VHC,2020-05-20,33.0,34.15,32.85,34.1,1028970,32.59
VHC,2020-05-19,32.7,33.15,32.55,33.0,800950,31.53
VHC,2020-05-18,32.5,32.55,31.7,32.25,483000,30.82
VHC,2020-05-15,32.0,32.7,31.95,32.25,640680,30.82
VHC,2020-05-14,32.2,33.0,31.8,32.0,692030,30.58
VHC,2020-05-13,33.35,33.4,32.5,32.6,880250,31.15
VHC,2020-12-05,32.7,33.95,32.0,33.3,853830,31.82
VHC,2020-11-05,32.65,33.4,31.6,32.65,695020,31.2
VHC,2020-08-05,33.0,33.4,32.1,32.1,762960,30.67
VHC,2020-07-05,30.75,32.1,30.4,32.1,1023070,30.67
VHC,2020-06-05,29.4,30.3,29.4,30.0,645170,28.67
VHC,2020-05-05,29.5,30.0,29.25,29.4,243940,28.09
VHC,2020-04-05,28.6,30.5,28.6,29.45,616970,28.14
VHC,2020-04-29,29.7,30.5,29.6,29.7,345800,28.38
VHC,2020-04-28,30.0,30.3,29.0,29.6,541560,28.29
VHC,2020-04-27,28.2,29.15,27.7,29.15,871950,27.86
VHC,2020-04-24,28.0,28.0,26.5,27.25,283750,26.04
VHC,2020-04-23,28.1,28.5,27.5,27.6,250050,26.37
VHC,2020-04-22,27.0,27.7,26.3,27.6,367180,26.37
VHC,2020-04-21,28.5,28.6,27.5,27.5,535910,26.28
VHC,2020-04-20,28.55,29.65,28.55,29.0,564300,27.71
VHC,2020-04-17,29.8,30.9,28.7,28.7,1063860,27.43
VHC,2020-04-16,27.9,29.3,26.8,29.2,488650,27.9
VHC,2020-04-15,28.0,28.3,27.3,28.0,582510,26.76
VHC,2020-04-14,25.7,27.3,25.7,27.3,470870,26.09
VHC,2020-04-13,25.4,25.95,25.4,25.7,422200,24.56
VHC,2020-10-04,26.2,26.6,25.4,25.95,643390,24.8
VHC,2020-09-04,26.7,27.5,26.5,26.8,590630,25.61
VHC,2020-08-04,25.1,26.85,24.3,26.7,999630,25.51
VHC,2020-07-04,25.0,25.1,23.9,25.1,783940,23.99
VHC,2020-06-04,23.0,23.5,22.5,23.5,739770,22.46
VHC,2020-03-04,21.3,22.45,21.05,22.0,454140,21.02
VHC,2020-01-04,20.5,21.65,20.1,21.3,137990,20.35
VHC,2020-03-31,21.8,21.8,20.1,20.5,568570,19.59
VHC,2020-03-30,21.4,21.9,20.9,21.1,274900,20.16
VHC,2020-03-27,23.0,23.4,22.1,22.3,240850,21.31
VHC,2020-03-26,22.5,23.5,22.2,23.0,576090,21.98
VHC,2020-03-25,22.0,22.15,21.6,22.0,175300,21.02
VHC,2020-03-24,22.2,23.0,21.1,21.1,358440,20.16
VHC,2020-03-23,23.7,23.7,22.4,22.4,574660,21.41
VHC,2020-03-20,24.1,24.5,23.9,24.05,278090,22.98
VHC,2020-03-19,24.3,24.7,24.05,24.05,268060,22.98
VHC,2020-03-18,24.8,25.0,24.25,24.7,163410,23.6
VHC,2020-03-17,24.25,25.1,23.8,24.25,472540,23.17
VHC,2020-03-16,23.0,24.8,23.0,24.55,389170,23.46
VHC,2020-03-13,23.5,25.0,23.45,23.5,1269520,22.46
VHC,2020-12-03,26.0,26.1,25.2,25.2,707300,24.08
VHC,2020-11-03,29.0,29.9,27.05,27.05,390690,25.85
VHC,2020-10-03,28.85,29.85,28.15,29.0,247410,27.71
VHC,2020-09-03,30.0,31.4,29.85,29.85,404540,28.52
VHC,2020-06-03,32.05,32.2,31.85,32.05,187990,30.63
VHC,2020-05-03,32.8,33.0,32.05,32.05,163510,30.63
VHC,2020-04-03,33.5,33.6,32.2,32.4,155530,30.96
VHC,2020-03-03,32.45,33.7,32.45,33.5,219190,32.01
VHC,2020-02-03,30.5,32.8,30.5,32.45,195560,31.01
VHC,2020-02-28,31.0,31.45,30.8,31.0,151160,29.62
VHC,2020-02-27,31.9,32.1,31.3,31.45,173870,30.05
VHC,2020-02-26,32.2,32.3,31.5,32.0,147940,30.58
VHC,2020-02-25,32.0,32.6,31.5,32.3,262590,30.87
VHC,2020-02-24,33.2,34.8,32.75,32.75,402660,31.3
VHC,2020-02-21,34.45,35.5,34.45,35.2,270810,33.64
VHC,2020-02-20,34.6,34.75,34.0,34.45,204710,32.92
VHC,2020-02-19,34.65,35.0,34.4,34.45,98080,32.92
VHC,2020-02-18,34.0,35.0,33.85,34.65,138480,33.11
VHC,2020-02-17,35.0,35.0,33.7,33.7,102360,32.2
VHC,2020-02-14,35.8,35.8,35.0,35.0,104090,33.45
VHC,2020-02-13,37.0,37.05,35.85,36.0,174520,34.4
VHC,2020-12-02,32.5,34.75,32.5,34.75,330090,33.21
