name,date,open,high,low,close,volume,adj_close
VIC,2020-08-10,92.0,92.9,91.5,92.3,216990,92.3
VIC,2020-07-10,91.5,93.5,91.0,92.5,381520,92.5
VIC,2020-06-10,93.3,93.3,91.8,91.8,521190,91.8
VIC,2020-05-10,94.0,94.0,92.0,93.3,90450,93.3
VIC,2020-02-10,92.5,94.0,92.0,94.0,400770,94.0
VIC,2020-01-10,91.9,93.4,91.9,92.5,212510,92.5
VIC,2020-09-30,91.5,93.4,91.5,91.5,417360,91.5
VIC,2020-09-29,94.0,94.0,91.5,91.5,394490,91.5
VIC,2020-09-28,93.0,94.2,92.8,92.8,202840,92.8
VIC,2020-09-25,94.5,94.8,92.8,92.8,412210,92.8
VIC,2020-09-24,93.8,95.5,93.0,93.0,388940,93.0
VIC,2020-09-23,95.0,95.7,94.5,94.5,111830,94.5
VIC,2020-09-22,96.0,96.2,94.6,94.6,505230,94.6
VIC,2020-09-21,94.0,96.0,94.0,96.0,571860,96.0
VIC,2020-09-18,95.0,95.4,93.5,94.0,1089310,94.0
VIC,2020-09-17,93.1,95.5,93.0,94.0,833870,94.0
VIC,2020-09-16,94.9,95.5,93.1,95.5,544300,95.5
VIC,2020-09-15,93.2,95.0,93.2,95.0,983560,95.0
VIC,2020-09-14,91.3,93.6,91.2,93.1,608930,93.1
VIC,2020-11-09,90.0,92.3,89.9,91.1,411350,91.1
VIC,2020-10-09,91.0,92.5,90.5,90.5,421160,90.5
VIC,2020-09-09,90.4,92.4,89.4,90.5,865880,90.5
VIC,2020-08-09,91.6,92.5,90.5,90.5,622290,90.5
VIC,2020-07-09,94.0,95.3,91.5,91.5,465400,91.5
VIC,2020-04-09,94.5,95.5,93.3,94.0,825960,94.0
VIC,2020-03-09,93.5,95.6,92.7,94.5,1037080,94.5
VIC,2020-01-09,90.2,94.0,89.9,92.7,675310,92.7
VIC,2020-08-31,90.0,91.5,90.0,90.0,276580,90.0
VIC,2020-08-28,91.3,92.3,89.9,89.9,636020,89.9
VIC,2020-08-27,90.1,91.0,90.1,91.0,437950,91.0
VIC,2020-08-26,90.8,91.2,90.0,91.0,547280,91.0
VIC,2020-08-25,89.0,91.9,89.0,91.0,1074660,91.0
VIC,2020-08-24,86.5,89.0,86.5,89.0,1052840,89.0
VIC,2020-08-21,86.0,86.9,85.9,86.1,376790,86.1
VIC,2020-08-20,86.6,87.2,86.0,86.0,990220,86.0
VIC,2020-08-19,86.5,87.6,86.5,86.5,347140,86.5
VIC,2020-08-18,87.3,87.7,86.2,86.5,772670,86.5
VIC,2020-08-17,87.7,88.5,86.8,87.7,376200,87.7
VIC,2020-08-14,88.0,89.0,87.4,87.4,654070,87.4
VIC,2020-08-13,88.5,89.0,87.5,88.0,458680,88.0
VIC,2020-12-08,87.5,88.5,87.4,87.4,302330,87.4
VIC,2020-11-08,89.2,89.2,87.5,87.5,215330,87.5
VIC,2020-10-08,88.0,89.9,87.4,88.2,542550,88.2
VIC,2020-07-08,87.6,88.2,87.3,87.5,182500,87.5
VIC,2020-06-08,88.0,88.2,87.1,87.5,332340,87.5
VIC,2020-05-08,88.0,88.5,84.8,87.0,434490,87.0
VIC,2020-04-08,88.7,88.7,87.4,88.0,229230,88.0
VIC,2020-03-08,85.0,88.1,85.0,87.6,164310,87.6
VIC,2020-07-31,84.0,90.0,83.8,87.5,939040,87.5
VIC,2020-07-30,83.5,85.5,83.5,85.1,242030,85.1
VIC,2020-07-29,84.0,85.0,83.0,83.5,379370,83.5
VIC,2020-07-28,85.0,87.0,79.9,85.2,534300,85.2
VIC,2020-07-27,83.9,86.0,82.9,85.0,825080,85.0
VIC,2020-07-24,89.9,90.0,84.0,88.0,674430,88.0
VIC,2020-07-23,90.0,90.3,89.5,90.0,181680,90.0
VIC,2020-07-22,90.0,91.0,89.8,89.8,202110,89.8
VIC,2020-07-21,91.2,91.2,90.2,90.2,220660,90.2
VIC,2020-07-20,90.2,91.4,90.2,90.2,222400,90.2
VIC,2020-07-17,91.5,92.0,91.0,91.5,214530,91.5
VIC,2020-07-16,90.9,93.0,90.6,93.0,328050,93.0
VIC,2020-07-15,91.7,91.7,90.5,90.5,384240,90.5
VIC,2020-07-14,91.3,91.8,90.2,91.3,340990,91.3
