name,date,open,high,low,close,volume,adj_close
BID,2020-10-16,42.25,43.2,41.8,42.2,2411650,42.2
BID,2020-10-15,43.45,43.45,42.2,42.25,2957800,42.25
BID,2020-10-14,41.8,42.95,41.5,42.9,6821050,42.9
BID,2020-10-13,41.0,41.85,40.6,41.25,1980740,41.25
BID,2020-10-12,41.6,41.95,40.7,40.95,3533550,40.95
BID,2020-10-09,40.3,40.5,40.1,40.35,849330,40.35
BID,2020-10-08,40.6,40.65,39.8,40.4,1893390,40.4
BID,2020-10-07,40.4,40.9,40.3,40.45,1177720,40.45
BID,2020-10-06,40.55,40.8,40.3,40.45,1507790,40.45
BID,2020-10-05,41.0,41.0,40.2,40.4,1567920,40.4
BID,2020-10-02,41.0,41.45,38.5,40.65,1758990,40.65
BID,2020-10-01,40.8,41.15,40.8,40.95,1157830,40.95
BID,2020-09-30,40.7,40.9,40.5,40.8,933550,40.8
BID,2020-09-29,41.5,41.95,40.6,40.65,2022020,40.65
BID,2020-09-28,41.05,41.7,40.8,41.3,1952000,41.3
BID,2020-09-25,41.0,41.1,40.55,40.8,1334760,40.8
BID,2020-09-24,41.2,41.55,40.8,40.9,1523780,40.9
BID,2020-09-23,40.8,41.9,40.8,41.4,2105880,41.4
BID,2020-09-22,40.7,40.9,40.45,40.7,1160730,40.7
BID,2020-09-21,41.2,41.5,40.7,40.8,1006520,40.8
BID,2020-09-10,41.1,41.15,40.5,40.5,846810,40.5
BID,2020-09-09,40.2,40.95,40.1,40.8,804160,40.8
BID,2020-09-08,40.8,41.0,40.05,40.85,1261510,40.85
BID,2020-09-07,42.2,42.2,40.6,40.6,2246440,40.6
BID,2020-09-04,41.3,42.3,41.25,42.1,2001840,42.1
BID,2020-09-03,41.5,42.2,41.2,42.2,2666170,42.2
BID,2020-09-01,40.5,41.4,40.4,41.4,2124220,41.4
BID,2020-08-31,40.6,41.3,40.55,40.95,2006450,40.95
BID,2020-08-28,39.5,41.0,39.3,40.55,3032570,40.55
BID,2020-08-27,39.3,39.4,39.0,39.1,1095260,39.1
BID,2020-08-26,39.5,39.5,39.3,39.35,831700,39.35
BID,2020-08-25,39.9,40.0,39.4,39.5,886570,39.5
BID,2020-08-24,39.5,39.9,39.2,39.65,940780,39.65
BID,2020-08-21,38.4,39.25,38.4,38.95,1098410,38.95
BID,2020-08-20,38.6,38.85,38.25,38.25,859310,38.25
BID,2020-08-19,38.4,38.85,38.4,38.6,346360,38.6
BID,2020-08-18,39.0,39.0,38.4,38.4,663290,38.4
BID,2020-08-17,38.7,39.0,38.45,38.7,631010,38.7
BID,2020-08-14,39.35,39.6,38.8,39.0,985710,39.0
BID,2020-08-13,39.5,39.7,39.3,39.65,673490,39.65
BID,2020-08-12,38.6,39.35,38.6,39.2,963310,39.2
BID,2020-08-11,38.35,38.6,38.1,38.5,780760,38.5
BID,2020-08-10,38.45,38.7,38.1,38.1,534820,38.1
BID,2020-08-07,38.25,38.6,37.95,38.1,532060,38.1
BID,2020-08-06,38.65,38.9,38.2,38.25,597260,38.25
BID,2020-08-05,37.8,39.0,37.6,38.75,911970,38.75
BID,2020-08-04,38.0,38.0,37.5,37.9,494030,37.9
BID,2020-08-03,36.3,37.35,36.3,37.2,646640,37.2
BID,2020-07-31,36.0,37.25,36.0,36.65,479890,36.65
BID,2020-07-30,37.5,37.5,36.0,37.2,419920,37.2
BID,2020-07-29,36.8,37.2,35.8,36.95,725660,36.95
BID,2020-07-28,36.0,37.85,36.0,37.85,1193550,37.85
BID,2020-07-27,36.0,37.8,35.55,35.55,1545430,35.55
BID,2020-07-24,39.85,39.85,37.75,38.2,1807770,38.2
BID,2020-07-23,40.0,40.45,39.65,39.85,764300,39.85
BID,2020-07-22,41.0,41.0,39.5,40.0,750600,40.0
BID,2020-07-21,41.0,41.0,40.35,40.8,374580,40.8
BID,2020-07-20,40.8,41.75,40.8,40.8,832370,40.8
BID,2020-07-17,41.4,41.85,41.4,41.6,1343600,41.6
BID,2020-07-16,41.35,41.4,41.0,41.35,473290,41.35
BID,2020-07-15,41.7,41.7,41.3,41.35,690440,41.35
BID,2020-07-14,40.85,41.3,40.7,41.25,990800,41.25
BID,2020-07-13,41.65,41.85,41.0,41.3,1039520,41.3
BID,2020-07-10,41.2,41.65,40.75,41.5,1030790,41.5
BID,2020-07-09,40.55,41.9,40.55,41.6,1531780,41.6
BID,2020-07-08,40.5,40.7,40.0,40.55,768660,40.55
BID,2020-07-07,40.4,40.85,40.25,40.6,1097570,40.6
BID,2020-07-06,39.4,40.2,39.1,40.1,757690,40.1
BID,2020-07-03,39.25,39.3,38.8,39.1,547350,39.1
BID,2020-07-02,39.45,39.45,38.7,39.0,501500,39.0
BID,2020-07-01,37.9,39.4,37.9,39.2,769310,39.2
BID,2020-06-30,39.0,39.05,37.8,37.9,862060,37.9
BID,2020-06-29,39.3,39.5,38.4,38.5,1334210,38.5
BID,2020-06-26,40.9,40.9,39.7,39.9,717380,39.9
BID,2020-06-25,40.0,40.25,39.8,40.0,791820,40.0
BID,2020-06-24,40.7,41.2,40.2,40.3,692090,40.3
BID,2020-06-23,41.05,41.35,40.5,40.7,1110100,40.7
BID,2020-06-22,41.5,41.85,40.8,41.3,622920,41.3
BID,2020-06-19,41.2,41.45,40.7,41.45,720420,41.45
BID,2020-06-18,40.3,40.6,40.0,40.5,629450,40.5
BID,2020-06-17,40.7,41.1,39.85,40.3,817560,40.3
BID,2020-06-16,41.5,41.6,40.5,40.7,958780,40.7
BID,2020-06-15,42.3,42.3,39.9,39.9,1503480,39.9
BID,2020-06-12,39.5,42.5,39.5,42.5,1913590,42.5
BID,2020-06-11,43.5,43.7,40.5,40.5,2386670,40.5
BID,2020-06-10,43.1,44.1,42.5,43.5,1297400,43.5
BID,2020-06-09,44.1,44.1,43.3,43.35,1119590,43.35
BID,2020-06-08,42.7,44.0,42.5,44.0,2487930,44.0
BID,2020-06-05,41.8,42.2,41.25,42.1,1216160,42.1
BID,2020-06-04,41.2,42.3,41.1,41.8,2013380,41.8
BID,2020-06-03,40.9,41.2,40.5,41.0,896130,41.0
BID,2020-06-02,41.5,41.9,40.5,40.55,1496600,40.55
BID,2020-06-01,40.3,41.55,40.25,41.45,1104330,41.45
BID,2020-05-29,40.4,40.5,39.8,40.1,1669730,40.1
BID,2020-05-28,40.0,40.95,39.8,40.7,1913890,40.7
BID,2020-05-27,42.75,42.75,39.8,39.8,2293240,39.8
BID,2020-05-26,39.75,42.0,39.75,42.0,2954120,42.0
BID,2020-05-25,39.3,39.8,39.0,39.65,888300,39.65
BID,2020-05-22,39.7,40.0,39.3,39.3,1140830,39.3
BID,2020-05-21,39.5,40.15,39.45,39.7,2474770,39.7
BID,2020-05-20,39.0,39.3,38.5,39.15,900670,39.15
BID,2020-05-19,39.9,39.9,38.9,39.1,1686240,39.1
BID,2020-05-18,38.45,38.9,38.0,38.9,1864370,38.9
BID,2020-05-15,39.8,40.1,38.4,38.6,1909780,38.6
BID,2020-05-14,39.0,40.5,39.0,39.7,1994890,39.7
BID,2020-05-13,38.3,39.8,37.8,39.6,2725900,39.6
BID,2020-05-12,38.3,38.65,37.95,38.55,1645960,38.55
BID,2020-05-11,38.5,39.0,37.95,38.5,1209730,38.5
BID,2020-05-08,37.95,39.3,37.55,38.0,2563570,38.0
BID,2020-05-07,36.3,37.6,36.3,37.55,2524450,37.55
BID,2020-05-06,35.45,36.0,35.3,36.0,739320,36.0
BID,2020-05-05,35.3,35.8,35.2,35.3,427650,35.3
BID,2020-05-04,35.6,36.4,35.1,35.3,655630,35.3
BID,2020-04-29,35.6,35.9,35.0,35.6,595490,35.6
BID,2020-04-28,35.1,35.8,34.5,35.15,589490,35.15
