name,date,open,high,low,close,volume,adj_close
HDB,2020-10-16,24.6,25.0,24.4,24.8,1495300,24.8
HDB,2020-10-15,24.4,24.6,24.2,24.6,1323190,24.6
HDB,2020-10-14,24.0,24.4,23.9,24.25,1323940,24.25
HDB,2020-10-13,24.35,24.4,24.0,24.0,1414340,24.0
HDB,2020-10-12,24.6,24.7,24.3,24.35,1352010,24.35
HDB,2020-10-09,24.65,24.65,24.5,24.5,1414530,24.5
HDB,2020-10-08,24.6,24.75,24.3,24.5,1506280,24.5
HDB,2020-10-07,24.5,24.8,24.45,24.7,1388290,24.7
HDB,2020-10-06,24.85,25.0,24.65,24.7,1594250,24.7
HDB,2020-10-05,24.9,25.0,24.7,24.8,1003200,24.8
HDB,2020-10-02,25.0,25.05,24.2,24.7,1937670,24.7
HDB,2020-10-01,24.7,25.1,24.65,24.8,2899450,24.8
HDB,2020-09-30,31.4,31.45,31.1,31.3,2597730,24.08
HDB,2020-09-29,31.5,32.0,31.25,31.25,2066420,24.04
HDB,2020-09-28,31.7,31.7,31.2,31.45,1091890,24.19
HDB,2020-09-25,31.05,31.15,30.7,31.15,1459450,23.96
HDB,2020-09-24,31.0,31.1,30.9,31.05,875340,23.88
HDB,2020-09-23,31.0,31.25,30.85,31.05,1057680,23.88
HDB,2020-09-22,30.7,30.9,30.3,30.9,1851750,23.77
HDB,2020-09-21,30.15,30.9,30.15,30.7,2060410,23.61
HDB,2020-09-10,29.35,29.5,29.1,29.3,510410,22.54
HDB,2020-09-09,28.9,29.5,28.8,29.1,967490,22.38
HDB,2020-09-08,29.2,29.7,28.6,29.4,979100,22.61
HDB,2020-09-07,30.0,30.0,29.2,29.2,1500260,22.46
HDB,2020-09-04,29.7,29.95,29.4,29.7,1737350,22.85
HDB,2020-09-03,29.0,29.8,28.9,29.8,2106380,22.92
HDB,2020-09-01,28.3,28.6,28.25,28.5,912390,21.92
HDB,2020-08-31,28.2,28.45,28.15,28.35,730390,21.81
HDB,2020-08-28,28.15,28.5,28.15,28.2,739830,21.69
HDB,2020-08-27,28.2,28.4,28.1,28.15,555190,21.65
HDB,2020-08-26,28.0,28.45,27.9,28.25,661770,21.73
HDB,2020-08-25,28.2,28.6,28.2,28.2,1061180,21.69
HDB,2020-08-24,27.2,28.2,27.2,28.2,1508410,21.69
HDB,2020-08-21,26.9,27.3,26.9,27.2,485010,20.92
HDB,2020-08-20,27.15,27.25,26.85,26.85,1319990,20.65
HDB,2020-08-19,27.4,27.45,27.05,27.15,736570,20.88
HDB,2020-08-18,27.75,27.75,27.2,27.4,848890,21.08
HDB,2020-08-17,27.6,27.75,27.35,27.6,1633730,21.23
HDB,2020-08-14,27.3,27.7,27.1,27.4,1990240,21.08
HDB,2020-08-13,26.9,27.1,26.7,27.1,999550,20.85
HDB,2020-08-12,26.7,26.85,26.55,26.85,543490,20.65
HDB,2020-08-11,26.7,26.9,26.35,26.7,932030,20.54
HDB,2020-08-10,26.1,26.8,26.1,26.5,1042010,20.38
HDB,2020-08-07,26.0,26.1,25.7,26.05,619710,20.04
HDB,2020-08-06,25.5,26.25,25.1,26.0,960720,20.0
HDB,2020-08-05,24.65,25.6,24.55,25.5,803780,19.61
HDB,2020-08-04,24.9,24.9,24.4,24.65,477290,18.96
HDB,2020-08-03,23.75,24.6,23.75,24.4,575950,18.77
HDB,2020-07-31,23.05,24.1,23.05,23.95,691900,18.42
HDB,2020-07-30,23.6,24.25,23.6,24.1,500710,18.54
HDB,2020-07-29,23.2,24.0,22.9,23.8,960200,18.31
HDB,2020-07-28,23.55,24.3,23.05,24.0,1964660,18.46
HDB,2020-07-27,23.7,24.8,23.55,23.55,1665640,18.11
HDB,2020-07-24,26.3,26.5,24.8,25.3,1302970,19.46
HDB,2020-07-23,26.3,26.6,26.1,26.6,567900,20.46
HDB,2020-07-22,26.55,26.85,26.1,26.3,681160,20.23
HDB,2020-07-21,26.95,26.95,26.5,26.55,658420,20.42
HDB,2020-07-20,26.75,27.2,26.7,26.75,735140,20.58
HDB,2020-07-17,26.85,27.05,26.85,26.95,600150,20.73
HDB,2020-07-16,26.85,27.2,26.6,27.2,828530,20.92
HDB,2020-07-15,26.7,27.2,26.7,26.85,726130,20.65
HDB,2020-07-14,26.6,26.75,26.25,26.7,1155520,20.54
HDB,2020-07-13,26.7,27.0,26.4,26.65,799240,20.5
HDB,2020-07-10,26.8,27.35,26.6,26.65,1022700,20.5
HDB,2020-07-09,26.05,27.3,26.05,27.2,1668270,20.92
HDB,2020-07-08,26.0,26.1,25.7,26.05,514700,20.04
HDB,2020-07-07,26.25,26.3,26.0,26.0,674050,20.0
HDB,2020-07-06,26.0,26.3,25.65,26.0,776970,20.0
HDB,2020-07-03,24.95,26.4,24.8,26.0,1696380,20.0
HDB,2020-07-02,25.0,25.2,24.45,24.7,707210,19.0
HDB,2020-07-01,24.35,24.8,24.1,24.55,926460,18.88
HDB,2020-06-30,24.9,25.05,23.85,24.8,1007010,19.08
HDB,2020-06-29,25.0,25.15,23.85,24.7,1592010,19.0
HDB,2020-06-26,26.0,26.1,25.15,25.35,929440,19.5
HDB,2020-06-25,26.05,26.05,25.5,25.7,730410,19.77
HDB,2020-06-24,26.5,26.6,26.2,26.25,463340,20.19
HDB,2020-06-23,26.8,26.8,26.35,26.5,616470,20.38
HDB,2020-06-22,26.95,26.95,26.15,26.5,644540,20.38
HDB,2020-06-19,26.35,26.8,26.35,26.8,456590,20.61
HDB,2020-06-18,26.5,26.75,26.3,26.55,683790,20.42
HDB,2020-06-17,27.3,27.3,26.8,26.85,589790,20.65
HDB,2020-06-16,27.5,27.6,27.0,27.3,1728880,21.0
HDB,2020-06-15,28.5,28.65,26.5,27.3,2666010,21.0
HDB,2020-06-12,25.6,27.0,25.6,26.9,926890,20.69
HDB,2020-06-11,27.8,27.9,26.9,27.2,1803480,20.92
HDB,2020-06-10,28.05,28.1,27.4,28.0,719230,21.54
HDB,2020-06-09,27.4,28.1,27.25,28.05,1001390,21.58
HDB,2020-06-08,27.6,27.9,27.25,27.4,1490380,21.08
HDB,2020-06-05,27.4,27.8,26.9,27.5,931870,21.15
HDB,2020-06-04,28.5,28.7,27.8,27.8,943650,21.38
HDB,2020-06-03,28.5,28.5,27.0,28.5,1999730,21.92
HDB,2020-06-02,26.65,26.65,26.5,26.65,2242700,20.5
HDB,2020-06-01,24.25,25.0,24.25,24.95,890790,19.19
HDB,2020-05-29,23.6,24.2,23.25,24.2,937900,18.61
HDB,2020-05-28,24.0,24.0,23.65,23.7,510180,18.23
HDB,2020-05-27,24.8,24.8,23.7,23.7,850800,18.23
HDB,2020-05-26,23.7,24.35,23.7,24.35,755080,18.73
HDB,2020-05-25,24.0,24.4,23.8,24.1,942600,18.54
HDB,2020-05-22,24.0,24.5,23.85,23.9,1046640,18.38
HDB,2020-05-21,23.15,25.05,23.15,25.05,1123550,19.27
HDB,2020-05-20,23.3,23.55,23.3,23.45,435170,18.04
HDB,2020-05-19,23.7,23.9,23.3,23.55,1318090,18.11
HDB,2020-05-18,22.7,23.2,22.55,23.2,880590,17.85
HDB,2020-05-15,23.0,23.5,22.55,22.85,561390,17.58
HDB,2020-05-14,23.2,23.5,23.0,23.0,860840,17.69
HDB,2020-05-13,22.6,23.9,22.2,23.7,2269340,18.23
HDB,2020-05-12,22.55,22.9,22.45,22.7,1016600,17.46
HDB,2020-05-11,22.55,22.9,22.0,22.55,1469200,17.35
HDB,2020-05-08,21.3,22.75,21.3,22.4,2216860,17.23
HDB,2020-05-07,21.8,21.8,21.2,21.3,1204160,16.38
HDB,2020-05-06,21.6,21.6,21.15,21.4,393860,16.46
HDB,2020-05-05,21.6,21.7,21.1,21.65,1177050,16.65
HDB,2020-05-04,20.65,21.65,20.55,21.55,1813200,16.58
HDB,2020-04-29,20.65,20.7,20.45,20.65,2104730,15.88
HDB,2020-04-28,20.5,20.7,20.1,20.55,1656080,15.81
HDB,2020-04-27,20.4,20.8,20.25,20.5,1764890,15.77
HDB,2020-04-24,20.6,20.6,20.05,20.6,2076040,15.85
HDB,2020-04-23,21.0,21.2,20.2,20.6,2254760,15.85
HDB,2020-04-22,19.5,20.9,19.3,20.8,1488030,16.0
HDB,2020-04-21,20.8,21.0,19.95,20.1,2215800,15.46
HDB,2020-04-20,21.8,21.95,21.25,21.35,1505740,16.42
HDB,2020-04-17,21.7,22.0,21.45,21.5,2464460,16.54
HDB,2020-04-16,20.6,21.2,20.4,20.95,1764670,16.11
HDB,2020-04-15,20.0,20.65,20.0,20.65,1176120,15.88
HDB,2020-04-14,20.25,20.25,19.55,20.0,1069550,15.38
HDB,2020-04-13,19.95,20.2,19.35,20.2,1621270,15.54
HDB,2020-04-10,20.15,20.5,19.8,20.0,1576090,15.38
HDB,2020-04-09,20.65,20.8,20.15,20.65,2083860,15.88
HDB,2020-04-08,20.5,20.7,20.05,20.65,1080520,15.88
HDB,2020-04-07,20.5,20.9,20.1,20.75,1134650,15.96
HDB,2020-04-06,19.6,20.5,19.6,20.5,2020520,15.77
HDB,2020-04-03,19.1,19.55,19.0,19.55,1133750,15.04
HDB,2020-04-01,17.9,18.95,17.85,18.95,752190,14.58
HDB,2020-03-31,17.95,18.3,16.1,17.8,1498980,13.69
HDB,2020-03-30,17.5,17.5,17.0,17.25,1797420,13.27
HDB,2020-03-27,19.5,19.5,18.25,18.25,1966000,14.04
HDB,2020-03-26,19.8,19.9,18.9,19.6,3422990,15.08
HDB,2020-03-25,19.9,19.9,19.15,19.9,2066330,15.31
HDB,2020-03-24,19.45,19.7,18.7,19.0,1649110,14.61
HDB,2020-03-23,19.6,19.6,19.45,19.45,695880,14.96
HDB,2020-03-20,20.7,20.9,19.75,20.9,1539210,16.08
HDB,2020-03-19,21.0,21.0,19.85,20.9,2289340,16.08
HDB,2020-03-18,21.95,21.95,21.05,21.3,1712110,16.38
HDB,2020-03-17,21.2,22.55,20.3,21.2,3084830,16.31
HDB,2020-03-16,22.35,23.0,21.4,21.7,2497160,16.69
HDB,2020-03-13,21.25,23.45,21.25,23.0,3270420,17.69
HDB,2020-03-12,24.15,24.15,22.8,22.8,2178450,17.54
HDB,2020-03-11,26.0,26.0,24.0,24.5,1355180,18.85
HDB,2020-03-10,25.05,26.65,25.0,25.8,2498670,19.85
HDB,2020-03-09,26.8,26.85,26.05,26.05,1611800,20.04
HDB,2020-03-06,27.9,28.0,27.5,28.0,720180,21.54
HDB,2020-03-05,28.25,28.65,27.75,28.0,1184690,21.54
HDB,2020-03-04,27.7,28.25,27.7,28.15,1566000,21.65
HDB,2020-03-03,28.0,28.3,27.6,27.7,2539510,21.31
HDB,2020-03-02,27.7,28.0,27.4,27.7,1320040,21.31
HDB,2020-02-28,27.55,27.8,27.2,27.8,1033040,21.38
HDB,2020-02-27,27.75,28.1,27.65,28.0,1243660,21.54
HDB,2020-02-26,27.7,28.25,27.35,27.7,1200270,21.31
HDB,2020-02-25,27.0,28.05,26.95,28.0,1834510,21.54
HDB,2020-02-24,28.0,28.05,27.25,27.25,1366630,20.96
HDB,2020-02-21,28.35,28.7,28.2,28.4,1193560,21.85
HDB,2020-02-20,28.55,28.65,28.3,28.4,1144200,21.85
HDB,2020-02-19,28.65,28.65,28.1,28.5,1704650,21.92
HDB,2020-02-18,28.7,29.0,28.65,28.65,1079920,22.04
HDB,2020-02-17,28.6,28.75,28.55,28.75,2070830,22.11
HDB,2020-02-14,29.25,29.55,28.6,28.6,2113640,22.0
HDB,2020-02-13,29.25,29.5,29.1,29.2,1237040,22.46
HDB,2020-02-12,29.05,29.9,29.05,29.2,1790130,22.46
HDB,2020-02-11,29.4,29.6,28.85,29.0,2634890,22.31
HDB,2020-02-10,29.85,29.9,29.15,29.5,1230340,22.69
HDB,2020-02-07,29.9,30.1,29.6,29.95,1757480,23.04
HDB,2020-02-06,28.45,30.0,28.35,29.9,3301040,23.0
HDB,2020-02-05,27.55,28.5,27.25,28.4,1330510,21.85
HDB,2020-02-04,27.05,27.7,26.85,27.55,1620490,21.19
HDB,2020-02-03,27.0,27.45,25.55,27.0,1825080,20.77
HDB,2020-01-31,27.85,27.9,26.0,27.0,1891250,20.77
HDB,2020-01-30,28.7,28.7,27.95,27.95,1695770,21.5
