name,date,open,high,low,close,volume,adj_close
REE,2020-10-16,41.8,41.8,41.0,41.6,540700,41.6
REE,2020-10-15,41.0,41.85,41.0,41.8,302230,41.8
REE,2020-10-14,41.5,41.6,40.8,41.1,533620,41.1
REE,2020-10-13,41.7,41.8,41.3,41.65,223010,41.65
REE,2020-10-12,42.4,42.6,41.5,41.7,575670,41.7
REE,2020-10-09,41.45,42.3,41.25,42.0,384750,42.0
REE,2020-10-08,41.35,41.6,41.2,41.45,382790,41.45
REE,2020-10-07,41.2,41.65,41.05,41.35,448650,41.35
REE,2020-10-06,42.0,42.0,41.0,41.7,557850,41.7
REE,2020-10-05,41.2,42.0,41.2,41.95,371100,41.95
REE,2020-10-02,41.8,42.0,40.0,40.15,797440,40.15
REE,2020-10-01,40.2,41.85,40.2,41.8,587940,41.8
REE,2020-09-30,39.9,40.3,39.9,40.2,457740,40.2
REE,2020-09-29,40.35,40.45,39.95,39.95,607330,39.95
REE,2020-09-28,40.5,40.55,40.2,40.3,264660,40.3
REE,2020-09-25,40.5,40.6,40.0,40.4,226460,40.4
REE,2020-09-24,40.05,40.75,39.7,40.4,435870,40.4
REE,2020-09-23,40.5,40.8,39.95,40.05,435520,40.05
REE,2020-09-22,40.05,40.6,39.95,40.4,435990,40.4
REE,2020-09-21,40.3,41.15,40.1,40.4,621040,40.4
REE,2020-09-10,37.3,39.0,37.05,39.0,1007380,39.0
REE,2020-09-09,36.7,37.3,36.55,37.15,301000,37.15
REE,2020-09-08,36.9,36.95,36.45,36.7,240200,36.7
REE,2020-09-07,37.3,37.4,36.6,36.6,287690,36.6
REE,2020-09-04,37.0,37.4,36.8,37.3,243410,37.3
REE,2020-09-03,37.1,37.5,36.9,37.5,426930,37.5
REE,2020-09-01,35.25,37.0,35.25,37.0,309110,37.0
REE,2020-08-31,36.85,37.2,36.8,36.9,288150,36.9
REE,2020-08-28,36.6,37.3,36.6,36.85,474590,36.85
REE,2020-08-27,36.45,36.85,36.25,36.75,389550,36.75
REE,2020-08-26,36.9,36.95,36.4,36.45,447620,36.45
REE,2020-08-25,36.0,36.85,35.95,36.85,915810,36.85
REE,2020-08-24,35.8,35.95,35.7,35.95,503760,35.95
REE,2020-08-21,35.45,35.75,35.3,35.6,393140,35.6
REE,2020-08-20,35.25,35.5,34.95,35.3,485200,35.3
REE,2020-08-19,35.45,35.45,35.2,35.3,310770,35.3
REE,2020-08-18,34.85,35.6,34.85,35.25,245240,35.25
REE,2020-08-17,35.0,35.2,34.8,35.0,261460,35.0
REE,2020-08-14,35.1,35.5,34.7,35.3,708180,35.3
REE,2020-08-13,34.9,35.7,34.7,35.3,791750,35.3
REE,2020-08-12,34.4,34.6,34.05,34.55,426100,34.55
REE,2020-08-11,34.55,34.6,34.0,34.5,507670,34.5
REE,2020-08-10,34.9,35.1,34.55,34.55,354460,34.55
REE,2020-08-07,34.0,35.05,34.0,34.6,585330,34.6
REE,2020-08-06,33.8,34.4,33.8,34.15,322570,34.15
REE,2020-08-05,33.35,34.1,33.35,34.1,402790,34.1
REE,2020-08-04,33.8,33.95,33.45,33.7,346460,33.7
REE,2020-08-03,32.4,33.85,32.4,33.7,723720,33.7
REE,2020-07-31,32.0,32.65,32.0,32.45,419900,32.45
REE,2020-07-30,32.0,32.45,32.0,32.45,213020,32.45
REE,2020-07-29,32.0,32.05,31.6,32.0,853180,32.0
REE,2020-07-28,31.9,32.7,31.65,32.3,560060,32.3
REE,2020-07-27,31.5,32.45,31.5,31.7,1109220,31.7
REE,2020-07-24,33.5,33.55,31.8,32.5,770310,32.5
REE,2020-07-23,32.45,33.6,32.2,33.6,494640,33.6
REE,2020-07-22,32.65,32.8,32.35,32.35,132320,32.35
