name,date,open,high,low,close,volume,adj_close
ROS,2020-10-16,2.21,2.25,2.21,2.21,7159150,2.21
ROS,2020-10-15,2.29,2.3,2.24,2.26,6663590,2.26
ROS,2020-10-14,2.3,2.33,2.27,2.27,8277960,2.27
ROS,2020-10-13,2.34,2.35,2.3,2.31,7455500,2.31
ROS,2020-10-12,2.3,2.39,2.26,2.32,9219410,2.32
ROS,2020-10-09,2.38,2.39,2.28,2.29,13476290,2.29
ROS,2020-10-08,2.42,2.48,2.39,2.4,16543210,2.4
ROS,2020-10-07,2.33,2.44,2.27,2.42,21320390,2.42
ROS,2020-10-06,2.22,2.34,2.2,2.33,20422800,2.33
ROS,2020-10-05,2.16,2.26,2.16,2.2,13140800,2.2
ROS,2020-10-02,2.16,2.16,2.12,2.16,6206220,2.16
ROS,2020-10-01,2.17,2.19,2.15,2.16,4056350,2.16
ROS,2020-09-30,2.18,2.19,2.17,2.17,2973390,2.17
ROS,2020-09-29,2.26,2.26,2.18,2.19,5459200,2.19
ROS,2020-09-28,2.14,2.25,2.14,2.24,14313120,2.24
ROS,2020-09-25,2.12,2.14,2.11,2.14,3871270,2.14
ROS,2020-09-24,2.13,2.14,2.12,2.12,2744780,2.12
ROS,2020-09-23,2.12,2.14,2.11,2.13,5255810,2.13
ROS,2020-09-22,2.15,2.15,2.11,2.11,5611290,2.11
ROS,2020-09-21,2.17,2.18,2.14,2.15,5015660,2.15
ROS,2020-09-10,2.18,2.19,2.17,2.17,3347150,2.17
ROS,2020-09-09,2.18,2.19,2.16,2.17,5265850,2.17
ROS,2020-09-08,2.2,2.22,2.18,2.19,4767790,2.19
ROS,2020-09-07,2.22,2.23,2.2,2.2,6668930,2.2
ROS,2020-09-04,2.22,2.23,2.21,2.22,6081800,2.22
ROS,2020-09-03,2.27,2.28,2.23,2.24,4368350,2.24
ROS,2020-09-01,2.22,2.26,2.22,2.25,7236290,2.25
ROS,2020-08-31,2.25,2.25,2.2,2.22,8039130,2.22
ROS,2020-08-28,2.25,2.27,2.24,2.24,3984970,2.24
ROS,2020-08-27,2.24,2.26,2.23,2.25,4429280,2.25
ROS,2020-08-26,2.26,2.26,2.23,2.24,4853740,2.24
ROS,2020-08-25,2.26,2.28,2.24,2.25,6842370,2.25
ROS,2020-08-24,2.26,2.28,2.24,2.25,9206420,2.25
ROS,2020-08-21,2.22,2.25,2.21,2.24,4333990,2.24
ROS,2020-08-20,2.26,2.27,2.21,2.22,5735500,2.22
ROS,2020-08-19,2.24,2.28,2.24,2.27,3821020,2.27
ROS,2020-08-18,2.23,2.27,2.21,2.24,3806440,2.24
ROS,2020-08-17,2.22,2.27,2.2,2.22,7755360,2.22
ROS,2020-08-14,2.32,2.33,2.25,2.27,7239410,2.27
ROS,2020-08-13,2.33,2.35,2.29,2.32,5472670,2.32
ROS,2020-08-12,2.32,2.35,2.28,2.29,9666360,2.29
ROS,2020-08-11,2.37,2.39,2.31,2.35,8213190,2.35
ROS,2020-08-10,2.33,2.4,2.33,2.37,10667130,2.37
ROS,2020-08-07,2.18,2.33,2.18,2.29,16341450,2.29
ROS,2020-08-06,2.18,2.21,2.15,2.18,5408130,2.18
ROS,2020-08-05,2.2,2.23,2.15,2.22,6320330,2.22
ROS,2020-08-04,2.2,2.25,2.17,2.22,8273560,2.22
ROS,2020-08-03,2.05,2.19,2.05,2.14,9967690,2.14
ROS,2020-07-31,2.12,2.13,2.06,2.09,8585390,2.09
ROS,2020-07-30,2.22,2.28,2.15,2.2,5817020,2.2
ROS,2020-07-29,2.27,2.28,2.22,2.22,15306810,2.22
ROS,2020-07-28,2.11,2.39,2.11,2.38,20872920,2.38
ROS,2020-07-27,2.26,2.27,2.26,2.26,8484680,2.26
ROS,2020-07-24,2.53,2.55,2.42,2.42,23380580,2.42
ROS,2020-07-23,2.73,2.75,2.58,2.6,15836900,2.6
ROS,2020-07-22,2.88,2.88,2.76,2.76,15888180,2.76
ROS,2020-07-21,2.91,2.94,2.85,2.88,7348780,2.88
ROS,2020-07-20,2.9,2.98,2.9,2.9,12724110,2.9
ROS,2020-07-17,2.99,2.99,2.96,2.97,8182670,2.97
ROS,2020-07-16,3.0,3.01,2.98,2.99,5934770,2.99
ROS,2020-07-15,3.02,3.03,3.0,3.0,4428560,3.0
ROS,2020-07-14,3.01,3.02,2.99,3.01,5788860,3.01
ROS,2020-07-13,3.05,3.05,3.0,3.01,4597700,3.01
ROS,2020-07-10,3.08,3.08,3.01,3.01,8210440,3.01
ROS,2020-07-09,3.0,3.09,3.0,3.05,11581740,3.05
ROS,2020-07-08,3.0,3.02,2.99,3.0,5119800,3.0
ROS,2020-07-07,3.06,3.06,3.0,3.0,6422630,3.0
ROS,2020-07-06,3.01,3.06,3.0,3.04,8657060,3.04
ROS,2020-07-03,3.0,3.03,2.99,3.0,4735690,3.0
ROS,2020-07-02,3.01,3.07,2.99,3.0,11374250,3.0
ROS,2020-07-01,2.99,3.04,2.96,3.04,8849710,3.04
ROS,2020-06-30,3.04,3.11,2.94,2.97,11668030,2.97
ROS,2020-06-29,3.05,3.1,2.97,2.99,18271690,2.99
ROS,2020-06-26,3.12,3.17,3.02,3.07,10695970,3.07
ROS,2020-06-25,3.11,3.15,3.08,3.12,8296420,3.12
ROS,2020-06-24,3.25,3.29,3.15,3.15,17881730,3.15
ROS,2020-06-23,3.12,3.23,3.09,3.17,23989270,3.17
ROS,2020-06-22,3.12,3.15,3.07,3.09,11835510,3.09
ROS,2020-06-19,3.07,3.12,3.05,3.09,9776670,3.09
ROS,2020-06-18,3.15,3.15,3.07,3.08,10784980,3.08
ROS,2020-06-17,3.1,3.25,3.1,3.15,20767740,3.15
ROS,2020-06-16,3.05,3.13,3.01,3.1,13260030,3.1
ROS,2020-06-15,3.05,3.15,2.9,2.98,31598820,2.98
ROS,2020-06-12,3.01,3.06,3.01,3.01,56102070,3.01
ROS,2020-06-11,3.45,3.45,3.23,3.23,43043460,3.23
ROS,2020-06-10,3.52,3.69,3.44,3.47,60198710,3.47
ROS,2020-06-09,3.88,3.92,3.51,3.69,58448790,3.69
ROS,2020-06-08,3.69,3.69,3.62,3.69,44374020,3.69
ROS,2020-06-05,3.45,3.45,3.4,3.45,68088010,3.45
ROS,2020-06-04,3.0,3.23,2.87,3.23,44676230,3.23
ROS,2020-06-03,3.22,3.23,3.0,3.02,23320410,3.02
ROS,2020-06-02,3.42,3.44,3.17,3.2,46639480,3.2
ROS,2020-06-01,3.47,3.64,3.26,3.4,82212130,3.4
ROS,2020-05-29,3.42,3.52,3.4,3.5,10228120,3.5
ROS,2020-05-28,3.4,3.48,3.39,3.41,5996890,3.41
ROS,2020-05-27,3.42,3.45,3.4,3.4,5641190,3.4
ROS,2020-05-26,3.41,3.49,3.39,3.41,12525730,3.41
ROS,2020-05-25,3.45,3.52,3.4,3.44,6464270,3.44
ROS,2020-05-22,3.55,3.6,3.47,3.49,4086880,3.49
ROS,2020-05-21,3.8,3.87,3.37,3.62,46407490,3.62
ROS,2020-05-20,3.39,3.62,3.38,3.62,13943400,3.62
ROS,2020-05-19,3.42,3.44,3.39,3.39,5782290,3.39
ROS,2020-05-18,3.43,3.44,3.39,3.41,4687690,3.41
ROS,2020-05-15,3.47,3.54,3.42,3.43,4495340,3.43
ROS,2020-05-14,3.37,3.49,3.36,3.45,5879000,3.45
ROS,2020-05-13,3.42,3.43,3.37,3.37,11709930,3.37
ROS,2020-05-12,3.49,3.51,3.42,3.45,8392330,3.45
ROS,2020-05-11,3.49,3.63,3.4,3.49,13836680,3.49
ROS,2020-05-08,3.57,3.61,3.54,3.54,8055810,3.54
ROS,2020-05-07,3.62,3.63,3.56,3.57,3591990,3.57
ROS,2020-05-06,3.65,3.67,3.5,3.61,12204990,3.61
ROS,2020-05-05,3.51,3.63,3.51,3.59,4118560,3.59
ROS,2020-05-04,3.55,3.64,3.51,3.52,11269780,3.52
ROS,2020-04-29,3.76,3.81,3.71,3.76,6585660,3.76
ROS,2020-04-28,3.87,3.88,3.75,3.75,6101910,3.75
ROS,2020-04-27,3.81,3.96,3.75,3.88,14543650,3.88
ROS,2020-04-24,3.64,3.74,3.52,3.71,13507730,3.71
ROS,2020-04-23,3.64,3.75,3.59,3.64,7073310,3.64
ROS,2020-04-22,3.4,3.69,3.36,3.57,9508130,3.57
ROS,2020-04-21,3.76,3.8,3.59,3.59,24416370,3.59
ROS,2020-04-20,4.0,4.0,3.84,3.86,16418560,3.86
ROS,2020-04-17,3.91,4.04,3.9,3.92,16236340,3.92
ROS,2020-04-16,4.0,4.18,3.92,4.0,14415090,4.0
ROS,2020-04-15,3.71,4.08,3.71,4.0,16345390,4.0
ROS,2020-04-14,3.95,4.01,3.84,3.84,17925840,3.84
ROS,2020-04-13,4.1,4.24,3.89,4.08,13460370,4.08
ROS,2020-04-10,4.56,4.57,3.99,4.1,82343110,4.1
ROS,2020-04-09,4.28,4.28,4.25,4.28,28786410,4.28
ROS,2020-04-08,3.9,4.0,3.75,4.0,12873390,4.0
ROS,2020-04-07,4.0,4.0,3.72,3.74,21624740,3.74
ROS,2020-04-06,3.97,3.98,3.72,3.98,35998300,3.98
ROS,2020-04-03,3.72,3.72,3.7,3.72,18792400,3.72
ROS,2020-04-01,3.04,3.48,3.04,3.48,19420900,3.48
ROS,2020-03-31,3.35,3.52,3.26,3.26,7990290,3.26
ROS,2020-03-30,3.53,3.58,3.5,3.5,4632520,3.5
ROS,2020-03-27,4.0,4.05,3.72,3.76,23581890,3.76
ROS,2020-03-26,4.3,4.43,3.99,3.99,11068520,3.99
ROS,2020-03-25,4.24,4.72,4.24,4.29,14039260,4.29
ROS,2020-03-24,4.54,4.54,4.54,4.54,2485830,4.54
ROS,2020-03-23,4.88,4.88,4.88,4.88,1153990,4.88
ROS,2020-03-20,5.75,5.98,5.24,5.24,11368500,5.24
ROS,2020-03-19,5.63,5.63,5.29,5.63,13739220,5.63
ROS,2020-03-18,5.17,5.27,5.04,5.27,13103870,5.27
ROS,2020-03-17,4.93,4.93,4.63,4.93,3898060,4.93
ROS,2020-03-16,5.01,5.29,4.95,4.95,4825810,4.95
ROS,2020-03-13,5.24,5.63,5.24,5.3,5701230,5.3
ROS,2020-03-12,5.64,5.8,5.63,5.63,5232530,5.63
ROS,2020-03-11,6.54,6.78,6.03,6.05,5325750,6.05
ROS,2020-03-10,6.37,6.84,6.37,6.48,9191070,6.48
ROS,2020-03-09,6.84,7.0,6.84,6.84,5439420,6.84
ROS,2020-03-06,7.36,7.59,6.99,7.35,6147070,7.35
ROS,2020-03-05,8.45,8.46,7.45,7.45,7891280,7.45
ROS,2020-03-04,7.45,7.96,7.31,7.96,4882200,7.96
ROS,2020-03-03,7.34,7.63,7.34,7.44,2603760,7.44
ROS,2020-03-02,7.26,7.45,7.2,7.34,3318150,7.34
ROS,2020-02-28,7.6,7.6,7.26,7.26,4047020,7.26
ROS,2020-02-27,7.5,7.9,7.5,7.78,1870120,7.78
ROS,2020-02-26,7.55,7.71,7.48,7.5,2641810,7.5
ROS,2020-02-25,7.36,7.87,7.36,7.8,6417070,7.8
ROS,2020-02-24,8.0,8.1,7.91,7.91,3811550,7.91
ROS,2020-02-21,8.81,9.0,8.47,8.5,5324130,8.5
ROS,2020-02-20,8.8,9.11,8.65,9.1,4784080,9.1
ROS,2020-02-19,7.6,8.52,7.5,8.52,6112510,8.52
ROS,2020-02-18,8.0,8.3,7.97,7.97,6698120,7.97
