name,date,open,high,low,close,volume,adj_close
VCB,2020-10-16,88.5,88.6,87.5,88.2,668850,88.2
VCB,2020-10-15,88.2,88.6,86.8,88.6,1424740,88.6
VCB,2020-10-14,86.8,89.0,86.7,88.2,1206380,88.2
VCB,2020-10-13,86.0,86.9,85.5,86.5,814530,86.5
VCB,2020-10-12,86.0,87.0,84.8,85.9,1574610,85.9
VCB,2020-10-09,84.5,85.0,84.5,84.8,366200,84.8
VCB,2020-10-08,85.5,85.5,83.8,84.8,549140,84.8
VCB,2020-10-07,83.6,85.2,83.1,85.0,988270,85.0
VCB,2020-10-06,83.8,84.4,83.2,83.9,1105060,83.9
VCB,2020-10-05,84.5,85.0,83.4,83.5,811740,83.5
VCB,2020-10-02,84.8,85.0,80.0,84.0,890840,84.0
VCB,2020-10-01,85.1,85.1,84.2,84.8,367030,84.8
VCB,2020-09-30,85.0,85.0,83.8,84.1,584450,84.1
VCB,2020-09-29,86.0,86.1,83.8,84.6,1609090,84.6
VCB,2020-09-28,85.8,86.2,85.4,86.0,1254760,86.0
VCB,2020-09-25,86.1,86.2,85.5,86.0,1107270,86.0
VCB,2020-09-24,84.1,86.2,84.1,86.1,1628730,86.1
VCB,2020-09-23,84.2,85.5,84.2,85.4,1395190,85.4
VCB,2020-09-22,83.0,84.4,82.8,84.0,1746960,84.0
VCB,2020-09-21,83.1,83.6,83.0,83.0,1671360,83.0
VCB,2020-09-10,83.0,83.3,82.1,82.1,689700,82.1
VCB,2020-09-09,82.0,83.2,81.5,82.2,1472680,82.2
VCB,2020-09-08,83.6,83.9,82.3,82.5,1985560,82.5
VCB,2020-09-07,84.7,85.1,83.6,83.6,1181750,83.6
VCB,2020-09-04,85.0,86.1,84.8,84.9,2425360,84.9
VCB,2020-09-03,83.7,86.5,83.7,86.2,2503810,86.2
VCB,2020-09-01,83.0,83.3,82.9,83.0,1625600,83.0
VCB,2020-08-31,84.0,84.5,82.8,83.0,971310,83.0
VCB,2020-08-28,83.6,83.9,83.3,83.4,1645430,83.4
VCB,2020-08-27,83.5,83.9,83.2,83.5,1003280,83.5
VCB,2020-08-26,83.9,83.9,83.4,83.5,1585740,83.5
VCB,2020-08-25,83.9,84.9,83.9,83.9,1748400,83.9
VCB,2020-08-24,83.0,84.6,83.0,83.9,1530010,83.9
VCB,2020-08-21,83.0,83.2,82.6,82.9,1281740,82.9
VCB,2020-08-20,83.0,84.5,83.0,83.0,1093620,83.0
VCB,2020-08-19,82.3,83.0,82.0,83.0,586790,83.0
VCB,2020-08-18,82.3,82.6,81.7,82.3,331690,82.3
VCB,2020-08-17,82.3,82.9,81.7,82.3,389480,82.3
VCB,2020-08-14,83.0,83.1,81.9,82.0,820270,82.0
VCB,2020-08-13,82.9,83.0,82.0,83.0,385320,83.0
VCB,2020-08-12,82.1,82.3,81.9,82.1,310430,82.1
VCB,2020-08-11,82.5,82.6,81.8,82.1,312920,82.1
VCB,2020-08-10,83.0,83.2,81.9,81.9,576570,81.9
VCB,2020-08-07,83.0,83.0,82.4,82.9,518660,82.9
VCB,2020-08-06,82.6,83.1,81.9,82.8,802350,82.8
VCB,2020-08-05,81.9,83.0,80.4,82.7,778840,82.7
VCB,2020-08-04,80.0,81.9,79.4,81.9,616840,81.9
VCB,2020-08-03,76.0,78.8,76.0,78.8,422820,78.8
VCB,2020-07-31,76.0,77.4,76.0,76.4,672940,76.4
VCB,2020-07-30,77.6,78.5,77.3,77.4,937680,77.4
VCB,2020-07-29,76.0,78.0,75.1,77.5,833570,77.5
VCB,2020-07-28,77.0,78.8,76.5,78.5,910690,78.5
VCB,2020-07-27,76.0,80.0,76.0,77.0,1274570,77.0
VCB,2020-07-24,82.1,82.3,78.5,81.0,1341540,81.0
VCB,2020-07-23,82.5,82.8,82.1,82.5,1350870,82.5
VCB,2020-07-22,82.5,82.5,82.2,82.5,625320,82.5
VCB,2020-07-21,82.5,82.8,81.7,82.5,681740,82.5
VCB,2020-07-20,82.2,82.7,81.7,82.2,696830,82.2
VCB,2020-07-17,83.6,83.6,82.8,82.8,628000,82.8
VCB,2020-07-16,83.8,83.9,82.9,83.5,1091190,83.5
VCB,2020-07-15,83.2,83.8,83.2,83.5,1198530,83.5
VCB,2020-07-14,82.9,83.0,82.2,83.0,427110,83.0
VCB,2020-07-13,83.4,83.5,82.4,82.9,371630,82.9
VCB,2020-07-10,83.4,83.6,82.1,82.7,918560,82.7
VCB,2020-07-09,83.9,83.9,83.3,83.6,962170,83.6
VCB,2020-07-08,83.2,83.4,82.8,83.0,485190,83.0
VCB,2020-07-07,84.0,84.2,83.3,83.4,1336830,83.4
VCB,2020-07-06,83.0,83.4,82.4,82.9,1218830,82.9
VCB,2020-07-03,82.5,83.3,82.2,83.0,370340,83.0
VCB,2020-07-02,83.2,83.2,81.0,82.6,469040,82.6
VCB,2020-07-01,80.3,82.7,80.0,82.7,404440,82.7
VCB,2020-06-30,82.5,82.5,80.0,80.3,709990,80.3
VCB,2020-06-29,83.3,83.3,81.1,81.5,594140,81.5
VCB,2020-06-26,84.1,84.7,83.0,83.3,355930,83.3
VCB,2020-06-25,82.7,84.4,82.7,83.7,506650,83.7
VCB,2020-06-24,86.0,86.0,84.1,84.7,710160,84.7
VCB,2020-06-23,85.5,87.0,85.3,86.0,917230,86.0
VCB,2020-06-22,85.0,85.6,85.0,85.5,1308600,85.5
VCB,2020-06-19,85.0,86.0,85.0,85.4,723970,85.4
