,name,date,open,high,low,close,volume,adj_close
2155,VN30INDEX,2012-02-06,445.48,449.41,441.6,447.47,13467070,447.47
2154,VN30INDEX,2012-02-07,448.37,450.13,443.38,449.31,17261070,449.31
2153,VN30INDEX,2012-02-08,452.13,460.98,450.0,460.98,20406280,460.98
2152,VN30INDEX,2012-02-09,466.75,468.14,461.49,464.73,20379320,464.73
2151,VN30INDEX,2012-02-10,464.25,464.25,457.17,458.23,20816360,458.23
2150,VN30INDEX,2012-02-13,457.37,457.37,446.23,446.23,13169260,446.23
2149,VN30INDEX,2012-02-14,441.02,450.22,441.02,450.22,12913010,450.22
2148,VN30INDEX,2012-02-15,448.21,449.25,443.1,446.08,12467930,446.08
2147,VN30INDEX,2012-02-16,441.1,445.37,439.63,443.54,16595430,443.54
2146,VN30INDEX,2012-02-17,445.44,451.22,445.44,451.22,13335610,451.22
2145,VN30INDEX,2012-02-20,459.4,465.45,459.17,465.44,18064580,465.44
2144,VN30INDEX,2012-02-21,475.23,475.54,460.18,462.27,25524870,462.27
2143,VN30INDEX,2012-02-22,460.85,470.97,460.85,470.97,19632000,470.97
2142,VN30INDEX,2012-02-23,471.09,476.4,467.88,476.4,25663390,476.4
2141,VN30INDEX,2012-02-24,478.71,483.72,476.78,477.77,26683350,477.77
2140,VN30INDEX,2012-02-27,477.83,487.49,477.83,485.85,23089780,485.85
2139,VN30INDEX,2012-02-28,487.72,490.17,479.53,480.89,29995430,480.89
2138,VN30INDEX,2012-02-29,479.93,485.18,476.39,485.18,28501670,485.18
2137,VN30INDEX,2012-03-01,488.36,491.01,484.16,491.01,22342000,491.01
2136,VN30INDEX,2012-03-02,495.69,503.74,495.45,503.54,26665530,503.54
2135,VN30INDEX,2012-03-05,507.83,527.47,507.83,524.94,29555260,524.94
2134,VN30INDEX,2012-03-06,534.73,538.98,507.2,508.41,45858720,508.41
2133,VN30INDEX,2012-03-07,504.44,505.9,494.59,505.9,36337800,505.9
2132,VN30INDEX,2012-03-08,495.63,505.9,489.05,489.05,28423440,489.05
2131,VN30INDEX,2012-03-09,484.69,492.37,478.99,487.03,24564720,487.03
2130,VN30INDEX,2012-03-12,483.2,486.08,476.12,482.65,25924400,482.65
2129,VN30INDEX,2012-03-13,485.49,490.9,482.87,486.42,21389800,486.42
2128,VN30INDEX,2012-03-14,493.22,495.11,485.54,491.23,21343890,491.23
2127,VN30INDEX,2012-03-15,489.49,502.82,486.57,502.82,38683080,502.82
2126,VN30INDEX,2012-03-16,506.99,511.8,496.87,496.87,51785610,496.87
2125,VN30INDEX,2012-03-19,493.27,500.61,491.02,497.22,19375210,497.22
2124,VN30INDEX,2012-03-20,494.24,501.43,494.24,501.29,20306320,501.29
2123,VN30INDEX,2012-03-21,505.63,513.87,504.76,506.8,34696070,506.8
2122,VN30INDEX,2012-03-22,502.02,509.78,501.62,505.54,24700500,505.54
2121,VN30INDEX,2012-03-23,508.04,514.59,507.94,512.84,26117150,512.84
2120,VN30INDEX,2012-03-26,517.02,518.09,509.49,517.27,28753200,517.27
2119,VN30INDEX,2012-03-27,515.7,502.4,502.4,502.4,33826440,502.4
2118,VN30INDEX,2012-03-28,499.74,505.33,493.89,504.54,20095550,504.54
2117,VN30INDEX,2012-03-29,507.21,507.59,497.95,498.48,23528960,498.48
2116,VN30INDEX,2012-03-30,501.93,503.36,496.99,500.07,19134730,500.07
2115,VN30INDEX,2012-04-03,499.97,506.73,499.65,505.77,16311770,505.77
2114,VN30INDEX,2012-04-04,507.11,507.78,499.97,500.28,15528440,500.28
2113,VN30INDEX,2012-04-05,499.29,508.26,498.44,507.35,22504320,507.35
2112,VN30INDEX,2012-04-06,510.45,515.13,509.25,511.51,29506930,511.51
2111,VN30INDEX,2012-04-09,516.64,517.75,513.8,515.64,22525740,515.64
2110,VN30INDEX,2012-04-10,516.42,522.79,514.56,517.4,27702170,517.4
2109,VN30INDEX,2012-04-11,524.71,527.63,519.55,527.63,31311990,527.63
2108,VN30INDEX,2012-04-12,531.24,540.93,530.07,537.28,35158140,537.28
2107,VN30INDEX,2012-04-13,540.29,540.68,532.3,532.3,39331780,532.3
2106,VN30INDEX,2012-04-16,533.23,542.36,530.48,539.17,28106250,539.17
2105,VN30INDEX,2012-04-17,542.21,546.98,538.03,544.13,32161550,544.13
2104,VN30INDEX,2012-04-18,544.76,551.52,540.63,541.6,37950780,541.6
2103,VN30INDEX,2012-04-19,539.07,542.43,532.9,533.68,29899980,533.68
2102,VN30INDEX,2012-04-20,535.44,539.82,529.84,533.74,21762350,533.74
2101,VN30INDEX,2012-04-23,535.39,538.98,533.5,533.6,16134950,533.6
2100,VN30INDEX,2012-04-24,534.82,536.0,528.69,534.89,18822090,534.89
2099,VN30INDEX,2012-04-25,541.69,543.73,538.4,542.78,24328170,542.78
2098,VN30INDEX,2012-04-26,542.53,544.92,538.1,538.1,22637170,538.1
2097,VN30INDEX,2012-04-27,541.77,542.85,538.19,541.2,18517320,541.2
2096,VN30INDEX,2012-05-02,544.13,545.52,537.51,539.72,24514390,539.72
2095,VN30INDEX,2012-05-03,539.04,541.83,532.05,536.1,24058930,536.1
2094,VN30INDEX,2012-05-04,536.81,545.21,536.81,542.5,27040280,542.5
2093,VN30INDEX,2012-05-07,547.61,552.54,546.4,552.3,27745500,552.3
2092,VN30INDEX,2012-05-08,554.29,561.45,552.53,557.02,38157830,557.02
2091,VN30INDEX,2012-05-09,557.2,560.55,554.42,557.35,26645270,557.35
2090,VN30INDEX,2012-05-10,559.31,561.53,551.62,554.74,32479070,554.74
2089,VN30INDEX,2012-05-11,554.92,557.15,547.87,547.94,24157180,547.94
2088,VN30INDEX,2012-05-14,546.27,549.75,536.25,536.35,29196100,536.35
2087,VN30INDEX,2012-05-15,533.01,535.84,522.9,522.9,30385460,522.9
2086,VN30INDEX,2012-05-16,522.7,527.27,516.04,519.7,24856130,519.7
2085,VN30INDEX,2012-05-17,519.78,524.08,513.46,513.46,19892170,513.46
2084,VN30INDEX,2012-05-18,510.7,510.7,500.21,504.61,29219270,504.61
2083,VN30INDEX,2012-05-21,507.94,518.93,507.58,518.86,15988150,518.86
2082,VN30INDEX,2012-05-22,520.69,523.83,515.12,516.86,18684970,516.86
2081,VN30INDEX,2012-05-23,512.42,516.33,508.35,508.45,18270990,508.45
2080,VN30INDEX,2012-05-24,504.2,509.76,499.93,501.58,18293420,501.58
2079,VN30INDEX,2012-05-25,507.43,514.59,507.43,514.27,16691520,514.27
2078,VN30INDEX,2012-05-28,521.46,521.47,511.33,513.44,18686950,513.44
2077,VN30INDEX,2012-05-29,510.47,512.33,508.55,510.81,12832450,510.81
