,name,date,open,high,low,close,volume,adj_close
1186,VND,2016-01-04,12.8,12.8,11.6,11.6,902700,7.74
1185,VND,2016-01-05,12.7,12.7,11.3,11.5,246110,7.67
1184,VND,2016-01-06,12.6,12.6,11.3,11.6,167780,7.74
1183,VND,2016-01-07,12.7,12.7,10.8,11.1,956025,7.4
1182,VND,2016-01-08,12.2,12.2,10.6,10.7,858700,7.14
1181,VND,2016-01-11,10.9,10.9,10.7,10.7,180450,7.14
1180,VND,2016-01-12,10.7,11.1,10.7,11.1,493270,7.4
1179,VND,2016-01-13,11.0,11.5,11.0,11.2,1302678,7.47
1178,VND,2016-01-14,11.1,11.2,10.8,11.1,895640,7.4
1177,VND,2016-01-15,10.5,11.2,10.4,10.6,500700,7.07
1176,VND,2016-01-18,10.4,10.4,9.6,9.8,1346296,6.54
1175,VND,2016-01-19,8.9,10.3,8.9,10.2,945605,6.8
1174,VND,2016-01-20,10.2,10.5,9.9,10.1,943740,6.74
1173,VND,2016-01-21,10.0,10.3,10.0,10.2,1062500,6.8
1172,VND,2016-01-22,10.2,10.8,10.2,10.8,1602701,7.2
1171,VND,2016-01-25,10.8,11.6,10.8,11.3,1562900,7.54
1170,VND,2016-01-26,11.3,11.3,10.9,11.0,1035260,7.34
1169,VND,2016-01-27,11.2,11.4,11.1,11.3,343550,7.54
1168,VND,2016-01-28,11.5,11.5,11.0,11.4,464640,7.6
1167,VND,2016-01-29,11.3,11.5,11.1,11.5,665420,7.67
1166,VND,2016-02-01,11.4,11.5,11.2,11.2,374060,7.47
1165,VND,2016-02-02,11.2,11.4,11.0,11.0,830970,7.34
1164,VND,2016-02-03,11.1,11.3,10.8,11.0,355200,7.34
1163,VND,2016-02-04,11.1,11.2,11.1,11.2,243100,7.47
1162,VND,2016-02-05,11.2,11.5,11.0,11.4,621900,7.6
1161,VND,2016-02-15,11.2,11.3,11.2,11.2,230435,7.47
1160,VND,2016-02-16,11.2,11.3,11.2,11.3,418900,7.54
1159,VND,2016-02-17,11.3,11.5,11.1,11.1,464435,7.4
1158,VND,2016-02-18,11.2,11.5,11.2,11.4,762238,7.6
1157,VND,2016-02-19,11.4,11.4,11.2,11.3,285100,7.54
1156,VND,2016-02-22,11.4,12.1,11.4,11.9,1845555,7.94
1155,VND,2016-02-23,12.1,12.2,11.6,11.6,1336637,7.74
1154,VND,2016-02-24,11.6,11.9,11.6,11.9,1297240,7.94
