,name,date,open,high,low,close,volume,adj_close
1190,VNG,2016-01-04,13.2,14.1,13.1,13.2,25040,12.23
1189,VNG,2016-01-05,13.2,13.6,13.2,13.6,18660,12.6
1188,VNG,2016-01-06,13.4,13.7,13.4,13.6,22600,12.6
1187,VNG,2016-01-07,13.5,13.7,13.5,13.5,22850,12.51
1186,VNG,2016-01-08,13.5,13.5,13.2,13.2,8340,12.23
1185,VNG,2016-01-11,13.3,13.3,13.1,13.1,13390,12.14
1184,VNG,2016-01-12,13.1,13.2,12.2,12.8,21070,11.86
1183,VNG,2016-01-13,12.8,12.9,12.6,12.9,15200,11.96
1182,VNG,2016-01-14,12.7,13.0,12.5,13.0,7450,12.05
1181,VNG,2016-01-15,12.8,13.0,12.8,12.8,15200,11.86
1180,VNG,2016-01-18,12.8,12.8,12.0,12.4,9480,11.49
1179,VNG,2016-01-19,12.4,12.8,12.4,12.8,12800,11.86
1178,VNG,2016-01-20,12.7,12.8,12.7,12.8,10650,11.86
1177,VNG,2016-01-21,12.1,12.7,12.1,12.1,53810,11.21
1176,VNG,2016-01-22,12.1,12.4,12.0,12.0,31940,11.12
1175,VNG,2016-01-25,12.0,12.5,12.0,12.2,38670,11.31
1174,VNG,2016-01-26,12.2,12.3,11.7,11.7,34540,10.84
1173,VNG,2016-01-27,11.7,11.8,11.6,11.6,23130,10.75
1172,VNG,2016-01-28,11.6,12.0,11.6,11.6,27550,10.75
1171,VNG,2016-01-29,11.6,11.8,11.5,11.8,30640,10.94
1170,VNG,2016-02-01,11.8,12.1,11.8,12.1,21290,11.21
1169,VNG,2016-02-02,12.0,12.1,12.0,12.1,15450,11.21
1168,VNG,2016-02-03,12.1,12.5,12.1,12.5,50270,11.59
1167,VNG,2016-02-04,12.3,12.6,12.3,12.6,30520,11.68
1166,VNG,2016-02-05,12.7,12.8,12.7,12.7,10120,11.77
1165,VNG,2016-02-15,12.6,12.8,12.5,12.8,35650,11.86
1164,VNG,2016-02-16,12.6,12.8,12.2,12.2,31900,11.31
1163,VNG,2016-02-17,12.1,12.3,12.0,12.1,40800,11.21
1162,VNG,2016-02-18,12.1,12.2,12.0,12.0,32070,11.12
