,name,date,open,high,low,close,volume,adj_close
19,VNINDEX,2020-09-29,916.63,917.49,903.98,903.98,417729640,903.98
18,VNINDEX,2020-09-30,904.34,907.0,900.44,905.21,293672500,905.21
17,VNINDEX,2020-10-01,910.13,914.09,905.21,914.09,316205380,914.09
16,VNINDEX,2020-10-02,914.09,916.67,897.72,909.91,482730800,909.91
15,VNINDEX,2020-10-05,913.77,915.55,910.96,914.68,406913470,914.68
14,VNINDEX,2020-10-06,918.11,918.93,912.77,915.67,455799490,915.67
13,VNINDEX,2020-10-07,913.62,923.57,912.69,919.72,477623200,919.72
12,VNINDEX,2020-10-08,922.08,922.08,913.89,918.84,425584130,918.84
11,VNINDEX,2020-10-09,919.48,924.0,917.7,924.0,326610120,924.0
10,VNINDEX,2020-10-12,930.78,933.13,923.28,925.83,394797160,925.83
9,VNINDEX,2020-10-13,926.76,930.96,923.78,929.86,307417390,929.86
8,VNINDEX,2020-10-14,931.89,940.18,931.89,940.18,365124980,940.18
7,VNINDEX,2020-10-15,945.28,945.93,938.7,942.76,417143340,942.76
6,VNINDEX,2020-10-16,944.03,946.23,935.98,943.3,374625520,943.3
5,VNINDEX,2020-10-19,945.01,946.29,941.92,943.69,335311440,943.69
4,VNINDEX,2020-10-20,941.0,944.54,937.32,944.42,363433030,944.42
3,VNINDEX,2020-10-21,947.16,948.2,939.0,939.03,352896560,939.03
2,VNINDEX,2020-10-22,938.06,949.9,933.78,949.9,297847000,949.9
1,VNINDEX,2020-10-23,953.45,961.26,949.9,961.26,369111310,961.26
0,VNINDEX,2020-10-26,967.52,970.15,950.8,950.8,377517530,950.8
