name,date,open,high,low,close,volume,adj_close
FLC,2020-10-16,4.29,4.37,4.2,4.23,8648720,4.23
FLC,2020-10-15,4.11,4.38,4.0,4.31,27790380,4.31
FLC,2020-10-14,4.26,4.4,4.1,4.1,12872280,4.1
FLC,2020-10-13,4.06,4.32,3.98,4.29,23302290,4.29
FLC,2020-10-12,3.84,4.06,3.72,4.04,19375440,4.04
FLC,2020-10-09,3.95,4.1,3.8,3.8,18636670,3.8
FLC,2020-10-08,4.2,4.3,4.0,4.0,16099560,4.0
FLC,2020-10-07,4.05,4.33,3.95,4.2,26941030,4.2
FLC,2020-10-06,3.86,4.06,3.78,4.05,30366950,4.05
FLC,2020-10-05,3.65,3.86,3.62,3.8,28626470,3.8
FLC,2020-10-02,3.4,3.62,3.34,3.61,30654060,3.61
FLC,2020-10-01,3.43,3.51,3.37,3.39,7358590,3.39
FLC,2020-09-30,3.42,3.55,3.35,3.43,7926960,3.43
FLC,2020-09-29,3.5,3.65,3.41,3.45,26261060,3.45
FLC,2020-09-28,3.22,3.42,3.22,3.42,28622770,3.42
FLC,2020-09-25,3.15,3.22,3.13,3.2,9672240,3.2
FLC,2020-09-24,3.16,3.17,3.11,3.15,7047700,3.15
FLC,2020-09-23,3.05,3.2,3.05,3.15,9565100,3.15
FLC,2020-09-22,3.06,3.07,3.05,3.05,5087250,3.05
FLC,2020-09-21,3.08,3.1,3.06,3.07,4503160,3.07
FLC,2020-09-10,3.12,3.16,3.11,3.11,4311000,3.11
FLC,2020-09-09,3.05,3.13,3.05,3.11,3167200,3.11
FLC,2020-09-08,3.13,3.14,3.05,3.1,4706040,3.1
FLC,2020-09-07,3.14,3.23,3.08,3.08,7037970,3.08
FLC,2020-09-04,3.1,3.17,3.05,3.1,5185560,3.1
FLC,2020-09-03,3.3,3.32,3.16,3.18,9958750,3.18
FLC,2020-09-01,3.01,3.21,3.01,3.21,16665130,3.21
FLC,2020-08-31,2.96,3.0,2.95,3.0,6957520,3.0
FLC,2020-08-28,2.96,2.96,2.93,2.96,3670230,2.96
FLC,2020-08-27,2.92,2.96,2.92,2.96,3097610,2.96
FLC,2020-08-26,2.97,2.97,2.93,2.93,3529400,2.93
FLC,2020-08-25,2.94,3.0,2.93,2.96,5053620,2.96
FLC,2020-08-24,2.9,2.94,2.9,2.91,6674320,2.91
FLC,2020-08-21,2.86,2.89,2.85,2.88,2555440,2.88
FLC,2020-08-20,2.88,2.89,2.85,2.86,2716530,2.86
FLC,2020-08-19,2.89,2.9,2.87,2.87,3187030,2.87
FLC,2020-08-18,2.88,2.91,2.86,2.88,2834680,2.88
FLC,2020-08-17,2.88,2.89,2.86,2.88,2652560,2.88
FLC,2020-08-14,2.93,2.93,2.88,2.88,4360070,2.88
FLC,2020-08-13,2.89,2.93,2.89,2.92,3744460,2.92
FLC,2020-08-12,2.92,2.92,2.88,2.88,4107810,2.88
FLC,2020-08-11,2.91,2.95,2.88,2.91,3998990,2.91
FLC,2020-08-10,2.89,2.94,2.88,2.91,5559450,2.91
FLC,2020-08-07,2.78,2.94,2.78,2.85,6388120,2.85
FLC,2020-08-06,2.82,2.84,2.79,2.8,4318840,2.8
FLC,2020-08-05,2.85,2.88,2.79,2.84,4255040,2.84
FLC,2020-08-04,2.9,2.92,2.83,2.85,4234990,2.85
FLC,2020-08-03,2.68,2.83,2.68,2.82,4636330,2.82
FLC,2020-07-31,2.68,2.76,2.68,2.7,5633730,2.7
FLC,2020-07-30,2.79,2.83,2.77,2.77,3800320,2.77
FLC,2020-07-29,2.8,2.83,2.73,2.78,7587040,2.78
FLC,2020-07-28,2.67,2.93,2.67,2.93,8495500,2.93
FLC,2020-07-27,2.75,2.79,2.74,2.74,15603430,2.74
FLC,2020-07-24,3.11,3.11,2.91,2.94,12080620,2.94
FLC,2020-07-23,3.21,3.21,3.02,3.12,8287930,3.12
FLC,2020-07-22,3.29,3.29,3.21,3.21,7302300,3.21
FLC,2020-07-21,3.32,3.35,3.25,3.29,4428270,3.29
FLC,2020-07-20,3.3,3.4,3.29,3.3,9513080,3.3
FLC,2020-07-17,3.35,3.43,3.34,3.4,6025880,3.4
FLC,2020-07-16,3.4,3.42,3.34,3.35,6556670,3.35
FLC,2020-07-15,3.43,3.49,3.4,3.4,4965720,3.4
FLC,2020-07-14,3.45,3.47,3.4,3.42,4091700,3.42
FLC,2020-07-13,3.5,3.56,3.45,3.46,4267760,3.46
FLC,2020-07-10,3.57,3.58,3.46,3.46,7841700,3.46
FLC,2020-07-09,3.4,3.58,3.38,3.58,8832970,3.58
FLC,2020-07-08,3.45,3.49,3.35,3.35,8934720,3.35
FLC,2020-07-07,3.7,3.82,3.44,3.46,37520680,3.46
FLC,2020-07-06,3.7,3.7,3.45,3.68,4899800,3.68
FLC,2020-07-03,3.68,3.7,3.58,3.64,5207680,3.64
FLC,2020-07-02,3.9,3.96,3.6,3.63,21251480,3.63
FLC,2020-07-01,3.58,3.87,3.42,3.87,32916220,3.87
FLC,2020-06-30,3.8,3.92,3.62,3.62,17459380,3.62
FLC,2020-06-29,4.05,4.1,3.89,3.89,14279510,3.89
FLC,2020-06-26,4.25,4.31,3.91,4.18,36691050,4.18
FLC,2020-06-25,4.0,4.23,3.95,4.2,16640010,4.2
FLC,2020-06-24,4.3,4.34,4.02,4.14,26191540,4.14
