name,date,open,high,low,close,volume,adj_close
GEX,2020-10-16,22.35,22.35,21.75,21.85,7655700,21.85
GEX,2020-10-15,22.25,22.65,22.05,22.3,5922590,22.3
GEX,2020-10-14,22.8,22.9,22.15,22.25,6427840,22.25
GEX,2020-10-13,22.6,22.9,22.15,22.8,4471410,22.8
GEX,2020-10-12,22.9,23.4,22.5,22.6,4466010,22.6
GEX,2020-10-09,22.6,23.7,22.0,22.8,7724430,22.8
GEX,2020-10-08,23.4,23.4,22.5,22.6,5867110,22.6
GEX,2020-10-07,23.7,23.7,23.3,23.3,4323990,23.3
GEX,2020-10-06,23.95,24.1,23.65,23.7,3362410,23.7
GEX,2020-10-05,23.8,23.95,23.65,23.8,3046810,23.8
GEX,2020-10-02,24.1,24.2,23.0,23.7,5124070,23.7
GEX,2020-10-01,23.7,24.1,23.7,24.1,5291390,24.1
GEX,2020-09-30,23.65,23.65,23.4,23.65,4056310,23.65
GEX,2020-09-29,23.65,23.9,23.55,23.6,6138590,23.6
GEX,2020-09-28,24.05,24.15,23.5,23.6,6309600,23.6
GEX,2020-09-25,24.4,24.4,23.8,24.05,7150600,24.05
GEX,2020-09-24,24.95,24.95,24.3,24.4,6921640,24.4
GEX,2020-09-23,25.0,25.2,24.85,25.0,6284110,25.0
GEX,2020-09-22,24.55,25.15,24.3,24.9,8391970,24.9
GEX,2020-09-21,24.2,24.55,24.15,24.55,5914580,24.55
GEX,2020-09-10,26.2,26.4,25.7,25.9,7621490,25.9
GEX,2020-09-09,25.75,26.05,25.45,26.05,7530830,26.05
GEX,2020-09-08,26.0,26.05,25.65,25.9,7462540,25.9
GEX,2020-09-07,25.5,26.35,24.9,25.95,12246430,25.95
GEX,2020-09-04,25.1,25.5,24.6,25.5,9056130,25.5
GEX,2020-09-03,23.8,25.25,23.75,25.25,10488440,25.25
GEX,2020-09-01,22.5,23.6,22.45,23.6,10158170,23.6
GEX,2020-08-31,21.9,22.45,21.9,22.2,8236590,22.2
GEX,2020-08-28,22.3,22.35,22.05,22.05,6802390,22.05
GEX,2020-08-27,22.2,22.35,22.0,22.25,6731010,22.25
GEX,2020-08-26,22.05,22.55,21.75,22.25,9599290,22.25
GEX,2020-08-25,21.3,22.25,21.3,22.2,10794940,22.2
GEX,2020-08-24,21.2,21.5,21.2,21.25,4533090,21.25
GEX,2020-08-21,21.2,21.35,20.8,21.2,5514310,21.2
GEX,2020-08-20,21.7,21.7,21.1,21.15,3994130,21.15
GEX,2020-08-19,21.7,21.8,21.3,21.7,3895850,21.7
GEX,2020-08-18,21.2,22.05,21.05,21.7,7649680,21.7
GEX,2020-08-17,21.2,21.25,20.4,21.2,3571540,21.2
GEX,2020-08-14,20.65,21.15,20.5,20.95,4409420,20.95
GEX,2020-08-13,20.6,20.8,20.45,20.65,2381830,20.65
GEX,2020-08-12,21.0,21.0,20.3,20.6,3150850,20.6
GEX,2020-08-11,21.5,21.65,20.85,21.0,5112890,21.0
GEX,2020-08-10,21.35,21.85,21.35,21.4,5193580,21.4
GEX,2020-08-07,20.1,21.3,20.0,21.3,5856600,21.3
GEX,2020-08-06,20.5,20.5,20.05,20.15,2661660,20.15
GEX,2020-08-05,20.2,20.55,19.75,20.5,2491480,20.5
GEX,2020-08-04,19.5,20.15,19.5,20.1,3549710,20.1
GEX,2020-08-03,18.5,19.35,18.45,19.35,2653210,19.35
GEX,2020-07-31,18.5,18.7,18.1,18.5,680160,18.5
GEX,2020-07-30,19.0,19.1,18.7,18.8,1034790,18.8
GEX,2020-07-29,19.0,19.0,17.9,18.9,1727230,18.9
GEX,2020-07-28,18.6,19.3,18.5,19.2,2293530,19.2
GEX,2020-07-27,18.5,19.35,18.45,18.65,3982090,18.65
GEX,2020-07-24,20.15,20.3,18.8,19.8,4215340,19.8
GEX,2020-07-23,20.55,20.6,19.95,20.2,2305720,20.2
GEX,2020-07-22,20.95,20.95,20.25,20.55,2604600,20.55
GEX,2020-07-21,21.25,21.4,20.75,21.0,3698020,21.0
GEX,2020-07-20,21.3,21.6,21.0,21.3,5495430,21.3
GEX,2020-07-17,21.5,22.05,21.2,21.55,7392910,21.55
GEX,2020-07-16,21.3,21.45,21.0,21.45,4165400,21.45
GEX,2020-07-15,21.9,21.9,21.25,21.3,4707960,21.3
GEX,2020-07-14,20.65,21.85,20.2,21.75,6279710,21.75
GEX,2020-07-13,21.0,21.0,20.3,20.6,4413310,20.6
GEX,2020-07-10,19.95,20.2,19.4,20.05,4399620,20.05
GEX,2020-07-09,18.1,19.15,17.95,19.15,3439570,19.15
GEX,2020-07-08,17.5,18.35,17.35,17.9,2725520,17.9
GEX,2020-07-07,17.35,17.45,17.2,17.35,1486820,17.35
GEX,2020-07-06,17.35,17.35,17.15,17.3,947480,17.3
GEX,2020-07-03,17.35,17.35,17.1,17.3,1489890,17.3
GEX,2020-07-02,16.95,17.1,16.8,17.1,1674470,17.1
GEX,2020-07-01,16.6,16.8,16.45,16.8,1460980,16.8
GEX,2020-06-30,16.9,16.9,16.25,16.55,901440,16.55
GEX,2020-06-29,17.1,17.25,16.2,16.2,2223840,16.2
GEX,2020-06-26,17.15,17.3,16.9,17.25,1719180,17.25
GEX,2020-06-25,16.8,16.95,16.6,16.95,460320,16.95
GEX,2020-06-24,17.3,17.4,16.85,16.95,1167280,16.95
GEX,2020-06-23,17.4,17.45,17.2,17.35,1347740,17.35
GEX,2020-06-22,17.0,17.4,17.0,17.35,1027620,17.35
GEX,2020-06-19,16.7,17.0,16.6,17.0,1538080,17.0
GEX,2020-06-18,16.25,16.8,16.2,16.6,583740,16.6
GEX,2020-06-17,16.6,16.6,16.25,16.3,324010,16.3
GEX,2020-06-16,16.5,16.5,16.15,16.3,778240,16.3
GEX,2020-06-15,16.95,16.95,16.05,16.2,993110,16.2
GEX,2020-06-12,16.6,16.75,16.35,16.7,1140770,16.7
GEX,2020-06-11,17.7,17.8,16.45,17.0,2439370,17.0
GEX,2020-06-10,17.55,17.8,17.35,17.6,906060,17.6
GEX,2020-06-09,18.2,18.2,17.55,17.55,1233220,17.55
GEX,2020-06-08,17.6,18.3,17.5,17.95,3385750,17.95
GEX,2020-06-05,17.0,17.55,16.75,17.45,2283760,17.45
GEX,2020-06-04,17.15,17.3,16.7,17.0,2075960,17.0
GEX,2020-06-03,17.05,17.3,17.0,17.05,1312110,17.05
GEX,2020-06-02,17.6,17.6,17.1,17.1,2202570,17.1
GEX,2020-06-01,17.5,17.6,17.4,17.55,2731600,17.55
GEX,2020-05-29,17.3,17.45,17.05,17.45,2416120,17.45
GEX,2020-05-28,17.3,17.4,17.2,17.25,2335060,17.25
GEX,2020-05-27,17.95,18.0,17.25,17.25,4147070,17.25
GEX,2020-05-26,18.1,18.1,17.7,17.95,3649150,17.95
GEX,2020-05-25,17.35,17.95,17.25,17.85,4279410,17.85
GEX,2020-05-22,17.3,17.55,17.05,17.1,5634820,17.1
GEX,2020-05-21,16.95,17.1,16.8,16.9,3960170,16.9
GEX,2020-05-20,17.25,17.3,16.8,16.8,3311820,16.8
GEX,2020-05-19,16.9,17.55,16.8,17.3,9804480,17.3
GEX,2020-05-18,16.3,16.75,15.95,16.75,4220830,16.75
GEX,2020-05-15,16.65,16.85,16.3,16.4,3563300,16.4
GEX,2020-05-14,15.55,16.4,15.5,16.4,6045610,16.4
