name,date,open,high,low,close,volume,adj_close
HBC,2020-10-16,11.0,11.15,10.8,11.0,5216050,11.0
HBC,2020-10-15,10.75,11.15,10.7,10.8,5890720,10.8
HBC,2020-10-14,10.8,10.9,10.75,10.75,3689870,10.75
HBC,2020-10-13,10.8,10.95,10.65,10.8,4379270,10.8
HBC,2020-10-12,11.45,11.45,10.8,10.8,7067870,10.8
HBC,2020-10-09,11.15,11.3,11.0,11.3,4060990,11.3
HBC,2020-10-08,11.45,11.45,11.05,11.1,7047200,11.1
HBC,2020-10-07,11.5,11.7,11.3,11.3,7597740,11.3
HBC,2020-10-06,11.75,12.0,11.55,11.7,8189920,11.7
HBC,2020-10-05,11.05,11.65,11.05,11.5,8808080,11.5
HBC,2020-10-02,10.9,11.5,10.75,11.05,13340990,11.05
HBC,2020-10-01,10.95,11.1,10.85,10.9,4456310,10.9
HBC,2020-09-30,10.7,10.9,10.5,10.85,4554630,10.85
HBC,2020-09-29,11.35,11.4,10.65,10.65,6644340,10.65
HBC,2020-09-28,11.1,11.25,11.0,11.2,6813850,11.2
HBC,2020-09-25,11.15,11.2,10.8,10.95,6471620,10.95
HBC,2020-09-24,11.15,11.35,10.95,11.1,8419350,11.1
HBC,2020-09-23,10.75,11.15,10.75,11.15,14065680,11.15
HBC,2020-09-22,10.45,10.6,10.35,10.45,4926800,10.45
HBC,2020-09-21,10.55,10.75,10.35,10.45,8694400,10.45
HBC,2020-09-10,9.9,9.95,9.82,9.82,2380000,9.82
HBC,2020-09-09,9.68,9.86,9.61,9.85,2359060,9.85
HBC,2020-09-08,9.8,9.8,9.68,9.77,3045080,9.77
HBC,2020-09-07,9.98,10.05,9.71,9.72,5627160,9.72
HBC,2020-09-04,9.91,10.05,9.91,9.98,3280750,9.98
HBC,2020-09-03,10.15,10.2,10.0,10.05,3026500,10.05
HBC,2020-09-01,9.97,10.15,9.97,10.05,2541670,10.05
HBC,2020-08-31,10.05,10.15,9.89,9.97,4616100,9.97
HBC,2020-08-28,10.3,10.3,10.05,10.05,5423340,10.05
HBC,2020-08-27,10.1,10.25,10.1,10.2,2508430,10.2
HBC,2020-08-26,10.15,10.4,10.05,10.1,4250300,10.1
HBC,2020-08-25,9.81,10.45,9.72,10.1,8741050,10.1
HBC,2020-08-24,9.67,9.78,9.66,9.78,3527650,9.78
