name,date,open,high,low,close,volume,adj_close
HCM,2020-10-16,22.4,22.55,21.95,22.45,2646120,22.45
HCM,2020-10-15,22.6,22.75,22.15,22.35,2692260,22.35
HCM,2020-10-14,22.05,22.5,21.9,22.35,2775270,22.35
HCM,2020-10-13,22.15,22.15,21.7,22.0,1327320,22.0
HCM,2020-10-12,22.8,22.85,22.0,22.15,2700580,22.15
HCM,2020-10-09,22.3,22.65,22.15,22.55,3225430,22.55
HCM,2020-10-08,21.95,22.05,21.65,22.05,2467840,22.05
HCM,2020-10-07,21.8,22.3,21.75,21.8,3209830,21.8
HCM,2020-10-06,22.3,22.45,21.8,22.0,3758740,22.0
HCM,2020-10-05,22.1,22.45,22.0,22.3,2197570,22.3
HCM,2020-10-02,22.1,22.4,21.0,21.8,4488560,21.8
HCM,2020-10-01,21.25,22.45,21.15,22.15,5563550,22.15
HCM,2020-09-30,20.7,21.05,20.65,21.0,2753770,21.0
HCM,2020-09-29,20.8,21.3,20.7,20.75,3727020,20.75
HCM,2020-09-28,20.6,20.8,20.3,20.7,2950730,20.7
HCM,2020-09-25,20.7,20.7,20.15,20.2,2270870,20.2
HCM,2020-09-24,20.6,20.75,20.3,20.7,2973870,20.7
HCM,2020-09-23,20.6,20.8,20.55,20.7,2029360,20.7
HCM,2020-09-22,20.5,20.65,20.35,20.55,2972730,20.55
HCM,2020-09-21,20.85,20.95,20.6,20.6,2944900,20.6
HCM,2020-09-10,19.9,20.15,19.6,19.85,4806310,19.85
HCM,2020-09-09,19.25,19.85,19.2,19.7,3809110,19.7
HCM,2020-09-08,19.2,19.6,19.05,19.6,3111560,19.6
HCM,2020-09-07,19.7,19.95,19.15,19.15,4312720,19.15
HCM,2020-09-04,18.6,19.8,18.6,19.5,6278360,19.5
HCM,2020-09-03,19.1,19.1,18.8,19.0,3563000,19.0
HCM,2020-09-01,18.55,18.9,18.45,18.8,1845750,18.8
HCM,2020-08-31,18.9,19.15,18.4,18.55,3625910,18.55
HCM,2020-08-28,19.0,19.25,18.85,18.85,5826520,18.85
HCM,2020-08-27,18.6,18.75,18.5,18.75,1739420,18.75
HCM,2020-08-26,18.4,18.85,18.4,18.6,3359280,18.6
HCM,2020-08-25,18.6,18.65,18.35,18.35,2309910,18.35
HCM,2020-08-24,18.25,18.7,18.2,18.4,3679900,18.4
HCM,2020-08-21,17.65,18.15,17.55,18.05,2740380,18.05
HCM,2020-08-20,17.7,17.8,17.55,17.6,1528750,17.6
HCM,2020-08-19,17.7,17.85,17.55,17.8,1276800,17.8
HCM,2020-08-18,17.6,17.85,17.5,17.6,1155580,17.6
HCM,2020-08-17,17.7,17.85,17.45,17.7,1484170,17.7
HCM,2020-08-14,18.1,18.25,17.65,17.9,2412500,17.9
HCM,2020-08-13,17.9,18.35,17.85,18.2,3243130,18.2
HCM,2020-08-12,17.85,18.0,17.6,17.75,1145990,17.75
HCM,2020-08-11,17.5,17.95,17.35,17.85,3043010,17.85
HCM,2020-08-10,17.35,17.6,17.25,17.35,2761400,17.35
HCM,2020-08-07,17.25,17.35,17.0,17.15,1424950,17.15
HCM,2020-08-06,17.35,17.5,17.1,17.25,1445140,17.25
HCM,2020-08-05,17.15,17.6,17.05,17.4,1917140,17.4
HCM,2020-08-04,17.3,17.4,16.95,17.25,2533470,17.25
HCM,2020-08-03,16.4,17.2,16.4,17.15,1928640,17.15
HCM,2020-07-31,16.1,16.7,16.1,16.5,864240,16.5
HCM,2020-07-30,16.6,16.8,16.3,16.6,2314760,16.6
HCM,2020-07-29,17.0,17.0,16.0,16.55,2914560,16.55
HCM,2020-07-28,16.1,17.15,16.1,17.15,2625840,17.15
HCM,2020-07-27,16.5,17.0,16.05,16.05,3533390,16.05
HCM,2020-07-24,18.2,18.3,17.1,17.25,3541100,17.25
HCM,2020-07-23,18.5,18.55,18.2,18.35,1125480,18.35
HCM,2020-07-22,18.9,18.9,18.35,18.5,1223120,18.5
HCM,2020-07-21,19.0,19.1,18.4,18.75,2501800,18.75
