name,date,open,high,low,close,volume,adj_close
KBC,2020-10-16,14.7,14.75,14.35,14.6,2448480,14.6
KBC,2020-10-15,14.6,14.85,14.6,14.65,3061810,14.65
KBC,2020-10-14,14.5,14.85,14.5,14.7,2624710,14.7
KBC,2020-10-13,14.35,14.65,14.35,14.4,1971320,14.4
KBC,2020-10-12,14.6,14.65,14.35,14.35,1845310,14.35
KBC,2020-10-09,14.6,14.7,14.45,14.6,1836890,14.6
KBC,2020-10-08,14.8,14.95,14.5,14.65,3019630,14.65
KBC,2020-10-07,15.0,15.2,14.8,14.8,2948240,14.8
KBC,2020-10-06,14.35,15.1,14.35,15.0,5841330,15.0
KBC,2020-10-05,14.35,14.35,14.15,14.35,1898260,14.35
KBC,2020-10-02,14.3,14.4,13.5,14.1,4060050,14.1
KBC,2020-10-01,14.3,14.35,14.15,14.3,1899380,14.3
KBC,2020-09-30,13.95,14.2,13.95,14.2,2314850,14.2
KBC,2020-09-29,14.35,14.4,13.9,13.95,2821550,13.95
KBC,2020-09-28,14.2,14.3,14.1,14.3,2170650,14.3
KBC,2020-09-25,14.3,14.3,14.1,14.2,1616140,14.2
KBC,2020-09-24,14.3,14.4,14.15,14.3,2498870,14.3
KBC,2020-09-23,14.2,14.5,14.15,14.4,4622630,14.4
KBC,2020-09-22,13.85,13.9,13.7,13.9,2435550,13.9
KBC,2020-09-21,13.7,13.95,13.65,13.85,3046950,13.85
KBC,2020-09-10,13.85,13.95,13.75,13.75,2289760,13.75
KBC,2020-09-09,13.65,13.7,13.6,13.7,1709970,13.7
KBC,2020-09-08,13.55,13.65,13.45,13.65,1633950,13.65
KBC,2020-09-07,13.75,13.75,13.45,13.45,2010660,13.45
KBC,2020-09-04,13.3,13.65,13.25,13.6,3654190,13.6
KBC,2020-09-03,13.7,13.8,13.4,13.45,4542010,13.45
KBC,2020-09-01,13.7,13.8,13.55,13.65,2167350,13.65
KBC,2020-08-31,14.1,14.15,13.7,13.7,1933260,13.7
KBC,2020-08-28,14.1,14.15,13.95,13.95,1432490,13.95
KBC,2020-08-27,13.9,14.15,13.9,13.95,1190000,13.95
KBC,2020-08-26,13.8,14.2,13.7,13.9,2187810,13.9
KBC,2020-08-25,13.95,14.1,13.8,13.8,1518040,13.8
KBC,2020-08-24,13.9,13.95,13.8,13.9,1677480,13.9
KBC,2020-08-21,13.6,13.85,13.6,13.8,1939930,13.8
KBC,2020-08-20,13.5,13.75,13.5,13.55,1946110,13.55
KBC,2020-08-19,13.45,13.8,13.45,13.6,1748140,13.6
KBC,2020-08-18,13.35,13.6,13.35,13.45,1099430,13.45
KBC,2020-08-17,13.5,13.55,13.3,13.5,1288760,13.5
KBC,2020-08-14,13.6,13.75,13.3,13.4,2195830,13.4
KBC,2020-08-13,13.6,13.7,13.5,13.7,2131890,13.7
KBC,2020-08-12,13.7,13.7,13.4,13.55,1577260,13.55
KBC,2020-08-11,13.75,13.8,13.55,13.6,1475900,13.6
KBC,2020-08-10,13.4,13.95,13.4,13.65,2256360,13.65
KBC,2020-08-07,13.2,13.3,13.1,13.3,1244750,13.3
KBC,2020-08-06,13.05,13.4,13.0,13.2,1604510,13.2
KBC,2020-08-05,13.0,13.3,12.9,13.2,1687530,13.2
KBC,2020-08-04,13.0,13.2,12.95,13.05,1326010,13.05
KBC,2020-08-03,12.6,12.95,12.45,12.9,2127590,12.9
KBC,2020-07-31,12.4,12.7,12.35,12.4,2449810,12.4
KBC,2020-07-30,12.9,13.1,12.85,12.85,1317410,12.85
KBC,2020-07-29,12.8,13.1,12.6,12.95,3155820,12.95
KBC,2020-07-28,12.9,13.35,12.6,13.25,2580200,13.25
KBC,2020-07-27,12.8,13.15,12.6,12.7,3911580,12.7
KBC,2020-07-24,14.3,14.55,13.4,13.5,4211520,13.5
KBC,2020-07-23,14.6,14.8,14.2,14.4,2817370,14.4
KBC,2020-07-22,15.1,15.1,14.55,14.85,1822370,14.85
KBC,2020-07-21,14.75,15.05,14.6,15.05,1927280,15.05
KBC,2020-07-20,14.75,15.05,14.4,14.75,3975450,14.75
KBC,2020-07-17,14.3,14.5,14.1,14.4,1852720,14.4
KBC,2020-07-16,14.2,14.4,14.2,14.3,1161720,14.3
KBC,2020-07-15,14.4,14.55,14.2,14.2,1728050,14.2
KBC,2020-07-14,14.5,14.5,14.2,14.4,1134500,14.4
KBC,2020-07-13,14.6,14.8,14.45,14.5,2091660,14.5
KBC,2020-07-10,14.2,14.5,14.1,14.45,3656210,14.45
KBC,2020-07-09,14.05,14.3,14.05,14.2,2773650,14.2
KBC,2020-07-08,13.9,14.2,13.9,14.05,1453240,14.05
KBC,2020-07-07,13.85,14.0,13.85,14.0,1749060,14.0
KBC,2020-07-06,13.75,14.0,13.65,13.65,1951060,13.65
KBC,2020-07-03,13.85,14.0,13.65,13.65,1388830,13.65
KBC,2020-07-02,13.9,14.1,13.75,13.95,1292070,13.95
KBC,2020-07-01,13.55,14.2,13.4,14.05,1899370,14.05
KBC,2020-06-30,14.15,14.15,13.2,13.85,1962580,13.85
KBC,2020-06-29,14.3,14.3,13.5,13.9,2586200,13.9
KBC,2020-06-26,14.65,14.75,14.4,14.45,1989830,14.45
KBC,2020-06-25,14.55,14.75,14.45,14.55,1771000,14.55
KBC,2020-06-24,14.85,14.95,14.4,14.75,3003410,14.75
KBC,2020-06-23,15.05,15.2,14.75,14.85,2859720,14.85
KBC,2020-06-22,15.1,15.35,15.05,15.05,2588880,15.05
KBC,2020-06-19,14.95,15.1,14.8,15.0,2879690,15.0
KBC,2020-06-18,14.55,14.9,14.5,14.7,2294100,14.7
KBC,2020-06-17,14.95,15.1,14.5,14.9,2259930,14.9
KBC,2020-06-16,14.8,15.15,14.6,15.1,3161360,15.1
KBC,2020-06-15,15.55,15.75,14.5,14.5,4108250,14.5
KBC,2020-06-12,14.7,15.7,14.7,15.5,4543820,15.5
KBC,2020-06-11,16.7,16.9,15.5,15.5,10281670,15.5
KBC,2020-06-10,15.0,15.8,14.8,15.8,7723460,15.8
KBC,2020-06-09,14.5,15.2,14.35,14.8,4940700,14.8
KBC,2020-06-08,14.6,14.95,14.45,14.5,3633850,14.5
KBC,2020-06-05,14.2,14.5,14.05,14.4,1939380,14.4
KBC,2020-06-04,14.25,14.65,14.15,14.2,3224570,14.2
KBC,2020-06-03,14.05,14.45,13.95,14.25,3495830,14.25
KBC,2020-06-02,14.65,14.7,14.1,14.15,4239540,14.15
KBC,2020-06-01,14.1,14.7,14.1,14.6,3656730,14.6
KBC,2020-05-29,13.7,14.2,13.7,14.05,3920880,14.05
KBC,2020-05-28,13.7,14.0,13.7,13.85,3363820,13.85
KBC,2020-05-27,14.3,14.3,13.85,13.9,2880810,13.9
KBC,2020-05-26,14.15,14.45,14.1,14.25,3652010,14.25
KBC,2020-05-25,12.95,13.7,12.85,13.7,6545850,13.7
KBC,2020-05-22,13.05,13.05,12.8,12.85,3244960,12.85
KBC,2020-05-21,13.15,13.2,13.0,13.0,3134370,13.0
KBC,2020-05-20,13.05,13.2,13.05,13.05,1544960,13.05
KBC,2020-05-19,13.2,13.3,13.0,13.15,3770060,13.15
KBC,2020-05-18,12.9,12.95,12.7,12.9,1469440,12.9
KBC,2020-05-15,13.1,13.25,12.75,12.85,2332130,12.85
KBC,2020-05-14,13.15,13.4,13.05,13.05,2290800,13.05
KBC,2020-05-13,13.3,13.55,13.1,13.1,3319350,13.1
KBC,2020-05-12,13.1,13.5,12.9,13.3,3524880,13.3
KBC,2020-05-11,13.1,13.4,12.85,13.1,2110900,13.1
KBC,2020-05-08,13.0,13.1,12.7,12.85,4614030,12.85
KBC,2020-05-07,12.85,12.95,12.65,12.8,3304330,12.8
KBC,2020-05-06,13.0,13.0,12.7,12.7,1773810,12.7
KBC,2020-05-05,12.35,12.9,12.35,12.9,3044010,12.9
KBC,2020-05-04,12.45,12.55,12.3,12.35,3111820,12.35
KBC,2020-04-29,12.7,13.1,12.7,12.7,4862970,12.7
KBC,2020-04-28,13.1,13.55,12.85,13.05,4017940,13.05
KBC,2020-04-27,12.15,12.8,12.15,12.8,5721810,12.8
KBC,2020-04-24,12.15,12.15,11.8,12.0,2628390,12.0
KBC,2020-04-23,12.0,12.15,11.9,12.0,3071280,12.0
KBC,2020-04-22,11.5,12.15,11.35,11.85,2982630,11.85
KBC,2020-04-21,12.3,12.5,11.85,11.85,2347440,11.85
KBC,2020-04-20,12.2,12.8,12.1,12.7,2774680,12.7
KBC,2020-04-17,12.0,12.55,11.9,12.1,5250130,12.1
KBC,2020-04-16,11.9,11.95,11.65,11.9,2635120,11.9
KBC,2020-04-15,11.5,12.05,11.5,11.95,3249740,11.95
KBC,2020-04-14,11.85,11.85,11.2,11.5,3122290,11.5
KBC,2020-04-13,11.8,12.0,11.7,11.85,1868770,11.85
KBC,2020-04-10,11.9,12.05,11.7,11.95,1839520,11.95
KBC,2020-04-09,11.85,12.05,11.65,11.9,1314440,11.9
KBC,2020-04-08,11.8,11.95,11.7,11.95,1254100,11.95
KBC,2020-04-07,12.4,12.4,11.8,12.15,1661680,12.15
KBC,2020-04-06,12.2,12.45,11.7,12.4,1342640,12.4
KBC,2020-04-03,11.65,11.8,11.6,11.8,881340,11.8
KBC,2020-04-01,10.65,11.75,10.65,11.75,1133120,11.75
KBC,2020-03-31,11.05,11.15,10.55,11.1,989390,11.1
KBC,2020-03-30,10.85,11.1,10.35,11.05,1636390,11.05
KBC,2020-03-27,11.0,11.2,10.85,11.1,1155090,11.1
KBC,2020-03-26,11.3,11.4,11.0,11.1,1122660,11.1
KBC,2020-03-25,10.6,11.15,10.55,11.15,1573040,11.15
KBC,2020-03-24,10.1,10.45,10.0,10.45,2242420,10.45
KBC,2020-03-23,10.6,10.9,10.35,10.35,1552050,10.35
KBC,2020-03-20,11.0,11.3,10.6,11.1,2544220,11.1
KBC,2020-03-19,11.5,11.5,10.8,11.3,5885400,11.3
KBC,2020-03-18,12.0,12.15,11.6,11.6,1614800,11.6
KBC,2020-03-17,12.0,12.2,11.55,12.0,3241510,12.0
KBC,2020-03-16,12.2,12.45,11.55,12.0,2554160,12.0
KBC,2020-03-13,11.7,12.6,11.7,12.4,3406700,12.4
KBC,2020-03-12,12.85,12.85,12.55,12.55,1347860,12.55
KBC,2020-03-11,13.5,13.9,12.6,13.45,1047530,13.45
KBC,2020-03-10,13.1,14.4,13.1,13.45,1605260,13.45
KBC,2020-03-09,13.9,14.1,13.7,13.7,2501670,13.7
KBC,2020-03-06,14.8,14.9,14.55,14.7,2571710,14.7
KBC,2020-03-05,14.85,15.0,14.6,14.9,3398570,14.9
KBC,2020-03-04,14.75,14.95,14.5,14.85,3220470,14.85
KBC,2020-03-03,14.55,14.9,14.55,14.9,2621220,14.9
KBC,2020-03-02,14.25,14.55,14.05,14.55,3306950,14.55
KBC,2020-02-28,14.2,14.4,13.95,14.0,2565690,14.0
KBC,2020-02-27,14.6,14.6,14.25,14.55,1394590,14.55
KBC,2020-02-26,14.2,14.65,14.2,14.6,2381680,14.6
KBC,2020-02-25,14.0,14.65,14.0,14.65,2814620,14.65
KBC,2020-02-24,14.75,14.85,14.25,14.5,3633070,14.5
KBC,2020-02-21,14.85,15.0,14.7,15.0,2904140,15.0
KBC,2020-02-20,14.9,15.0,14.7,14.95,3772560,14.95
KBC,2020-02-19,14.8,15.15,14.6,15.0,4464250,15.0
KBC,2020-02-18,14.8,14.85,14.6,14.6,2125390,14.6
KBC,2020-02-17,14.65,14.95,14.6,14.6,2152740,14.6
KBC,2020-02-14,15.0,15.0,14.7,14.9,1461220,14.9
KBC,2020-02-13,14.85,15.0,14.65,15.0,1601040,15.0
KBC,2020-02-12,14.9,15.0,14.65,14.95,5330010,14.95
KBC,2020-02-11,14.8,15.0,14.8,14.85,1251210,14.85
KBC,2020-02-10,14.65,14.95,14.55,14.9,2814000,14.9
KBC,2020-02-07,14.7,14.9,14.6,14.65,1639280,14.65
KBC,2020-02-06,14.55,15.0,14.55,14.8,3808380,14.8
KBC,2020-02-05,14.8,15.05,14.7,14.8,1739900,14.8
KBC,2020-02-04,14.25,14.9,14.25,14.9,3193810,14.9
KBC,2020-02-03,14.6,14.7,13.85,14.6,2834800,14.6
KBC,2020-01-31,14.8,15.1,14.45,14.5,2372480,14.5
KBC,2020-01-30,15.15,15.3,14.85,14.85,1858120,14.85
KBC,2020-01-22,15.2,15.35,15.15,15.3,946400,15.3
KBC,2020-01-21,15.25,15.35,15.1,15.2,1374840,15.2
KBC,2020-01-20,15.75,15.85,15.05,15.15,3323610,15.15
KBC,2020-01-17,15.75,15.95,15.55,15.8,1878920,15.8
KBC,2020-01-16,15.85,16.2,15.45,15.8,3996540,15.8
KBC,2020-01-15,16.0,16.35,15.85,16.0,4040930,16.0
KBC,2020-01-14,15.0,16.35,15.0,16.35,7763200,16.35
KBC,2020-01-13,15.2,15.5,15.15,15.3,3111130,15.3
KBC,2020-01-10,15.15,15.4,15.1,15.4,2408330,15.4
KBC,2020-01-09,15.1,15.45,15.1,15.35,4258330,15.35
KBC,2020-01-08,14.9,15.3,14.7,15.2,3810860,15.2
KBC,2020-01-07,15.1,15.25,14.95,14.95,1505630,14.95
KBC,2020-01-06,15.2,15.35,15.05,15.1,2068260,15.1
KBC,2020-01-03,15.2,15.35,15.2,15.3,1330450,15.3
KBC,2020-01-02,15.3,15.45,15.1,15.2,3144560,15.2
KBC,2019-12-31,15.35,15.5,15.25,15.45,1951680,15.45
KBC,2019-12-30,15.4,15.5,15.2,15.45,2039070,15.45
KBC,2019-12-27,15.15,15.45,15.15,15.4,2392430,15.4
KBC,2019-12-26,15.1,15.45,15.1,15.4,2828240,15.4
KBC,2019-12-25,15.0,15.5,15.0,15.45,2756990,15.45
KBC,2019-12-24,15.5,15.55,15.15,15.4,2035460,15.4
KBC,2019-12-23,15.25,15.5,15.15,15.5,5815210,15.5
KBC,2019-12-20,14.9,15.3,14.85,15.25,5773660,15.25
KBC,2019-12-19,14.7,14.9,14.7,14.85,4333060,14.85
KBC,2019-12-18,14.7,14.9,14.35,14.75,1802470,14.75
KBC,2019-12-17,14.55,14.85,14.55,14.75,1929340,14.75
KBC,2019-12-16,14.7,14.7,14.5,14.6,1411020,14.6
KBC,2019-12-13,14.6,14.7,14.5,14.7,1668180,14.7
KBC,2019-12-12,14.5,14.6,14.3,14.6,2071280,14.6
KBC,2019-12-11,14.6,14.75,14.4,14.5,2457290,14.5
KBC,2019-12-10,14.8,14.85,14.6,14.75,2243750,14.75
KBC,2019-12-09,14.9,14.9,14.55,14.6,1463990,14.6
KBC,2019-12-06,14.8,14.95,14.7,14.9,956980,14.9
KBC,2019-12-05,14.75,15.05,14.7,14.7,927920,14.7
KBC,2019-12-04,14.6,14.85,14.6,14.75,1070830,14.75
KBC,2019-12-03,15.35,15.35,14.6,14.6,1438560,14.6
KBC,2019-12-02,15.5,15.5,15.3,15.3,1069880,15.3
KBC,2019-11-29,14.85,15.35,14.85,15.35,1122150,15.35
KBC,2019-11-28,15.45,15.45,15.0,15.2,1019360,15.2
KBC,2019-11-27,15.6,15.6,15.35,15.4,1881420,15.4
KBC,2019-11-26,15.55,15.8,15.4,15.4,2232220,15.4
KBC,2019-11-25,15.25,15.5,15.25,15.4,1879140,15.4
KBC,2019-11-22,15.3,15.4,15.1,15.25,1785330,15.25
KBC,2019-11-21,15.2,15.3,15.05,15.2,1185380,15.2
KBC,2019-11-20,14.95,15.35,14.9,15.2,2740150,15.2
KBC,2019-11-19,14.85,14.9,14.75,14.85,982430,14.85
KBC,2019-11-18,14.9,14.9,14.7,14.75,1282430,14.75
KBC,2019-11-15,15.0,15.0,14.85,14.9,844970,14.9
KBC,2019-11-14,14.8,14.9,14.7,14.9,1351190,14.9
KBC,2019-11-13,14.8,14.8,14.7,14.75,957810,14.75
KBC,2019-11-12,14.55,14.8,14.5,14.75,1380010,14.75
KBC,2019-11-11,14.5,14.55,14.45,14.5,852950,14.5
KBC,2019-11-08,14.6,14.6,14.45,14.5,1248460,14.5
KBC,2019-11-07,14.3,14.55,14.3,14.5,1396500,14.5
KBC,2019-11-06,14.4,14.4,14.25,14.3,961070,14.3
KBC,2019-11-05,14.4,14.5,14.3,14.4,1046790,14.4
KBC,2019-11-04,14.6,14.6,14.25,14.3,1858650,14.3
KBC,2019-11-01,14.6,14.6,14.5,14.55,1735120,14.55
KBC,2019-10-31,15.0,15.1,14.5,14.6,2362590,14.6
KBC,2019-10-30,15.25,15.3,15.1,15.2,935690,15.2
KBC,2019-10-29,15.3,15.3,15.15,15.25,985020,15.25
KBC,2019-10-28,15.1,15.3,15.1,15.25,982870,15.25
KBC,2019-10-25,15.05,15.2,15.0,15.05,959290,15.05
KBC,2019-10-24,15.2,15.2,15.0,15.05,918920,15.05
KBC,2019-10-23,15.8,15.9,15.5,15.5,1536830,15.0
KBC,2019-10-22,15.7,15.75,15.6,15.75,1669340,15.24
KBC,2019-10-21,15.6,15.7,15.5,15.7,1425860,15.19
KBC,2019-10-18,15.25,15.45,15.2,15.45,1353830,14.95
KBC,2019-10-17,15.2,15.35,15.2,15.3,1237910,14.81
KBC,2019-10-16,15.35,15.35,15.15,15.2,1095140,14.71
KBC,2019-10-15,15.2,15.3,15.2,15.25,742750,14.76
KBC,2019-10-14,15.25,15.25,15.1,15.2,1242180,14.71
KBC,2019-10-11,15.3,15.3,15.15,15.2,934430,14.71
KBC,2019-10-10,15.3,15.4,15.2,15.25,1256320,14.76
KBC,2019-10-09,15.0,15.3,15.0,15.3,1091750,14.81
KBC,2019-10-08,14.95,15.1,14.95,15.1,1181980,14.61
KBC,2019-10-07,14.95,15.05,14.8,14.95,1115600,14.47
KBC,2019-10-04,15.05,15.2,14.9,15.0,966590,14.52
KBC,2019-10-03,14.5,15.2,14.5,15.2,926370,14.71
KBC,2019-10-02,15.35,15.4,15.15,15.2,1084490,14.71
KBC,2019-10-01,15.15,15.35,15.05,15.35,1497760,14.85
KBC,2019-09-30,15.0,15.15,15.0,15.0,1459440,14.52
KBC,2019-09-27,14.85,14.95,14.7,14.85,1296030,14.37
KBC,2019-09-26,15.0,14.95,14.65,14.85,1843530,14.37
KBC,2019-09-25,15.0,15.0,14.75,14.9,1077770,14.42
KBC,2019-09-24,14.9,15.0,14.8,15.0,1600800,14.52
KBC,2019-09-23,14.95,15.0,14.7,14.8,2008140,14.32
KBC,2019-09-20,15.25,15.35,15.0,15.0,2655390,14.52
KBC,2019-09-19,15.5,15.5,15.15,15.3,2226750,14.81
KBC,2019-09-18,15.8,15.8,15.5,15.5,1743470,15.0
KBC,2019-09-17,15.75,15.7,15.5,15.6,1686080,15.1
KBC,2019-09-16,15.75,15.7,15.35,15.7,2071460,15.19
KBC,2019-09-13,15.75,15.75,15.5,15.6,1548670,15.1
KBC,2019-09-12,15.5,15.7,15.45,15.6,1431090,15.1
KBC,2019-09-11,15.55,15.55,15.35,15.5,1433550,15.0
KBC,2019-09-10,15.55,15.6,15.4,15.5,1987000,15.0
KBC,2019-09-09,15.65,15.6,15.4,15.45,1906710,14.95
KBC,2019-09-06,15.65,15.7,15.5,15.5,1520000,15.0
KBC,2019-09-05,15.7,15.9,15.5,15.5,1418820,15.0
KBC,2019-09-04,16.15,15.85,15.55,15.7,2879830,15.19
KBC,2019-09-03,16.15,16.35,15.9,15.9,3121890,15.39
KBC,2019-08-30,16.25,16.4,16.0,16.05,1527040,15.53
KBC,2019-08-29,15.65,16.25,15.55,16.2,4877960,15.68
KBC,2019-08-28,15.55,15.7,15.5,15.5,1027950,15.0
KBC,2019-08-27,15.7,15.8,15.55,15.55,1318770,15.05
KBC,2019-08-26,15.5,15.95,15.5,15.65,2993540,15.14
KBC,2019-08-23,15.6,15.7,15.5,15.5,1175660,15.0
KBC,2019-08-22,15.6,15.7,15.4,15.7,2233440,15.19
KBC,2019-08-21,15.7,15.95,15.45,15.45,2553980,14.95
KBC,2019-08-20,15.7,15.85,15.55,15.7,2183930,15.19
KBC,2019-08-19,15.45,15.7,15.4,15.65,1871550,15.14
KBC,2019-08-16,15.45,15.85,15.35,15.4,2372250,14.9
KBC,2019-08-15,15.1,15.45,15.0,15.3,2215890,14.81
KBC,2019-08-14,15.9,15.95,15.45,15.45,2929760,14.95
KBC,2019-08-13,15.9,16.25,15.7,15.75,2899120,15.24
KBC,2019-08-12,15.6,16.2,15.55,16.15,3040630,15.63
KBC,2019-08-09,15.6,15.85,15.55,15.55,3749560,15.05
KBC,2019-08-08,15.7,15.85,15.6,15.6,2961730,15.1
KBC,2019-08-07,14.8,16.4,15.7,15.75,3500390,15.24
KBC,2019-08-06,14.8,16.05,14.6,16.0,6426110,15.48
KBC,2019-08-05,15.2,15.25,14.95,15.0,1626740,14.52
KBC,2019-08-02,14.9,15.3,14.9,15.25,2643690,14.76
KBC,2019-08-01,14.75,15.1,14.7,15.1,1939230,14.61
KBC,2019-07-31,14.75,14.9,14.7,14.75,2323220,14.27
KBC,2019-07-30,15.3,15.3,14.8,14.8,2679590,14.32
KBC,2019-07-29,15.5,15.5,15.2,15.3,1415500,14.81
KBC,2019-07-26,15.3,15.4,15.3,15.4,1152040,14.9
KBC,2019-07-25,15.35,15.45,15.3,15.4,1703100,14.9
KBC,2019-07-24,15.45,15.45,15.3,15.45,1734170,14.95
KBC,2019-07-23,15.5,15.6,15.3,15.35,1908960,14.85
KBC,2019-07-22,15.4,15.6,15.35,15.6,3600250,15.1
KBC,2019-07-19,15.15,15.6,15.15,15.45,5538340,14.95
KBC,2019-07-18,15.0,15.1,14.95,15.1,1842760,14.61
KBC,2019-07-17,14.6,15.1,14.6,15.1,3699600,14.61
KBC,2019-07-16,14.8,14.8,14.7,14.7,1421330,14.23
KBC,2019-07-15,14.9,14.9,14.6,14.75,1622930,14.27
KBC,2019-07-12,14.9,14.9,14.65,14.65,1645760,14.18
KBC,2019-07-11,15.35,15.4,15.15,15.25,1909450,14.27
KBC,2019-07-10,15.4,15.4,15.25,15.3,2148130,14.32
KBC,2019-07-09,15.4,15.4,15.25,15.35,1462820,14.37
KBC,2019-07-08,15.35,15.5,15.2,15.4,2590020,14.41
KBC,2019-07-05,15.05,15.4,15.0,15.35,3682150,14.37
KBC,2019-07-04,14.8,15.1,14.9,15.0,3157220,14.04
KBC,2019-07-03,14.8,14.95,14.8,14.9,1817500,13.95
KBC,2019-07-02,14.9,15.1,14.8,14.9,4089700,13.95
KBC,2019-07-01,14.8,14.8,14.25,14.8,4597950,13.85
KBC,2019-06-28,14.2,14.3,14.1,14.2,1867410,13.29
KBC,2019-06-27,14.3,14.35,14.15,14.3,1795000,13.38
KBC,2019-06-26,14.25,14.45,14.25,14.25,1384890,13.34
KBC,2019-06-25,14.2,14.4,14.1,14.4,1431720,13.48
KBC,2019-06-24,14.1,14.2,14.1,14.2,1348800,13.29
KBC,2019-06-21,14.2,14.25,14.1,14.2,1885120,13.29
KBC,2019-06-20,14.4,14.45,14.2,14.2,2277280,13.29
KBC,2019-06-19,14.4,14.55,14.4,14.4,1166120,13.48
KBC,2019-06-18,14.55,14.55,14.35,14.4,1421730,13.48
KBC,2019-06-17,14.45,14.5,14.35,14.45,1369040,13.52
KBC,2019-06-14,14.4,14.55,14.4,14.45,1460470,13.52
KBC,2019-06-13,14.6,14.6,14.4,14.45,1987490,13.52
KBC,2019-06-12,14.8,14.8,14.6,14.6,1801080,13.67
KBC,2019-06-11,14.65,14.8,14.6,14.7,2111870,13.76
KBC,2019-06-10,14.75,14.8,14.55,14.6,2384220,13.67
KBC,2019-06-07,14.35,14.55,14.35,14.55,2413810,13.62
KBC,2019-06-06,14.4,14.4,14.2,14.25,1762120,13.34
KBC,2019-06-05,14.55,14.55,14.25,14.25,1609200,13.34
KBC,2019-06-04,14.2,14.4,14.2,14.4,1691960,13.48
KBC,2019-06-03,14.3,14.5,14.1,14.3,1455930,13.38
KBC,2019-05-31,14.55,14.9,14.3,14.4,3142750,13.48
KBC,2019-05-30,14.6,14.6,14.45,14.45,1571570,13.52
KBC,2019-05-29,14.5,14.6,14.4,14.5,2545010,13.57
KBC,2019-05-28,14.2,14.6,14.05,14.45,3171050,13.52
KBC,2019-05-27,14.15,14.2,14.05,14.1,1562970,13.2
KBC,2019-05-24,14.1,14.2,13.9,14.1,1442470,13.2
KBC,2019-05-23,14.2,14.2,13.9,14.05,1485140,13.15
KBC,2019-05-22,14.05,14.2,14.05,14.05,1572980,13.15
KBC,2019-05-21,14.2,14.35,14.1,14.1,2113050,13.2
KBC,2019-05-20,14.0,14.2,14.0,14.1,2032830,13.2
KBC,2019-05-17,14.3,14.3,13.95,14.0,1820810,13.1
KBC,2019-05-16,14.5,14.5,14.25,14.3,1569160,13.38
KBC,2019-05-15,14.3,14.4,14.1,14.3,2192550,13.38
KBC,2019-05-14,14.1,14.55,14.05,14.1,3168800,13.2
KBC,2019-05-13,13.7,14.1,13.65,14.05,1866060,13.15
KBC,2019-05-10,13.6,13.65,13.5,13.6,1408210,12.73
KBC,2019-05-09,13.6,13.7,13.4,13.6,1243550,12.73
KBC,2019-05-08,13.5,13.7,13.5,13.6,1228650,12.73
KBC,2019-05-07,13.55,13.75,13.5,13.75,1673600,12.87
KBC,2019-05-06,13.7,13.7,13.3,13.5,1340290,12.64
KBC,2019-05-03,13.7,13.9,13.65,13.8,1348410,12.92
KBC,2019-05-02,14.35,14.35,13.7,13.8,3092130,12.92
KBC,2019-04-26,14.7,14.7,14.45,14.45,1950180,13.52
