name,date,open,high,low,close,volume,adj_close
KOS,2020-10-16,33.1,33.9,33.0,33.7,551700,33.7
KOS,2020-10-15,32.9,33.5,32.8,33.3,533010,33.3
KOS,2020-10-14,32.6,33.1,31.9,33.0,1061380,33.0
KOS,2020-10-13,33.1,33.3,32.4,32.6,636160,32.6
KOS,2020-10-12,32.8,33.2,32.8,33.0,738870,33.0
KOS,2020-10-09,32.1,32.7,31.6,32.5,840780,32.5
KOS,2020-10-08,32.8,33.0,31.9,32.3,649770,32.3
KOS,2020-10-07,31.8,32.8,31.4,32.6,765780,32.6
KOS,2020-10-06,32.2,32.7,31.6,32.0,651230,32.0
KOS,2020-10-05,31.4,32.3,31.1,32.1,693840,32.1
KOS,2020-10-02,31.3,31.7,31.2,31.6,684600,31.6
KOS,2020-10-01,30.8,31.5,30.7,31.4,624810,31.4
KOS,2020-09-30,30.4,31.0,30.3,30.9,282640,30.9
KOS,2020-09-29,30.4,30.9,30.2,30.5,848980,30.5
KOS,2020-09-28,30.9,30.9,30.4,30.5,247530,30.5
KOS,2020-09-25,31.3,31.4,30.7,30.8,415080,30.8
KOS,2020-09-24,31.6,31.6,31.0,31.2,542950,31.2
KOS,2020-09-23,31.7,31.9,31.4,31.7,481610,31.7
KOS,2020-09-22,32.0,32.3,31.5,31.6,804350,31.6
KOS,2020-09-21,31.8,32.15,31.6,31.9,637940,31.9
KOS,2020-09-10,30.6,31.1,30.5,30.7,483080,30.7
KOS,2020-09-09,30.6,30.7,29.8,30.4,865910,30.4
KOS,2020-09-08,30.4,31.2,30.4,30.8,670830,30.8
KOS,2020-09-07,30.1,30.6,29.7,30.5,739110,30.5
KOS,2020-09-04,30.9,30.9,30.2,30.3,643780,30.3
KOS,2020-09-03,30.5,31.5,29.8,30.9,926590,30.9
KOS,2020-09-01,30.3,31.1,29.6,30.7,662110,30.7
KOS,2020-08-31,30.8,31.3,30.1,30.6,651970,30.6
KOS,2020-08-28,31.1,31.2,30.3,30.5,696690,30.5
KOS,2020-08-27,30.3,31.4,29.7,30.9,671170,30.9
KOS,2020-08-26,31.1,31.5,30.0,30.6,593960,30.6
KOS,2020-08-25,30.3,31.1,29.7,30.8,810010,30.8
KOS,2020-08-24,30.0,30.9,29.6,30.6,645690,30.6
