name,date,open,high,low,close,volume,adj_close
LDG,2020-10-16,6.88,7.09,6.8,6.96,4167210,6.96
LDG,2020-10-15,7.07,7.12,6.93,6.93,4147260,6.93
LDG,2020-10-14,7.1,7.18,7.07,7.07,2405420,7.07
LDG,2020-10-13,7.07,7.19,7.04,7.1,3375660,7.1
LDG,2020-10-12,7.31,7.4,7.03,7.07,5929090,7.07
LDG,2020-10-09,7.24,7.33,7.16,7.26,2440870,7.26
LDG,2020-10-08,7.34,7.35,7.11,7.18,4970680,7.18
LDG,2020-10-07,7.4,7.51,7.3,7.33,5745940,7.33
LDG,2020-10-06,7.5,7.5,7.1,7.41,4199100,7.41
LDG,2020-10-05,7.15,7.57,7.14,7.4,8676800,7.4
LDG,2020-10-02,7.13,7.15,6.7,7.1,7008540,7.1
LDG,2020-10-01,6.99,7.2,6.96,7.1,4498870,7.1
LDG,2020-09-30,6.61,6.87,6.61,6.87,3151430,6.87
LDG,2020-09-29,6.88,6.92,6.6,6.61,5109450,6.61
LDG,2020-09-28,6.9,6.97,6.85,6.86,3066760,6.86
LDG,2020-09-25,7.09,7.09,6.84,6.88,3694180,6.88
LDG,2020-09-24,7.08,7.11,6.95,7.0,3882780,7.0
LDG,2020-09-23,7.15,7.3,7.09,7.1,4187920,7.1
LDG,2020-09-22,7.01,7.25,7.0,7.15,4004670,7.15
LDG,2020-09-21,7.1,7.3,7.0,7.09,4186360,7.09
LDG,2020-09-10,6.25,6.47,6.25,6.4,5224640,6.4
LDG,2020-09-09,6.12,6.21,6.12,6.2,1271020,6.2
LDG,2020-09-08,6.16,6.21,6.15,6.2,2035260,6.2
LDG,2020-09-07,6.2,6.34,6.16,6.16,2343340,6.16
LDG,2020-09-04,6.2,6.26,6.17,6.2,3029360,6.2
LDG,2020-09-03,6.36,6.45,6.29,6.3,2109890,6.3
LDG,2020-09-01,6.32,6.39,6.27,6.33,1983250,6.33
LDG,2020-08-31,6.38,6.5,6.34,6.35,2994870,6.35
LDG,2020-08-28,6.3,6.52,6.26,6.38,4128480,6.38
LDG,2020-08-27,6.32,6.34,6.25,6.27,2366030,6.27
LDG,2020-08-26,6.39,6.44,6.3,6.34,3866740,6.34
LDG,2020-08-25,6.34,6.47,6.2,6.37,4625130,6.37
LDG,2020-08-24,6.16,6.26,6.1,6.22,3766600,6.22
LDG,2020-08-21,6.14,6.14,6.07,6.12,1924630,6.12
LDG,2020-08-20,6.1,6.13,6.03,6.08,1633890,6.08
LDG,2020-08-19,6.06,6.23,6.05,6.1,2301870,6.1
LDG,2020-08-18,6.16,6.25,6.05,6.05,1434940,6.05
LDG,2020-08-17,6.15,6.28,6.1,6.15,1521290,6.15
