name,date,open,high,low,close,volume,adj_close
PPC,2020-10-16,23.5,23.6,23.4,23.45,118300,23.45
PPC,2020-10-15,23.55,23.8,23.4,23.4,328190,23.4
PPC,2020-10-14,23.6,23.65,23.5,23.55,184610,23.55
PPC,2020-10-13,23.65,23.75,23.45,23.75,114810,23.75
PPC,2020-10-12,24.0,24.0,23.65,23.65,191800,23.65
PPC,2020-10-09,24.2,24.2,24.0,24.0,217540,24.0
PPC,2020-10-08,24.25,24.3,23.85,24.0,199020,24.0
PPC,2020-10-07,23.85,24.35,23.8,24.15,527580,24.15
PPC,2020-10-06,23.6,23.9,23.5,23.85,181040,23.85
PPC,2020-10-05,23.6,23.7,23.5,23.6,169310,23.6
PPC,2020-10-02,23.7,23.75,23.4,23.6,485360,23.6
PPC,2020-10-01,23.7,23.75,23.6,23.6,222900,23.6
PPC,2020-09-30,23.75,23.8,23.65,23.7,96600,23.7
PPC,2020-09-29,23.85,23.9,23.7,23.75,188110,23.75
PPC,2020-09-28,23.8,24.0,23.8,23.85,107360,23.85
PPC,2020-09-25,23.6,23.8,23.6,23.8,84310,23.8
PPC,2020-09-24,23.85,23.9,23.55,23.6,477050,23.6
PPC,2020-09-23,23.75,24.0,23.75,23.9,267310,23.9
PPC,2020-09-22,24.0,24.1,23.85,23.9,140850,23.9
PPC,2020-09-21,24.3,24.3,23.95,24.1,131530,24.1
PPC,2020-09-10,24.45,24.7,24.35,24.45,376210,24.45
PPC,2020-09-09,23.75,24.45,23.5,24.4,600600,24.4
PPC,2020-09-08,23.5,23.8,23.4,23.8,228960,23.8
PPC,2020-09-07,23.5,23.6,23.45,23.5,98480,23.5
PPC,2020-09-04,23.6,23.7,23.35,23.5,221750,23.5
PPC,2020-09-03,23.9,23.9,23.5,23.7,164360,23.7
PPC,2020-09-01,23.3,23.7,23.2,23.65,296280,23.65
PPC,2020-08-31,24.0,24.0,23.5,23.5,193500,23.5
PPC,2020-08-28,23.8,24.1,23.6,23.8,168100,23.8
PPC,2020-08-27,23.85,24.5,23.55,23.75,357700,23.75
PPC,2020-08-26,23.7,24.2,23.7,23.95,142430,23.95
PPC,2020-08-25,23.9,24.3,23.9,24.05,186780,24.05
PPC,2020-08-24,23.4,24.25,23.35,24.05,526070,24.05
PPC,2020-08-21,23.35,23.5,23.2,23.45,85230,23.45
PPC,2020-08-20,23.5,23.5,23.15,23.2,157300,23.2
PPC,2020-08-19,23.4,23.45,23.2,23.4,89060,23.4
PPC,2020-08-18,23.2,23.4,23.15,23.4,155990,23.4
PPC,2020-08-17,23.2,23.25,23.05,23.2,103640,23.2
PPC,2020-08-14,23.25,23.4,23.15,23.15,119670,23.15
PPC,2020-08-13,23.0,23.25,23.0,23.25,134530,23.25
PPC,2020-08-12,23.5,23.5,23.0,23.15,227380,23.15
PPC,2020-08-11,23.5,23.5,23.05,23.1,205040,23.1
PPC,2020-08-10,23.2,23.55,23.15,23.2,180600,23.2
PPC,2020-08-07,23.45,23.5,23.2,23.2,146100,23.2
PPC,2020-08-06,23.5,23.55,23.15,23.5,64620,23.5
PPC,2020-08-05,23.1,23.55,23.1,23.5,39010,23.5
PPC,2020-08-04,23.6,23.6,23.1,23.1,133910,23.1
PPC,2020-08-03,23.0,23.35,22.95,23.2,65770,23.2
PPC,2020-07-31,23.0,23.35,22.8,23.0,89020,23.0
PPC,2020-07-30,23.5,23.5,23.0,23.1,76030,23.1
PPC,2020-07-29,23.3,23.3,22.8,23.0,85200,23.0
PPC,2020-07-28,23.2,23.7,21.8,23.6,179610,23.6
PPC,2020-07-27,23.5,23.5,22.65,23.2,190190,23.2
PPC,2020-07-24,24.4,24.4,23.7,23.95,249130,23.95
PPC,2020-07-23,24.5,24.7,24.0,24.4,72480,24.4
PPC,2020-07-22,24.7,24.85,24.35,24.5,100630,24.5
PPC,2020-07-21,24.8,24.8,24.5,24.65,102540,24.65
PPC,2020-07-20,24.65,24.85,24.55,24.65,82210,24.65
PPC,2020-07-17,24.8,24.9,24.5,24.85,227490,24.85
PPC,2020-07-16,25.0,25.05,24.7,24.85,74640,24.85
PPC,2020-07-15,24.85,25.0,24.7,24.9,352650,24.9
PPC,2020-07-14,24.6,25.1,24.55,25.1,193720,25.1
PPC,2020-07-13,24.65,24.65,24.45,24.6,58900,24.6
PPC,2020-07-10,24.65,24.8,24.5,24.6,93490,24.6
PPC,2020-07-09,24.75,24.75,24.3,24.65,75650,24.65
PPC,2020-07-08,24.7,24.7,24.5,24.5,26840,24.5
PPC,2020-07-07,24.15,25.0,24.15,24.7,138780,24.7
PPC,2020-07-06,24.3,24.6,24.0,24.15,182890,24.15
PPC,2020-07-03,24.4,24.5,24.2,24.25,28510,24.25
PPC,2020-07-02,24.1,24.3,24.0,24.15,48000,24.15
PPC,2020-07-01,24.25,24.4,23.9,24.1,76290,24.1
PPC,2020-06-30,24.1,24.2,23.7,24.05,79550,24.05
PPC,2020-06-29,24.4,24.4,23.7,23.85,220220,23.85
PPC,2020-06-26,24.6,24.9,24.4,24.4,71810,24.4
PPC,2020-06-25,24.7,24.7,24.5,24.6,46240,24.6
PPC,2020-06-24,24.55,25.0,24.55,24.7,73890,24.7
PPC,2020-06-23,24.7,25.5,24.7,25.0,326960,25.0
PPC,2020-06-22,24.45,24.7,24.3,24.7,66330,24.7
PPC,2020-06-19,24.3,24.5,24.1,24.4,68820,24.4
PPC,2020-06-18,24.1,24.45,24.0,24.3,48750,24.3
PPC,2020-06-17,24.1,24.4,23.95,24.0,135670,24.0
PPC,2020-06-16,24.15,24.25,23.9,24.15,103270,24.15
PPC,2020-06-15,24.0,24.25,23.6,23.6,150970,23.6
PPC,2020-06-12,23.9,24.05,23.5,23.95,315250,23.95
