name,date,open,high,low,close,volume,adj_close
SCR,2020-10-15,6.6,6.6,6.48,6.57,2232400,6.57
SCR,2020-10-14,6.7,6.7,6.6,6.6,1276590,6.6
SCR,2020-10-13,6.65,6.7,6.54,6.7,2387660,6.7
SCR,2020-10-12,6.81,6.84,6.65,6.7,2876280,6.7
SCR,2020-10-09,6.76,6.9,6.71,6.81,2167870,6.81
SCR,2020-10-08,6.8,6.83,6.6,6.8,3027880,6.8
SCR,2020-10-07,6.76,7.02,6.65,6.79,4432070,6.79
SCR,2020-10-06,6.78,6.88,6.6,6.76,4149760,6.76
SCR,2020-10-05,6.66,6.89,6.65,6.75,3588280,6.75
SCR,2020-10-02,6.63,6.63,6.15,6.6,4212080,6.6
SCR,2020-10-01,6.28,6.6,6.24,6.6,7627430,6.6
SCR,2020-09-30,6.15,6.22,6.09,6.17,1653540,6.17
SCR,2020-09-29,6.3,6.3,6.15,6.15,1536170,6.15
SCR,2020-09-28,6.25,6.35,6.24,6.24,2348080,6.24
SCR,2020-09-25,6.23,6.27,6.09,6.2,3233420,6.2
SCR,2020-09-24,6.25,6.31,6.2,6.23,1395790,6.23
SCR,2020-09-23,6.34,6.36,6.25,6.31,1817340,6.31
SCR,2020-09-22,6.3,6.39,6.2,6.3,1887650,6.3
SCR,2020-09-21,6.2,6.5,6.2,6.35,3253610,6.35
SCR,2020-09-18,6.27,6.32,6.2,6.2,1742850,6.2
SCR,2020-09-10,5.75,5.82,5.73,5.73,1802720,5.73
SCR,2020-09-09,5.7,5.73,5.68,5.73,1542520,5.73
SCR,2020-09-08,5.71,5.78,5.69,5.75,1033190,5.75
SCR,2020-09-07,5.88,5.88,5.7,5.7,1193970,5.7
SCR,2020-09-04,5.72,5.95,5.7,5.81,2376800,5.81
SCR,2020-09-03,5.8,5.88,5.79,5.79,1549840,5.79
SCR,2020-09-01,5.79,5.82,5.69,5.75,1161490,5.75
SCR,2020-08-31,5.85,5.87,5.79,5.8,1435320,5.8
SCR,2020-08-28,5.79,5.92,5.76,5.8,2877510,5.8
SCR,2020-08-27,5.79,5.84,5.75,5.76,1383900,5.76
SCR,2020-08-26,5.82,5.83,5.77,5.78,1133870,5.78
SCR,2020-08-25,5.92,5.92,5.81,5.82,1592990,5.82
SCR,2020-08-24,5.72,5.87,5.72,5.87,1592540,5.87
SCR,2020-08-21,5.54,5.72,5.54,5.7,1471780,5.7
SCR,2020-08-20,5.58,5.63,5.53,5.54,725700,5.54
SCR,2020-08-19,5.52,5.63,5.5,5.6,613250,5.6
SCR,2020-08-18,5.64,5.65,5.52,5.52,1252030,5.52
SCR,2020-08-17,5.58,5.72,5.45,5.58,1670880,5.58
SCR,2020-08-14,5.6,5.7,5.43,5.45,1403110,5.45
SCR,2020-08-13,5.45,5.67,5.42,5.6,2486690,5.6
SCR,2020-08-12,5.4,5.52,5.35,5.39,1301290,5.39
SCR,2020-08-11,5.3,5.45,5.3,5.39,1506880,5.39
SCR,2020-08-10,5.15,5.37,5.15,5.34,1974560,5.34
SCR,2020-08-07,5.19,5.19,5.08,5.15,436010,5.15
SCR,2020-08-06,5.12,5.2,5.02,5.15,1706700,5.15
SCR,2020-08-05,5.04,5.17,5.0,5.12,1571970,5.12
SCR,2020-08-04,4.86,5.07,4.86,5.04,1633960,5.04
SCR,2020-08-03,4.6,4.87,4.6,4.8,1216450,4.8
SCR,2020-07-31,4.72,4.72,4.6,4.6,1017240,4.6
SCR,2020-07-30,4.7,4.8,4.7,4.72,1035650,4.72
SCR,2020-07-29,4.95,4.95,4.69,4.71,1991730,4.71
SCR,2020-07-28,5.08,5.19,4.87,5.04,1500310,5.04
SCR,2020-07-27,5.03,5.11,5.03,5.03,1977010,5.03
SCR,2020-07-24,5.38,5.4,5.03,5.4,3958630,5.4
SCR,2020-07-23,5.42,5.5,5.38,5.4,1092200,5.4
SCR,2020-07-22,5.65,5.65,5.45,5.45,1272690,5.45
SCR,2020-07-21,5.55,5.58,5.45,5.48,1376480,5.48
SCR,2020-07-20,5.55,5.75,5.55,5.55,1441910,5.55
SCR,2020-07-17,5.69,5.75,5.68,5.69,879840,5.69
SCR,2020-07-16,5.79,5.82,5.69,5.69,679170,5.69
SCR,2020-07-15,5.8,5.87,5.74,5.74,1227130,5.74
SCR,2020-07-14,5.7,5.78,5.66,5.78,885280,5.78
SCR,2020-07-13,5.81,5.88,5.7,5.72,930620,5.72
SCR,2020-07-10,5.89,5.9,5.77,5.77,1010090,5.77
SCR,2020-07-09,5.63,5.91,5.63,5.9,1952640,5.9
SCR,2020-07-08,5.6,5.71,5.58,5.63,1932790,5.63
SCR,2020-07-07,5.8,5.89,5.6,5.6,1813310,5.6
SCR,2020-07-06,5.8,5.89,5.78,5.78,887270,5.78
SCR,2020-07-03,5.9,5.96,5.81,5.81,1425510,5.81
SCR,2020-07-02,5.85,5.94,5.76,5.88,1383820,5.88
SCR,2020-07-01,5.6,5.95,5.55,5.85,2179200,5.85
SCR,2020-06-30,5.8,5.9,5.38,5.78,5013730,5.78
SCR,2020-06-29,6.05,6.1,5.78,5.78,3799620,5.78
SCR,2020-06-26,6.3,6.35,6.1,6.21,2286440,6.21
SCR,2020-06-25,6.17,6.3,6.02,6.2,3447170,6.2
SCR,2020-06-24,6.55,6.64,6.15,6.17,4449370,6.17
SCR,2020-06-23,6.7,7.1,6.54,6.55,7645730,6.55
SCR,2020-06-22,6.63,6.64,6.5,6.64,7206370,6.64
SCR,2020-06-19,5.93,6.21,5.9,6.21,3340340,6.21
SCR,2020-06-18,5.8,5.87,5.64,5.81,2157270,5.81
SCR,2020-06-17,5.85,5.95,5.74,5.8,3376950,5.8
SCR,2020-06-16,5.9,6.05,5.85,5.85,3318050,5.85
SCR,2020-06-15,6.2,6.43,5.77,5.77,6728640,5.77
SCR,2020-06-12,5.91,6.38,5.91,6.2,4799800,6.2
SCR,2020-06-11,6.49,6.9,6.33,6.33,9584350,6.33
SCR,2020-06-10,6.04,6.46,6.04,6.45,10004040,6.45
SCR,2020-06-09,6.05,6.06,5.8,6.04,6032090,6.04
SCR,2020-06-08,5.52,5.67,5.41,5.67,3157840,5.67
SCR,2020-06-05,4.98,5.3,4.96,5.3,6656610,5.3
SCR,2020-06-04,4.95,5.1,4.95,4.96,1663440,4.96
SCR,2020-06-03,4.9,5.04,4.86,4.94,1632140,4.94
SCR,2020-06-02,5.08,5.1,4.87,4.87,2336250,4.87
SCR,2020-06-01,4.89,5.1,4.89,5.05,2534000,5.05
SCR,2020-05-29,4.83,4.94,4.79,4.85,1598100,4.85
SCR,2020-05-28,4.75,4.87,4.74,4.83,1146130,4.83
SCR,2020-05-27,4.75,4.87,4.72,4.72,2815260,4.72
SCR,2020-05-26,4.59,4.71,4.59,4.71,1242510,4.71
SCR,2020-05-25,4.56,4.6,4.56,4.59,1002100,4.59
SCR,2020-05-22,4.61,4.65,4.59,4.59,1095070,4.59
SCR,2020-05-21,4.66,4.7,4.61,4.61,948130,4.61
SCR,2020-05-20,4.7,4.75,4.64,4.66,1421660,4.66
SCR,2020-05-19,4.72,4.75,4.69,4.7,1733890,4.7
SCR,2020-05-18,4.62,4.73,4.62,4.7,659200,4.7
SCR,2020-05-15,4.73,4.81,4.66,4.68,1824750,4.68
SCR,2020-05-14,4.65,4.83,4.6,4.68,1675070,4.68
SCR,2020-05-13,4.61,4.72,4.58,4.63,2000910,4.63
SCR,2020-05-12,4.55,4.61,4.5,4.6,2007540,4.6
SCR,2020-05-11,4.56,4.61,4.55,4.56,1519450,4.56
SCR,2020-05-08,4.55,4.69,4.55,4.57,2497020,4.57
SCR,2020-05-07,4.56,4.69,4.51,4.55,2614580,4.55
SCR,2020-05-06,4.42,4.59,4.41,4.48,2060880,4.48
