name,date,open,high,low,close,volume,adj_close
TLG,2020-10-16,36.3,36.4,36.1,36.2,80890,36.2
TLG,2020-10-15,36.55,36.95,36.3,36.3,103060,36.3
TLG,2020-10-14,37.0,37.0,36.1,36.5,134300,36.5
TLG,2020-10-13,37.0,37.0,36.6,36.7,56240,36.7
TLG,2020-10-12,36.55,37.2,36.5,36.55,145820,36.55
TLG,2020-10-09,36.65,36.65,36.45,36.55,51790,36.55
TLG,2020-10-08,36.55,37.0,36.45,36.65,74200,36.65
TLG,2020-10-07,36.9,37.2,36.4,36.55,199830,36.55
TLG,2020-10-06,37.35,37.35,36.8,36.9,165360,36.9
TLG,2020-10-05,36.95,37.5,36.65,36.9,170830,36.9
TLG,2020-10-02,35.4,36.75,35.15,36.15,415460,36.15
TLG,2020-10-01,35.0,35.3,35.0,35.15,74120,35.15
TLG,2020-09-30,35.0,35.1,34.85,35.0,124470,35.0
TLG,2020-09-29,35.35,35.35,34.85,35.0,176850,35.0
TLG,2020-09-28,35.5,35.5,35.2,35.3,47840,35.3
TLG,2020-09-25,35.2,35.5,35.15,35.25,37550,35.25
TLG,2020-09-24,35.0,35.55,35.0,35.2,60710,35.2
TLG,2020-09-23,34.95,35.1,34.9,35.0,136010,35.0
TLG,2020-09-22,35.15,35.15,34.9,34.95,80170,34.95
TLG,2020-09-21,35.2,35.4,35.0,35.15,131040,35.15
TLG,2020-09-10,35.2,35.5,35.2,35.5,42650,35.5
TLG,2020-09-09,35.0,35.2,34.9,35.1,49480,35.1
TLG,2020-09-08,35.15,35.5,34.9,35.2,91830,35.2
TLG,2020-09-07,35.7,35.7,35.15,35.15,70910,35.15
TLG,2020-09-04,35.0,35.7,35.0,35.7,80080,35.7
TLG,2020-09-03,35.9,36.1,35.65,35.8,87930,35.8
TLG,2020-09-01,35.85,36.2,35.1,35.9,74100,35.9
TLG,2020-08-31,36.2,36.7,35.8,35.85,117440,35.85
TLG,2020-08-28,35.45,36.75,35.45,36.2,299800,36.2
TLG,2020-08-27,34.9,35.3,34.9,35.25,53170,35.25
TLG,2020-08-26,35.1,35.3,34.9,34.9,93720,34.9
TLG,2020-08-25,35.0,35.5,34.9,34.9,128870,34.9
TLG,2020-08-24,35.3,35.6,34.9,34.95,143090,34.95
TLG,2020-08-21,34.8,35.3,34.0,35.3,99160,35.3
TLG,2020-08-20,35.1,35.35,34.75,34.8,49350,34.8
TLG,2020-08-19,35.8,35.8,35.0,35.2,38660,35.2
TLG,2020-08-18,34.7,35.3,34.6,34.9,102050,34.9
TLG,2020-08-17,34.9,35.35,34.45,34.9,66020,34.9
TLG,2020-08-14,35.55,35.7,35.2,35.4,68620,35.4
TLG,2020-08-13,36.5,36.5,35.4,35.55,61080,35.55
TLG,2020-08-12,33.95,36.0,33.95,36.0,149750,36.0
TLG,2020-08-11,33.9,34.8,33.9,33.95,29820,33.95
TLG,2020-08-10,34.0,34.9,33.85,34.15,55990,34.15
TLG,2020-08-07,34.2,34.2,33.8,33.95,37180,33.95
TLG,2020-08-06,34.0,34.2,33.9,34.0,71630,34.0
TLG,2020-08-05,34.4,35.0,33.8,34.0,235920,34.0
TLG,2020-08-04,34.0,34.0,33.3,34.0,66810,34.0
TLG,2020-08-03,33.0,34.0,32.9,33.5,88200,33.5
TLG,2020-07-31,32.9,33.6,32.9,33.15,22980,33.15
TLG,2020-07-30,32.9,34.0,32.9,33.65,92040,33.65
TLG,2020-07-29,34.3,34.3,32.5,33.55,163330,33.55
