name,date,open,high,low,close,volume,adj_close
VNG,2020-10-08,15.35,15.35,15.0,15.0,186530,15.0
VNG,2020-10-07,15.35,15.4,15.2,15.3,190170,15.3
VNG,2020-10-06,15.35,15.4,15.25,15.35,198160,15.35
VNG,2020-10-05,15.3,15.4,15.15,15.35,202250,15.35
VNG,2020-10-02,15.3,15.45,15.15,15.3,174670,15.3
VNG,2020-10-01,15.35,15.5,15.2,15.3,201490,15.3
VNG,2020-09-30,15.2,15.4,15.2,15.35,177900,15.35
VNG,2020-09-29,15.4,15.5,15.35,15.35,172310,15.35
VNG,2020-09-28,15.25,15.45,15.25,15.4,226930,15.4
VNG,2020-09-25,15.2,15.25,15.1,15.25,194730,15.25
VNG,2020-09-24,15.2,15.25,15.1,15.2,182640,15.2
VNG,2020-09-23,15.15,15.2,15.05,15.2,191960,15.2
VNG,2020-09-22,15.15,15.2,15.0,15.15,196770,15.15
VNG,2020-09-21,15.15,15.25,15.0,15.15,195130,15.15
VNG,2020-09-18,15.0,15.25,14.9,15.15,206560,15.15
VNG,2020-09-17,15.15,15.2,15.0,15.0,209610,15.0
VNG,2020-09-16,15.15,15.2,15.05,15.15,201270,15.15
VNG,2020-09-15,15.0,15.2,15.0,15.1,184450,15.1
VNG,2020-09-14,14.9,15.15,14.85,15.0,206290,15.0
VNG,2020-09-11,14.9,14.95,14.8,14.9,190950,14.9
VNG,2020-09-10,14.85,15.0,14.8,14.9,201280,14.9
VNG,2020-09-09,14.95,15.0,14.75,14.85,187080,14.85
VNG,2020-09-08,14.95,15.0,14.75,15.0,219030,15.0
VNG,2020-09-07,14.9,15.0,14.8,14.95,201320,14.95
VNG,2020-09-04,14.9,14.9,14.7,14.9,196170,14.9
VNG,2020-09-03,14.8,14.9,14.6,14.9,176080,14.9
VNG,2020-09-01,14.7,14.9,14.5,14.8,189550,14.8
VNG,2020-08-31,15.2,15.2,14.65,14.8,168160,14.8
VNG,2020-08-28,15.25,15.3,15.1,15.25,199810,15.25
VNG,2020-08-27,15.15,15.15,14.95,15.1,188620,15.1
VNG,2020-08-26,14.7,15.1,14.0,15.1,339680,15.1
VNG,2020-08-25,15.4,15.5,14.55,14.8,335730,14.8
VNG,2020-08-24,15.3,15.45,15.25,15.4,192870,15.4
VNG,2020-08-21,15.2,15.3,15.15,15.3,214670,15.3
VNG,2020-08-20,15.25,15.3,15.1,15.2,193020,15.2
VNG,2020-08-19,15.4,15.4,15.15,15.25,207790,15.25
VNG,2020-08-18,15.45,15.5,15.2,15.35,187340,15.35
VNG,2020-08-17,15.45,15.5,15.35,15.45,200700,15.45
VNG,2020-08-14,15.45,15.55,15.3,15.5,183590,15.5
VNG,2020-08-13,15.3,15.45,15.2,15.45,214210,15.45
VNG,2020-08-12,15.2,15.3,15.1,15.3,195930,15.3
VNG,2020-08-11,15.2,15.3,15.0,15.2,212780,15.2
VNG,2020-08-10,15.1,15.2,14.95,15.2,202730,15.2
VNG,2020-08-07,14.6,15.1,14.5,15.1,223290,15.1
VNG,2020-08-06,14.35,14.6,14.3,14.6,188560,14.6
VNG,2020-08-05,14.2,14.35,14.2,14.35,199600,14.35
VNG,2020-08-04,14.0,14.3,14.0,14.2,183650,14.2
VNG,2020-08-03,13.85,14.0,13.8,14.0,207130,14.0
VNG,2020-07-31,14.0,14.0,13.85,14.0,157650,14.0
VNG,2020-07-30,14.0,14.1,13.95,14.05,181340,14.05
VNG,2020-07-29,14.3,14.3,13.65,14.0,180840,14.0
VNG,2020-07-28,14.55,14.55,14.2,14.45,165070,14.45
VNG,2020-07-27,15.55,15.55,14.55,14.55,101720,14.55
VNG,2020-07-24,15.95,16.0,15.4,15.6,125210,15.6
VNG,2020-07-23,15.95,16.0,15.9,16.0,202120,16.0
VNG,2020-07-22,16.3,16.3,15.95,15.95,171570,15.95
VNG,2020-07-21,16.3,16.35,15.95,16.3,186960,16.3
VNG,2020-07-20,16.3,16.4,16.25,16.3,225580,16.3
VNG,2020-07-17,16.3,16.4,16.2,16.3,207700,16.3
VNG,2020-07-16,16.2,16.35,16.2,16.3,214250,16.3
VNG,2020-07-15,16.2,16.25,16.05,16.2,188450,16.2
VNG,2020-07-14,16.25,16.3,16.1,16.2,165910,16.2
VNG,2020-07-13,16.45,16.45,16.1,16.2,204110,16.2
VNG,2020-07-10,16.55,16.6,16.35,16.45,165760,16.45
VNG,2020-07-09,16.55,16.6,16.4,16.55,243790,16.55
VNG,2020-07-08,16.6,16.65,16.35,16.55,213120,16.55
VNG,2020-07-07,16.6,16.7,16.5,16.6,184370,16.6
VNG,2020-07-06,16.45,16.6,16.45,16.6,221620,16.6
VNG,2020-07-03,16.45,16.55,16.3,16.45,247620,16.45
VNG,2020-07-02,16.4,16.6,16.3,16.45,215030,16.45
VNG,2020-07-01,16.7,16.7,16.25,16.45,194070,16.45
VNG,2020-06-30,15.65,16.7,15.6,16.7,462680,16.7
VNG,2020-06-29,15.1,15.65,14.85,15.65,253090,15.65
VNG,2020-06-26,15.2,15.25,14.95,15.2,249020,15.2
VNG,2020-06-25,14.9,15.1,14.5,15.1,245510,15.1
VNG,2020-06-24,15.0,15.1,14.8,14.95,197420,14.95
VNG,2020-06-23,15.2,15.2,14.9,14.95,174270,14.95
VNG,2020-06-22,15.3,15.3,15.0,15.15,216370,15.15
VNG,2020-06-19,14.65,15.25,14.6,15.25,245520,15.25
VNG,2020-06-18,14.5,14.6,14.25,14.6,218430,14.6
VNG,2020-06-17,14.45,14.5,14.35,14.5,202120,14.5
VNG,2020-06-16,14.7,14.7,14.2,14.45,224250,14.45
VNG,2020-06-15,14.9,14.9,14.0,14.6,157940,14.6
VNG,2020-06-12,14.5,14.85,14.45,14.8,266170,14.8
VNG,2020-06-11,16.0,16.15,15.4,15.4,257830,15.4
VNG,2020-06-10,14.85,15.7,14.8,15.7,335790,15.7
VNG,2020-06-09,13.75,14.7,13.75,14.7,252890,14.7
VNG,2020-06-08,13.75,13.75,13.55,13.75,184860,13.75
VNG,2020-06-05,13.7,13.7,13.5,13.7,168190,13.7
VNG,2020-06-04,13.65,13.7,13.6,13.7,179480,13.7
VNG,2020-06-03,13.7,13.75,13.25,13.65,188400,13.65
VNG,2020-06-02,13.7,13.7,13.5,13.65,170800,13.65
VNG,2020-06-01,13.6,13.75,13.35,13.75,197570,13.75
VNG,2020-05-29,13.5,13.6,13.35,13.5,175500,13.5
VNG,2020-05-28,13.8,13.8,13.35,13.5,174410,13.5
VNG,2020-05-27,13.8,13.8,13.6,13.75,185590,13.75
VNG,2020-05-26,13.8,13.85,13.7,13.8,161800,13.8
VNG,2020-05-25,13.9,13.95,13.7,13.8,177050,13.8
VNG,2020-05-22,13.95,13.95,13.6,13.9,181000,13.9
VNG,2020-05-21,14.0,14.0,13.65,13.9,172570,13.9
VNG,2020-05-20,13.9,13.9,13.8,13.9,184520,13.9
VNG,2020-05-19,13.9,13.95,13.75,13.9,197120,13.9
VNG,2020-05-18,14.0,14.05,13.8,13.9,172230,13.9
VNG,2020-05-15,14.0,14.0,13.8,13.9,188610,13.9
VNG,2020-05-14,13.9,13.95,13.8,13.95,163820,13.95
VNG,2020-05-13,13.75,13.9,13.55,13.9,192250,13.9
VNG,2020-05-12,13.85,13.85,13.5,13.75,172750,13.75
VNG,2020-05-11,13.7,13.8,13.6,13.7,192400,13.7
VNG,2020-05-08,13.5,13.5,13.0,13.45,175640,13.45
VNG,2020-05-07,13.3,13.35,12.9,13.3,191430,13.3
VNG,2020-05-06,13.8,13.8,13.15,13.3,185210,13.3
VNG,2020-05-05,13.6,13.6,13.1,13.3,176590,13.3
VNG,2020-05-04,13.65,13.7,12.8,13.3,193330,13.3
VNG,2020-04-29,13.65,13.65,13.0,13.65,176850,13.65
VNG,2020-04-28,14.7,14.7,13.2,13.2,165550,13.2
VNG,2020-04-27,13.5,13.95,13.5,13.95,225290,13.95
VNG,2020-04-24,13.3,13.4,13.1,13.4,166070,13.4
VNG,2020-04-23,13.1,13.35,13.1,13.3,155730,13.3
VNG,2020-04-22,13.3,13.35,13.05,13.2,153320,13.2
VNG,2020-04-21,13.2,13.35,13.15,13.3,166250,13.3
VNG,2020-04-20,12.85,13.2,12.75,13.2,184100,13.2
VNG,2020-04-17,12.75,12.85,12.7,12.8,161700,12.8
VNG,2020-04-16,12.6,12.75,12.5,12.75,182460,12.75
VNG,2020-04-15,12.85,12.85,12.55,12.6,184800,12.6
VNG,2020-04-14,13.3,13.35,12.7,12.85,164580,12.85
VNG,2020-04-13,13.45,13.6,13.25,13.3,305590,13.3
VNG,2020-04-10,13.4,13.55,13.4,13.55,268490,13.55
VNG,2020-04-09,13.25,13.45,13.15,13.45,302480,13.45
VNG,2020-04-08,13.3,13.35,13.2,13.25,256570,13.25
VNG,2020-04-07,13.2,13.3,13.1,13.3,282250,13.3
VNG,2020-04-06,12.9,13.2,12.9,13.2,318560,13.2
VNG,2020-04-03,12.1,12.9,12.1,12.9,309590,12.9
VNG,2020-04-01,12.6,12.85,12.6,12.8,302180,12.8
VNG,2020-03-31,12.6,12.7,12.5,12.6,314240,12.6
VNG,2020-03-30,12.6,12.6,12.45,12.6,290770,12.6
VNG,2020-03-27,12.5,12.6,12.35,12.6,318310,12.6
VNG,2020-03-26,12.2,12.5,12.0,12.5,231180,12.5
VNG,2020-03-25,11.8,12.2,11.2,12.2,293740,12.2
VNG,2020-03-24,12.9,12.9,12.0,12.0,197860,12.0
VNG,2020-03-23,13.85,13.9,12.9,12.9,180460,12.9
VNG,2020-03-20,14.0,14.0,13.75,13.85,304020,13.85
VNG,2020-03-19,14.05,14.05,13.9,14.0,291870,14.0
VNG,2020-03-18,13.9,14.05,13.9,14.05,302310,14.05
VNG,2020-03-17,13.9,14.05,13.0,13.9,263330,13.9
VNG,2020-03-16,12.85,13.8,12.85,13.7,328440,13.7
VNG,2020-03-13,14.8,14.8,13.8,13.8,119830,13.8
VNG,2020-03-12,15.0,15.0,14.8,14.8,113700,14.8
VNG,2020-03-11,16.0,16.0,15.8,15.9,296320,15.9
VNG,2020-03-10,16.15,16.15,15.9,16.0,292490,16.0
VNG,2020-03-09,16.15,16.15,15.9,16.15,313520,16.15
VNG,2020-03-06,16.15,16.2,16.1,16.15,297870,16.15
VNG,2020-03-05,16.1,16.25,16.0,16.15,282100,16.15
VNG,2020-03-04,16.3,16.35,16.0,16.15,313410,16.15
VNG,2020-03-03,16.7,16.7,16.3,16.3,296420,16.3
VNG,2020-03-02,16.8,16.85,16.65,16.7,282720,16.7
VNG,2020-02-28,16.9,16.9,16.7,16.8,301640,16.8
VNG,2020-02-27,17.05,17.1,16.9,16.95,272430,16.95
VNG,2020-02-26,17.65,17.65,17.05,17.05,317120,17.05
VNG,2020-02-25,17.85,17.85,17.45,17.65,308550,17.65
VNG,2020-02-24,17.9,17.9,17.7,17.85,289710,17.85
VNG,2020-02-21,18.2,18.2,17.85,17.9,270450,17.9
VNG,2020-02-20,18.1,18.2,18.1,18.2,324130,18.2
VNG,2020-02-19,18.2,18.2,17.95,18.1,320040,18.1
VNG,2020-02-18,18.4,18.4,18.2,18.25,300230,18.25
VNG,2020-02-17,18.6,18.6,18.45,18.45,284800,18.45
VNG,2020-02-14,18.8,18.85,18.7,18.75,313880,18.75
VNG,2020-02-13,18.95,19.0,18.7,18.8,291120,18.8
VNG,2020-02-12,18.9,18.95,18.85,18.95,308090,18.95
VNG,2020-02-11,19.0,19.0,18.8,18.9,292780,18.9
VNG,2020-02-10,19.1,19.15,18.9,19.0,316760,19.0
VNG,2020-02-07,19.1,19.25,18.9,19.1,294320,19.1
VNG,2020-02-06,19.1,19.1,19.0,19.1,300120,19.1
VNG,2020-02-05,19.1,19.1,18.95,19.05,298910,19.05
VNG,2020-02-04,19.4,19.45,19.2,19.2,287040,19.2
VNG,2020-02-03,19.45,19.6,19.4,19.45,290390,19.45
VNG,2020-01-31,19.5,19.65,19.35,19.65,333150,19.65
VNG,2020-01-30,19.7,19.8,19.55,19.65,292680,19.65
VNG,2020-01-22,19.5,19.65,19.4,19.65,307890,19.65
VNG,2020-01-21,19.55,19.55,19.4,19.5,298220,19.5
VNG,2020-01-20,19.6,19.6,19.45,19.5,297380,19.5
VNG,2020-01-17,19.6,19.7,19.3,19.7,314110,19.7
VNG,2020-01-16,19.4,19.6,19.25,19.6,308490,19.6
VNG,2020-01-15,19.5,19.5,18.45,19.4,306540,19.4
VNG,2020-01-14,19.6,19.6,19.0,19.5,284060,19.5
VNG,2020-01-13,19.5,19.6,19.3,19.6,354230,19.6
VNG,2020-01-10,19.15,19.5,19.15,19.5,354370,19.5
VNG,2020-01-09,19.15,19.2,19.0,19.15,330870,19.15
VNG,2020-01-08,19.3,19.3,18.65,19.15,324780,19.15
VNG,2020-01-07,19.55,19.55,19.3,19.3,295300,19.3
VNG,2020-01-06,19.95,20.0,19.55,19.55,291270,19.55
VNG,2020-01-03,19.95,19.95,19.8,19.9,337440,19.9
VNG,2020-01-02,20.0,20.0,19.85,19.95,316450,19.95
VNG,2019-12-31,19.4,20.0,19.4,20.0,431390,20.0
VNG,2019-12-30,19.2,19.4,19.15,19.4,368580,19.4
VNG,2019-12-27,19.3,19.3,19.0,19.3,327560,19.3
VNG,2019-12-26,19.1,19.3,18.9,19.3,346620,19.3
VNG,2019-12-25,19.6,19.6,19.15,19.25,317010,19.25
VNG,2019-12-24,19.6,19.75,19.5,19.6,287760,19.6
VNG,2019-12-23,19.85,19.85,19.4,19.6,282760,19.6
VNG,2019-12-20,19.85,19.9,19.75,19.85,270970,19.85
VNG,2019-12-19,20.05,20.2,19.65,19.85,263260,19.85
VNG,2019-12-18,20.3,20.3,20.0,20.05,272720,20.05
VNG,2019-12-17,20.2,20.4,20.1,20.3,287180,20.3
VNG,2019-12-16,20.45,20.45,20.0,20.2,301260,20.2
VNG,2019-12-13,20.7,20.7,20.0,20.45,339280,20.45
VNG,2019-12-12,20.9,20.9,20.7,20.75,363520,20.75
VNG,2019-12-11,21.1,21.1,20.75,20.9,354940,20.9
VNG,2019-12-10,21.3,21.3,20.85,21.1,398430,21.1
