,name,date,open,high,low,close,volume,adj_close
1186,VNR,2016-01-04,21.6,21.6,21.6,21.6,0,15.34
1185,VNR,2016-01-05,21.6,20.3,21.1,20.6,10200,14.63
1184,VNR,2016-01-06,20.6,20.0,21.0,21.0,7400,14.91
1183,VNR,2016-01-07,21.0,20.5,20.9,20.9,27600,14.84
1182,VNR,2016-01-08,20.9,20.4,20.5,20.1,20900,14.27
1181,VNR,2016-01-11,20.1,20.1,20.8,20.2,4600,14.34
1180,VNR,2016-01-12,20.2,20.2,21.0,20.4,8400,14.48
1179,VNR,2016-01-13,20.4,20.4,21.4,20.0,208900,14.2
1178,VNR,2016-01-14,20.0,20.2,20.2,20.0,352203,14.2
1177,VNR,2016-01-15,20.0,18.0,20.5,20.0,30700,14.2
1176,VNR,2016-01-18,20.0,18.3,20.1,20.1,2900,14.27
1175,VNR,2016-01-19,20.1,20.0,20.0,19.8,51000,14.06
1174,VNR,2016-01-20,19.8,19.7,20.0,20.0,17800,14.2
1173,VNR,2016-01-21,20.0,20.0,20.0,19.9,27000,14.13
1172,VNR,2016-01-22,19.9,19.9,19.9,19.9,26200,14.13
1171,VNR,2016-01-25,19.9,20.0,20.0,19.9,52000,14.13
1170,VNR,2016-01-26,19.9,19.8,19.9,19.9,16200,14.13
1169,VNR,2016-01-27,19.9,19.9,20.0,20.0,1300,14.2
1168,VNR,2016-01-28,20.0,19.9,20.0,19.9,9600,14.13
1167,VNR,2016-01-29,19.9,20.0,20.0,20.0,3100,14.2
1166,VNR,2016-02-01,20.0,19.9,19.9,19.9,1113,14.13
1165,VNR,2016-02-02,19.9,18.0,20.0,20.0,50200,14.2
1164,VNR,2016-02-03,20.0,20.0,20.8,20.8,50200,14.77
1163,VNR,2016-02-04,20.8,20.8,21.0,21.0,60600,14.91
1162,VNR,2016-02-05,21.0,21.0,21.0,21.0,3313,14.91
1161,VNR,2016-02-15,21.0,20.5,20.5,20.0,3500,14.2
1160,VNR,2016-02-16,20.0,20.0,20.0,20.0,500,14.2
1159,VNR,2016-02-17,20.0,19.7,19.9,19.4,56010,13.77
1158,VNR,2016-02-18,19.4,19.6,19.6,19.6,1300,13.92
1157,VNR,2016-02-19,19.6,20.0,20.0,19.8,1400,14.06
1156,VNR,2016-02-22,19.8,19.6,19.7,19.6,23600,13.92
1155,VNR,2016-02-23,19.6,20.0,20.0,19.6,14600,13.92
1154,VNR,2016-02-24,19.6,19.7,19.7,19.7,100,13.99
1153,VNR,2016-02-25,19.7,19.7,19.8,19.8,1900,14.06
1152,VNR,2016-02-26,19.8,19.6,19.7,19.7,1700,13.99
1151,VNR,2016-02-29,19.7,19.2,19.4,19.4,6600,13.77
1150,VNR,2016-03-01,19.4,19.0,19.4,19.0,12300,13.49
1149,VNR,2016-03-02,19.0,19.3,19.4,19.4,2000,13.77
1148,VNR,2016-03-03,19.4,19.7,19.7,19.5,3900,13.85
1147,VNR,2016-03-04,19.0,19.5,19.5,18.8,1600,13.7
1146,VNR,2016-03-07,18.8,19.6,19.6,19.4,500,14.14
1145,VNR,2016-03-08,19.4,18.6,19.3,19.3,28300,14.06
1144,VNR,2016-03-09,19.3,19.3,19.3,19.3,6109,14.06
1143,VNR,2016-03-10,19.3,19.0,19.0,19.0,22300,13.84
1142,VNR,2016-03-11,19.0,18.5,18.6,18.5,4300,13.48
1141,VNR,2016-03-14,18.5,19.0,19.0,18.9,1211,13.77
1140,VNR,2016-03-15,18.9,18.5,18.8,18.4,2225,13.41
1139,VNR,2016-03-16,18.4,19.3,19.3,18.5,8100,13.48
1138,VNR,2016-03-17,18.5,18.3,19.1,18.5,22100,13.48
1137,VNR,2016-03-18,18.5,19.0,19.0,18.5,900,13.48
