,name,date,open,high,low,close,volume,adj_close
1438,VNSML-INDEX,2014-02-07,577.0,580.81,573.22,576.0,25000,576.0
1437,VNSML-INDEX,2014-02-10,575.09,583.45,575.09,583.45,27723400,583.45
1436,VNSML-INDEX,2014-02-11,587.16,592.74,581.91,581.91,49280300,581.91
1435,VNSML-INDEX,2014-02-12,583.3,591.16,582.06,591.16,30720790,591.16
1434,VNSML-INDEX,2014-02-13,591.79,600.39,591.79,600.39,36504260,600.39
1433,VNSML-INDEX,2014-02-14,601.38,609.73,601.38,609.73,40910550,609.73
1432,VNSML-INDEX,2014-02-17,612.08,617.36,607.51,613.73,44116660,613.73
1431,VNSML-INDEX,2014-02-18,617.02,621.88,615.24,621.88,44810740,621.88
1430,VNSML-INDEX,2014-02-19,626.95,631.79,620.24,631.79,47109590,631.79
1429,VNSML-INDEX,2014-02-20,632.21,637.4,608.17,612.7,67150440,612.7
1428,VNSML-INDEX,2014-02-21,611.0,614.86,602.18,612.72,30270030,612.72
1427,VNSML-INDEX,2014-02-24,614.94,624.0,613.2,624.0,29610300,624.0
1426,VNSML-INDEX,2014-02-25,625.12,632.68,624.28,632.68,33017230,632.68
1425,VNSML-INDEX,2014-02-26,634.7,636.38,628.19,636.38,38586070,636.38
1424,VNSML-INDEX,2014-02-27,639.4,644.47,633.24,633.24,61257770,633.24
1423,VNSML-INDEX,2014-02-28,636.66,637.01,628.58,637.01,30800890,637.01
1422,VNSML-INDEX,2014-03-03,635.8,636.01,621.75,622.4,39170490,622.4
1421,VNSML-INDEX,2014-03-04,618.36,625.15,612.53,625.15,33816130,625.15
1420,VNSML-INDEX,2014-03-05,630.4,635.09,629.11,635.09,31441860,635.09
1419,VNSML-INDEX,2014-03-06,637.96,643.99,636.88,641.83,45868290,641.83
1418,VNSML-INDEX,2014-03-07,644.26,653.19,643.84,650.97,51444300,650.97
1417,VNSML-INDEX,2014-03-10,651.0,663.38,651.0,662.51,50313250,662.51
1416,VNSML-INDEX,2014-03-11,665.65,667.43,658.98,665.19,58606380,665.19
1415,VNSML-INDEX,2014-03-12,665.17,666.74,656.54,659.25,51595410,659.25
1414,VNSML-INDEX,2014-03-13,658.68,667.27,655.98,666.25,37887090,666.25
1413,VNSML-INDEX,2014-03-14,667.94,675.14,667.73,671.58,53835190,671.58
1412,VNSML-INDEX,2014-03-17,676.74,683.91,676.27,683.18,52952000,683.18
1411,VNSML-INDEX,2014-03-18,687.49,689.03,682.01,686.21,52717340,686.21
1410,VNSML-INDEX,2014-03-19,687.11,697.63,685.54,697.63,52643650,697.63
1409,VNSML-INDEX,2014-03-20,703.45,705.41,690.48,696.39,54991760,696.39
1408,VNSML-INDEX,2014-03-21,697.43,706.77,697.07,705.11,51922770,705.11
1407,VNSML-INDEX,2014-03-24,712.31,721.02,712.04,720.81,52995360,720.81
1406,VNSML-INDEX,2014-03-25,725.95,730.27,716.36,716.36,76144850,716.36
1405,VNSML-INDEX,2014-03-26,722.13,722.13,696.79,699.61,72915080,699.61
1404,VNSML-INDEX,2014-03-27,697.36,700.21,686.47,700.21,39385470,700.21
1403,VNSML-INDEX,2014-03-28,702.56,708.01,698.19,701.68,29913380,701.68
1402,VNSML-INDEX,2014-03-31,704.01,704.56,691.8,692.24,29455210,692.24
