,name,date,open,high,low,close,volume,adj_close
708,VPI,2017-11-28,35.8,35.8,35.8,35.8,5000,33.43
707,VPI,2017-11-29,39.3,39.3,39.3,39.3,193600,36.7
706,VPI,2017-11-30,43.2,43.2,40.5,41.4,542500,38.66
705,VPI,2017-12-01,44.0,44.0,40.0,41.4,62300,38.66
704,VPI,2017-12-04,41.4,41.4,40.0,40.0,139600,37.35
703,VPI,2017-12-05,39.7,40.0,39.0,39.4,49900,36.79
702,VPI,2017-12-06,40.0,40.0,38.6,38.6,57000,36.04
701,VPI,2017-12-07,39.1,39.1,38.7,39.0,21300,36.42
700,VPI,2017-12-08,39.0,39.0,38.0,38.2,100300,35.67
699,VPI,2017-12-11,38.2,38.5,37.5,38.3,91400,35.76
698,VPI,2017-12-12,38.0,38.3,37.0,38.0,101200,35.48
697,VPI,2017-12-13,38.2,38.2,37.0,37.8,76900,35.29
696,VPI,2017-12-14,37.8,37.8,36.8,36.8,115900,34.36
695,VPI,2017-12-15,37.0,37.0,35.2,35.2,116400,32.87
694,VPI,2017-12-18,35.1,38.0,35.0,37.5,198030,35.01
693,VPI,2017-12-19,37.5,37.6,36.7,36.7,203900,34.27
692,VPI,2017-12-20,36.8,36.9,36.3,36.9,110200,34.45
691,VPI,2017-12-21,36.8,36.8,35.6,36.0,181200,34.65
690,VPI,2017-12-22,36.0,36.2,35.7,36.2,161500,34.84
689,VPI,2017-12-25,36.2,36.3,35.3,36.3,187500,34.94
688,VPI,2017-12-26,35.8,36.0,35.2,36.0,219400,34.65
687,VPI,2017-12-27,35.5,36.0,35.4,36.0,96100,34.65
686,VPI,2017-12-28,36.0,36.1,35.1,36.1,79000,34.75
685,VPI,2017-12-29,36.0,38.0,35.0,38.0,216600,36.58
684,VPI,2018-01-02,38.0,38.0,36.2,36.2,212200,34.84
683,VPI,2018-01-03,36.2,36.2,35.5,36.0,193330,34.65
682,VPI,2018-01-04,36.0,36.0,35.6,36.0,259600,34.65
681,VPI,2018-01-05,35.7,36.1,35.7,36.1,202700,34.75
680,VPI,2018-01-08,36.0,36.1,35.8,36.1,237900,34.75
679,VPI,2018-01-09,35.8,36.0,35.8,35.8,97200,34.46
678,VPI,2018-01-10,35.9,36.0,35.8,35.9,132400,34.55
677,VPI,2018-01-11,35.9,36.0,35.9,36.0,92900,34.65
676,VPI,2018-01-12,35.9,36.0,35.9,36.0,123400,34.65
675,VPI,2018-01-15,36.0,36.8,36.0,36.6,125130,35.23
674,VPI,2018-01-16,36.6,36.7,36.3,36.6,69900,35.23
673,VPI,2018-01-17,36.6,37.2,36.6,36.9,182800,35.52
672,VPI,2018-01-18,36.9,37.6,36.9,37.2,87900,35.81
671,VPI,2018-01-19,37.2,37.9,37.2,37.7,193700,36.29
670,VPI,2018-01-22,37.7,37.9,37.5,37.8,138500,36.38
669,VPI,2018-01-23,37.7,37.9,37.4,37.9,78400,36.48
668,VPI,2018-01-24,37.9,38.0,37.7,38.0,73300,36.58
667,VPI,2018-01-25,37.9,38.2,37.6,38.2,119800,36.77
666,VPI,2018-01-26,38.3,38.3,37.5,38.2,80000,36.77
665,VPI,2018-01-29,38.0,38.2,37.5,37.9,145800,36.48
664,VPI,2018-01-30,37.7,37.7,36.9,37.0,157800,35.61
663,VPI,2018-01-31,37.8,37.9,36.8,37.5,96800,36.09
662,VPI,2018-02-01,37.8,37.9,37.4,37.7,78800,36.29
661,VPI,2018-02-02,37.6,37.7,37.3,37.7,134400,36.29
660,VPI,2018-02-05,37.5,37.5,36.3,37.0,59200,35.61
659,VPI,2018-02-06,34.0,36.9,34.0,35.8,73300,34.46
658,VPI,2018-02-07,35.6,36.5,35.5,36.1,143400,34.75
657,VPI,2018-02-08,37.0,37.0,35.9,36.2,127200,34.84
656,VPI,2018-02-09,35.0,36.5,35.0,36.5,141500,35.13
655,VPI,2018-02-12,36.3,37.5,36.0,37.0,169600,35.61
654,VPI,2018-02-13,37.0,37.4,35.8,37.4,172000,36.0
653,VPI,2018-02-21,37.6,37.8,37.3,37.8,203000,36.38
652,VPI,2018-02-22,37.8,37.9,37.4,37.5,209100,36.09
651,VPI,2018-02-23,37.5,37.8,37.0,37.8,204700,36.38
650,VPI,2018-02-26,37.7,38.4,37.5,38.0,226600,36.58
649,VPI,2018-02-27,37.8,38.1,37.5,38.0,233440,36.58
648,VPI,2018-02-28,37.8,38.0,37.4,38.0,174300,36.58
647,VPI,2018-03-01,37.8,37.9,37.5,37.5,180700,36.09
646,VPI,2018-03-02,37.9,37.9,37.7,37.9,208630,36.48
645,VPI,2018-03-05,37.6,38.0,37.6,37.9,155500,36.48
644,VPI,2018-03-06,37.8,38.0,37.6,37.9,117000,36.48
643,VPI,2018-03-07,37.9,38.0,37.6,37.8,144400,36.38
642,VPI,2018-03-08,37.6,37.9,37.5,37.8,137409,36.38
641,VPI,2018-03-09,37.8,37.9,37.3,37.5,123600,36.09
640,VPI,2018-03-12,37.5,37.5,37.3,37.5,100700,36.09
639,VPI,2018-03-13,37.4,37.5,37.3,37.5,89000,36.09
638,VPI,2018-03-14,37.4,37.8,37.1,37.8,82100,36.38
637,VPI,2018-03-15,37.9,38.0,37.4,37.9,82300,36.48
636,VPI,2018-03-16,37.6,37.9,37.4,37.9,119000,36.48
635,VPI,2018-03-19,37.7,37.9,37.5,37.9,152431,36.48
634,VPI,2018-03-20,37.9,37.9,37.4,37.9,101900,36.48
633,VPI,2018-03-21,37.9,37.9,37.3,37.7,84300,36.29
632,VPI,2018-03-22,37.5,37.8,37.5,37.6,96200,36.19
631,VPI,2018-03-23,37.2,37.6,37.2,37.6,96200,36.19
630,VPI,2018-03-26,37.3,37.5,37.0,37.5,82400,36.09
629,VPI,2018-03-27,37.5,38.7,37.2,38.6,175600,37.15
628,VPI,2018-03-28,38.8,39.0,38.3,38.9,126700,37.44
627,VPI,2018-03-29,40.0,40.0,38.4,39.0,176000,37.54
626,VPI,2018-03-30,38.9,39.5,38.4,39.5,136700,38.02
625,VPI,2018-04-02,39.5,40.6,39.4,40.6,200400,39.08
624,VPI,2018-04-03,40.0,40.7,39.7,40.7,137700,39.17
623,VPI,2018-04-04,40.1,41.0,40.1,40.7,123500,39.17
622,VPI,2018-04-05,40.8,40.9,40.3,40.9,127230,39.37
621,VPI,2018-04-06,40.8,42.5,40.8,42.5,172530,40.91
620,VPI,2018-04-09,42.3,42.9,42.1,42.5,151000,40.91
619,VPI,2018-04-10,42.5,42.8,41.1,42.7,198600,41.1
618,VPI,2018-04-11,42.5,42.8,41.5,41.5,195221,39.94
617,VPI,2018-04-12,42.1,42.1,41.5,41.9,230800,40.33
616,VPI,2018-04-13,41.9,42.0,41.7,42.0,139200,40.43
615,VPI,2018-04-16,42.0,42.4,41.8,42.2,154800,40.62
614,VPI,2018-04-17,42.3,42.6,42.3,42.5,319400,40.91
613,VPI,2018-04-18,42.6,42.7,42.1,42.2,331200,40.62
612,VPI,2018-04-19,42.2,42.2,41.5,41.5,229300,39.94
611,VPI,2018-04-20,41.3,42.7,41.3,42.7,202930,41.1
