name,date,open,high,low,close,volume,adj_close
VRE,2020-08-10,28.0,28.0,27.55,27.65,1434220,27.65
VRE,2020-07-10,27.5,27.95,27.5,27.8,3198050,27.8
VRE,2020-06-10,27.4,27.6,27.4,27.5,2135800,27.5
VRE,2020-05-10,27.4,27.8,27.35,27.4,2015400,27.4
VRE,2020-02-10,27.8,27.95,26.5,27.3,2548820,27.3
VRE,2020-01-10,27.8,27.9,27.6,27.7,2154130,27.7
VRE,2020-09-30,27.45,27.95,27.25,27.6,1592150,27.6
VRE,2020-09-29,27.9,28.1,27.4,27.45,2615690,27.45
VRE,2020-09-28,28.4,28.45,27.55,27.8,5930960,27.8
VRE,2020-09-25,28.6,28.65,28.1,28.4,1575590,28.4
VRE,2020-09-24,29.1,29.15,28.5,28.6,1520670,28.6
VRE,2020-09-23,28.7,29.15,28.7,29.1,3321440,29.1
VRE,2020-09-22,28.6,28.9,28.6,28.7,1850880,28.7
VRE,2020-09-21,28.85,29.15,28.6,28.95,3737470,28.95
VRE,2020-09-18,28.25,28.5,28.2,28.5,4092340,28.5
VRE,2020-09-17,28.7,28.9,28.2,28.3,2612410,28.3
VRE,2020-09-16,28.9,29.05,28.75,28.9,2160180,28.9
VRE,2020-09-15,28.7,29.1,28.45,28.9,3075490,28.9
VRE,2020-09-14,28.5,28.6,28.35,28.6,2698460,28.6
VRE,2020-11-09,28.4,28.45,28.15,28.4,1804860,28.4
VRE,2020-10-09,28.5,28.75,28.3,28.4,1690620,28.4
VRE,2020-09-09,27.9,28.45,27.9,28.4,2278700,28.4
VRE,2020-08-09,27.7,28.4,27.55,28.3,3048220,28.3
VRE,2020-07-09,28.6,28.6,27.7,27.7,3909430,27.7
VRE,2020-04-09,27.7,28.7,27.7,28.5,6098320,28.5
VRE,2020-03-09,27.6,28.5,27.35,28.1,5266810,28.1
VRE,2020-01-09,27.0,27.3,26.8,27.25,1944470,27.25
VRE,2020-08-31,27.6,27.65,26.7,27.0,4262760,27.0
VRE,2020-08-28,27.2,27.4,27.1,27.2,2457850,27.2
VRE,2020-08-27,27.2,27.65,27.1,27.2,2077020,27.2
VRE,2020-08-26,26.95,27.35,26.85,27.2,2204070,27.2
VRE,2020-08-25,27.0,27.2,26.9,26.95,2680420,26.95
VRE,2020-08-24,26.7,27.3,26.65,26.9,5011510,26.9
VRE,2020-08-21,26.45,26.65,26.3,26.5,1798160,26.5
VRE,2020-08-20,26.35,26.8,26.2,26.35,2174600,26.35
VRE,2020-08-19,26.2,26.6,26.2,26.35,1699080,26.35
VRE,2020-08-18,26.4,26.7,26.1,26.1,1947050,26.1
VRE,2020-08-17,26.5,26.8,26.25,26.5,1724700,26.5
VRE,2020-08-14,26.85,27.3,26.65,26.85,3089240,26.85
VRE,2020-08-13,26.4,27.0,26.3,26.85,2594130,26.85
VRE,2020-12-08,26.5,26.55,26.15,26.4,1764760,26.4
VRE,2020-11-08,26.7,26.8,26.3,26.3,1512750,26.3
VRE,2020-10-08,26.5,26.95,26.5,26.65,1680830,26.65
VRE,2020-07-08,26.4,26.55,26.1,26.4,1257020,26.4
VRE,2020-06-08,26.2,26.75,26.1,26.35,2096050,26.35
VRE,2020-05-08,26.05,26.7,25.9,26.35,2154970,26.35
VRE,2020-04-08,26.2,26.35,25.9,26.3,1602220,26.3
VRE,2020-03-08,25.15,25.9,25.15,25.65,1872110,25.65
VRE,2020-07-31,25.3,26.05,25.1,25.1,2333650,25.1
VRE,2020-07-30,25.85,26.15,25.7,25.95,1069550,25.95
VRE,2020-07-29,26.4,26.4,25.3,25.55,2635930,25.55
VRE,2020-07-28,27.0,27.3,25.9,27.2,4480940,27.2
VRE,2020-07-27,26.1,27.5,26.1,26.8,3211440,26.8
VRE,2020-07-24,27.9,28.15,27.0,27.95,4730110,27.95
VRE,2020-07-23,27.0,28.3,27.0,28.3,7249850,28.3
VRE,2020-07-22,26.6,27.25,26.6,26.95,2251420,26.95
VRE,2020-07-21,26.25,26.55,26.15,26.3,1725630,26.3
VRE,2020-07-20,26.2,26.85,26.2,26.2,1258900,26.2
VRE,2020-07-17,27.0,27.2,26.85,26.85,720820,26.85
VRE,2020-07-16,26.95,27.3,26.75,27.3,1270920,27.3
VRE,2020-07-15,26.5,27.0,26.5,26.7,1502410,26.7
VRE,2020-07-14,26.4,26.7,26.05,26.4,1938730,26.4
VRE,2020-07-13,27.05,27.35,26.5,26.5,2291640,26.5
VRE,2020-10-07,27.35,27.55,26.95,27.05,947980,27.05
VRE,2020-09-07,27.55,27.75,27.25,27.55,1903220,27.55
VRE,2020-08-07,27.3,27.5,27.05,27.45,939580,27.45
VRE,2020-07-07,27.2,27.8,27.05,27.45,4346450,27.45
VRE,2020-06-07,26.5,27.2,26.45,27.1,3101080,27.1
VRE,2020-03-07,26.2,26.65,26.2,26.5,2328550,26.5
VRE,2020-02-07,26.4,26.4,25.85,26.2,951820,26.2
VRE,2020-01-07,24.8,26.5,24.8,26.45,1469010,26.45
VRE,2020-06-30,25.65,26.15,24.8,24.8,1700630,24.8
VRE,2020-06-29,26.2,26.2,25.0,25.4,2156880,25.4
VRE,2020-06-26,26.6,26.75,26.0,26.2,1867820,26.2
VRE,2020-06-25,26.5,26.8,26.3,26.5,2133290,26.5
VRE,2020-06-24,27.3,27.7,26.85,26.85,1391660,26.85
VRE,2020-06-23,27.6,27.6,27.1,27.2,1019600,27.2
VRE,2020-06-22,27.8,28.0,27.4,27.6,1559410,27.6
VRE,2020-06-19,27.5,27.8,26.7,27.8,3677760,27.8
VRE,2020-06-18,27.5,27.65,26.35,27.55,1681240,27.55
VRE,2020-06-17,27.35,27.85,27.1,27.5,3148000,27.5
VRE,2020-06-16,25.5,26.75,25.3,26.75,3097330,26.75
VRE,2020-06-15,26.0,26.4,25.0,25.0,2056490,25.0
VRE,2020-12-06,25.3,25.9,25.0,25.9,2529890,25.9
VRE,2020-11-06,27.9,27.95,26.1,26.1,4725660,26.1
VRE,2020-10-06,27.6,28.0,27.2,27.95,2119900,27.95
VRE,2020-09-06,28.35,28.6,27.8,27.9,2864250,27.9
VRE,2020-08-06,28.8,28.9,28.25,28.6,2826530,28.6
VRE,2020-05-06,28.4,28.8,28.0,28.45,2162490,28.45
VRE,2020-04-06,28.3,28.85,28.3,28.4,2839030,28.4
VRE,2020-03-06,27.4,28.1,27.1,28.1,3342330,28.1
VRE,2020-02-06,27.55,28.0,27.3,27.6,2909480,27.6
VRE,2020-01-06,28.0,28.05,27.65,27.8,3992550,27.8
VRE,2020-05-29,26.9,28.2,26.55,27.5,7822570,27.5
VRE,2020-05-28,25.55,27.0,25.5,26.9,6481940,26.9
VRE,2020-05-27,26.6,26.65,25.5,25.5,7074630,25.5
VRE,2020-05-26,26.6,26.8,26.25,26.5,3969390,26.5
VRE,2020-05-25,25.7,26.65,25.3,26.2,3774990,26.2
VRE,2020-05-22,26.0,26.1,25.5,25.8,5938130,25.8
VRE,2020-05-21,26.6,27.25,26.0,26.3,5046470,26.3
VRE,2020-05-20,24.8,26.55,24.8,26.55,6793800,26.55
VRE,2020-05-19,25.0,25.8,24.6,24.9,8313560,24.9
VRE,2020-05-18,24.2,24.7,24.05,24.55,2597120,24.55
VRE,2020-05-15,24.4,24.75,24.1,24.1,2262600,24.1
VRE,2020-05-14,24.2,24.35,23.9,24.05,3952220,24.05
VRE,2020-05-13,25.0,25.1,24.5,24.5,4037060,24.5
VRE,2020-12-05,25.0,25.4,24.95,25.25,3654270,25.25
VRE,2020-11-05,25.45,25.65,24.8,25.45,3515430,25.45
VRE,2020-08-05,25.0,25.9,25.0,25.3,4038610,25.3
VRE,2020-07-05,25.1,25.2,24.65,24.8,2518450,24.8
